playerid,year,teamName,League,Level,orgName,lastName,firstName,G,AB,R,H,Dbl,Tpl,HR,RBI,SB,CS,BB,IBB,SO,SH,SF,HBP,GDP,Bavg,Slg,obp,OPS,Age,HT,WT,Bats,Throws,posit,borndate,cityName,regionID,Predicted_WAR,MakeIt_PredictedWAR,Likelihood
128964,2017,Salt Lake,PCL,AAA,ANA,Navarro,Rey,126,492,59,137,27,1,7,82,7,4,48,1,79,4,7,3,6,0.278,0.38,0.342,722,27,5-10,175,R,R,3B-2B,12/22/1989,Caguas,PR,3.28081393809626,0.636477903990674,0.194
129106,2017,Iowa,PCL,AAA,CHN,Soto,Elliot,81,244,28,58,15,2,2,29,5,2,26,4,49,7,5,1,5,0.238,0.34,0.308,648,27,5-9,150,R,R,SS,8/21/1989,Algonquin,IL,4.94067741374024,0.582999934821348,0.118
129189,2017,Sacramento,PCL,AAA,SFN,Moncrief,Carlos,71,171,17,49,17,0,2,18,4,2,17,1,45,1,1,0,3,0.287,0.421,0.349,770,28,6-1,210,L,R,OF,11/3/1988,Jackson,MS,4.18727814888014,0.125618344466404,0.03
129274,2017,Aguascalientes,Mex,AAA,-,Wing,Michael,26,88,22,38,5,0,5,25,0,1,7,0,15,0,2,1,4,0.432,0.659,0.469,1128,28,6-1,180,R,R,3B-1B,10/25/1988,Pasadena,CA,7.24069893829369,0.753032689582544,0.104
129296,2017,Monclova,Mex,AAA,-,Clark,Matt,104,394,57,109,23,0,21,75,0,1,47,7,106,0,2,2,9,0.277,0.495,0.355,850,30,6-5,235,L,R,1B,12/10/1986,Fontana,CA,3.06445145422566,0.582245776302875,0.19
129303,2017,Las Vegas,PCL,AAA,NYN,Carrillo,Xorge,70,252,24,68,12,0,9,44,0,0,17,1,62,0,1,2,3,0.27,0.425,0.32,745,28,6-1,210,R,R,C,4/12/1989,Tijuana,MX,7.75650151468997,0.248208048470079,0.032
129392,2017,Monclova,Mex,AAA,-,Ramirez,Carlos,20,27,0,4,0,0,0,1,0,0,2,0,8,0,0,0,1,0.148,0.148,0.207,355,29,5-11,194,R,R,C,3/19/1988,Tucson,AZ,10.9059637528391,0.218119275056783,0.02
129450,2017,yucatan,Mex,AAA,-,Alvarez,Ricky,43,167,18,47,5,0,4,30,3,1,3,1,20,1,3,3,5,0.281,0.383,0.301,684,28,5-11,210,R,R,1B-3B,2/7/1989,Barcelona,VZ,3.00097766506222,0.450146649759333,0.15
129595,2017,Reno,PCL,AAA,ARI,Ijames,Stewart,5,7,1,2,1,0,0,2,0,0,0,0,2,0,1,0,0,0.286,0.429,0.25,679,28,6-1,195,L,R,OF,8/21/1988,Owensboro,KY,9.98632087201054,0.499316043600527,0.05
133914,2017,Durango,Mex,AAA,-,Rivera,Jesus,79,268,22,86,20,0,2,35,4,2,22,4,27,3,1,3,14,0.321,0.418,0.378,796,39,6-1,160,L,R,2B,9/20/1977,Navojoa,MX,3.04569600723251,0.0243655680578601,0.008
135547,2017,Mexico City Red Devils,Mex,AAA,-,Lopez,Jesus,15,36,4,7,2,0,0,2,0,1,2,0,13,1,0,1,3,0.194,0.25,0.256,506,29,5-11,175,R,R,IF,9/12/1987,Guasave,MX,3.4919792639753,0.300310216701876,0.086
