"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Taylor Antunez","Pirates (R)","18","33","60","74","13","12","1","0","0","6","11","10","0","18","3","0","1","1","3","2",".217","sa3001454"
"Marco Albano","Angels (A)","22","77","254","280","55","42","10","1","2","29","32","14","0","77","8","1","3","2","15","6",".217","sa291702"
"Casey Smith","Padres (A-)","22","29","97","110","21","17","3","0","1","7","7","12","0","40","0","1","0","2","0","0",".216","sa291721"
"Derrick Arnold","Braves (A)","22","79","231","249","50","37","9","2","2","26","14","9","0","63","4","3","2","2","4","3",".216","sa253855"
"Rafael Fernandez","Mets (R)","17","65","231","269","50","37","7","1","5","30","43","34","0","53","1","3","0","2","6","2",".216","sa401991"
"Matt Pagnozzi","Cardinals (A+)","23","77","268","295","58","37","15","3","3","25","27","20","0","67","5","0","2","4","0","1",".216","6046"
"Michael McKenry","Rockies (A-)","21","66","245","290","53","32","16","1","4","28","23","22","0","49","11","6","6","1","3","3",".216","9628"
"Jonathan Asahina","- - -","25","20","37","40","8","5","3","0","0","4","2","2","0","8","0","0","1","3","0","0",".216","sa200105"
"Spike Lundberg","- - -","29","21","37","46","8","5","3","0","0","3","4","3","0","7","0","0","6","0","0","0",".216","sa209108"
"Joel Caro","Yankees (R)","20","33","111","117","24","15","5","1","3","16","15","4","0","33","2","0","0","3","1","1",".216","sa3001321"
"Matthew Reed","Phillies (R)","23","25","74","82","16","8","5","1","2","8","10","7","0","22","1","0","0","0","3","1",".216","sa329004"
"Madison Edwards","Angels (A)","22","70","199","232","43","34","3","4","2","24","11","28","0","56","3","0","2","2","10","6",".216","sa295819"
"Keoni De Renne","- - -","27","86","287","317","62","55","6","0","1","34","21","27","1","29","1","0","2","7","3","2",".216","sa199696"
"Andy Hargrove","- - -","24","46","125","147","27","17","5","0","5","18","16","16","0","46","3","2","1","3","1","0",".216","sa291148"
"Greg McCarthy","- - -","23","25","88","95","19","14","4","0","1","6","12","6","0","17","1","0","0","4","0","0",".216","sa293519"
"Gavin Dickey","Mariners (A-)","22","55","176","202","38","24","6","3","5","28","21","13","0","40","10","1","2","3","16","2",".216","sa327649"
"D.J. Hollingsworth","Yankees (R)","21","31","88","130","19","17","2","0","0","24","8","30","0","16","9","2","1","0","11","8",".216","sa327812"
"Brandon Marsters","Orioles (AAA)","31","55","190","201","41","29","4","0","8","19","27","7","0","65","2","0","2","6","0","0",".216","sa212075"
"Chris Snelling","Mariners (AAA)","24","69","241","290","52","33","13","1","5","36","39","31","2","60","11","5","2","7","4","2",".216","1480"
"James Rapoport","Cardinals (A-)","21","66","241","275","52","40","8","3","1","42","21","30","4","76","2","1","1","3","24","4",".216","sa328607"
"Kody Kirkland","- - -","23","123","445","495","96","42","27","5","22","62","66","26","0","167","19","3","2","3","9","10",".216","sa202138"
"David Kelton","Braves (AAA)","26","48","153","169","33","25","6","1","1","13","10","14","0","53","1","1","0","2","2","0",".216","285"
"Zach Borowiak","Red Sox (AA)","25","107","306","343","66","50","13","0","3","36","32","14","0","59","11","7","5","6","5","3",".216","sa225796"
"Alfred Ard","Indians (R)","23","51","153","185","33","23","9","0","1","25","18","22","0","33","3","1","6","3","12","3",".216","sa262173"
"Donald Green","Mets (R)","20","38","102","113","22","19","3","0","0","13","7","8","0","41","1","0","2","0","2","0",".216","sa326959"
"Austin Rauch","Rockies (R)","18","32","102","120","22","18","3","0","1","15","10","18","0","36","0","0","0","3","1","1",".216","sa327457"
"Guilder Rodriguez","- - -","22","74","167","199","36","32","3","1","0","22","7","23","1","32","3","0","5","5","2","1",".216","3412"
"Jose Graterol","- - -","21","36","116","135","25","20","5","0","0","17","7","16","0","36","2","0","1","0","9","3",".216","sa293544"
"Nicholas Giarraputo","Mets (R)","18","47","181","197","39","32","7","0","0","16","11","13","0","40","1","1","1","4","1","1",".215","sa327709"
"Dwaine Bacon","Angels (AA)","27","93","339","389","73","49","15","4","5","42","28","37","0","81","3","2","8","1","35","11",".215","sa200304"
"Javier James","- - -","21","62","209","259","45","29","11","3","2","35","28","40","0","59","9","1","0","7","1","5",".215","sa331354"
"Chad Steiner","Padres (A)","22","38","144","155","31","24","5","1","1","10","20","7","0","24","2","1","1","6","0","0",".215","sa290477"
"Terry Serrano","Mariners (R)","19","57","158","197","34","27","5","1","1","31","13","30","0","38","4","0","5","2","20","7",".215","sa455927"
"John Nelson","Cardinals (AAA)","27","125","423","476","91","52","16","2","21","55","48","42","0","153","5","4","1","4","12","2",".215","3640"
