"Name","Team","Age","PA","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Steve Edlefsen","Giants (AAA)","26","3",".500","2.00","0.0 %","66.7 %","33.3 %","0.0 %","100.0 %","33.3 %","0.0 %","66.7 %","16.7 %","2","4","6","2185"
"Matt LaPorta","Indians (AAA)","26","9",".429","5.00","25.0 %","62.5 %","12.5 %","100.0 %","100.0 %","62.5 %","12.5 %","25.0 %","9.3 %","14","29","43","2280"
"Evan Longoria","Rays (AA)","25","17",".100","1.50","23.1 %","46.2 %","30.8 %","0.0 %","75.0 %","61.5 %","0.0 %","38.5 %","4.7 %","25","39","64","9368"
"Elih Villanueva","Marlins (AAA)","24","40",".143","5.67","9.1 %","77.3 %","13.6 %","0.0 %","66.7 %","37.0 %","29.6 %","33.3 %","7.6 %","52","92","144","8796"
"Luke Scott","Orioles (AA)","33","12",".400","0.60","0.0 %","37.5 %","62.5 %","20.0 %","60.0 %","75.0 %","25.0 %","0.0 %","15.2 %","21","25","46","3469"
"Jason Bay","Mets (A+)","32","16",".400","1.50","16.7 %","50.0 %","33.3 %","0.0 %","50.0 %","58.3 %","25.0 %","16.7 %","2.8 %","19","17","36","1717"
"Josh Willingham","Athletics (AAA)","32","7",".000","0.50","0.0 %","33.3 %","66.7 %","0.0 %","50.0 %","33.3 %","66.7 %","0.0 %","6.1 %","16","17","33","2103"
"Rajai Davis","- - -","30","19",".364","3.00","27.3 %","54.5 %","18.2 %","0.0 %","50.0 %","58.3 %","25.0 %","16.7 %","27.8 %","13","23","36","3708"
"Brian McCann","Braves (AAA)","27","6",".250","1.00","20.0 %","40.0 %","40.0 %","0.0 %","50.0 %","60.0 %","40.0 %","0.0 %","8.0 %","10","15","25","4810"
"Billy Spottiswood","Diamondbacks (AA)","26","7",".000","1.00","0.0 %","50.0 %","50.0 %","50.0 %","50.0 %","75.0 %","0.0 %","25.0 %","14.8 %","12","15","27","sa389182"
"Chase Weems","Reds (A+)","22","12",".250","1.50","0.0 %","60.0 %","40.0 %","0.0 %","50.0 %","60.0 %","20.0 %","20.0 %","63.3 %","2","28","30","sa390613"
"Trey McNutt","Cubs (AA)","21","23",".000","5.50","0.0 %","84.6 %","15.4 %","0.0 %","50.0 %","35.3 %","23.5 %","41.2 %","7.7 %","27","64","91","sa502768"
"Mike Napoli","Rangers (AAA)","29","18",".111","0.71","0.0 %","41.7 %","58.3 %","14.3 %","42.9 %","50.0 %","16.7 %","33.3 %","6.0 %","38","46","84","3057"
"Ryan Mulhern","Mexican (AAA)","30","156",".387","1.18","28.8 %","38.5 %","32.7 %","14.7 %","38.2 %","41.5 %","20.8 %","37.7 %","8.3 %","232","369","601","sa225999"
"Will Swanner","Rockies (R)","19","182",".360","1.46","25.8 %","44.1 %","30.1 %","3.6 %","35.7 %","37.4 %","23.2 %","39.4 %","32.4 %","98","285","383","sa549202"
"Joseph Dunigan","- - -","25","318",".369","1.10","26.8 %","38.4 %","34.8 %","16.7 %","35.4 %","49.3 %","22.9 %","27.9 %","28.4 %","370","721","1091","sa389233"
"Victor Diaz","Mexican (AAA)","29","460",".315","0.92","16.7 %","39.9 %","43.4 %","13.1 %","34.3 %","51.3 %","25.6 %","23.1 %","18.1 %","784","1082","1866","3424"
"Chris Davis","- - -","25","218",".424","0.66","18.3 %","32.4 %","49.3 %","4.3 %","34.3 %","50.7 %","28.9 %","20.4 %","16.8 %","302","527","829","9272"
"James Simmons","- - -","25","238",".364","1.63","21.9 %","48.4 %","29.7 %","18.4 %","34.2 %","43.7 %","27.4 %","28.9 %","36.8 %","155","465","620","sa326261"
"Alex Rodriguez","- - -","35","14",".500","0.33","42.9 %","14.3 %","42.9 %","33.3 %","33.3 %","14.3 %","14.3 %","71.4 %","15.4 %","21","31","52","1274"
"Jack Cust","Phillies (AAA)","32","23",".250","3.33","23.5 %","58.8 %","17.6 %","0.0 %","33.3 %","47.1 %","17.7 %","35.3 %","11.0 %","47","53","100","1564"
"Josh Hamilton","- - -","30","21",".182","1.17","0.0 %","53.8 %","46.2 %","16.7 %","33.3 %","53.9 %","7.7 %","38.5 %","13.3 %","29","46","75","1875"
"Jeremy Hefner","Padres (AAA)","25","31",".154","3.00","0.0 %","75.0 %","25.0 %","33.3 %","33.3 %","35.3 %","29.4 %","35.3 %","9.8 %","46","76","122","1989"
"Brian Gordon","Phillies (AAA)","32","8",".500","0.67","16.7 %","33.3 %","50.0 %","0.0 %","33.3 %","28.6 %","71.4 %","0.0 %","9.5 %","4","17","21","2374"
"Justin Maxwell","Yankees (AAA)","27","204",".337","0.83","16.2 %","38.1 %","45.7 %","16.7 %","33.3 %","48.6 %","23.8 %","27.6 %","13.7 %","327","505","832","6827"
"Clint Sammons","- - -","28","35",".143","0.50","0.0 %","33.3 %","66.7 %","33.3 %","33.3 %","61.1 %","16.7 %","22.2 %","12.0 %","58","75","133","8243"
"Nelson Teilon","Mexican (AAA)","31","19",".182","2.33","16.7 %","58.3 %","25.0 %","0.0 %","33.3 %","58.3 %","25.0 %","16.7 %","15.6 %","25","39","64","sa206504"
"Ivan Villaescusa","Mexican (AAA)","24","11",".400","1.00","0.0 %","50.0 %","50.0 %","0.0 %","33.3 %","33.3 %","33.3 %","33.3 %","23.5 %","7","27","34","sa328600"
"Cody Scarpetta","Brewers (AA)","22","24",".100","0.83","8.3 %","41.7 %","50.0 %","16.7 %","33.3 %","33.3 %","46.7 %","20.0 %","14.8 %","26","62","88","sa390646"
"Jose Guevara","- - -","23","17",".167","3.33","0.0 %","76.9 %","23.1 %","0.0 %","33.3 %","53.9 %","23.1 %","23.1 %","37.9 %","4","25","29","sa456465"
"Michael Perez","Diamondbacks (R)","18","25",".273","0.67","23.1 %","30.8 %","46.2 %","16.7 %","33.3 %","38.5 %","46.2 %","15.4 %","45.5 %","10","45","55","sa597838"
"Edgar Quintero","Mexican (AAA)","33","394",".431","0.89","21.5 %","36.9 %","41.6 %","10.3 %","33.0 %","50.2 %","22.1 %","27.7 %","14.9 %","645","897","1542","sa203952"
"Trayvon Robinson","- - -","23","428",".369","1.35","23.1 %","44.2 %","32.6 %","6.3 %","32.9 %","49.0 %","25.1 %","25.9 %","16.9 %","636","1029","1665","9875"
"Wily Mo Pena","- - -","29","332",".384","1.26","20.0 %","44.5 %","35.5 %","23.1 %","32.1 %","42.1 %","30.7 %","27.2 %","14.7 %","439","706","1145","344"
"Luis Terrero","Mexican (AAA)","31","459",".424","1.06","16.4 %","43.0 %","40.6 %","21.0 %","31.9 %","51.7 %","25.5 %","22.9 %","11.8 %","761","1060","1821","1765"
"Taylor Teagarden","Rangers (AAA)","27","173",".356","1.05","19.6 %","41.2 %","39.2 %","10.5 %","31.6 %","47.5 %","26.3 %","26.3 %","13.5 %","293","427","720","5199"
"Mendy Lopez","Mexican (AAA)","37","436",".362","0.90","26.4 %","34.9 %","38.8 %","14.0 %","31.0 %","51.0 %","25.5 %","23.6 %","10.0 %","831","1009","1840","1458"
"Michel Abreu","Mexican (AAA)","32","448",".363","2.50","23.2 %","54.8 %","21.9 %","16.2 %","30.9 %","49.1 %","17.7 %","33.2 %","7.0 %","788","910","1698","sa301748"
"Eliezer Alfonzo","Rockies (AAA)","32","101",".265","0.87","8.8 %","42.5 %","48.8 %","17.9 %","30.8 %","51.3 %","25.0 %","23.8 %","13.7 %","114","250","364","2331"
"Jai Miller","Athletics (AAA)","26","475",".401","0.76","20.1 %","34.5 %","45.4 %","12.5 %","30.8 %","47.0 %","29.9 %","23.1 %","18.9 %","745","1193","1938","5715"
"Ian Stewart","Rockies (AAA)","26","195",".308","1.30","11.7 %","50.0 %","38.3 %","8.7 %","30.4 %","48.8 %","20.7 %","30.6 %","10.9 %","326","475","801","5950"
"Frank Diaz","Mexican (AAA)","27","84",".404","1.26","17.5 %","46.0 %","36.5 %","13.0 %","30.4 %","46.2 %","23.1 %","30.8 %","9.1 %","100","197","297","sa200361"
"Sam Mende","- - -","21","197",".318","1.07","17.4 %","42.6 %","40.0 %","10.9 %","30.4 %","39.3 %","32.8 %","27.9 %","32.9 %","85","292","377","sa577969"
"Wagner Mateo","Diamondbacks (R)","18","230",".366","4.05","12.2 %","70.4 %","17.4 %","5.0 %","30.0 %","39.0 %","24.6 %","36.4 %","44.2 %","109","389","498","sa548057"
"Travis Garcia","Mexican (AAA)","29","172",".376","1.24","26.7 %","40.5 %","32.8 %","23.7 %","28.9 %","47.5 %","29.2 %","23.3 %","14.3 %","200","394","594","sa225876"
"Brendan Katin","Brewers (AAA)","28","121",".263","0.26","28.4 %","14.9 %","56.7 %","26.3 %","28.9 %","41.2 %","27.9 %","30.9 %","21.5 %","178","324","502","sa290612"
"Marcus Thames","Dodgers (AAA)","34","19",".091","0.57","15.4 %","30.8 %","53.8 %","14.3 %","28.6 %","69.2 %","23.1 %","7.7 %","12.2 %","28","46","74","1523"
"Sean West","Marlins (AAA)","25","31",".467","0.86","23.5 %","35.3 %","41.2 %","28.6 %","28.6 %","20.0 %","55.0 %","25.0 %","16.5 %","28","75","103","4393"
"Steve Moss","Mexican (AAA)","27","43",".381","1.43","19.0 %","47.6 %","33.3 %","14.3 %","28.6 %","59.1 %","31.8 %","9.1 %","19.3 %","65","111","176","sa202653"
"Tyler Flowers","White Sox (AAA)","25","270",".350","1.07","18.2 %","42.3 %","39.4 %","18.5 %","27.8 %","45.3 %","29.5 %","25.2 %","16.3 %","447","633","1080","9134"
"Eddie Rosario","Twins (R)","19","298",".370","1.17","19.1 %","43.6 %","37.3 %","7.9 %","27.6 %","48.3 %","28.4 %","23.2 %","30.9 %","156","420","576","12155"
"Oscar Hernandez","Rays (R)","17","294",".424","0.70","31.8 %","28.1 %","40.1 %","32.5 %","27.3 %","62.6 %","21.2 %","16.2 %","25.4 %","174","342","516","13490"
"Ryan Spilborghs","Rockies (AAA)","31","47",".472","2.00","13.2 %","57.9 %","28.9 %","0.0 %","27.3 %","48.7 %","20.5 %","30.8 %","8.5 %","76","112","188","4521"
"Jorge Guzman","Mexican (AAA)","27","458",".286","0.68","17.0 %","33.7 %","49.3 %","27.0 %","26.4 %","50.7 %","25.2 %","24.2 %","13.8 %","628","1004","1632","sa508257"
"Neil Medchill","Yankees (A+)","24","226",".274","1.52","15.9 %","50.8 %","33.3 %","14.3 %","26.2 %","38.8 %","25.6 %","35.7 %","32.1 %","145","331","476","sa501652"
"Bryan LaHair","Cubs (AAA)","28","523",".361","0.79","25.1 %","33.1 %","41.7 %","11.6 %","26.0 %","42.5 %","24.5 %","33.1 %","10.0 %","827","1204","2031","5462"
"Matt Adams","Cardinals (AA)","22","513",".308","1.31","22.0 %","44.3 %","33.7 %","10.5 %","25.8 %","45.4 %","25.3 %","29.3 %","11.4 %","689","1179","1868","9393"
"Harold Riggins","Rockies (R)","21","269",".419","2.19","23.8 %","52.3 %","23.8 %","3.2 %","25.8 %","36.4 %","22.7 %","40.9 %","27.6 %","216","397","613","sa546789"
"Paul Hoilman","Cubs (A-)","22","300",".360","0.70","17.6 %","33.8 %","48.5 %","15.2 %","25.8 %","54.6 %","17.5 %","28.0 %","35.2 %","237","474","711","sa598336"
"Mario Valenzuela","Mexican (AAA)","34","294",".402","1.10","14.9 %","44.6 %","40.6 %","18.3 %","25.6 %","48.5 %","25.2 %","26.2 %","12.6 %","437","621","1058","sa206418"
"Jorge Vazquez","Yankees (AAA)","29","500",".330","0.88","17.9 %","38.5 %","43.6 %","13.4 %","25.2 %","44.3 %","29.7 %","26.0 %","18.8 %","649","1306","1955","sa491894"
"Ryan Ludwick","Pirates (AAA)","32","16",".400","1.00","27.3 %","36.4 %","36.4 %","0.0 %","25.0 %","36.4 %","18.2 %","45.5 %","12.2 %","31","43","74","1260"
"Brandon Nimmo","- - -","18","44",".273","1.88","4.2 %","62.5 %","33.3 %","12.5 %","25.0 %","50.0 %","16.7 %","33.3 %","32.6 %","25","67","92","12927"
"Jose Reyes","- - -","28","13",".273","1.75","8.3 %","58.3 %","33.3 %","0.0 %","25.0 %","58.3 %","16.7 %","25.0 %","10.5 %","5","14","19","1736"
"Darwin Barney","Cubs (AAA)","25","15",".364","0.75","41.7 %","25.0 %","33.3 %","0.0 %","25.0 %","16.7 %","33.3 %","50.0 %","7.1 %","17","39","56","2430"
"Nelson Cruz","- - -","30","25",".222","0.67","4.8 %","38.1 %","57.1 %","0.0 %","25.0 %","57.1 %","19.1 %","23.8 %","8.4 %","41","54","95","2434"
"Doug Clark","Mexican (AAA)","35","397",".342","1.46","20.4 %","47.3 %","32.3 %","17.9 %","25.0 %","45.5 %","23.9 %","30.6 %","6.7 %","682","935","1617","2457"
"Matt Buschmann","- - -","27","26",".313","1.75","26.7 %","46.7 %","26.7 %","25.0 %","25.0 %","35.3 %","23.5 %","41.2 %","14.8 %","17","64","81","3832"
"Chris Snyder","Pirates (A+)","30","26",".500","1.25","40.0 %","33.3 %","26.7 %","0.0 %","25.0 %","53.3 %","40.0 %","6.7 %","11.7 %","28","32","60","4606"
"Daryl Thompson","- - -","25","29",".222","2.50","12.5 %","62.5 %","25.0 %","0.0 %","25.0 %","31.8 %","50.0 %","18.2 %","12.8 %","21","65","86","6603"
"Wily Peralta","- - -","22","34",".111","3.00","5.9 %","70.6 %","23.5 %","0.0 %","25.0 %","54.6 %","18.2 %","27.3 %","18.6 %","28","85","113","7738"
"Brad Hand","Marlins (AA)","21","27",".214","2.25","13.3 %","60.0 %","26.7 %","25.0 %","25.0 %","18.8 %","18.8 %","62.5 %","5.0 %","33","68","101","9111"
"Ross Seaton","Astros (AA)","21","23",".500","0.25","44.4 %","11.1 %","44.4 %","25.0 %","25.0 %","45.5 %","18.2 %","36.4 %","13.7 %","32","63","95","sa454510"
"Rick Hague","Nationals (A+)","22","16",".333","1.50","23.1 %","46.2 %","30.8 %","0.0 %","25.0 %","38.5 %","30.8 %","30.8 %","7.7 %","8","18","26","sa548193"
"Drew Poulk","- - -","23","170",".419","2.00","22.2 %","51.9 %","25.9 %","0.0 %","25.0 %","40.7 %","19.5 %","39.8 %","39.0 %","58","255","313","sa552283"
"Saquan Johnson","Rangers (R)","18","19",".500","1.75","15.4 %","53.8 %","30.8 %","50.0 %","25.0 %","69.2 %","7.7 %","23.1 %","31.3 %","3","29","32","sa599502"
"Mario Lisson","Royals (AA)","27","328",".362","1.62","17.5 %","51.0 %","31.4 %","23.0 %","24.6 %","50.2 %","26.1 %","23.7 %","12.8 %","505","791","1296","sa202240"
"Steven Hill","- - -","26","163",".289","0.72","11.7 %","36.9 %","51.4 %","12.3 %","24.6 %","43.2 %","24.3 %","32.4 %","15.0 %","227","414","641","8211"
"James Baldwin","Dodgers (R)","19","227",".345","1.44","13.8 %","50.9 %","35.3 %","14.6 %","24.4 %","45.5 %","27.6 %","26.8 %","27.8 %","104","363","467","sa548307"
"Cody Ransom","Diamondbacks (AAA)","35","432",".358","0.95","21.9 %","38.1 %","39.9 %","18.0 %","24.3 %","57.1 %","23.8 %","19.2 %","12.7 %","704","989","1693","1126"
"Runey Davis","Royals (R)","22","230",".470","1.30","28.6 %","40.3 %","31.1 %","2.7 %","24.3 %","46.0 %","25.8 %","28.2 %","30.3 %","140","352","492","sa390645"
"Paul Goldschmidt","Diamondbacks (AA)","23","457",".331","0.71","21.8 %","32.5 %","45.8 %","21.0 %","24.2 %","41.1 %","22.1 %","36.8 %","11.0 %","820","1086","1906","9218"
"Vince Belnome","Padres (AA)","23","318",".373","1.38","19.1 %","46.9 %","34.0 %","8.5 %","23.9 %","38.9 %","21.3 %","39.8 %","8.6 %","528","726","1254","8126"
"Chris Elder","Royals (R)","22","155",".299","1.32","22.8 %","43.9 %","33.3 %","15.8 %","23.7 %","47.4 %","25.9 %","26.7 %","23.5 %","53","202","255","sa546882"
"C.J. Cron","Angels (R)","21","159",".320","0.67","14.0 %","34.6 %","51.4 %","18.2 %","23.6 %","41.8 %","20.9 %","37.3 %","26.4 %","61","219","280","12546"
"Mike Carp","Mariners (AAA)","25","286",".355","0.86","14.8 %","39.3 %","45.9 %","18.9 %","23.3 %","37.3 %","27.0 %","35.8 %","9.3 %","435","662","1097","7480"
"Ruben Rivera","Mexican (AAA)","37","429",".302","0.80","20.0 %","35.7 %","44.3 %","28.6 %","23.3 %","60.0 %","17.4 %","22.6 %","7.9 %","658","899","1557","1550"
"Neftali Soto","- - -","22","432",".294","0.90","13.4 %","41.1 %","45.5 %","14.3 %","23.3 %","43.4 %","24.5 %","32.1 %","14.7 %","565","984","1549","5663"
"Jeff Larish","Phillies (AAA)","28","288",".308","1.39","19.3 %","47.0 %","33.7 %","17.9 %","23.2 %","42.6 %","24.3 %","33.1 %","15.5 %","442","686","1128","5128"
"Juan Francisco","- - -","24","333",".362","1.62","27.0 %","45.2 %","27.8 %","11.6 %","23.2 %","43.4 %","25.1 %","31.5 %","15.8 %","360","748","1108","6978"
"Steve Pearce","- - -","28","44",".292","0.62","16.0 %","32.0 %","52.0 %","0.0 %","23.1 %","59.3 %","14.8 %","25.9 %","12.6 %","70","105","175","9957"
"Chase Davidson","- - -","21","193",".422","1.10","9.8 %","47.3 %","42.9 %","8.3 %","22.9 %","43.0 %","24.6 %","32.5 %","34.9 %","119","288","407","sa454457"
"Brandon Hicks","Braves (AAA)","25","407",".354","1.27","19.0 %","45.2 %","35.7 %","17.7 %","22.8 %","50.9 %","28.3 %","20.8 %","17.0 %","644","969","1613","4003"
"Jon Griffin","Diamondbacks (R)","22","313",".339","1.03","20.0 %","40.5 %","39.5 %","20.3 %","22.8 %","49.5 %","25.0 %","25.5 %","31.5 %","157","458","615","sa598794"
"Cody Decker","- - -","24","229",".299","0.79","16.3 %","36.9 %","46.8 %","15.2 %","22.7 %","61.3 %","23.2 %","15.5 %","20.6 %","293","529","822","9665"
"Roberto De La Cruz","Cardinals (R)","19","242",".282","1.10","11.3 %","46.4 %","42.3 %","12.7 %","22.5 %","49.4 %","17.4 %","33.1 %","36.6 %","59","356","415","sa503024"
"Ryan Lavarnway","- - -","23","503",".312","0.84","19.6 %","36.7 %","43.7 %","17.5 %","22.4 %","47.8 %","24.9 %","27.3 %","12.9 %","602","1012","1614","8879"
"Barbaro Canizares","Mexican (AAA)","31","375",".410","1.22","24.8 %","41.4 %","33.8 %","6.7 %","22.2 %","45.6 %","24.1 %","30.4 %","6.6 %","696","768","1464","6246"
"Kala Ka'aihue","Rockies (A+)","26","43",".182","1.22","9.1 %","50.0 %","40.9 %","33.3 %","22.2 %","60.0 %","20.0 %","20.0 %","36.1 %","19","64","83","sa244055"
"Chris Frey","Phillies (AA)","27","21",".267","0.33","29.4 %","17.6 %","52.9 %","11.1 %","22.2 %","41.2 %","29.4 %","29.4 %","19.4 %","5","31","36","sa291760"
"Miguel Tejada","- - -","20","61",".185","0.44","13.3 %","26.7 %","60.0 %","27.8 %","22.2 %","67.7 %","16.1 %","16.1 %","53.2 %","8","116","124","sa455742"
"Telvin Nash","- - -","20","332",".384","1.03","26.9 %","37.1 %","36.0 %","15.9 %","22.2 %","46.6 %","24.2 %","29.2 %","33.2 %","204","506","710","sa501240"
