"Name","Team","Age","PA","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Diomedes Lopez","Athletics (A-)","22","125",".242","0.93","20.0 %","38.5 %","41.5 %","25.9 %","22.2 %","49.3 %","24.6 %","26.1 %","41.3 %","61","196","257","sa502962"
"Junior Rodriguez","Rays (R)","23","118",".324","1.52","8.1 %","55.4 %","36.5 %","18.5 %","22.2 %","52.0 %","20.0 %","28.0 %","28.8 %","79","164","243","sa558066"
"Josh Bell","Orioles (AAA)","24","438",".310","1.44","23.6 %","45.1 %","31.3 %","11.6 %","22.1 %","50.0 %","22.5 %","27.5 %","12.8 %","670","1016","1686","2510"
"Willis Otanez","Mexican (AAA)","38","401",".347","1.30","21.0 %","44.7 %","34.4 %","20.0 %","22.0 %","47.5 %","22.6 %","30.0 %","10.8 %","596","806","1402","sa8218"
"Brent Clevlen","- - -","27","230",".389","1.51","25.9 %","44.6 %","29.5 %","17.1 %","22.0 %","42.1 %","23.6 %","34.3 %","19.7 %","238","412","650","4863"
"Chris Jacobs","Dodgers (A)","22","253",".355","1.15","20.8 %","42.3 %","36.9 %","16.4 %","21.8 %","36.4 %","28.6 %","35.1 %","29.1 %","159","363","522","sa389213"
"Jesse Gutierrez","Mexican (AAA)","33","457",".334","1.21","17.7 %","45.0 %","37.2 %","26.6 %","21.8 %","59.2 %","22.5 %","18.3 %","7.7 %","694","1010","1704","sa200183"
"Miguel Sano","Twins (R)","18","294",".339","0.63","18.9 %","31.4 %","49.7 %","19.6 %","21.7 %","47.6 %","26.7 %","25.7 %","36.0 %","123","438","561","12164"
"Juan Miranda","Diamondbacks (AAA)","28","126",".297","1.13","27.9 %","38.2 %","33.8 %","26.1 %","21.7 %","60.9 %","15.9 %","23.2 %","9.9 %","228","285","513","7783"
"Victor Mendez","Mexican (AAA)","31","104",".386","1.17","19.4 %","43.5 %","37.1 %","26.1 %","21.7 %","58.1 %","17.7 %","24.2 %","11.0 %","175","227","402","sa207149"
"Carlos Rodriguez","- - -","29","193",".346","1.07","15.2 %","43.8 %","41.1 %","26.1 %","21.7 %","52.2 %","18.3 %","29.6 %","14.1 %","292","489","781","sa509441"
"John Lindsey","Dodgers (AAA)","34","270",".363","1.27","17.6 %","46.1 %","36.4 %","20.0 %","21.7 %","46.8 %","28.3 %","24.9 %","13.0 %","388","595","983","2279"
"Calvin Anderson","Pirates (A+)","24","251",".366","0.97","15.7 %","41.4 %","42.9 %","21.7 %","21.7 %","47.2 %","20.8 %","31.9 %","39.0 %","106","409","515","sa455189"
"Kalian Sams","- - -","24","420",".275","0.90","15.9 %","39.8 %","44.2 %","23.4 %","21.6 %","48.5 %","21.7 %","29.8 %","37.6 %","180","665","845","sa381343"
"Andrew Edge","Dodgers (R)","23","168",".464","0.76","13.3 %","37.3 %","49.3 %","10.8 %","21.6 %","51.3 %","23.1 %","25.6 %","50.8 %","44","328","372","sa549791"
"Kyle Jensen","- - -","23","534",".365","1.07","21.9 %","40.4 %","37.7 %","9.5 %","21.4 %","42.8 %","25.2 %","32.0 %","23.0 %","369","855","1224","7706"
"Lars Davis","Rockies (AA)","25","181",".302","2.18","19.8 %","55.0 %","25.2 %","14.3 %","21.4 %","48.3 %","20.2 %","31.6 %","11.8 %","259","428","687","sa390233"
"Maxwell Leon","Mexican (AAA)","27","243",".376","1.02","16.4 %","42.1 %","41.5 %","16.7 %","21.2 %","46.2 %","26.0 %","27.8 %","8.4 %","363","533","896","sa326041"
"Refugio Cervantes","Mexican (AAA)","32","428",".365","1.08","24.5 %","39.3 %","36.2 %","24.6 %","21.2 %","47.3 %","24.4 %","28.3 %","9.5 %","523","917","1440","sa185724"
"Andres Torres","Giants (AAA)","33","62",".289","0.63","24.4 %","29.3 %","46.3 %","36.8 %","21.1 %","47.6 %","28.6 %","23.8 %","8.8 %","100","151","251","1488"
"Blake Smith","- - -","23","352",".352","0.92","18.0 %","39.2 %","42.8 %","6.3 %","21.1 %","46.6 %","25.2 %","28.2 %","29.2 %","163","502","665","9780"
"Bill Rhinehart","- - -","26","460",".296","0.89","16.6 %","39.2 %","44.2 %","15.8 %","21.1 %","51.1 %","23.0 %","25.9 %","13.1 %","615","917","1532","sa389695"
"Roidany Aguila","- - -","20","218",".281","1.23","14.2 %","47.3 %","38.5 %","22.8 %","21.1 %","47.4 %","19.1 %","33.6 %","33.9 %","79","308","387","sa502028"
"Wander Ramos","Nationals (R)","21","172",".370","0.51","14.9 %","28.7 %","56.4 %","24.6 %","21.1 %","45.2 %","28.9 %","26.0 %","29.6 %","102","253","355","sa507032"
"Daniel Carranza","Tigers (R)","18","112",".333","0.95","28.8 %","34.6 %","36.5 %","15.8 %","21.1 %","48.1 %","26.9 %","25.0 %","62.2 %","28","213","241","sa546562"
"James Wood","Mariners (A-)","23","249",".353","1.79","16.1 %","53.8 %","30.1 %","7.0 %","20.9 %","41.2 %","19.6 %","39.2 %","34.8 %","123","389","512","sa549883"
"Ryan Langerhans","- - -","31","426",".368","0.81","22.6 %","34.7 %","42.7 %","13.2 %","20.8 %","46.6 %","24.9 %","28.5 %","10.4 %","794","960","1754","98"
"Jerry Sands","Dodgers (AAA)","23","418",".282","0.69","17.5 %","33.6 %","49.0 %","12.9 %","20.7 %","34.0 %","24.7 %","41.2 %","9.8 %","653","977","1630","4016"
"Efrain Nunez","Mariners (R)","20","168",".389","1.55","22.9 %","46.9 %","30.2 %","17.2 %","20.7 %","46.1 %","21.6 %","32.4 %","38.5 %","74","251","325","sa502612"
"Roberto Reyes","- - -","20","107",".254","0.93","15.2 %","40.9 %","43.9 %","20.7 %","20.7 %","50.7 %","11.6 %","37.7 %","39.7 %","21","173","194","sa555253"
"O'Koyea Dickson","Dodgers (R)","21","215",".373","0.94","15.9 %","40.7 %","43.4 %","11.1 %","20.6 %","35.1 %","27.7 %","37.2 %","22.0 %","122","291","413","12677"
"Bill Hall","Giants (AAA)","31","125",".333","0.91","17.7 %","39.2 %","43.0 %","20.6 %","20.6 %","38.8 %","28.8 %","32.5 %","11.2 %","212","298","510","1605"
"Ian Gac","White Sox (A+)","25","587",".323","0.91","17.0 %","39.5 %","43.5 %","14.9 %","20.5 %","53.6 %","23.3 %","23.1 %","31.5 %","303","857","1160","sa244078"
"Gary Sanchez","Yankees (A)","18","343",".308","1.12","14.1 %","45.4 %","40.5 %","13.3 %","20.5 %","45.3 %","21.7 %","33.0 %","30.1 %","182","515","697","11442"
"Eric Duncan","Cardinals (AA)","26","385",".288","1.06","18.1 %","42.1 %","39.9 %","15.7 %","20.4 %","50.9 %","25.1 %","24.0 %","12.3 %","536","882","1418","sa243993"
"Adam Milligan","Braves (A+)","23","259",".380","1.37","13.0 %","50.3 %","36.6 %","6.8 %","20.3 %","47.2 %","26.4 %","26.4 %","38.2 %","93","399","492","sa328331"
"Brian Rike","Rockies (AA)","25","279",".352","0.75","26.3 %","31.6 %","42.1 %","18.8 %","20.3 %","40.7 %","29.7 %","29.7 %","16.9 %","419","691","1110","sa390311"
"Sean Buckley","Reds (R)","21","258",".364","0.70","23.0 %","31.6 %","45.4 %","5.8 %","20.3 %","43.5 %","31.8 %","24.7 %","32.1 %","120","379","499","sa455548"
"Eric Arce","- - -","19","227",".291","0.41","20.5 %","23.0 %","56.6 %","11.6 %","20.3 %","58.1 %","23.4 %","18.6 %","25.1 %","196","298","494","sa549762"
"Yazy Arbelo","Diamondbacks (A)","23","549",".304","0.71","13.6 %","35.8 %","50.7 %","15.7 %","20.3 %","47.1 %","25.2 %","27.8 %","35.9 %","353","835","1188","sa549324"
"Bryce Brentz","- - -","22","507",".347","1.00","12.6 %","43.7 %","43.7 %","14.8 %","20.1 %","46.3 %","23.6 %","30.2 %","30.1 %","228","728","956","10607"
"Mark Canha","Marlins (A)","22","455",".288","1.02","14.5 %","43.2 %","42.2 %","21.6 %","20.0 %","49.7 %","17.7 %","32.7 %","24.3 %","285","586","871","11445"
"Ivan Rodriguez","- - -","39","13",".200","1.20","0.0 %","54.5 %","45.5 %","0.0 %","20.0 %","45.5 %","27.3 %","27.3 %","6.7 %","16","29","45","1275"
"Orlando Hudson","- - -","33","20",".600","0.80","18.2 %","36.4 %","45.5 %","0.0 %","20.0 %","18.2 %","36.4 %","45.5 %","2.6 %","48","28","76","1307"
"Joe Mauer","Twins (A+)","28","27",".238","2.80","9.5 %","66.7 %","23.8 %","0.0 %","20.0 %","45.5 %","22.7 %","31.8 %","9.5 %","16","26","42","1857"
