"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Zach Braddock","Brewers (AA)","21","1","0.0 %","0.0 %","0.00","1.000","1.000","4.000","5.000","3.000","0.1",".000","0.0","2","1.4","2.153","1321","4553"
"Heath Phillips","Royals (AAA)","27","2","0.0 %","0.0 %","0.00","1.000","1.000","2.000","3.000","1.000","2.6","1.000","0.0","2","1.6","1.270","715","3396"
"Derrick Gordon","Athletics (A+)","25","1","0.0 %","0.0 %","0.00","1.000","1.000","2.000","3.000","1.000","0.1","1.000","0.0","1","0.8","1.269","697","sa327810"
"Ernesto Martes","Tigers (R)","19","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","0.0","1","0.5",".988","475","sa506673"
"Adrian Aviles","Dodgers (R)","20","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".947","461","sa502967"
"Tim Lavigne","Mexican (AAA)","30","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".935","464","sa199008"
"Colin Lynch","Padres (A)","23","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".934","489","sa455296"
"Steve Smith","Indians (A)","23","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".931","496","sa455491"
"Leyson Septimo","Diamondbacks (AA)","23","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".928","501","341"
"Stephen Marek","- - -","25","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".928","501","sa288780"
"Derrik Lutz","Reds (AA)","24","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".928","501","sa328064"
"Reid Mahon","- - -","26","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","0.0","1","0.5",".928","501","sa328524"
"Richard Sullivan","Braves (AA)","22","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".928","501","sa455170"
"Luke Scott","Orioles (A)","31","6","33.3 %","0.0 %","2.00",".750",".833","1.500","2.333",".750","0.1",".667","0.0","3","2.7",".914","485","3469"
"Eddie Kunz","Mets (AAA)","23","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".910","500","2862"
"Ariel Soriano","Rays (R)","17","2","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","0.0","1","0.8",".901","425","sa506091"
"Miguel Sosa","Diamondbacks (R)","18","3","0.0 %","33.3 %","0.00",".667",".667","1.000","1.667",".333","2.6","1.000","0.0","1","1.0",".792","362","sa3001860"
"Eduardo Sanchez","Cardinals (AA)","20","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","2.6",".000","0.0","0","0.3",".739","358","2966"
"Austin Chambliss","Rockies (AA)","22","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".739","358","sa390257"
"Jason Thompson","Red Sox (R)","18","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".736","366","sa501662"
"Francisley Bueno","Braves (AAA)","28","4","0.0 %","25.0 %","0.00",".667",".667","1.000","1.667",".333","2.6","1.000","0.0","2","1.3",".734","380","5980"
"Ben Julianel","Rockies (AAA)","29","4","0.0 %","25.0 %","0.00",".667",".667","1.000","1.667",".333","0.1","1.000","0.0","2","1.3",".727","357","sa200186"
"Scott Maine","- - -","24","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".726","366","885"
"Todd Doolittle","Marlins (AA)","26","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".726","366","sa294728"
"Rich Harden","Cubs (AAA)","27","2","50.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","2.6",".000","0.0","1","0.6",".726","356","1772"
"Roy Corcoran","Astros (AAA)","29","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".726","356","1780"
"Connor Robertson","- - -","27","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".724","365","7705"
"Mike Zagurski","Phillies (AA)","26","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".724","365","9683"
"David Ross","Braves (A)","32","7","14.3 %","14.3 %","1.00",".500",".571","1.000","1.571",".500","0.1",".500","0.0","3","1.9",".680","332","1551"
