"Name","Team","Age","PA","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Ryan Rua","Rangers (AAA)","26","16",".545","6.00","41.7 %","50.0 %","8.3 %","0.0 %","100.0 %","58.3 %","25.0 %","16.7 %","9.1 %","22","33","55","12409"
"Edwin Jackson","Padres (AAA)","32","4","1.000","0.00","50.0 %","0.0 %","50.0 %","0.0 %","100.0 %","50.0 %","50.0 %","0.0 %","8.3 %","3","9","12","1841"
"Hyun Soo Kim","Orioles (AA)","28","7",".250","3.00","20.0 %","60.0 %","20.0 %","0.0 %","100.0 %","80.0 %","20.0 %","0.0 %","10.0 %","6","14","20","18718"
"Tim Dillard","Brewers (AAA)","32","5",".500","2.00","0.0 %","66.7 %","33.3 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","15.4 %","3","10","13","5518"
"Logan Forsythe","Rays (AAA)","29","7",".250","1.00","60.0 %","20.0 %","20.0 %","100.0 %","100.0 %","20.0 %","60.0 %","20.0 %","0.0 %","13","11","24","7185"
"Eloy Gutierrez","Mexican (AAA)","31","17",".500","3.00","40.0 %","60.0 %","0.0 %","0.0 %","100.0 %","20.0 %","60.0 %","20.0 %","15.2 %","29","37","66","sa295198"
"Juan Carlos Garcia","Mexican (AAA)","23","6",".000","4.00","0.0 %","80.0 %","20.0 %","0.0 %","100.0 %","60.0 %","20.0 %","20.0 %","15.0 %","7","13","20","sa652681"
"Yoel Vasquez","- - -","19","39",".188","12.00","13.3 %","80.0 %","6.7 %","0.0 %","100.0 %","61.1 %","22.2 %","16.7 %","17.9 %","43","80","123","sa840194"
"Christian Casas","Mexican (AAA)","19","8",".000","1.00","0.0 %","50.0 %","50.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","28.1 %","10","22","32","sa879195"
"Francisco Estolano","Mexican (AAA)","19","9",".000","2.00","0.0 %","66.7 %","33.3 %","0.0 %","100.0 %","66.7 %","33.3 %","0.0 %","18.8 %","10","22","32","sa881082"
