"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Brandon Cunniff","- - -","27","12","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","11509"
"Steven Okert","Giants (AAA)","24","23","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","13580"
"Eddie Gamboa","Rays (AAA)","31","1","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","6911"
"Juan Omar Espinoza","Mexican (AAA)","32","1","1","2","1","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","1.000","sa508498"
"Daniel Gibson","- - -","24","30","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa549733"
"Corey Littrell","- - -","24","27","2","4","2","2","0","0","0","0","1","0","0","0","0","0","2","0","0","0","1.000","sa550166"
"David Roseboom","Mets (AA)","24","26","1","2","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1.000","sa550321"
"Corey Black","- - -","24","28","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa658004"
"Blake McKnight","Cardinals (AA)","25","3","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa738934"
"Tyler Nevin","Rockies (A-)","19","1","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","sa874752"
"Kevin Pillar","Blue Jays (A+)","27","2","7","9","6","5","1","0","0","3","2","0","0","0","2","0","0","0","0","0",".857","12434"
"Phil McCormick","- - -","27","12","4","4","3","2","1","0","0","0","2","0","0","1","0","0","0","0","0","0",".750","sa598568"
"Yangervis Solarte","Padres (AAA)","28","2","7","9","5","2","1","2","0","3","2","2","0","0","0","0","0","1","0","0",".714","5352"
"Mike Kickham","Giants (AA)","27","6","3","3","2","1","0","1","0","1","0","0","0","1","0","0","0","0","0","0",".667","11618"
"Nick Kingham","Pirates (AA)","24","2","3","5","2","1","1","0","0","0","1","2","0","0","0","0","0","0","0","0",".667","11694"
"Edwin Jackson","Padres (AAA)","32","3","3","4","2","0","1","0","1","2","1","0","0","1","0","0","1","0","0","0",".667","1841"
"Chase Huchingson","Mets (AAA)","27","11","3","3","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".667","sa455464"
"Joc Pederson","Dodgers (AAA)","24","3","8","12","5","5","0","0","0","1","0","4","0","1","0","0","0","0","0","0",".625","11899"
"Jeyner Baez","Nationals (R)","20","6","20","24","11","7","4","0","0","4","4","3","0","1","0","1","0","1","1","0",".550","sa828411"
"Chris Owings","- - -","24","7","23","27","12","9","1","1","1","9","6","4","0","4","0","0","0","0","1","1",".522","10030"
"Dae-Ho Lee","Mariners (AAA)","34","7","27","29","14","8","4","0","2","3","6","2","0","2","0","0","0","0","0","0",".519","18722"
"Dean Kiekhefer","Cardinals (AAA)","27","15","2","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","10529"
"Jake Dunning","Giants (AAA)","27","31","4","5","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0",".500","10803"
"Nick Tepesch","Dodgers (AAA)","27","1","4","4","2","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0",".500","11716"
"Ryan Rua","Rangers (AAA)","26","4","14","16","7","6","0","0","1","2","2","2","0","2","0","0","0","1","0","1",".500","12409"
"Alex Rodriguez","Yankees (AA)","40","2","6","6","3","2","0","0","1","1","3","0","0","0","0","0","0","0","0","0",".500","1274"
"Nomar Mazara","Rangers (AAA)","21","3","12","13","6","5","0","0","1","4","4","1","0","1","0","0","0","1","0","0",".500","14553"
"Kyle Lobstein","Pirates (AAA)","26","5","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","9178"
"Rob Scahill","- - -","29","8","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","9286"
"Steve Clevenger","- - -","30","3","8","9","4","3","1","0","0","0","0","1","0","0","0","0","0","1","0","0",".500","9542"
"Braulio Lara","Giants (AAA)","27","15","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","sa506176"
"Michael Dimock","Padres (AAA)","26","16","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","sa526011"
"Tom Windle","Phillies (AA)","24","8","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","sa549785"
"Wes Parsons","Braves (AA)","23","1","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","sa736026"
"Jake Sweaney","Phillies (A-)","21","2","6","8","3","2","1","0","0","1","2","1","0","1","1","0","0","0","1","0",".500","sa737784"
"Pedro Ventura","Mets (R)","19","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","sa872521"
"Jibran Castro","Mexican (AAA)","20","7","8","8","4","3","1","0","0","1","2","0","0","2","0","0","0","0","0","0",".500","sa914045"
"Carlos Alejo","Dodgers (R)","16","1","4","4","2","1","0","0","1","1","2","0","0","0","0","0","0","0","0","0",".500","sa919033"
"Chris Coghlan","- - -","31","10","33","38","16","9","7","0","0","6","7","5","0","3","0","0","0","0","0","0",".485","6878"
"Ryan Zimmerman","- - -","31","6","24","25","11","7","1","1","2","7","8","1","0","7","0","0","0","0","0","0",".458","4220"
"Hansel Jimenez","Orioles (R)","19","5","11","12","5","5","0","0","0","1","3","0","0","2","0","1","0","0","1","1",".455","sa872447"
"Chris Reed","- - -","26","13","9","11","4","3","1","0","0","1","1","0","0","4","0","0","2","0","0","0",".444","12801"
"Abraham Almonte","Indians (AAA)","27","7","27","33","12","8","2","1","1","6","4","5","0","4","1","0","0","1","2","0",".444","5486"
"A.J. Pierzynski","Braves (R)","39","3","9","11","4","3","1","0","0","3","1","2","0","2","0","0","0","0","0","0",".444","746"
"Yan Gomes","Indians (AA)","28","3","9","10","4","3","1","0","0","3","2","1","0","2","0","0","0","0","0","0",".444","9627"
"Kolten Wong","Cardinals (AAA)","25","7","28","34","12","7","0","1","4","10","11","4","0","6","2","0","0","1","1","0",".429","12532"
"Steve Pearce","Rays (A+)","33","2","7","8","3","2","1","0","0","2","0","1","0","0","0","0","0","0","0","0",".429","9957"
"Bo Bichette","Blue Jays (R)","18","22","82","91","35","20","9","2","4","21","36","6","0","17","0","3","0","1","3","0",".427","sa917949"
"A.J. Pollock","- - -","28","12","40","47","17","9","5","0","3","11","12","7","0","2","0","0","0","0","2","1",".425","9256"
"Michael Conforto","Mets (AAA)","23","33","128","144","54","35","8","2","9","30","28","13","0","18","2","0","0","3","2","2",".422","16376"
"Ryan Flaherty","Orioles (AAA)","29","5","19","22","8","7","1","0","0","3","1","3","0","5","0","0","0","0","0","0",".421","7888"
"Mallex Smith","- - -","23","8","31","36","13","9","2","2","0","9","4","4","0","8","1","0","0","0","4","1",".419","13608"
"Hunter Pence","Giants (AAA)","33","7","24","25","10","5","2","0","3","6","7","0","0","3","1","0","0","2","0","0",".417","8252"
"Israel Nunez","- - -","30","13","32","35","13","11","1","0","1","4","7","1","0","3","0","1","1","0","0","0",".406","sa392885"
"Kevin Kiermaier","- - -","26","3","5","8","2","1","1","0","0","2","0","3","0","1","0","0","0","0","0","0",".400","11038"
"Kelvin Marte","Pirates (AAA)","28","13","5","7","2","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0",".400","5200"
"Francisco Cervelli","Pirates (AAA)","30","3","10","13","4","3","1","0","0","1","1","3","0","2","0","0","0","0","0","0",".400","5275"
"Tim Dillard","Brewers (AAA)","32","15","5","5","2","1","0","0","1","3","2","0","0","2","0","0","0","0","0","0",".400","5518"
"Logan Forsythe","Rays (AAA)","29","2","5","7","2","1","0","0","1","1","1","1","0","0","1","0","0","1","1","0",".400","7185"
"Daniel Descalso","Rockies (AAA)","29","4","15","18","6","5","1","0","0","1","1","3","0","2","0","0","0","1","0","1",".400","8392"
"Jeff Glenn","Mets (AAA)","24","6","5","5","2","1","0","0","1","1","3","0","0","2","0","0","0","0","0","0",".400","sa501590"
"Jorge Martinez","Mets (R)","19","2","5","6","2","2","0","0","0","2","0","1","0","1","0","0","0","0","0","0",".400","sa917117"
"Angel Linares","Rangers (R)","18","20","35","39","14","13","1","0","0","5","4","2","0","7","2","0","0","0","1","1",".400","sa917638"
"Andres Vizcarra","Mexican (AAA)","19","7","5","5","2","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".400","sa929989"
"Shin-Soo Choo","- - -","33","9","31","36","12","9","2","0","1","2","5","4","0","7","1","0","0","0","1","2",".387","3174"
"Bobby Dalbec","Red Sox (A-)","21","34","132","143","51","29","13","2","7","25","33","9","0","33","1","1","0","4","2","2",".386","sa857701"
"Jose Lobaton","Nationals (AAA)","31","3","13","14","5","5","0","0","0","1","1","1","0","6","0","0","0","0","1","0",".385","4243"
"Avisail Garcia","White Sox (AAA)","25","3","13","14","5","3","1","0","1","2","4","1","0","3","0","0","0","0","0","0",".385","5760"
"Andrison Pena","Rangers (R)","19","39","117","136","45","26","14","3","2","26","27","14","0","12","3","1","1","3","7","4",".385","sa917278"
"Cesar Tapia","Mexican (AAA)","33","89","334","369","128","77","30","0","21","64","94","27","1","37","4","4","0","4","13","4",".383","sa508485"
"Alex Dickerson","Padres (AAA)","26","62","217","241","83","54","16","3","10","50","51","14","6","27","5","4","0","7","0","0",".382","12649"
"Andrew Calica","- - -","22","50","178","216","68","49","10","6","3","34","32","17","2","27","17","3","1","2","15","4",".382","sa658329"
"Ryan Krill","- - -","23","18","58","70","22","14","5","0","3","13","15","9","0","11","2","1","0","1","1","0",".379","sa599530"
"Adrian Gutierrez","Mexican (AAA)","25","22","29","37","11","8","3","0","0","4","1","7","0","10","1","0","0","0","0","0",".379","sa659509"
"Franklin Rollin","Rangers (R)","20","61","247","280","93","66","12","11","4","64","36","23","1","26","6","1","3","2","36","13",".377","sa827951"
"Meibrys Viloria","Royals (R)","19","58","226","259","85","48","28","3","6","54","55","20","0","36","8","5","0","8","1","1",".376","sa830182"
"Jose Iglesias","Tigers (AAA)","26","4","16","16","6","4","1","0","1","2","1","0","0","0","0","0","0","0","0","0",".375","10231"
"Evan Gattis","Astros (AA)","29","11","40","42","15","8","2","0","5","8","10","1","1","4","1","0","0","1","0","0",".375","11003"
"Lorenzo Cain","Royals (AAA)","30","2","8","8","3","3","0","0","0","0","0","0","0","1","0","0","0","1","0","0",".375","9077"
"Tucker Neuhaus","- - -","21","12","40","44","15","11","2","2","0","6","5","3","0","11","1","0","0","1","0","2",".375","sa737623"
"Keibert Ruiz","- - -","17","56","222","245","83","56","22","3","2","33","48","15","0","27","3","5","0","5","0","0",".374","sa872528"
"Ruben Sosa","Mexican (AAA)","25","70","259","314","96","72","12","10","2","67","29","41","1","47","4","4","6","4","22","6",".371","sa599247"
"Juan Soto","- - -","17","51","190","207","70","48","14","3","5","28","32","17","0","29","0","0","0","1","5","2",".368","20123"
"Ryan Kalish","Cubs (AAA)","28","21","57","70","21","15","4","2","0","15","4","10","0","9","2","1","0","0","3","1",".368","6962"
"Kal Simmons","Diamondbacks (R)","22","16","49","54","18","11","5","0","2","13","9","5","0","12","0","0","0","0","1","2",".367","sa857755"
"Jose Gomez","Rockies (R)","19","66","267","304","98","79","14","2","3","54","51","23","1","24","6","2","6","7","23","13",".367","sa828331"
"Gordon Beckham","- - -","29","9","30","36","11","6","4","0","1","5","5","5","0","5","0","1","0","0","0","0",".367","9015"
"Carl Crawford","- - -","34","3","11","13","4","2","2","0","0","1","3","1","0","2","0","0","0","0","0","0",".364","1201"
"Angel Pagan","Giants (AAA)","34","3","11","11","4","3","1","0","0","0","2","0","0","4","0","0","0","0","1","0",".364","2918"
"J.J. Hardy","Orioles (AA)","33","3","11","12","4","4","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".364","3797"
"Alex Gordon","- - -","32","6","22","27","8","6","1","0","1","3","5","5","0","6","0","0","0","0","0","0",".364","5209"
"Eduardo Escobar","Twins (A+)","27","3","11","12","4","2","1","1","0","1","0","1","0","1","0","0","0","0","0","0",".364","6153"
"Mario Valenzuela","Mexican (AAA)","39","35","121","128","44","30","7","0","7","22","34","6","0","22","0","1","0","1","0","1",".364","sa206418"
"Wilmer Dominguez","- - -","25","5","11","12","4","3","1","0","0","1","1","0","0","3","0","1","0","1","0","0",".364","sa504988"
"Jake Wakamatsu","Royals (R)","24","3","11","11","4","4","0","0","0","2","1","0","0","2","0","0","0","0","0","0",".364","sa948929"
"Allen Cordoba","Cardinals (R)","20","50","196","220","71","50","16","5","0","49","18","21","0","19","2","1","0","3","22","4",".362","15722"
"Yanier Herrera","Mexican (AAA)","23","16","58","62","21","15","4","0","2","11","5","4","0","16","0","0","0","0","1","2",".362","sa921338"
"Eric Filia","- - -","23","69","247","294","89","65","19","1","4","44","46","40","0","19","3","3","1","5","10","5",".360","sa827359"
"Jesus Monserratt","Athletics (R)","19","25","75","90","27","26","0","1","0","4","6","11","0","9","4","0","0","1","2","0",".360","sa828449"
"Carlos Perez","Angels (AAA)","25","10","39","40","14","7","4","0","3","9","10","1","0","7","0","0","0","1","0","2",".359","10642"
