"Name","Team","Age","PA","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Daniel Carroll","- - -","19","362",".309","2.08","12.1 %","59.3 %","28.5 %","16.4 %","1.6 %","41.1 %","21.9 %","37.1 %","33.9 %","109","541","650","sa390372"
"Fidel Hernandez","Phillies (A+)","22","459",".266","1.54","17.7 %","49.9 %","32.5 %","17.9 %","1.6 %","36.1 %","27.1 %","36.9 %","13.0 %","100","522","622","sa293865"
"Chase d'Arnaud","Pirates (A-)","21","183",".338","0.89","13.3 %","40.7 %","45.9 %","16.1 %","1.6 %","45.0 %","22.1 %","32.9 %","22.8 %","54","231","285","6652"
"Bryan Pritz","- - -","26","206",".297","0.82","24.7 %","34.0 %","41.3 %","19.4 %","1.6 %","50.0 %","19.2 %","30.8 %","12.6 %","205","446","651","sa262286"
"Argenis Mata","Blue Jays (R)","22","256",".260","1.21","10.5 %","49.0 %","40.5 %","11.3 %","1.6 %","41.6 %","31.3 %","27.1 %","23.6 %","155","298","453","sa3001289"
"Ramon Puello","Braves (R)","19","211",".311","1.03","13.1 %","44.1 %","42.8 %","25.8 %","1.6 %","51.0 %","26.8 %","22.2 %","38.0 %","68","364","432","sa3001694"
"Robi Estrada","Rays (A-)","19","280",".302","1.56","15.9 %","51.3 %","32.8 %","12.9 %","1.6 %","42.3 %","18.6 %","39.2 %","24.4 %","134","353","487","sa328059"
"Marinus Vernooij","Mets (R)","19","221",".275","1.13","4.3 %","50.7 %","44.9 %","17.7 %","1.6 %","49.0 %","27.3 %","23.8 %","33.9 %","76","314","390","sa503684"
"Darren Ford","- - -","22","556",".307","1.33","12.5 %","49.9 %","37.6 %","29.4 %","1.6 %","46.3 %","30.6 %","23.1 %","24.6 %","306","749","1055","109"
"Callix Crabbe","Brewers (AAA)","25","254",".325","1.11","18.4 %","42.9 %","38.7 %","17.5 %","1.6 %","40.9 %","26.9 %","32.2 %","6.8 %","460","581","1041","4448"
"Hector Garcia","Mexican (AAA)","35","340",".274","2.83","14.8 %","62.9 %","22.3 %","12.7 %","1.6 %","29.9 %","28.2 %","41.9 %","4.5 %","392","713","1105","sa185491"
"Drew Cumberland","- - -","19","237",".330","1.37","18.1 %","47.3 %","34.6 %","15.9 %","1.6 %","44.8 %","25.5 %","29.7 %","17.2 %","90","276","366","sa389927"
"Nestor Santana","Astros (R)","18","229",".312","1.14","11.2 %","47.4 %","41.4 %","23.8 %","1.6 %","46.9 %","22.5 %","30.6 %","21.6 %","107","287","394","sa503661"
"Henry Pena","Yankees (R)","17","225",".244","0.65","8.8 %","36.0 %","55.3 %","20.6 %","1.6 %","43.0 %","25.8 %","31.3 %","34.6 %","142","320","462","sa505518"
"Kevyn Feiner","Reds (A)","21","291",".291","1.78","12.7 %","55.9 %","31.4 %","26.6 %","1.6 %","38.3 %","25.2 %","36.5 %","28.5 %","73","393","466","sa294419"
"Hector Osuna","Marlins (R)","17","207",".280","1.06","12.6 %","45.0 %","42.4 %","28.1 %","1.6 %","44.9 %","26.0 %","29.1 %","21.9 %","73","252","325","sa3001801"
"Jake Eigsti","- - -","24","258",".263","1.56","12.8 %","53.2 %","34.0 %","18.8 %","1.6 %","42.7 %","23.6 %","33.7 %","16.0 %","86","332","418","sa328431"
"Jordan Pacheco","Rockies (A-)","22","251",".299","1.28","24.1 %","42.6 %","33.3 %","23.1 %","1.5 %","45.5 %","23.7 %","30.8 %","12.1 %","119","261","380","2677"
"Edwin Wilson","Orioles (R)","18","231",".266","0.98","13.4 %","43.0 %","43.6 %","12.3 %","1.5 %","41.0 %","31.4 %","27.6 %","27.4 %","98","293","391","sa3001635"
"Sean Rooney","Nationals (A)","22","276",".369","1.52","22.3 %","46.9 %","30.8 %","10.8 %","1.5 %","38.7 %","29.0 %","32.3 %","25.2 %","71","342","413","sa327039"
"Jason White","- - -","24","422",".332","2.48","11.0 %","63.4 %","25.6 %","12.3 %","1.5 %","43.1 %","23.4 %","33.6 %","28.8 %","185","583","768","sa389789"
"Eder Salcedo","Mexican (AAA)","25","297",".312","1.65","22.2 %","48.4 %","29.4 %","20.0 %","1.5 %","40.8 %","25.6 %","33.6 %","8.0 %","324","692","1016","sa508062"
"Jason Ellison","Rangers (AAA)","30","556",".279","1.47","17.8 %","49.0 %","33.2 %","23.7 %","1.5 %","46.3 %","18.4 %","35.3 %","4.6 %","896","1284","2180","1704"
"Jerry Owens","White Sox (AAA)","27","398",".321","2.45","22.2 %","55.3 %","22.5 %","16.7 %","1.5 %","39.5 %","24.3 %","36.2 %","5.7 %","548","935","1483","6002"
