"Name","Team","Age","PA","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Yoenis Cespedes","Athletics (AAA)","27","11",".400","4.00","16.7 %","66.7 %","16.7 %","0.0 %","100.0 %","42.9 %","42.9 %","14.3 %","14.6 %","24","24","48","13110"
"Shane Victorino","Red Sox (AAA)","32","4",".500","2.00","0.0 %","66.7 %","33.3 %","0.0 %","100.0 %","66.7 %","33.3 %","0.0 %","7.1 %","4","10","14","1677"
"Dan Uggla","Braves (AAA)","33","7",".500","1.00","33.3 %","33.3 %","33.3 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","7.4 %","8","19","27","3442"
"Erick Aybar","Angels (AAA)","29","5",".250","2.00","40.0 %","40.0 %","20.0 %","0.0 %","100.0 %","60.0 %","20.0 %","20.0 %","0.0 %","4","12","16","4082"
"Henderson Alvarez","Marlins (AA)","23","6",".500","1.00","66.7 %","33.3 %","0.0 %","0.0 %","100.0 %","66.7 %","0.0 %","33.3 %","53.9 %","1","12","13","5669"
"Kyle Cofield","Dodgers (AA)","26","4",".667","2.00","25.0 %","50.0 %","25.0 %","0.0 %","100.0 %","25.0 %","75.0 %","0.0 %","0.0 %","6","7","13","sa290212"
"Pablo Sandoval","Giants (A+)","26","6",".500","0.67","16.7 %","33.3 %","50.0 %","0.0 %","66.7 %","50.0 %","50.0 %","0.0 %","0.0 %","0","8","8","5409"
"Carlos Alvarez","Nationals (R)","27","7",".000","0.33","0.0 %","25.0 %","75.0 %","0.0 %","66.7 %","75.0 %","0.0 %","25.0 %","21.1 %","8","11","19","sa507022"
"James Simmons","Mexican (AAA)","27","226",".437","2.15","18.8 %","55.4 %","25.7 %","3.8 %","53.8 %","40.2 %","33.3 %","26.5 %","21.0 %","355","606","961","sa326261"
"Mitch Moreland","Rangers (AA)","27","12",".500","2.00","45.5 %","36.4 %","18.2 %","0.0 %","50.0 %","45.5 %","27.3 %","27.3 %","9.8 %","15","36","51","3086"
"Domonic Brown","Phillies (A)","25","5",".500","1.00","20.0 %","40.0 %","40.0 %","0.0 %","50.0 %","60.0 %","0.0 %","40.0 %","12.5 %","2","6","8","3154"
"Matt Perry","Tigers (A)","25","16",".000","3.50","0.0 %","77.8 %","22.2 %","0.0 %","50.0 %","22.2 %","33.3 %","44.4 %","21.3 %","14","33","47","sa526885"
"A.J. Kubala","Athletics (R)","19","80",".261","1.22","20.0 %","44.0 %","36.0 %","11.1 %","44.4 %","78.6 %","14.3 %","7.1 %","48.8 %","46","157","203","sa738948"
"Eric Arce","Blue Jays (R)","21","39",".267","1.29","5.9 %","52.9 %","41.2 %","28.6 %","42.9 %","50.0 %","38.9 %","11.1 %","24.7 %","31","62","93","sa549762"
