"Name","Team","Age","PA","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Jordan Poole","- - -","21","80",".433","2.29","28.1 %","50.0 %","21.9 %","14.3 %","42.9 %","41.2 %","20.6 %","38.2 %","44.5 %","33","158","191","sa658317"
"Brian McCann","- - -","29","26",".250","0.80","10.0 %","40.0 %","50.0 %","20.0 %","40.0 %","50.0 %","30.0 %","20.0 %","17.9 %","28","39","67","4810"
"Felix Lora","Indians (R)","20","17",".429","0.80","0.0 %","44.4 %","55.6 %","20.0 %","40.0 %","66.7 %","11.1 %","22.2 %","32.4 %","6","28","34","sa596907"
"Justin Marra","Cubs (A-)","20","96",".265","1.44","23.5 %","45.1 %","31.4 %","18.8 %","37.5 %","56.4 %","16.4 %","27.3 %","33.5 %","52","151","203","sa599240"
"Luis Terrero","Mexican (AAA)","33","319",".418","1.05","23.4 %","39.2 %","37.3 %","20.5 %","34.6 %","43.3 %","28.1 %","28.6 %","11.6 %","435","692","1127","1765"
"Alberto Callaspo","Angels (A+)","30","10",".167","1.00","14.3 %","42.9 %","42.9 %","0.0 %","33.3 %","28.6 %","57.1 %","14.3 %","15.8 %","9","10","19","3336"
"Lance Berkman","- - -","37","14",".375","1.67","11.1 %","55.6 %","33.3 %","0.0 %","33.3 %","44.4 %","44.4 %","11.1 %","1.8 %","28","29","57","548"
"Derek Norris","Athletics (AAA)","24","14",".444","0.50","10.0 %","30.0 %","60.0 %","16.7 %","33.3 %","63.6 %","9.1 %","27.3 %","10.3 %","15","43","58","6867"
"Rogelio Del Campo","Mexican (AAA)","26","28",".286","2.67","15.4 %","61.5 %","23.1 %","66.7 %","33.3 %","50.0 %","6.3 %","43.8 %","15.2 %","31","68","99","sa329327"
"Joseph Dunigan","- - -","27","142",".350","1.11","16.2 %","44.1 %","39.7 %","25.9 %","33.3 %","47.8 %","24.6 %","27.5 %","24.3 %","180","350","530","sa389233"
"Jairo Beras","Rangers (R)","18","70",".326","5.17","14.0 %","72.1 %","14.0 %","0.0 %","33.3 %","57.8 %","17.8 %","24.4 %","28.8 %","28","104","132","sa740444"
"Gerson Nunez","Dodgers (R)","22","147",".348","3.69","19.4 %","63.4 %","17.2 %","12.5 %","31.3 %","47.5 %","22.2 %","30.3 %","19.3 %","80","185","265","sa657530"
"John Lindsey","- - -","36","315",".308","0.97","16.0 %","41.4 %","42.5 %","20.8 %","31.2 %","44.6 %","31.5 %","23.9 %","13.5 %","462","756","1218","2279"
"Cameron Maybin","Padres (AAA)","26","56",".242","1.23","14.7 %","47.1 %","38.2 %","0.0 %","30.8 %","48.7 %","24.3 %","27.0 %","6.2 %","114","113","227","5223"
"Samuel Crafort","Tigers (R)","19","69",".444","1.38","22.5 %","45.0 %","32.5 %","0.0 %","30.8 %","57.5 %","17.5 %","25.0 %","23.8 %","43","104","147","sa548104"
"Brian Burgamy","Mexican (AAA)","32","201",".347","1.06","22.3 %","40.0 %","37.7 %","16.3 %","30.6 %","46.3 %","26.1 %","27.6 %","10.0 %","321","440","761","sa201557"
"Aldi Guzman","Reds (R)","20","82",".452","1.60","18.8 %","50.0 %","31.3 %","0.0 %","30.0 %","55.9 %","17.7 %","26.5 %","37.5 %","25","159","184","sa694186"
"Michael Bernal","Mets (R)","21","104",".370","1.35","20.0 %","46.0 %","34.0 %","23.5 %","29.4 %","64.2 %","22.6 %","13.2 %","33.6 %","38","185","223","sa551707"
"Joey Gallo","- - -","19","467",".315","0.38","18.4 %","22.6 %","59.0 %","20.3 %","29.0 %","52.9 %","25.0 %","22.1 %","39.2 %","320","849","1169","14128"
"Luis Alfonso Garcia","Mexican (AAA)","34","339",".337","1.34","20.2 %","45.7 %","34.1 %","22.4 %","28.9 %","46.7 %","23.4 %","30.0 %","7.4 %","579","755","1334","sa205818"
"Jorge Cantu","Mexican (AAA)","31","351",".243","0.74","18.6 %","34.6 %","46.8 %","20.4 %","28.7 %","56.1 %","23.2 %","20.7 %","10.6 %","576","843","1419","2521"
"Humberto Quintero","Phillies (AAA)","33","32",".278","1.00","26.3 %","36.8 %","36.8 %","0.0 %","28.6 %","38.1 %","42.9 %","19.1 %","9.5 %","50","66","116","1824"
"Brad Hawpe","Angels (AAA)","34","153",".400","2.05","27.3 %","48.9 %","23.9 %","4.8 %","28.6 %","53.3 %","23.9 %","22.8 %","13.3 %","245","370","615","1885"
"Jeff Mathis","- - -","30","39",".412","1.14","21.1 %","42.1 %","36.8 %","42.9 %","28.6 %","75.0 %","10.0 %","15.0 %","24.0 %","39","82","121","3448"
"Tim Federowicz","Dodgers (AAA)","25","98",".532","0.57","20.0 %","29.1 %","50.9 %","7.1 %","28.6 %","32.1 %","32.1 %","35.7 %","12.4 %","176","234","410","8609"
"Harold Garcia","Twins (AA)","26","26",".188","1.29","5.9 %","52.9 %","41.2 %","14.3 %","28.6 %","44.4 %","16.7 %","38.9 %","11.7 %","23","54","77","sa455748"
"Justin Chigbogu","- - -","18","262",".368","1.37","19.4 %","46.5 %","34.0 %","10.2 %","28.6 %","40.5 %","30.4 %","29.1 %","36.9 %","131","428","559","sa657993"
"George Springer","- - -","23","590",".377","0.99","19.3 %","40.2 %","40.5 %","17.7 %","28.5 %","54.9 %","24.9 %","20.2 %","14.7 %","1027","1392","2419","12856"
"Matt Fields","Royals (AA)","27","524",".288","1.03","14.4 %","43.3 %","42.2 %","17.5 %","27.2 %","48.5 %","27.0 %","24.5 %","19.5 %","798","1316","2114","sa289014"
"Ike Davis","Mets (AAA)","26","92",".300","0.81","14.5 %","38.2 %","47.3 %","15.4 %","26.9 %","47.4 %","24.6 %","28.1 %","11.8 %","178","219","397","8433"
"Eliezer Alfonzo","- - -","34","322",".359","1.21","19.4 %","44.0 %","36.5 %","18.5 %","26.1 %","49.4 %","24.3 %","26.3 %","14.3 %","320","761","1081","2331"
"Xavier Scruggs","Cardinals (AA)","25","546",".335","0.91","20.1 %","38.1 %","41.8 %","14.3 %","25.9 %","43.8 %","28.8 %","27.4 %","14.4 %","967","1305","2272","7409"
"Adam Moore","Royals (AAA)","29","148",".239","1.39","3.9 %","55.8 %","40.3 %","19.4 %","25.8 %","48.8 %","31.3 %","20.0 %","16.8 %","228","345","573","9362"
"Harold Riggins","Rockies (A+)","23","482",".400","0.95","21.9 %","38.1 %","40.0 %","9.3 %","25.6 %","44.6 %","26.1 %","29.3 %","31.1 %","355","891","1246","sa546789"
"Carlos Rodriguez","Mexican (AAA)","31","339",".294","1.41","15.0 %","49.8 %","35.2 %","9.3 %","25.3 %","50.2 %","19.8 %","30.0 %","14.3 %","477","759","1236","sa509441"
"Jacob deGrom","- - -","25","22",".188","3.00","0.0 %","75.0 %","25.0 %","0.0 %","25.0 %","41.2 %","17.7 %","41.2 %","21.8 %","21","57","78","10954"
"Alex Rodriguez","- - -","37","51",".222","1.17","13.3 %","46.7 %","40.0 %","8.3 %","25.0 %","53.3 %","16.7 %","30.0 %","13.9 %","62","103","165","1274"
"Jayson Werth","Nationals (A+)","34","20",".500","0.25","44.4 %","11.1 %","44.4 %","0.0 %","25.0 %","11.1 %","38.9 %","50.0 %","3.5 %","9","20","29","1327"
"Michael Morse","Mariners (AAA)","31","26",".294","2.75","16.7 %","61.1 %","22.2 %","0.0 %","25.0 %","55.6 %","16.7 %","27.8 %","18.1 %","25","58","83","3035"
"Anthony Recker","Mets (AAA)","29","12",".429","0.75","12.5 %","37.5 %","50.0 %","25.0 %","25.0 %","37.5 %","37.5 %","25.0 %","2.6 %","15","23","38","4063"
"Steve Moss","Mexican (AAA)","29","86",".452","0.90","11.6 %","41.9 %","46.5 %","15.0 %","25.0 %","36.2 %","44.7 %","19.2 %","14.0 %","154","196","350","sa202653"
"Roman Pena","Mexican (AAA)","26","31",".444","1.50","44.4 %","33.3 %","22.2 %","25.0 %","25.0 %","57.9 %","26.3 %","15.8 %","11.4 %","54","60","114","sa294705"
"Wagner Mateo","- - -","20","49",".310","4.50","24.1 %","62.1 %","13.8 %","50.0 %","25.0 %","40.0 %","13.3 %","46.7 %","34.0 %","10","84","94","sa548057"
"Ryan Bolden","Angels (R)","21","27",".143","2.50","6.7 %","66.7 %","26.7 %","25.0 %","25.0 %","46.7 %","13.3 %","40.0 %","40.0 %","16","39","55","sa548168"
"Sam Palace","- - -","27","17",".273","1.75","8.3 %","58.3 %","33.3 %","25.0 %","25.0 %","66.7 %","25.0 %","8.3 %","33.3 %","3","27","30","sa593846"
"David Cruz","Marlins (R)","21","44",".280","0.75","22.2 %","33.3 %","44.4 %","33.3 %","25.0 %","53.6 %","28.6 %","17.9 %","28.6 %","23","61","84","sa658806"
"Telvin Nash","Astros (A+)","22","269",".333","0.72","15.8 %","35.3 %","48.9 %","26.2 %","24.6 %","45.6 %","26.5 %","27.9 %","27.9 %","220","473","693","sa501240"
"Luke Montz","Athletics (AAA)","29","145",".300","0.68","19.5 %","32.5 %","48.1 %","21.6 %","24.3 %","63.3 %","19.0 %","17.7 %","12.8 %","241","360","601","6601"
"Valentino Pascucci","Mexican (AAA)","34","291",".310","0.87","16.5 %","38.8 %","44.6 %","24.2 %","24.2 %","53.5 %","24.3 %","22.2 %","10.9 %","585","703","1288","1915"
"Taylor Brennan","Brewers (R)","21","242",".306","0.94","24.2 %","36.7 %","39.1 %","16.0 %","24.0 %","39.6 %","23.1 %","37.3 %","27.6 %","174","347","521","sa549844"
"Jabari Blash","- - -","23","452",".318","1.03","17.1 %","42.0 %","40.9 %","16.2 %","23.8 %","50.0 %","19.6 %","30.4 %","22.2 %","446","781","1227","11247"
"Zach Borenstein","Angels (A+)","22","465",".366","1.14","20.9 %","42.2 %","36.9 %","13.6 %","23.7 %","37.6 %","26.6 %","35.8 %","17.5 %","355","766","1121","sa599252"
"Ryan Rua","- - -","23","525",".260","0.96","17.6 %","40.2 %","42.1 %","28.7 %","23.5 %","54.8 %","17.0 %","28.2 %","18.6 %","458","862","1320","12409"
"Yasiel Puig","Dodgers (AA)","22","167",".339","1.79","16.7 %","53.5 %","29.8 %","0.0 %","23.5 %","42.5 %","28.3 %","29.2 %","13.0 %","230","355","585","14225"
"Victor Diaz","- - -","31","104",".522","1.53","14.0 %","52.0 %","34.0 %","5.9 %","23.5 %","58.0 %","16.0 %","26.0 %","21.1 %","169","263","432","3424"
"Alfredo Despaigne","Mexican (AAA)","27","141",".374","1.35","22.3 %","44.7 %","33.0 %","11.8 %","23.5 %","49.1 %","27.8 %","23.2 %","11.7 %","170","308","478","sa739647"
"Chris Colabello","Twins (AAA)","29","391",".413","1.04","16.3 %","42.6 %","41.0 %","4.9 %","23.3 %","39.4 %","29.9 %","30.7 %","12.7 %","626","899","1525","13051"
"Will Skinner","Braves (A+)","24","247",".269","0.70","17.6 %","33.8 %","48.6 %","18.8 %","23.2 %","49.7 %","27.9 %","22.5 %","29.2 %","102","459","561","sa598620"
"Kalian Sams","- - -","26","245",".273","0.80","17.6 %","36.6 %","45.8 %","26.2 %","23.1 %","52.5 %","21.7 %","25.9 %","15.0 %","410","593","1003","sa381343"
"Tommy Medica","- - -","25","338",".329","1.06","20.4 %","40.9 %","38.7 %","19.5 %","23.0 %","43.7 %","26.4 %","29.9 %","10.2 %","495","823","1318","11147"
"Baltazar Lopez","Mexican (AAA)","29","210",".359","0.87","12.3 %","40.8 %","46.9 %","11.5 %","23.0 %","40.5 %","26.0 %","33.6 %","12.8 %","333","508","841","sa244219"
"Domingo Santana","Astros (AA)","20","476",".316","1.07","16.9 %","43.0 %","40.1 %","19.3 %","22.9 %","47.3 %","22.1 %","30.6 %","15.3 %","715","1140","1855","10348"
"Marcell Ozuna","- - -","22","62",".325","0.77","13.3 %","37.8 %","48.9 %","13.6 %","22.7 %","55.6 %","22.2 %","22.2 %","15.7 %","62","129","191","10324"
"Theo Alexander","Dodgers (R)","18","102",".372","0.73","17.4 %","34.8 %","47.8 %","9.1 %","22.7 %","56.3 %","20.8 %","22.9 %","30.6 %","79","156","235","sa658100"
"Amaury Cazana","- - -","34","492",".357","1.35","19.4 %","46.3 %","34.3 %","18.3 %","22.5 %","39.4 %","27.9 %","32.7 %","10.4 %","660","1087","1747","sa509692"
"Javier Baez","- - -","20","577",".319","0.96","12.7 %","42.9 %","44.5 %","16.4 %","22.4 %","51.3 %","24.0 %","24.7 %","23.3 %","474","1061","1535","12979"
"Randy Ruiz","- - -","35","442",".361","1.33","18.4 %","46.6 %","35.0 %","18.4 %","22.3 %","41.3 %","22.3 %","36.3 %","17.5 %","518","987","1505","2761"
"Japhet Amador","- - -","26","492",".356","0.98","14.0 %","42.5 %","43.5 %","15.8 %","21.8 %","44.5 %","26.6 %","28.9 %","10.1 %","657","1063","1720","sa508601"
"Mauro Gomez","Blue Jays (AAA)","28","453",".290","0.69","18.5 %","33.3 %","48.2 %","18.8 %","21.8 %","55.2 %","21.2 %","23.7 %","16.2 %","658","1192","1850","5342"
"Oswaldo Arcia","Twins (AAA)","22","155",".366","0.74","14.9 %","36.2 %","48.9 %","10.9 %","21.7 %","46.3 %","26.3 %","27.4 %","12.1 %","286","368","654","10306"
"Steve Bumbry","- - -","25","200",".283","1.04","12.1 %","44.9 %","43.0 %","6.5 %","21.7 %","46.4 %","27.3 %","26.4 %","19.3 %","259","408","667","sa501637"
"Kila Ka'aihue","Diamondbacks (AAA)","29","235",".319","0.74","14.0 %","36.7 %","49.3 %","17.6 %","21.6 %","48.7 %","26.0 %","25.3 %","8.3 %","426","521","947","4707"
"Juan Miranda","Mexican (AAA)","30","460",".404","0.86","20.5 %","36.7 %","42.8 %","17.4 %","21.5 %","53.0 %","26.5 %","20.6 %","8.8 %","842","940","1782","7783"
"Garrett Cooper","- - -","22","203",".362","2.68","20.8 %","57.7 %","21.5 %","7.1 %","21.4 %","42.9 %","13.5 %","43.6 %","26.0 %","134","351","485","15279"
"Ryan Flaherty","- - -","26","50",".313","1.07","14.7 %","44.1 %","41.2 %","21.4 %","21.4 %","45.7 %","31.4 %","22.9 %","15.9 %","64","112","176","7888"
"Leonardo Fuentes","Giants (R)","20","77",".417","1.21","16.2 %","45.9 %","37.8 %","42.9 %","21.4 %","53.9 %","18.0 %","28.2 %","44.4 %","29","131","160","sa547813"
"Corey Simpson","Mariners (R)","19","51",".276","1.29","0.0 %","56.3 %","43.8 %","35.7 %","21.4 %","59.4 %","6.3 %","34.4 %","21.0 %","26","74","100","sa737828"
"Miguel Sano","- - -","20","519",".330","0.56","14.4 %","30.8 %","54.8 %","15.2 %","21.3 %","54.0 %","22.9 %","23.2 %","17.4 %","636","1006","1642","12164"
"Barbaro Canizares","Mexican (AAA)","33","503",".369","1.14","24.0 %","40.5 %","35.5 %","11.0 %","21.3 %","50.1 %","25.1 %","24.8 %","6.1 %","761","1021","1782","6246"
"Nick Williams","Rangers (A)","19","404",".371","1.64","20.4 %","49.4 %","30.2 %","10.0 %","21.3 %","42.9 %","20.5 %","36.6 %","32.3 %","149","652","801","14330"
"Emmanuel Valdez","Mexican (AAA)","34","411",".374","0.62","16.2 %","32.0 %","51.8 %","11.9 %","21.2 %","48.5 %","27.3 %","24.2 %","11.0 %","715","1015","1730","sa209749"
"Ryan McMahon","Rockies (R)","18","251",".396","1.33","22.9 %","43.9 %","33.1 %","5.8 %","21.2 %","46.9 %","29.6 %","23.5 %","30.4 %","142","355","497","15112"
"Brett Wallace","Astros (AAA)","26","261",".425","1.17","30.2 %","37.7 %","32.1 %","7.7 %","21.2 %","44.9 %","23.6 %","31.5 %","14.9 %","394","651","1045","8434"
"Willis Otanez","- - -","40","410",".365","0.93","19.3 %","39.0 %","41.7 %","19.5 %","21.1 %","43.0 %","23.7 %","33.3 %","12.3 %","624","871","1495","sa8218"
"Andrew Lambo","- - -","24","501",".320","0.72","18.4 %","34.1 %","47.5 %","10.5 %","21.1 %","52.6 %","23.7 %","23.7 %","10.4 %","799","1316","2115","5386"
"Chris Jacobs","- - -","24","390",".363","1.11","17.0 %","43.7 %","39.3 %","13.6 %","21.0 %","47.1 %","22.4 %","30.5 %","26.3 %","330","696","1026","sa389213"
"Jacob Scavuzzo","Dodgers (R)","19","266",".326","1.33","20.0 %","45.6 %","34.4 %","19.4 %","20.9 %","58.2 %","19.9 %","21.9 %","26.1 %","94","355","449","sa658601"
"Ruben Mateo","Mexican (AAA)","35","498",".333","0.62","14.3 %","32.7 %","53.0 %","25.3 %","20.8 %","56.7 %","23.7 %","19.6 %","11.8 %","648","1148","1796","340"
"Tom Murphy","- - -","22","415",".345","0.85","21.0 %","36.3 %","42.7 %","11.3 %","20.8 %","46.7 %","27.4 %","25.9 %","19.0 %","450","846","1296","13499"
"Mendy Lopez","Mexican (AAA)","39","344",".305","0.74","15.3 %","35.9 %","48.8 %","14.7 %","20.6 %","43.6 %","24.6 %","31.8 %","10.0 %","625","777","1402","1458"
"Jesus Ugueto","Mariners (R)","22","200",".305","2.18","8.8 %","62.5 %","28.7 %","7.7 %","20.5 %","36.2 %","27.7 %","36.2 %","34.8 %","61","295","356","sa504788"
"Bryce Brentz","- - -","24","368",".303","1.28","15.5 %","47.4 %","37.1 %","24.7 %","20.4 %","52.8 %","24.6 %","22.6 %","12.8 %","486","845","1331","10607"
"Lewis Brinson","Rangers (A)","19","503",".362","0.94","19.7 %","39.0 %","41.4 %","28.2 %","20.4 %","51.6 %","23.3 %","25.2 %","36.2 %","329","910","1239","14352"
"Jake Lamb","- - -","22","304",".380","1.17","18.7 %","43.9 %","37.4 %","6.3 %","20.3 %","47.5 %","22.0 %","30.5 %","22.0 %","256","436","692","13329"
"Wil Myers","Rays (AAA)","22","289",".335","1.09","21.3 %","41.0 %","37.7 %","18.8 %","20.3 %","51.9 %","21.4 %","26.7 %","13.4 %","421","670","1091","10047"
"Nelson Perez","- - -","25","338",".324","1.20","16.7 %","45.5 %","37.8 %","21.4 %","20.2 %","55.1 %","19.8 %","25.1 %","10.6 %","562","753","1315","sa392846"
"Rudy Flores","Diamondbacks (A)","22","380",".389","0.87","15.0 %","39.6 %","45.4 %","9.6 %","20.2 %","38.2 %","32.1 %","29.7 %","44.4 %","172","644","816","sa621607"
"Karim Garcia","- - -","37","369",".311","1.09","17.5 %","43.0 %","39.4 %","19.2 %","20.2 %","55.1 %","18.4 %","26.6 %","14.8 %","518","878","1396","1537"
"Bryce Harper","- - -","20","14",".500","0.00","28.6 %","0.0 %","71.4 %","40.0 %","20.0 %","42.9 %","14.3 %","42.9 %","14.0 %","23","34","57","11579"
"Cory Aldridge","- - -","34","107",".409","1.47","17.8 %","48.9 %","33.3 %","6.7 %","20.0 %","51.1 %","29.8 %","19.2 %","17.0 %","195","304","499","1405"
"Jordany Valdespin","Mets (AAA)","25","67",".500","1.40","29.4 %","41.2 %","29.4 %","20.0 %","20.0 %","62.8 %","19.6 %","17.7 %","7.4 %","107","137","244","5098"
"Tyler Graham","Mexican (AAA)","29","52",".419","4.20","18.8 %","65.6 %","15.6 %","0.0 %","20.0 %","65.6 %","21.9 %","12.5 %","8.3 %","84","134","218","6220"
"Logan Forsythe","Padres (AAA)","26","33",".438","0.60","11.1 %","33.3 %","55.6 %","20.0 %","20.0 %","55.6 %","22.2 %","22.2 %","5.8 %","70","86","156","7185"
"David Ortiz","Red Sox (AAA)","37","18",".273","1.20","8.3 %","50.0 %","41.7 %","40.0 %","20.0 %","50.0 %","8.3 %","41.7 %","25.4 %","24","43","67","745"
"Blake Johnson","Dodgers (AAA)","28","26",".200","2.00","6.3 %","62.5 %","31.3 %","20.0 %","20.0 %","44.4 %","27.8 %","27.8 %","10.8 %","23","60","83","sa253230"
"Rafael Valenzuela","- - -","25","30",".143","2.80","9.5 %","66.7 %","23.8 %","0.0 %","20.0 %","54.6 %","22.7 %","22.7 %","11.5 %","33","63","96","sa328241"
"Chase Davidson","Astros (A)","23","45",".450","2.40","19.0 %","57.1 %","23.8 %","20.0 %","20.0 %","28.6 %","33.3 %","38.1 %","43.8 %","19","86","105","sa454457"
"Carlo Testa","Royals (AA)","26","46",".217","3.20","8.7 %","69.6 %","21.7 %","0.0 %","20.0 %","50.0 %","20.8 %","29.2 %","12.1 %","74","108","182","sa455365"
"Craig Westcott","Giants (AA)","27","24",".500","0.80","10.0 %","40.0 %","50.0 %","20.0 %","20.0 %","41.7 %","25.0 %","33.3 %","15.5 %","31","53","84","sa502674"
"Juan Duran","Reds (A+)","21","456",".320","1.28","15.2 %","47.6 %","37.2 %","13.0 %","20.0 %","49.1 %","22.7 %","28.2 %","26.8 %","288","745","1033","sa503255"
"Geoff Klein","- - -","25","39",".235","1.80","12.5 %","56.3 %","31.3 %","0.0 %","20.0 %","42.1 %","26.3 %","31.6 %","32.1 %","25","53","78","sa547202"
"Iago Januario","Rays (R)","20","96",".375","2.70","22.9 %","56.3 %","20.8 %","10.0 %","20.0 %","60.0 %","18.0 %","22.0 %","45.2 %","44","153","197","sa548102"
"Michael Fabiaschi","- - -","24","53",".286","1.70","10.0 %","56.7 %","33.3 %","30.0 %","20.0 %","61.3 %","9.7 %","29.0 %","12.9 %","58","97","155","sa549321"
"Julio Pina","Rays (R)","22","23",".250","1.20","8.3 %","50.0 %","41.7 %","20.0 %","20.0 %","69.2 %","23.1 %","7.7 %","43.2 %","9","35","44","sa597685"
"D.J. Jones","Blue Jays (R)","20","37",".467","1.80","6.7 %","60.0 %","33.3 %","0.0 %","20.0 %","43.8 %","12.5 %","43.8 %","49.4 %","23","60","83","sa599226"
"Zach Stoner","White Sox (R)","19","123",".354","4.20","18.8 %","65.6 %","15.6 %","10.0 %","20.0 %","29.4 %","32.4 %","38.2 %","34.5 %","67","188","255","sa658190"
"Daniel Howell","Mariners (R)","23","21",".182","0.60","20.0 %","30.0 %","50.0 %","0.0 %","20.0 %","41.7 %","16.7 %","41.7 %","23.5 %","22","29","51","sa741704"
"Stefen Henderson","Dodgers (R)","21","24",".400","0.80","10.0 %","40.0 %","50.0 %","20.0 %","20.0 %","54.6 %","18.2 %","27.3 %","32.1 %","18","38","56","sa749724"
"Luis Jimenez","Blue Jays (AAA)","31","402",".297","1.69","16.9 %","52.2 %","30.8 %","17.6 %","19.8 %","46.5 %","23.1 %","30.4 %","10.4 %","572","874","1446","2602"
"Kyle Parker","Rockies (AA)","23","528",".318","1.52","20.9 %","47.7 %","31.4 %","17.1 %","19.7 %","39.9 %","23.1 %","37.1 %","12.8 %","706","1215","1921","11763"
"Avisail Garcia","- - -","22","216",".442","2.42","21.2 %","55.8 %","23.1 %","16.7 %","19.4 %","47.8 %","18.6 %","33.5 %","16.6 %","234","469","703","5760"
"Sandy Madera","Mexican (AAA)","32","469",".421","1.90","20.9 %","51.8 %","27.3 %","15.3 %","19.4 %","41.7 %","26.6 %","31.7 %","9.8 %","638","993","1631","sa208622"
"J.R. Towles","- - -","29","88",".200","0.74","11.5 %","37.7 %","50.8 %","22.6 %","19.4 %","52.5 %","19.7 %","27.9 %","6.4 %","145","197","342","7348"
"David Rodriguez","Rays (R)","17","269",".405","1.06","24.7 %","38.8 %","36.5 %","16.1 %","19.4 %","37.7 %","24.6 %","37.7 %","36.6 %","115","371","486","sa735825"
"David Denson","Brewers (R)","18","161",".316","1.39","11.9 %","51.2 %","36.9 %","12.9 %","19.4 %","37.7 %","24.7 %","37.7 %","27.5 %","136","228","364","sa738130"
"Reggie Abercrombie","- - -","31","259",".365","1.44","16.8 %","49.1 %","34.1 %","38.6 %","19.3 %","50.9 %","20.4 %","28.7 %","23.0 %","265","635","900","2187"
"Michael Medina","Dodgers (R)","16","218",".315","0.63","9.6 %","35.1 %","55.3 %","28.8 %","19.2 %","64.7 %","17.2 %","18.2 %","47.3 %","106","385","491","sa736971"
"Balbino Fuenmayor","Blue Jays (A)","23","108",".262","1.62","9.8 %","55.7 %","34.4 %","14.3 %","19.0 %","53.9 %","18.5 %","27.7 %","41.2 %","47","164","211","sa356978"
"Brett Pill","Giants (AAA)","28","298",".347","1.00","19.8 %","40.1 %","40.1 %","21.1 %","18.9 %","53.3 %","23.6 %","23.1 %","10.2 %","353","698","1051","5834"
"Saul Soto","Mexican (AAA)","34","349",".316","0.98","17.5 %","40.8 %","41.7 %","16.8 %","18.9 %","54.1 %","25.3 %","20.6 %","8.9 %","601","800","1401","sa211076"
"Will Middlebrooks","Red Sox (AAA)","24","196",".288","1.17","18.4 %","44.0 %","37.6 %","18.9 %","18.9 %","45.8 %","27.5 %","26.8 %","7.6 %","289","471","760","7002"
"Jorge Vazquez","Mexican (AAA)","31","248",".353","1.53","18.3 %","49.4 %","32.3 %","18.9 %","18.9 %","43.4 %","25.9 %","30.7 %","13.9 %","335","612","947","sa491894"
"Cole Leonida","Nationals (A+)","24","210",".265","0.94","15.6 %","41.0 %","43.4 %","28.3 %","18.9 %","54.8 %","18.6 %","26.6 %","24.3 %","145","341","486","sa526399"
