"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Fabian Marquez","Cardinals (R)","16","1","0.0 %","0.0 %","0.00","1.000","1.000","2.000","3.000","1.000","0.1","1.000","0.0","1","0.8","1.382","751","sa3000841"
"Jim Ed Warden","- - -","29","1","0.0 %","0.0 %","0.00","1.000","1.000","2.000","3.000","1.000","0.1","1.000","0.0","1","0.8","1.287","733","sa201006"
"Luis Liria","Cubs (R)","18","5","0.0 %","0.0 %","0.00","1.000","1.000","1.250","2.250",".250","2.6","1.000","0.0","3","2.6","1.041","509","sa506679"
"Spike Lundberg","Mexican (AAA)","31","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".939","478","sa209108"
"Chris Anderson","Twins (A)","22","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".925","500","sa328047"
"Ryan Mattheus","Rockies (AA)","24","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".920","480","7169"
"Ryan Thompson","Astros (AA)","25","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".920","480","sa295811"
"Charlie Manning","Nationals (AAA)","29","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".907","492","3578"
"Mariano Gomez","Twins (AAA)","25","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".907","492","sa199551"
"Kevin Gryboski","Giants (AAA)","34","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".903","464","91"
"Carlos Fisher","- - -","25","2","50.0 %","0.0 %","1.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","0.0","1","0.8",".830","422","9832"
"Randy Johnson","Diamondbacks (AAA)","44","2","50.0 %","0.0 %","1.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.8",".816","407","60"
"Nate Recknagel","Indians (R)","22","4","0.0 %","25.0 %","0.00",".750",".750","1.000","1.750",".250","0.1","1.000","0.0","2","1.5",".815","401","sa454575"
"Richy Paulino","Phillies (R)","17","5","0.0 %","0.0 %","0.00",".500",".500","1.250","1.750",".750","2.6",".333","0.0","2","1.7",".813","377","sa3000911"
"Jordan Wolf","Orioles (A)","23","7","28.6 %","0.0 %","2.00",".750",".857","1.250","2.107",".500","5.5",".750","-0.2","4","2.7",".813","415","sa390659"
"Omar Bencomo","Rays (R)","19","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".758","364","sa503950"
"Jose Ascanio","Cubs (AAA)","23","1","0.0 %","0.0 %","0.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","1","0.4",".757","369","3951"
"Daniel Fernandez","Mexican (AAA)","42","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","7.5",".000","0.2","0","0.3",".752","357","sa3001359"
"Kurt Isenberg","Padres (AA)","26","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","2.6",".000","0.0","0","0.3",".732","357","sa225664"
"Zack Zuercher","Cardinals (AA)","24","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".732","357","sa290216"
"Jason Schmidt","Dodgers (AAA)","35","2","50.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","2.6",".000","0.0","1","0.7",".729","350","1131"
"Doug Davis","Diamondbacks (AAA)","32","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".729","350","1244"
"Randy Williams","Marlins (AAA)","32","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".729","350","2362"
"Juan Padilla","Mets (AAA)","31","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","2.5",".000","-0.5","0","0.3",".729","350","2532"
"David Bromberg","Twins (A)","20","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","2.6",".000","0.0","0","0.3",".721","365","sa326256"
"John Ennis","Phillies (AAA)","28","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".714","361","85"
"Grant Desme","Athletics (R)","22","4","0.0 %","0.0 %","0.00",".333",".500","1.333","1.833","1.000","0.1",".000","0.0","2","1.2",".712","314","sa389287"
"Adam LaRoche","Pirates (A)","28","12","16.7 %","8.3 %","2.00",".600",".667","1.000","1.667",".400","0.4",".625","0.0","5","3.7",".711","350","1904"
"Michael Barrett","- - -","31","11","9.1 %","9.1 %","1.00",".700",".727",".900","1.627",".200","1.1",".778","0.0","5","3.5",".706","335","762"
"Howie Kendrick","- - -","24","11","0.0 %","9.1 %","0.00",".545",".545","1.091","1.636",".545","5.2",".500","0.2","5","3.2",".696","324","4229"
"Roberto Toribio","Angels (R)","18","4","25.0 %","25.0 %","1.00",".667",".750",".667","1.417",".000","7.1","1.000","0.2","2","1.0",".692","307","sa505278"
"Matt Holliday","Rockies (AAA)","28","11","9.1 %","27.3 %","0.33",".600",".636","1.000","1.636",".400","2.6",".833","0.0","5","3.3",".683","320","1873"
"Brian Buck","Cardinals (R)","22","9","11.1 %","0.0 %","1.00",".667",".778",".667","1.444",".000","2.0",".667","0.0","3","2.4",".682","318","sa389442"
"Matthew Scherer","- - -","25","3","33.3 %","33.3 %","1.00",".500",".667","1.000","1.667",".500","0.1","1.000","0.0","1","0.8",".657","303","sa254038"
"Brad Wilkerson","Blue Jays (A+)","31","12","8.3 %","16.7 %","0.50",".455",".500","1.000","1.500",".545","2.6",".500","0.0","4","2.9",".649","316","804"
"Mike Napoli","Angels (A+)","26","17","11.8 %","11.8 %","1.00",".571",".588","1.000","1.588",".429","0.9",".583","0.0","7","4.4",".645","295","3057"
"Francisco Mojica","Nationals (R)","21","4","50.0 %","25.0 %","2.00",".500",".750",".500","1.250",".000","0.1","1.000","0.0","1","0.9",".639","276","sa3000399"
