"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Wei-Chung Wang","Brewers (AAA)","25","28","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1.000","14382"
"Tyler Bashlor","Mets (AA)","24","3","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","15203"
"Tanner Rainey","Reds (AA)","24","9","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","17610"
"Dustin Antolin","Nationals (AAA)","27","5","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","7119"
"Josh Lindblom","Pirates (AAA)","30","5","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","7882"
"Lucas Luetge","Reds (AAA)","30","3","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","8337"
"Ryan Beckman","- - -","27","11","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","sa501977"
"Stephen Kohlscheen","Brewers (AAA)","28","18","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","sa502700"
"Kevin Matthews","Braves (AAA)","24","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa600845"
"Jesus Anguamea","Mexican (AAA)","23","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa737569"
"Fredy Medina","Astros (R)","19","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa881864"
"Michael Conforto","Mets (A+)","24","1","4","5","3","2","1","0","0","1","1","1","0","1","0","0","0","0","0","0",".750","16376"
"James McCann","Tigers (AAA)","27","2","6","7","4","4","0","0","0","1","3","1","0","1","0","0","0","0","0","0",".667","12859"
"Freddie Freeman","Braves (AAA)","27","2","3","5","2","2","0","0","0","1","0","2","0","1","0","0","0","0","0","0",".667","5361"
"Henderson Alvarez","Phillies (AAA)","27","1","3","3","2","1","1","0","0","1","2","0","0","0","0","0","0","0","0","0",".667","5669"
"Adam Hall","Orioles (R)","18","2","9","9","6","4","1","1","0","4","2","0","0","2","0","0","0","0","1","0",".667","sa3005077"
"Stephen Zavala","Cardinals (R)","24","1","3","3","2","2","0","0","0","1","2","0","0","0","0","0","0","1","0","0",".667","sa876307"
"Jonathan Villar","Brewers (A)","26","4","13","15","8","6","1","1","0","2","6","1","0","3","0","1","0","0","0","1",".615","10071"
"Yeudy Garcia","- - -","24","14","5","5","3","1","2","0","0","1","0","0","0","1","0","0","0","0","0","0",".600","sa828169"
"Tucker Pennell","Padres (A-)","23","3","10","15","6","4","2","0","0","3","4","4","0","3","1","0","0","0","2","0",".600","sa920100"
"Jason Heyward","Cubs (A)","27","3","7","8","4","4","0","0","0","2","2","1","0","0","0","0","0","0","0","0",".571","4940"
"Erisbel Arruebarrena","Dodgers (R)","27","8","27","29","14","8","2","2","2","8","10","2","0","6","0","0","0","0","0","0",".519","15809"
"Hunter Renfroe","Padres (AAA)","25","14","55","61","28","16","7","1","4","18","18","6","1","7","0","0","0","2","1","0",".509","15464"
"Danny Santana","Braves (AAA)","26","5","18","19","9","8","1","0","0","4","4","1","0","3","0","0","0","0","2","0",".500","10322"
"Odubel Herrera","- - -","25","2","6","7","3","2","0","0","1","3","2","1","0","0","0","0","0","0","0","0",".500","11476"
"Justin Hancock","- - -","26","18","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","12316"
"Kyle Crick","Giants (AAA)","24","13","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","13182"
"Steven Brault","Pirates (AAA)","25","3","6","8","3","2","1","0","0","0","1","0","0","1","0","0","2","0","0","0",".500","15291"
"Evan Phillips","- - -","22","18","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","17734"
"Franklin Gutierrez","Dodgers (A+)","34","2","6","7","3","2","0","0","1","2","3","1","0","0","0","0","0","0","0","0",".500","3255"
"Brandon Crawford","Giants (AA)","30","2","8","8","4","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","5343"
"Daniel Nava","- - -","34","2","6","7","3","2","1","0","0","2","1","1","0","0","0","0","0","0","0","0",".500","5450"
"Ben Zobrist","Cubs (AA)","36","2","6","8","3","3","0","0","0","2","0","2","0","0","0","0","0","0","0","0",".500","7435"
"Ezequiel Carrera","Blue Jays (AAA)","30","1","2","4","1","1","0","0","0","0","1","2","0","0","0","0","0","0","1","0",".500","9048"
"Anthony Peroni","Nationals (A-)","20","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","sa3004612"
"Drew Muren","- - -","28","12","4","5","2","2","0","0","0","1","0","1","0","0","0","0","0","1","0","0",".500","sa545091"
"Ralston Cash","Dodgers (AA)","25","4","2","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","sa548277"
"Trey Nielsen","- - -","25","13","2","2","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".500","sa550155"
"Mickey Jannis","Mets (AA)","29","6","8","13","4","4","0","0","0","2","2","1","0","1","0","0","4","0","0","0",".500","sa550198"
"Alberto Baldonado","Mets (AAA)","24","23","2","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","sa550649"
"D.J. Johnson","Rockies (AA)","27","20","2","3","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0",".500","sa553075"
"Dailyn Martinez","Cardinals (AA)","24","1","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","sa658075"
"Chris Nunn","Cubs (AA)","26","1","2","2","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0",".500","sa658577"
"Cody Dickson","- - -","25","5","2","3","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0",".500","sa737782"
"Kevin Herget","- - -","26","13","8","10","4","4","0","0","0","2","1","0","0","1","0","0","2","0","0","0",".500","sa738986"
"Yorbys Tabares","Phillies (R)","20","2","4","4","2","2","0","0","0","2","1","0","0","1","0","0","0","0","0","0",".500","sa826648"
"Karch Kowalczyk","Dodgers (AA)","26","15","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","sa829792"
"Hidekel Abreu","Reds (R)","19","2","2","2","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0",".500","sa872532"
"Casey Bloomquist","Cubs (AA)","23","1","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","sa875732"
"Mike Garzillo","Marlins (A-)","23","2","4","6","2","2","0","0","0","1","2","2","0","2","0","0","0","0","0","0",".500","sa876360"
"Austin Gomber","Cardinals (AA)","23","6","15","15","7","6","1","0","0","1","1","0","0","3","0","0","0","0","0","0",".467","16561"
"Jorge Gonzalez","Mexican (AAA)","19","11","13","14","6","5","0","0","1","5","4","1","0","5","0","0","0","0","0","0",".462","sa3002580"
"Justin Bour","- - -","29","4","11","13","5","3","1","0","1","3","3","1","0","1","0","1","0","0","0","0",".455","9744"
"Matt Pierpont","Rockies (AA)","26","15","11","12","5","2","3","0","0","2","1","0","0","0","0","0","1","0","0","0",".455","sa738366"
"Nathaniel Coronado","Rockies (R)","25","5","20","23","9","5","0","1","3","9","7","1","0","0","2","0","0","1","1","0",".450","sa3002723"
"Didi Gregorius","Yankees (A+)","27","5","18","19","8","6","1","0","1","2","2","1","0","1","0","0","0","0","1","0",".444","6012"
"Michael Wing","Mexican (AAA)","28","26","88","98","38","28","5","0","5","22","25","7","0","15","1","2","0","4","0","1",".432","sa392185"
"Jake Marisnick","Astros (AA)","26","2","7","7","3","1","1","0","1","2","2","0","0","2","0","0","0","0","0","0",".429","11339"
"Dennis Santana","Dodgers (AA)","21","5","7","8","3","2","0","0","1","1","2","0","0","1","0","0","1","0","0","0",".429","17878"
"Juan Graterol","Blue Jays (AAA)","28","4","14","14","6","6","0","0","0","2","0","0","0","1","0","0","0","2","0","0",".429","5398"
"Conner Uselton","Pirates (R)","19","2","7","7","3","2","1","0","0","0","1","0","0","1","0","0","0","0","0","0",".429","sa3004502"
"Jose Garcia","White Sox (R)","21","13","42","54","18","10","3","5","0","9","6","7","0","11","3","1","1","0","2","3",".429","sa3005322"
"Chris Betts","Rays (R)","20","3","7","8","3","1","2","0","0","1","1","1","0","1","0","0","0","0","1","0",".429","sa874791"
"Luis Curbelo","White Sox (R)","19","3","14","17","6","4","1","0","1","4","2","1","0","4","2","0","0","0","0","0",".429","sa918086"
