"Name","Team","Age","PA","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Mark Rogers","Brewers (AAA)","26","21",".250","3.50","0.0 %","77.8 %","22.2 %","0.0 %","50.0 %","36.4 %","27.3 %","36.4 %","15.4 %","19","59","78","4083"
"Mitch Atkins","Nationals (AAA)","26","13",".000","1.50","0.0 %","60.0 %","40.0 %","0.0 %","50.0 %","71.4 %","0.0 %","28.6 %","12.7 %","20","35","55","8369"
"Seth Schwindenhammer","Red Sox (A-)","20","45",".067","2.50","17.6 %","58.8 %","23.5 %","25.0 %","50.0 %","70.6 %","5.9 %","23.5 %","46.9 %","22","91","113","sa501487"
"Trevor Coleman","Mariners (A+)","24","16",".125","3.00","11.1 %","66.7 %","22.2 %","0.0 %","50.0 %","66.7 %","11.1 %","22.2 %","9.1 %","25","19","44","sa501537"
"Craig Westcott","Giants (AA)","26","34",".381","3.75","17.4 %","65.2 %","17.4 %","0.0 %","50.0 %","54.2 %","20.8 %","25.0 %","9.4 %","50","78","128","sa502674"
"Reggie Williams","Cardinals (A-)","22","35",".300","3.50","10.0 %","70.0 %","20.0 %","0.0 %","50.0 %","18.2 %","18.2 %","63.6 %","54.8 %","24","69","93","sa502756"
"Miles Hamblin","Astros (A)","23","4",".000","0.50","0.0 %","33.3 %","66.7 %","50.0 %","50.0 %","0.0 %","66.7 %","33.3 %","10.0 %","6","4","10","sa598323"
"Tyler Smith","Royals (R)","23","11",".286","2.50","12.5 %","62.5 %","25.0 %","50.0 %","50.0 %","25.0 %","50.0 %","25.0 %","47.1 %","0","17","17","sa600290"
"Robert Lyerly","Yankees (AA)","24","19",".125","1.00","0.0 %","50.0 %","50.0 %","20.0 %","40.0 %","20.0 %","60.0 %","20.0 %","21.1 %","26","45","71","sa501552"
"Eliezer Alfonzo","Mexican (AAA)","33","154",".381","1.45","17.0 %","49.1 %","33.9 %","10.5 %","39.5 %","54.5 %","25.0 %","20.5 %","17.8 %","175","387","562","2331"
"Adam Lind","- - -","28","156",".460","2.30","30.3 %","48.6 %","21.1 %","21.7 %","39.1 %","51.4 %","22.9 %","25.7 %","7.8 %","255","383","638","8027"
"Yasiel Puig","- - -","21","95",".387","3.08","13.1 %","65.6 %","21.3 %","7.7 %","38.5 %","47.8 %","13.4 %","38.8 %","24.2 %","62","120","182","14225"
"Randy Ruiz","Diamondbacks (AAA)","34","205",".374","1.68","25.0 %","47.0 %","28.0 %","8.1 %","37.8 %","41.3 %","26.1 %","32.6 %","18.1 %","299","490","789","2761"
"Michel Abreu","Mexican (AAA)","33","447",".401","1.70","23.0 %","48.4 %","28.6 %","13.4 %","35.4 %","40.5 %","27.0 %","32.4 %","9.1 %","766","928","1694","sa301748"
"Laynce Nix","- - -","31","29",".278","4.00","21.1 %","63.2 %","15.8 %","0.0 %","33.3 %","68.4 %","15.8 %","15.8 %","10.4 %","32","45","77","1766"
"Carlos Santana","Indians (A)","26","4",".000","0.33","0.0 %","25.0 %","75.0 %","0.0 %","33.3 %","0.0 %","50.0 %","50.0 %","0.0 %","2","5","7","2396"
"Joey Votto","- - -","28","15",".167","1.00","14.3 %","42.9 %","42.9 %","0.0 %","33.3 %","28.6 %","14.3 %","57.1 %","13.3 %","22","23","45","4314"
"Matt Kemp","- - -","27","32",".545","1.33","41.7 %","33.3 %","25.0 %","0.0 %","33.3 %","52.0 %","16.0 %","32.0 %","14.7 %","35","67","102","5631"
"Yuniesky Betancourt","- - -","30","23",".444","1.50","25.0 %","45.0 %","30.0 %","0.0 %","33.3 %","60.0 %","25.0 %","15.0 %","10.5 %","22","54","76","8585"
"Edwar Cabrera","- - -","24","19",".250","1.33","22.2 %","44.4 %","33.3 %","33.3 %","33.3 %","50.0 %","40.0 %","10.0 %","24.5 %","5","44","49","9211"
"Travis Wood","Cubs (AAA)","25","13",".200","1.00","0.0 %","50.0 %","50.0 %","33.3 %","33.3 %","57.1 %","28.6 %","14.3 %","9.8 %","17","34","51","9884"
"Travis Jones","Royals (A+)","23","14",".000","0.67","0.0 %","40.0 %","60.0 %","0.0 %","33.3 %","66.7 %","16.7 %","16.7 %","24.0 %","24","26","50","sa471319"
"Jorge Vazquez","Mexican (AAA)","30","161",".410","1.13","26.4 %","39.1 %","34.5 %","10.0 %","33.3 %","46.6 %","18.2 %","35.2 %","18.4 %","244","410","654","sa491894"
"Henry Zabala","Diamondbacks (A-)","22","10",".000","0.67","16.7 %","33.3 %","50.0 %","0.0 %","33.3 %","71.4 %","14.3 %","14.3 %","15.8 %","9","10","19","sa503885"
"Fernando Martinez","Mexican (AAA)","25","16",".125","1.67","11.1 %","55.6 %","33.3 %","33.3 %","33.3 %","55.6 %","22.2 %","22.2 %","19.7 %","22","39","61","sa594046"
"Will Middlebrooks","Red Sox (AAA)","23","100",".333","1.07","19.4 %","41.7 %","38.9 %","17.9 %","32.1 %","48.0 %","30.7 %","21.3 %","9.5 %","143","268","411","7002"
"David Remedios","Yankees (R)","25","56",".310","0.88","11.8 %","41.2 %","47.1 %","50.0 %","31.3 %","55.9 %","23.5 %","20.6 %","19.8 %","32","84","116","sa659319"
"Telvin Nash","Astros (A+)","21","449",".351","0.81","14.7 %","38.1 %","47.2 %","11.8 %","31.2 %","41.9 %","29.8 %","28.3 %","39.4 %","294","843","1137","sa501240"
"Ryan Raburn","Tigers (AAA)","31","66",".268","1.62","20.9 %","48.8 %","30.2 %","23.1 %","30.8 %","57.8 %","13.3 %","28.9 %","14.5 %","88","161","249","2218"
"Brad Eldred","Tigers (AAA)","31","265",".340","0.59","21.3 %","29.4 %","49.4 %","12.7 %","30.4 %","46.6 %","28.8 %","24.5 %","18.2 %","363","616","979","4328"
"Carlos Rodriguez","Mexican (AAA)","30","436",".374","0.85","18.3 %","37.5 %","44.2 %","17.9 %","30.2 %","44.6 %","27.3 %","28.1 %","16.8 %","650","1039","1689","sa509441"
"Allen Craig","- - -","27","29",".333","1.10","8.7 %","47.8 %","43.5 %","0.0 %","30.0 %","50.0 %","29.2 %","20.8 %","9.3 %","24","51","75","3433"
"Joey Gallo","- - -","18","260",".312","0.44","14.3 %","26.2 %","59.5 %","17.3 %","29.3 %","51.2 %","23.7 %","25.2 %","30.1 %","227","395","622","14128"
"Donnie Murphy","- - -","29","143",".300","0.56","19.4 %","29.0 %","51.6 %","8.3 %","29.2 %","45.7 %","33.0 %","21.3 %","14.5 %","195","322","517","4704"
"Kennys Vargas","Twins (A)","21","186",".362","1.32","22.1 %","44.2 %","33.6 %","5.3 %","28.9 %","35.3 %","31.9 %","32.8 %","25.5 %","142","274","416","12101"
"Anthony Rizzo","Cubs (AAA)","22","284",".357","1.05","19.2 %","41.4 %","39.4 %","28.8 %","28.8 %","54.2 %","19.0 %","26.8 %","9.8 %","370","650","1020","3473"
"Russell Branyan","- - -","36","153",".338","0.67","16.7 %","33.3 %","50.0 %","9.5 %","28.6 %","48.8 %","29.8 %","21.4 %","16.0 %","252","299","551","370"
"Carlos Quentin","- - -","29","32",".381","1.57","18.2 %","50.0 %","31.8 %","0.0 %","28.6 %","39.1 %","47.8 %","13.0 %","12.8 %","33","53","86","6274"
"Andy Dirks","Tigers (AAA)","26","41",".222","2.71","7.1 %","67.9 %","25.0 %","14.3 %","28.6 %","58.6 %","17.2 %","24.1 %","12.2 %","59","97","156","6453"
"Cade Kreuter","Padres (R)","21","59",".286","2.57","16.7 %","60.0 %","23.3 %","0.0 %","28.6 %","56.7 %","16.7 %","26.7 %","32.8 %","32","96","128","sa503375"
"Mendy Lopez","Mexican (AAA)","38","395",".333","0.75","24.1 %","32.5 %","43.4 %","14.1 %","27.3 %","49.6 %","25.6 %","24.8 %","12.4 %","730","930","1660","1458"
"Troy Tulowitzki","- - -","27","28",".333","0.45","20.0 %","25.0 %","55.0 %","45.5 %","27.3 %","57.1 %","23.8 %","19.1 %","9.8 %","39","73","112","3531"
"Steve Moss","- - -","28","169",".313","1.57","10.4 %","54.7 %","34.9 %","18.9 %","27.0 %","61.3 %","19.8 %","18.9 %","10.5 %","248","364","612","sa202653"
"Gary Mitchell","- - -","23","369",".317","2.36","11.4 %","62.2 %","26.4 %","0.0 %","26.4 %","44.6 %","21.1 %","34.3 %","28.5 %","259","614","873","sa549568"
"Iago Januario","Rays (R)","19","217",".308","1.26","17.4 %","46.1 %","36.5 %","9.5 %","26.2 %","53.9 %","14.8 %","31.3 %","48.5 %","107","347","454","sa548102"
"Fred Ford","Royals (R)","20","254",".336","1.22","12.6 %","48.0 %","39.4 %","10.0 %","26.0 %","44.7 %","19.7 %","35.6 %","37.7 %","171","399","570","sa658026"
"Brooks Conrad","- - -","32","187",".400","0.50","24.3 %","25.2 %","50.5 %","22.2 %","25.9 %","56.0 %","14.7 %","29.4 %","11.8 %","316","422","738","3664"
"Chris Curley","- - -","24","221",".322","1.67","21.8 %","49.0 %","29.3 %","4.7 %","25.6 %","40.9 %","32.5 %","26.6 %","30.5 %","66","318","384","sa511667"
"Julian Yan","Rockies (R)","20","287",".354","1.11","21.8 %","41.2 %","37.1 %","17.5 %","25.4 %","46.3 %","29.4 %","24.3 %","35.6 %","128","434","562","sa506301"
"Mike Olt","Rangers (AA)","23","421",".327","0.84","16.7 %","38.0 %","45.3 %","16.2 %","25.2 %","45.3 %","27.2 %","27.6 %","10.6 %","694","971","1665","10698"
"Cody Ransom","Diamondbacks (AAA)","36","40",".444","0.75","30.0 %","30.0 %","40.0 %","37.5 %","25.0 %","65.0 %","20.0 %","15.0 %","14.6 %","69","95","164","1126"
"Mike Zunino","- - -","21","190",".385","0.92","22.5 %","37.2 %","40.3 %","11.5 %","25.0 %","47.7 %","22.3 %","30.0 %","15.3 %","172","306","478","13265"
"Michael Cuddyer","Rockies (AAA)","33","9",".714","0.75","12.5 %","37.5 %","50.0 %","50.0 %","25.0 %","25.0 %","25.0 %","50.0 %","6.7 %","8","22","30","1534"
"Wilson Betemit","Orioles (AA)","30","8",".167","0.75","0.0 %","42.9 %","57.1 %","25.0 %","25.0 %","28.6 %","42.9 %","28.6 %","3.7 %","11","16","27","1861"
"Boof Bonser","Giants (AAA)","30","9",".000","0.50","0.0 %","33.3 %","66.7 %","0.0 %","25.0 %","16.7 %","16.7 %","66.7 %","26.1 %","4","19","23","2159"
"Carlos Lee","Astros (AA)","36","10",".571","0.50","25.0 %","25.0 %","50.0 %","50.0 %","25.0 %","25.0 %","25.0 %","50.0 %","9.8 %","15","26","41","243"
"Michael Morse","- - -","30","23",".500","1.75","26.7 %","46.7 %","26.7 %","0.0 %","25.0 %","33.3 %","33.3 %","33.3 %","23.7 %","18","41","59","3035"
"Jon Jay","Cardinals (AAA)","27","8",".333","0.50","14.3 %","28.6 %","57.1 %","0.0 %","25.0 %","42.9 %","42.9 %","14.3 %","0.0 %","16","18","34","5227"
"Eloy Gutierrez","- - -","27","122",".368","1.00","20.0 %","40.0 %","40.0 %","8.3 %","25.0 %","47.7 %","29.2 %","23.1 %","20.8 %","166","301","467","sa295198"
"Lee Cruz","Mexican (AAA)","29","104",".311","1.06","17.5 %","42.5 %","40.0 %","15.6 %","25.0 %","56.6 %","19.3 %","24.1 %","10.5 %","155","226","381","sa327128"
"Chase Weems","Orioles (A-)","23","22",".250","1.25","25.0 %","41.7 %","33.3 %","0.0 %","25.0 %","61.5 %","7.7 %","30.8 %","57.9 %","1","37","38","sa390613"
"Aaron Luna","- - -","25","24",".300","1.25","18.2 %","45.5 %","36.4 %","0.0 %","25.0 %","27.3 %","45.5 %","27.3 %","30.8 %","20","32","52","sa454788"
"Emilio Lopez","Mexican (AAA)","22","29",".286","0.75","12.5 %","37.5 %","50.0 %","25.0 %","25.0 %","50.0 %","0.0 %","50.0 %","25.0 %","39","81","120","sa544819"
"Pablo Ceballos","Diamondbacks (R)","17","18",".182","1.50","9.1 %","54.5 %","36.4 %","50.0 %","25.0 %","25.0 %","8.3 %","66.7 %","11.5 %","11","15","26","sa657823"
"Thomas Alvarez","Nationals (R)","17","24",".273","1.75","8.3 %","58.3 %","33.3 %","25.0 %","25.0 %","53.9 %","23.1 %","23.1 %","27.5 %","20","31","51","sa658690"
"Brett Harper","Mexican (AAA)","30","369",".371","0.72","24.8 %","31.6 %","43.6 %","21.1 %","24.8 %","54.0 %","20.6 %","25.4 %","11.0 %","559","855","1414","sa200434"
"Cory Aldridge","- - -","33","367",".295","0.73","14.9 %","35.8 %","49.3 %","13.2 %","24.5 %","40.5 %","32.3 %","27.3 %","17.0 %","541","904","1445","1405"
"Reggie Abercrombie","Mexican (AAA)","30","361",".395","0.86","24.5 %","34.9 %","40.6 %","27.9 %","24.4 %","52.5 %","25.3 %","22.2 %","22.4 %","395","843","1238","2187"
"Matt Fields","Royals (A+)","26","289",".378","0.87","15.5 %","39.4 %","45.2 %","12.9 %","24.3 %","50.6 %","24.4 %","25.0 %","32.8 %","193","487","680","sa289014"
"Roger Kieschnick","- - -","25","263",".362","0.92","24.2 %","36.3 %","39.5 %","16.1 %","24.2 %","45.1 %","29.3 %","25.6 %","12.3 %","384","611","995","5225"
"Yazy Arbelo","- - -","24","441",".266","1.04","14.1 %","43.9 %","42.0 %","28.3 %","23.9 %","51.7 %","21.8 %","26.6 %","21.1 %","444","882","1326","sa549324"
"Marshall McDougall","Mexican (AAA)","33","145",".351","1.14","13.5 %","46.2 %","40.4 %","9.5 %","23.8 %","55.1 %","27.1 %","17.8 %","11.1 %","213","337","550","2128"
"Juan Richardson","- - -","33","108",".279","1.76","12.1 %","56.1 %","31.8 %","9.5 %","23.8 %","60.6 %","18.2 %","21.2 %","10.7 %","175","245","420","sa198315"
"Edgar Quintero","Mexican (AAA)","34","410",".355","0.82","18.8 %","36.5 %","44.7 %","14.9 %","23.7 %","37.3 %","29.6 %","33.1 %","17.1 %","595","987","1582","sa203952"
"Barbaro Canizares","Mexican (AAA)","32","468",".358","1.04","23.1 %","39.2 %","37.7 %","12.6 %","23.5 %","50.2 %","25.9 %","24.0 %","6.9 %","802","970","1772","6246"
"Dallas McPherson","- - -","31","346",".364","1.11","19.4 %","42.4 %","38.2 %","9.6 %","23.3 %","49.2 %","28.0 %","22.8 %","20.3 %","490","876","1366","2194"
"Chris Jacobs","Dodgers (A+)","23","337",".361","1.29","13.0 %","49.0 %","38.0 %","16.4 %","23.3 %","43.2 %","23.9 %","33.0 %","32.2 %","204","542","746","sa389213"
"Cody Johnson","Yankees (AA)","23","253",".328","0.67","12.2 %","35.1 %","52.7 %","10.1 %","23.2 %","40.9 %","31.1 %","28.0 %","20.1 %","408","611","1019","sa326488"
"Jordan Pacheco","Rockies (AAA)","26","74",".441","2.15","31.7 %","46.7 %","21.7 %","15.4 %","23.1 %","55.6 %","30.2 %","14.3 %","4.1 %","82","161","243","2677"
"Tyler Moore","Nationals (AAA)","25","115",".324","0.56","20.8 %","28.6 %","50.6 %","20.5 %","23.1 %","56.4 %","20.5 %","23.1 %","13.8 %","174","275","449","7244"
"Will Swanner","Rockies (A)","20","372",".392","1.59","16.6 %","51.2 %","32.3 %","12.9 %","22.9 %","37.0 %","20.7 %","42.3 %","27.0 %","232","586","818","sa549202"
"Carlos Peguero","Mariners (AAA)","25","322",".369","0.61","16.7 %","31.7 %","51.7 %","22.6 %","22.6 %","40.3 %","27.6 %","32.0 %","18.2 %","420","765","1185","8760"
"Brett Wallace","Astros (AAA)","25","351",".370","1.48","21.1 %","47.1 %","31.8 %","7.0 %","22.5 %","44.6 %","25.5 %","29.9 %","11.8 %","511","877","1388","8434"
"Mac Williamson","- - -","21","145",".333","1.28","11.7 %","49.5 %","38.8 %","12.5 %","22.5 %","43.5 %","23.2 %","33.3 %","26.8 %","46","193","239","14158"
"Darin Ruf","Phillies (AA)","25","584",".325","0.80","22.4 %","34.4 %","43.1 %","16.0 %","22.5 %","49.1 %","20.6 %","30.3 %","8.6 %","930","1360","2290","9929"
"Matt Smith","Marlins (A)","24","383",".346","1.03","21.3 %","40.0 %","38.7 %","6.7 %","22.5 %","39.2 %","25.3 %","35.4 %","33.5 %","185","568","753","sa503830"
"Jose Briceno","Rockies (R)","19","26",".368","1.11","9.5 %","47.6 %","42.9 %","33.3 %","22.2 %","47.6 %","28.6 %","23.8 %","17.5 %","11","29","40","13151"
"Vernon Wells","Angels (AAA)","33","28",".333","0.56","30.0 %","25.0 %","45.0 %","22.2 %","22.2 %","50.0 %","35.0 %","15.0 %","11.3 %","37","69","106","1326"
"Jason Botts","Mexican (AAA)","31","139",".359","1.14","21.4 %","41.8 %","36.7 %","22.2 %","22.2 %","38.0 %","20.0 %","42.0 %","7.7 %","219","338","557","2907"
"J.D. Martin","Marlins (AAA)","29","36",".238","1.22","13.0 %","47.8 %","39.1 %","33.3 %","22.2 %","58.3 %","20.8 %","20.8 %","15.1 %","49","97","146","3685"
"Victor Mercedes","Mexican (AAA)","33","89",".328","2.00","14.3 %","57.1 %","28.6 %","5.6 %","22.2 %","53.0 %","25.8 %","21.2 %","9.9 %","125","197","322","sa200069"
"JJ Ethel","Dodgers (R)","23","45",".231","1.78","10.7 %","57.1 %","32.1 %","0.0 %","22.2 %","57.1 %","17.9 %","25.0 %","34.9 %","25","61","86","sa600696"
"Johnathan Knight","- - -","19","51",".316","0.78","20.0 %","35.0 %","45.0 %","0.0 %","22.2 %","60.0 %","10.0 %","30.0 %","58.1 %","14","91","105","sa603123"
"Joseph Dunigan","Mariners (AA)","26","469",".366","0.90","13.7 %","41.0 %","45.4 %","19.5 %","22.1 %","50.0 %","23.8 %","26.2 %","25.8 %","539","1101","1640","sa389233"
"Eric Avila","Pirates (A)","22","198",".301","1.18","22.1 %","42.1 %","35.7 %","22.0 %","22.0 %","56.8 %","18.9 %","24.3 %","32.1 %","66","286","352","sa507189"
"Christian Yelich","- - -","20","451",".395","3.25","23.5 %","58.5 %","18.0 %","3.6 %","21.8 %","42.3 %","24.3 %","33.4 %","20.1 %","245","601","846","11477"
"Wil Myers","- - -","21","591",".364","0.86","16.2 %","38.7 %","45.1 %","22.9 %","21.8 %","55.7 %","24.6 %","19.7 %","9.3 %","914","1424","2338","10047"
"Harold Riggins","Rockies (A)","22","379",".385","1.20","12.2 %","48.0 %","39.8 %","10.2 %","21.6 %","43.2 %","22.0 %","34.8 %","33.1 %","237","590","827","sa546789"
"John Lindsey","- - -","35","601",".343","1.01","14.7 %","42.9 %","42.4 %","17.4 %","21.6 %","51.8 %","22.5 %","25.8 %","12.5 %","868","1382","2250","2279"
"Mike Hessman","Astros (AAA)","34","492",".244","0.56","17.2 %","29.9 %","52.9 %","26.4 %","21.5 %","61.3 %","19.4 %","19.4 %","14.8 %","686","1190","1876","1808"
"Pablo Sandoval","- - -","25","35",".240","0.71","11.1 %","37.0 %","51.9 %","7.1 %","21.4 %","53.6 %","28.6 %","17.9 %","24.7 %","19","62","81","5409"
"Wade Hinkle","Angels (R)","22","325",".368","1.52","17.1 %","50.0 %","32.9 %","11.3 %","21.1 %","55.3 %","16.0 %","28.8 %","19.5 %","219","397","616","sa658642"
"Saul Soto","Mexican (AAA)","33","464",".330","1.25","18.6 %","45.2 %","36.2 %","18.3 %","21.1 %","59.9 %","21.0 %","19.1 %","9.2 %","806","1072","1878","sa211076"
"Tyler Roberts","Brewers (A)","21","102",".224","1.53","21.3 %","47.5 %","31.1 %","31.6 %","21.1 %","45.3 %","14.1 %","40.6 %","14.9 %","99","209","308","sa501663"
"Luis Alvarez","- - -","22","77",".306","1.16","22.6 %","41.5 %","35.8 %","15.8 %","21.1 %","43.4 %","35.9 %","20.8 %","30.6 %","29","105","134","sa503151"
"Daniel Vogelbach","- - -","19","283",".343","0.95","18.1 %","39.9 %","42.0 %","14.8 %","21.0 %","52.5 %","22.7 %","24.8 %","24.7 %","178","361","539","14130"
"Adam Brett Walker","Twins (R)","20","254",".310","1.07","8.6 %","47.4 %","44.1 %","16.4 %","20.9 %","53.2 %","25.0 %","21.8 %","39.6 %","103","402","505","sa621791"
"Trevor Martin","Cardinals (R)","20","108",".297","1.46","10.6 %","53.0 %","36.4 %","4.2 %","20.8 %","42.0 %","24.6 %","33.3 %","32.2 %","49","153","202","sa549480"
"Travis d'Arnaud","Blue Jays (AAA)","23","303",".374","1.16","24.2 %","40.6 %","35.2 %","14.3 %","20.8 %","41.0 %","26.1 %","32.9 %","11.1 %","402","690","1092","7739"
"Ronnie Welty","- - -","24","229",".389","1.14","15.6 %","45.0 %","39.4 %","7.9 %","20.6 %","39.3 %","28.2 %","32.5 %","16.8 %","208","465","673","sa455432"
"Juan Romero","Indians (A-)","19","151",".279","0.76","17.8 %","35.6 %","46.6 %","26.5 %","20.6 %","45.3 %","24.0 %","30.7 %","47.1 %","48","279","327","sa549649"
"Aaron Baker","- - -","24","377",".293","1.00","13.4 %","43.3 %","43.3 %","15.9 %","20.6 %","48.0 %","25.0 %","27.0 %","19.5 %","328","653","981","sa501612"
"Kyle Parker","Rockies (A+)","22","463",".346","1.21","17.1 %","45.5 %","37.5 %","17.9 %","20.5 %","44.6 %","21.8 %","33.7 %","20.4 %","353","634","987","11763"
"Corey Seager","Dodgers (R)","18","202",".336","1.92","18.6 %","53.6 %","27.9 %","12.8 %","20.5 %","45.9 %","20.6 %","33.6 %","20.6 %","102","257","359","13624"
"Jack Cust","- - -","33","493",".333","0.89","20.6 %","37.3 %","42.1 %","10.2 %","20.4 %","45.3 %","22.0 %","32.6 %","16.0 %","973","1141","2114","1564"
"Domingo Santana","Astros (A+)","19","525",".397","1.27","15.7 %","47.2 %","37.0 %","5.3 %","20.4 %","43.8 %","24.0 %","32.3 %","29.1 %","322","830","1152","10348"
"Travis Snider","- - -","24","269",".356","1.38","18.3 %","47.3 %","34.4 %","18.8 %","20.3 %","44.4 %","28.9 %","26.7 %","10.6 %","405","595","1000","2830"
"Joey Butler","Rangers (AAA)","26","584",".351","1.99","17.5 %","54.9 %","27.6 %","7.1 %","20.2 %","34.3 %","23.2 %","42.4 %","11.2 %","952","1382","2334","7799"
"A.J. Kirby-Jones","Athletics (A+)","23","490",".308","1.26","12.0 %","49.1 %","39.0 %","12.5 %","20.2 %","49.3 %","27.0 %","23.7 %","26.9 %","436","716","1152","sa548449"
"Matt Harvey","Mets (AAA)","23","17",".300","1.00","9.1 %","45.5 %","45.5 %","20.0 %","20.0 %","36.4 %","36.4 %","27.3 %","16.7 %","15","39","54","11713"
"Anthony Alford","Blue Jays (R)","17","20",".154","1.20","15.4 %","46.2 %","38.5 %","20.0 %","20.0 %","35.7 %","21.4 %","42.9 %","25.0 %","10","26","36","14329"
"Miguel Olivo","Mariners (AAA)","33","13",".333","0.40","0.0 %","28.6 %","71.4 %","40.0 %","20.0 %","57.1 %","14.3 %","28.6 %","20.0 %","16","39","55","1638"
"Xavier Nady","- - -","33","140",".261","1.63","19.4 %","50.0 %","30.6 %","10.0 %","20.0 %","50.0 %","21.4 %","28.6 %","14.3 %","141","293","434","1658"
"Ryan Howard","- - -","32","26",".529","2.00","16.7 %","55.6 %","27.8 %","0.0 %","20.0 %","27.8 %","22.2 %","50.0 %","13.2 %","36","40","76","2154"
"Corey Brown","Nationals (AAA)","26","554",".349","1.17","19.8 %","43.2 %","37.0 %","16.8 %","20.0 %","47.4 %","29.3 %","23.3 %","12.6 %","815","1265","2080","2650"
"Chris Young","- - -","28","15",".333","0.60","20.0 %","30.0 %","50.0 %","0.0 %","20.0 %","50.0 %","40.0 %","10.0 %","21.4 %","8","34","42","3882"
"Juan Uribe","Dodgers (A+)","33","11",".333","0.40","0.0 %","28.6 %","71.4 %","40.0 %","20.0 %","42.9 %","0.0 %","57.1 %","54.2 %","4","20","24","454"
"Carlos Gomez","Brewers (A)","26","14",".125","0.80","0.0 %","44.4 %","55.6 %","20.0 %","20.0 %","66.7 %","0.0 %","33.3 %","14.9 %","15","32","47","4881"
"Giancarlo Stanton","Marlins (A+)","22","16",".231","0.40","6.7 %","26.7 %","66.7 %","30.0 %","20.0 %","46.7 %","20.0 %","33.3 %","5.0 %","2","18","20","4949"
"Josh Donaldson","Athletics (AAA)","26","234",".350","1.06","21.6 %","40.4 %","38.0 %","27.7 %","20.0 %","50.9 %","23.7 %","25.4 %","7.9 %","362","567","929","5038"
"Moises Sierra","Blue Jays (AAA)","23","422",".333","1.86","15.6 %","54.9 %","29.5 %","17.6 %","20.0 %","43.7 %","20.8 %","35.5 %","11.4 %","612","1011","1623","6050"
"Matt Carpenter","- - -","26","22",".231","1.40","14.3 %","50.0 %","35.7 %","0.0 %","20.0 %","71.4 %","7.1 %","21.4 %","7.5 %","43","50","93","8090"
"Matt Esquivel","Mexican (AAA)","29","146",".326","1.29","16.7 %","46.9 %","36.5 %","22.9 %","20.0 %","52.5 %","20.2 %","27.3 %","11.2 %","233","338","571","sa201726"
