"Name","Team","Age","PA","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Mike Bolsinger","Diamondbacks (AA)","24","19",".333","2.00","0.0 %","66.7 %","33.3 %","0.0 %","100.0 %","50.0 %","33.3 %","16.7 %","22.7 %","17","49","66","11137"
"Sam Tuivailala","Cardinals (R)","19","4",".000","0.00","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","54.6 %","2","9","11","13485"
"Jose Bautista","- - -","31","9",".000","1.00","20.0 %","40.0 %","40.0 %","0.0 %","100.0 %","20.0 %","60.0 %","20.0 %","7.7 %","12","14","26","1887"
"Nick Markakis","Orioles (AA)","28","12",".167","2.00","25.0 %","50.0 %","25.0 %","0.0 %","100.0 %","75.0 %","25.0 %","0.0 %","5.3 %","26","31","57","5930"
"Sean Rodriguez","Rays (AAA)","27","8",".667","1.00","50.0 %","25.0 %","25.0 %","0.0 %","100.0 %","75.0 %","0.0 %","25.0 %","16.7 %","14","22","36","6589"
"Edgmer Escalona","Rockies (AAA)","25","2",".000","0.00","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","33.3 %","1","5","6","8574"
"Scott Rolen","Reds (AAA)","37","6",".333","3.00","0.0 %","75.0 %","25.0 %","0.0 %","100.0 %","25.0 %","50.0 %","25.0 %","9.5 %","8","13","21","970"
"Dylan Owen","Mets (AAA)","25","6",".000","2.00","0.0 %","66.7 %","33.3 %","0.0 %","100.0 %","66.7 %","0.0 %","33.3 %","18.2 %","4","18","22","sa389225"
"Daniel Adamson","Astros (A+)","24","12",".000","1.00","0.0 %","50.0 %","50.0 %","0.0 %","100.0 %","50.0 %","50.0 %","0.0 %","62.5 %","0","32","32","sa549299"
"Michael Bernal","Mets (R)","20","22",".571","4.00","37.5 %","50.0 %","12.5 %","0.0 %","100.0 %","87.5 %","0.0 %","12.5 %","30.9 %","20","35","55","sa551707"
"Brian Adams","Padres (A-)","21","32",".462","1.75","26.7 %","46.7 %","26.7 %","0.0 %","75.0 %","68.8 %","12.5 %","18.8 %","46.0 %","21","53","74","sa503607"
"Juan Rivera","- - -","33","14",".143","1.33","22.2 %","44.4 %","33.3 %","33.3 %","66.7 %","33.3 %","22.2 %","44.4 %","18.0 %","13","26","39","843"
"Rick Ankiel","- - -","32","26",".455","1.00","28.6 %","35.7 %","35.7 %","0.0 %","60.0 %","35.7 %","50.0 %","14.3 %","9.6 %","36","37","73","1142"
"Gabriel Martinez","Mexican (AAA)","29","42",".214","1.40","29.4 %","41.2 %","29.4 %","40.0 %","60.0 %","52.9 %","11.8 %","35.3 %","14.4 %","91","103","194","sa201781"
"Luke Scott","- - -","34","42",".304","1.38","29.6 %","40.7 %","29.6 %","37.5 %","50.0 %","59.3 %","29.6 %","11.1 %","17.5 %","64","79","143","3469"
