"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Barrett Serrato","Rangers (A-)","21","192","18.2 %","24.5 %","0.74",".182",".337",".234",".571",".052","1.5",".255","-0.9","18","-4.7",".298","79","sa579638"
"Dan Brewer","- - -","24","300","9.3 %","19.3 %","0.48",".242",".314",".327",".642",".086","5.0",".297","-0.1","28","-6.8",".297","80","sa454991"
"David Nick","Diamondbacks (AA)","22","497","5.6 %","17.1 %","0.33",".249",".296",".341",".637",".092","4.8",".294","0.4","43","-12.8",".297","77","sa501268"
"Richard Rodriguez","Giants (R)","19","173","6.9 %","11.6 %","0.60",".248",".306",".280",".586",".032","6.3",".285","1.0","17","-4.9",".297","77","sa596966"
"Edwin Gomez","- - -","20","120","5.0 %","23.3 %","0.21",".243",".288",".351",".639",".108","3.6",".317","-0.4","12","-1.8",".297","87","sa501242"
"Alexi Amarista","- - -","23","134","3.0 %","9.0 %","0.33",".278",".293",".389",".682",".111","7.5",".293","0.8","12","-5.2",".297","70","9063"
"Clark Murphy","- - -","22","137","8.8 %","34.3 %","0.26",".215",".301",".314",".616",".099","4.5",".324","0.4","13","-3.3",".297","80","sa454571"
"Beamer Weems","Padres (AAA)","24","270","7.4 %","21.1 %","0.35",".241",".305",".351",".656",".110","2.2",".293","-0.5","25","-10.6",".297","70","sa454985"
"Bubba Jones","Yankees (R)","19","166","10.2 %","23.5 %","0.44",".223",".307",".297",".605",".074","2.4",".303","0.0","16","-2.4",".297","87","sa601928"
"Niko Vasquez","- - -","23","353","11.0 %","17.6 %","0.63",".220",".311",".337",".648",".117","3.8",".263","0.2","35","-11.6",".297","74","sa454460"
"Neal Pritchard","- - -","23","216","9.7 %","28.7 %","0.34",".220",".327",".280",".607",".060","2.9",".322","-1.0","21","-4.7",".297","82","sa599386"
"Hans Wilson","Mexican (AAA)","21","60","6.7 %","15.0 %","0.44",".255",".300",".364",".664",".109","5.4",".298","0.2","5","-2.8",".297","65","sa507241"
"Daury Urena","Dodgers (R)","21","24","0.0 %","8.3 %","0.00",".261",".292",".304",".596",".043","4.1",".286","-0.4","2","-0.7",".297","77","sa658079"
"Mario Ivan Santana","Mexican (AAA)","36","324","9.6 %","9.6 %","1.00",".240",".317",".329",".646",".088","3.7",".258","0.7","28","-15.1",".297","65","sa187685"
"Michael Brenly","Cubs (AA)","25","300","8.7 %","19.7 %","0.44",".227",".295",".342",".637",".115","1.5",".270","-0.7","26","-7.9",".297","77","sa455866"
"Bralin Jackson","Rays (R)","18","154","3.9 %","25.3 %","0.15",".253",".286",".342",".628",".089","6.9",".343","-0.2","15","-2.2",".297","87","sa658012"
"Ryan Dineen","Astros (A-)","21","267","10.5 %","25.8 %","0.41",".217",".314",".287",".601",".070","6.2",".300","0.7","26","-3.9",".297","87","sa658595"
"Michael Faulkner","Mariners (A-)","21","218","8.7 %","10.1 %","0.86",".255",".333",".261",".594",".005","5.3",".289","0.8","20","-5.4",".297","79","sa502016"
"Kevin Cerda","Nationals (R)","19","211","9.5 %","14.7 %","0.65",".206",".280",".317",".597",".111","3.9",".224","-0.6","20","-6.1",".297","77","sa657795"
"Eufran Vargas","Cubs (R)","17","75","17.3 %","24.0 %","0.72",".172",".347",".190",".536",".017","1.8",".244","-0.7","7","-2.2",".297","77","sa657839"
"Jimmy Cesario","- - -","26","292","4.8 %","16.4 %","0.29",".245",".294",".364",".658",".119","3.9",".278","-0.6","28","-7.8",".297","79","sa462937"
"Ryan McChesney","Rays (R)","22","54","16.7 %","13.0 %","1.29",".205",".333",".250",".583",".045","0.9",".237","0.0","5","-0.8",".297","87","sa659410"
"Jose Herrera","Angels (R)","19","183","9.3 %","12.0 %","0.77",".212",".309",".263",".572",".051","5.3",".243","-0.9","17","-5.3",".297","77","sa597239"
"Rodrigo Vigil","- - -","19","90","5.6 %","14.4 %","0.38",".235",".300",".296",".596",".062","5.8",".275","0.5","9","-1.9",".297","80","sa547818"
"Jamie Jarmon","Rangers (R)","18","160","14.4 %","28.1 %","0.51",".183",".325",".252",".577",".069","7.8",".267","-0.5","17","-6.9",".297","71","sa657961"
"Leo Rodriguez","Dodgers (R)","20","140","8.6 %","17.1 %","0.50",".217",".312",".292",".603",".075","6.5",".260","0.0","15","-6.0",".297","71","sa550613"
"Daniel Kaczrowski","- - -","25","240","13.8 %","8.8 %","1.57",".224",".335",".269",".603",".045","3.1",".244","-1.1","21","-6.4",".297","77","sa502313"
"Matt Spring","- - -","27","233","9.9 %","33.5 %","0.29",".203",".292",".348",".640",".145","1.3",".287","-0.6","21","-5.9",".297","78","sa253802"
"Casey Haerther","Angels (AA)","24","503","2.4 %","12.7 %","0.19",".271",".288",".380",".668",".109","2.1",".293","0.0","48","-10.7",".297","82","sa501491"
"Jr. Mondesi","Brewers (R)","19","298","4.7 %","29.2 %","0.16",".231",".282",".374",".656",".143","7.7",".319","-0.4","29","-14.9",".296","66","sa551329"
"Lucas Herbst","- - -","21","198","2.0 %","14.1 %","0.14",".238",".269",".373",".642",".135","6.4",".261","-1.0","19","-3.9",".296","84","sa546989"
"Adan Amezcua","- - -","38","177","8.5 %","16.4 %","0.52",".234",".313",".338",".650",".104","3.0",".264","0.6","15","-8.4",".296","65","sa195259"
"Jesse Bosnik","Dodgers (A)","23","403","6.5 %","16.6 %","0.39",".239",".290",".360",".651",".121","6.4",".270","2.4","40","-8.8",".296","82","sa549174"
"Chris Ellison","Diamondbacks (A)","23","635","8.7 %","19.4 %","0.45",".240",".309",".329",".638",".089","6.4",".293","0.4","63","-14.0",".296","82","sa578020"
"Rebel Ridling","- - -","26","519","9.6 %","17.9 %","0.54",".215",".287",".354",".641",".139","3.3",".237","-0.8","47","-12.7",".296","78","sa454798"
"Heiker Meneses","- - -","20","418","5.3 %","21.1 %","0.25",".247",".302",".342",".645",".095","6.8",".313","-2.0","39","-10.2",".296","79","sa506229"
"Aubrey Huff","- - -","35","33","12.1 %","15.2 %","0.80",".207",".303",".345",".648",".138","1.6",".217","0.0","3","-1.3",".296","70","1213"
"Steven Ramos","Cardinals (A-)","21","287","5.9 %","19.2 %","0.31",".247",".294",".327",".621",".080","6.8",".308","0.6","28","-4.4",".296","86","sa549577"
"Anthony Caronia","- - -","21","151","8.6 %","23.2 %","0.37",".237",".311",".296",".608",".059","7.2",".310","0.3","14","-2.9",".296","85","sa658633"
"Tony Delmonico","Dodgers (A+)","25","80","16.3 %","30.0 %","0.54",".188",".338",".266",".603",".078","3.3",".293","-0.5","8","-3.2",".296","71","sa454730"
"Anderson De La Rosa","Brewers (AA)","27","244","5.3 %","21.7 %","0.25",".228",".279",".366",".645",".138","2.3",".273","-0.1","21","-6.6",".296","76","sa254509"
"Branden Kaupe","Mets (R)","18","173","22.0 %","25.4 %","0.86",".173",".358",".195",".554",".023","4.8",".256","-0.9","18","-4.5",".296","80","sa657988"
"Renny Osuna","Angels (AA)","27","523","6.9 %","9.9 %","0.69",".258",".311",".332",".643",".074","5.4",".283","1.0","50","-11.5",".296","81","sa330039"
"Roberto Velasquez","Mariners (R)","22","40","25.0 %","17.5 %","1.43",".133",".350",".167",".517",".033","3.9",".174","-0.4","4","-1.8",".296","71","sa504782"
"Drew Martinez","- - -","23","238","7.1 %","12.2 %","0.59",".259",".319",".307",".626",".047","8.0",".296","2.1","24","-6.9",".296","77","sa549661"
"Dean Espy","Royals (A)","22","311","5.1 %","19.9 %","0.26",".255",".300",".338",".638",".083","4.5",".314","1.1","31","-7.0",".296","81","sa598807"
"Michael Crouse","- - -","21","372","11.0 %","31.5 %","0.35",".199",".293",".334",".627",".135","6.3",".274","-0.1","35","-8.3",".296","81","sa454895"
"Hector Roa","Astros (R)","17","134","5.2 %","30.6 %","0.17",".221",".258",".369",".626",".148","3.6",".288","-0.5","13","-4.0",".296","76","sa679482"
"Victor Castro","- - -","20","102","5.9 %","21.6 %","0.27",".228",".284",".326",".610",".098","7.3",".282","0.5","10","-1.7",".295","82","sa547820"
"Jeremy Farrell","- - -","25","376","8.8 %","23.7 %","0.37",".220",".316",".312",".628",".092","3.3",".291","-0.6","33","-9.7",".295","77","sa454554"
"Mycal Jones","- - -","25","535","8.0 %","16.6 %","0.48",".233",".310",".323",".632",".090","6.0",".280","0.3","50","-13.0",".295","79","sa501228"
"Jeff Dominguez","- - -","25","363","6.6 %","19.8 %","0.33",".237",".291",".348",".639",".111","4.5",".287","-0.5","31","-12.3",".295","74","sa254034"
"Steven Baron","Mariners (A)","21","271","4.8 %","18.1 %","0.27",".241",".280",".378",".657",".137","6.6",".280","1.5","27","-6.1",".295","81","9787"
"Jose Martinez","Mets (R)","18","229","7.9 %","21.8 %","0.36",".206",".283",".304",".587",".098","5.2",".268","-3.4","21","-6.9",".295","76","sa657396"
"Jesus Arredondo","Dodgers (A)","21","438","6.4 %","9.4 %","0.68",".254",".305",".340",".645",".086","6.0",".280","-0.9","43","-10.0",".295","81","sa635035"
"Jem Argenal","Cardinals (R)","20","164","1.8 %","16.5 %","0.11",".242",".268",".357",".625",".115","5.9",".273","0.2","16","-2.6",".295","86","sa504704"
"Gavin Cecchini","- - -","18","218","8.3 %","20.2 %","0.41",".240",".307",".321",".629",".082","5.4",".301","-0.9","22","-5.6",".295","80","17005"
"Jose Figuera","- - -","19","107","8.4 %","23.4 %","0.36",".191",".295",".281",".576",".090","6.1",".258","-0.9","10","-3.2",".295","76","sa597040"
"Bryce Massanari","Rockies (A+)","26","106","5.7 %","36.8 %","0.15",".232",".302",".347",".649",".116","2.2",".364","0.0","10","-4.3",".295","71","sa502682"
"Dusty Coleman","Athletics (AA)","25","486","8.4 %","37.4 %","0.23",".201",".284",".363",".647",".162","5.4",".303","-1.7","46","-11.0",".295","81","8979"
"Phillips Castillo","Mariners (R)","18","225","5.8 %","26.7 %","0.22",".209",".286",".348",".634",".139","2.1",".265","-0.6","23","-6.0",".295","79","sa598825"
"Jose Fernandez","Reds (R)","18","189","8.5 %","18.5 %","0.46",".211",".301",".273",".574",".062","6.7",".258","0.5","18","-5.7",".295","75","sa657501"
"Jason Bourgeois","Royals (AAA)","30","247","8.5 %","9.7 %","0.88",".243",".314",".324",".639",".081","5.6",".262","-0.9","22","-10.2",".295","69","2225"
"Hernan Perez","Tigers (A+)","21","479","5.0 %","14.6 %","0.34",".261",".298",".338",".636",".077","6.8",".296","3.5","44","-11.0",".295","80","5751"
"Charley Thurber","Mets (A)","22","391","9.5 %","27.9 %","0.34",".223",".303",".321",".623",".097","4.6",".315","-0.9","37","-11.9",".295","76","sa577878"
"Carlos Castro","Braves (R)","18","65","1.5 %","15.4 %","0.10",".254",".277",".356",".633",".102","5.0",".288","0.3","6","-2.0",".295","75","sa657241"
"Xavier Batista","Cubs (A-)","20","187","10.2 %","28.9 %","0.35",".198",".283",".335",".619",".138","2.5",".266","-0.9","17","-5.0",".294","77","sa506667"
"Jiwan James","Phillies (AA)","23","416","5.0 %","27.6 %","0.18",".249",".291",".360",".651",".110","6.3",".335","-1.6","37","-11.2",".294","77","sa502525"
"Emerson Jimenez","Rockies (R)","17","255","3.5 %","16.5 %","0.21",".261",".289",".307",".596",".046","5.6",".315","1.4","24","-7.8",".294","75","sa657311"
"Drew Maggi","- - -","23","440","11.4 %","19.8 %","0.57",".230",".327",".286",".613",".056","7.0",".293","2.2","40","-11.0",".294","78","sa549144"
"A.J. Pettersen","Twins (A)","23","368","7.6 %","14.4 %","0.53",".248",".312",".320",".632",".072","6.5",".286","1.4","36","-8.6",".294","81","sa546810"
"Kyle Hudson","- - -","25","462","9.3 %","16.0 %","0.58",".264",".335",".286",".621",".022","5.3",".321","-0.2","41","-11.2",".294","79","3658"
"Bryan Holaday","Tigers (AAA)","24","282","7.8 %","15.2 %","0.51",".240",".312",".320",".632",".080","3.2",".280","0.3","25","-6.9",".294","79","11287"
"Kirk Walker","Braves (A)","23","12","8.3 %","33.3 %","0.25",".273",".333",".273",".606",".000","1.1",".429","0.0","1","-0.4",".294","75","sa598623"
"Dreily Guerrero","- - -","21","245","7.3 %","26.5 %","0.28",".256",".311",".301",".613",".046","4.4",".357","0.0","23","-5.4",".294","82","sa506225"
"Randy Cesar","Astros (R)","17","234","9.8 %","15.8 %","0.62",".213",".307",".257",".565",".045","2.5",".255","0.5","22","-7.2",".294","75","sa657542"
