"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Fredy Medina","Astros (R)","19","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".987","483","sa881864"
"Jesus Anguamea","Mexican (AAA)","23","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".930","472","sa737569"
"Tanner Rainey","Reds (AA)","24","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.4",".922","518","17610"
"Tyler Bashlor","Mets (AA)","24","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","0.0","1","0.5",".911","496","15203"
"Dustin Antolin","Nationals (AAA)","27","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".905","502","7119"
"Josh Lindblom","Pirates (AAA)","30","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".905","502","7882"
"Lucas Luetge","Reds (AAA)","30","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","0.0","1","0.5",".905","502","8337"
"Kevin Matthews","Braves (AAA)","24","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".905","502","sa600845"
"Wei-Chung Wang","Brewers (AAA)","25","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","0.0","1","0.5",".903","470","14382"
"Ryan Beckman","- - -","27","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","0.0","1","0.5",".903","470","sa501977"
"Stephen Kohlscheen","Brewers (AAA)","28","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".903","470","sa502700"
"Michael Conforto","Mets (A+)","24","5","20.0 %","20.0 %","1.00",".750",".800","1.000","1.800",".250","1.1","1.000","0.0","2","1.7",".784","418","16376"
"Bryan Molina","Cubs (R)","22","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".774","358","sa871487"
"Adam Hall","Orioles (R)","18","9","0.0 %","22.2 %","0.00",".667",".667","1.000","1.667",".333","9.3",".857","0.2","4","3.0",".770","369","sa3005077"
"Jesen Therrien","- - -","24","1","0.0 %","0.0 %","0.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".747","385","15853"
"Henderson Alvarez","Phillies (AAA)","27","3","0.0 %","0.0 %","0.00",".667",".667","1.000","1.667",".333","2.6",".667","0.0","1","1.0",".731","382","5669"
"Christian Friedrich","Padres (AAA)","29","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".724","352","7942"
"Brad Wieck","- - -","25","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".724","352","sa659424"
"Chris Pike","Rays (A)","24","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".720","361","sa829177"
"Jacob Evans","Cardinals (AA)","23","3","33.3 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","1","0.9",".717","365","sa857606"
"Mitchell White","Dodgers (AA)","22","2","50.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","2.6",".000","0.0","1","0.6",".717","365","sa917948"
"Wander Suero","- - -","25","2","50.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","1","0.6",".715","364","15855"
"Craig Schlitter","Rockies (AA)","25","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","2.6",".000","0.0","0","0.3",".715","364","sa709582"
"Jameson Taillon","Pirates (AAA)","25","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","0.0","0","0.3",".708","366","11674"
"Yeudy Garcia","- - -","24","5","0.0 %","20.0 %","0.00",".600",".600","1.000","1.600",".400","1.6",".750","0.0","2","1.5",".698","351","sa828169"
"Tucker Pennell","Padres (A-)","23","15","26.7 %","20.0 %","1.33",".600",".733",".800","1.533",".200","5.5",".857","0.4","6","4.1",".675","317","sa920100"
"D.J. Johnson","Rockies (AA)","27","3","33.3 %","33.3 %","1.00",".500",".667","1.000","1.667",".500","0.1","1.000","0.0","1","0.8",".668","331","sa553075"
"Odubel Herrera","- - -","25","7","14.3 %","0.0 %","1.00",".500",".571","1.000","1.571",".500","2.6",".400","0.0","3","1.9",".660","328","11476"
"Erisbel Arruebarrena","Dodgers (R)","27","29","6.9 %","20.7 %","0.33",".519",".552",".963","1.515",".444","4.7",".632","0.0","12","7.6",".657","289","15809"
"Tyler Cravy","Brewers (AAA)","27","3","0.0 %","0.0 %","0.00",".333",".333","1.333","1.667","1.000","0.1",".000","0.0","1","0.8",".653","305","10770"
"Franklin Gutierrez","Dodgers (A+)","34","7","14.3 %","0.0 %","1.00",".500",".571","1.000","1.571",".500","1.6",".400","0.0","3","1.9",".651","308","3255"
"Freddie Freeman","Braves (AAA)","27","5","40.0 %","20.0 %","2.00",".667",".800",".667","1.467",".000","1.1","1.000","0.0","2","1.3",".645","323","5361"
"Stephen Zavala","Cardinals (R)","24","3","0.0 %","0.0 %","0.00",".667",".667",".667","1.333",".000","2.6",".667","0.0","1","0.7",".641","290","sa876307"
"Kyle Crick","Giants (AAA)","24","2","0.0 %","0.0 %","0.00",".500",".500","1.000","1.500",".500","0.1",".500","0.0","1","0.5",".625","287","13182"
"Jake Marisnick","Astros (AA)","26","7","0.0 %","28.6 %","0.00",".429",".429","1.000","1.429",".571","2.6",".500","0.0","2","1.6",".620","299","11339"
"Mark Blackmar","Nationals (AA)","25","6","16.7 %","16.7 %","1.00",".400",".500","1.000","1.500",".600","2.6",".333","0.0","2","1.4",".620","298","sa549945"
"James McCann","Tigers (AAA)","27","7","14.3 %","14.3 %","1.00",".667",".714",".667","1.381",".000","0.8",".800","0.0","2","1.6",".619","304","12859"
"Jonathan Villar","Brewers (A)","26","15","6.7 %","20.0 %","0.33",".615",".600",".846","1.446",".231","4.6",".727","-0.4","5","3.4",".614","291","10071"
"Nathaniel Coronado","Rockies (R)","25","23","4.3 %","0.0 %","1.00",".450",".522","1.000","1.522",".550","8.9",".353","0.2","9","5.3",".608","243","sa3002723"
"Hunter Renfroe","Padres (AAA)","25","61","9.8 %","11.5 %","0.86",".509",".557",".891","1.448",".382","7.4",".545","0.2","22","13.9",".603","273","15464"
"Byron Buxton","Twins (AAA)","23","13","7.7 %","23.1 %","0.33",".417",".462",".917","1.378",".500","1.1",".429","0.0","4","2.7",".587","283","14161"
"Ezequiel Carrera","Blue Jays (AAA)","30","4","50.0 %","0.0 %","2.00",".500",".750",".500","1.250",".000","4.6",".500","0.2","1","0.8",".580","278","9048"
"Bringnel Mendez","Yankees (R)","23","4","0.0 %","50.0 %","0.00",".333",".333","1.000","1.333",".667","5.1","1.000","0.0","1","0.7",".574","249","sa873208"
"Wilmer Flores","- - -","25","13","0.0 %","15.4 %","0.00",".417",".462",".833","1.295",".417","2.6",".444","0.0","4","2.4",".571","266","5827"
"Dennis Santana","Dodgers (AA)","21","8","0.0 %","12.5 %","0.00",".429",".429",".857","1.286",".429","0.1",".400","0.0","2","1.5",".565","262","17878"
"Jonathan Schwind","- - -","27","27","7.4 %","14.8 %","0.50",".417",".462",".833","1.295",".417","5.6",".444","0.2","8","4.9",".564","259","sa598663"
"Mike Garzillo","Marlins (A-)","23","6","33.3 %","33.3 %","1.00",".500",".667",".500","1.167",".000","1.1","1.000","0.0","2","1.0",".559","259","sa876360"
"Chris Betts","Rays (R)","20","8","12.5 %","12.5 %","1.00",".429",".500",".714","1.214",".286","5.9",".500","0.2","2","1.3",".555","237","sa874791"
"Jose Garcia","White Sox (R)","21","54","13.0 %","20.4 %","0.64",".429",".528",".738","1.266",".310","6.1",".563","-1.1","17","9.5",".552","227","sa3005322"
"Jason Heyward","Cubs (A)","27","8","12.5 %","0.0 %","1.00",".571",".625",".571","1.196",".000","2.0",".571","0.0","2","1.4",".550","250","4940"
"Daniel Nava","- - -","34","7","14.3 %","0.0 %","1.00",".500",".571",".667","1.238",".167","2.6",".500","0.0","2","1.2",".545","251","5450"
"Ismael Guillon","- - -","25","3","0.0 %","33.3 %","0.00",".333",".333","1.000","1.333",".667","5.1",".500","0.0","1","0.5",".544","252","sa550236"
"Justin Bour","- - -","29","13","7.7 %","7.7 %","1.00",".455",".462",".818","1.280",".364","2.0",".400","0.0","4","2.1",".542","254","9744"
"Cody Dickson","- - -","25","3","33.3 %","0.0 %","1.00",".500",".667",".500","1.167",".000","0.1",".500","0.0","1","0.5",".540","247","sa737782"
"Ezequiel Duran","Yankees (R)","18","65","4.6 %","23.1 %","0.20",".393",".415",".754","1.169",".361","8.0",".477","0.5","18","9.7",".539","220","sa3005271"
"Luis Curbelo","White Sox (R)","19","17","5.9 %","23.5 %","0.25",".429",".529",".714","1.244",".286","2.6",".556","0.0","6","2.8",".537","201","sa918086"
"Jorge Gonzalez","Mexican (AAA)","19","14","7.1 %","35.7 %","0.20",".462",".500",".692","1.192",".231","2.6",".714","0.0","4","2.1",".529","215","sa3002580"
"Ben Zobrist","Cubs (AA)","36","8","25.0 %","0.0 %","2.00",".500",".625",".500","1.125",".000","2.0",".500","0.0","2","1.2",".524","242","7435"
"Jose Martinez","Cardinals (A+)","28","14","14.3 %","7.1 %","2.00",".333",".429",".750","1.179",".417","7.1",".300","0.2","4","2.1",".521","238","7996"
"Didi Gregorius","Yankees (A+)","27","19","5.3 %","5.3 %","1.00",".444",".474",".667","1.140",".222","4.0",".438","0.2","5","2.8",".520","238","6012"
"Nick Tanielu","Astros (R)","24","6","0.0 %","0.0 %","0.00",".400",".500",".600","1.100",".200","0.1",".400","0.0","2","0.8",".519","215","sa829082"
"Matt Pierpont","Rockies (AA)","26","12","0.0 %","0.0 %","0.00",".455",".455",".727","1.182",".273","2.0",".455","0.0","3","1.8",".517","229","sa738366"
"Steven Brault","Pirates (AAA)","25","8","0.0 %","12.5 %","0.00",".500",".500",".667","1.167",".167","0.1",".600","0.0","2","1.2",".516","234","15291"
"Darius Day","Rangers (R)","22","34","38.2 %","26.5 %","1.44",".333",".588",".476","1.064",".143","4.3",".583","0.2","10","5.0",".516","206","sa829408"
"Brad Markey","- - -","25","5","20.0 %","20.0 %","1.00",".333",".500",".667","1.167",".333","0.1",".500","0.0","2","1.0",".510","312","sa659004"
"Leandro Cedeno","Cardinals (R)","18","39","2.6 %","17.9 %","0.14",".351",".359",".784","1.143",".432","2.0",".333","0.0","10","5.2",".508","208","sa873307"
"Drew Muren","- - -","28","5","20.0 %","0.0 %","1.00",".500",".600",".500","1.100",".000","1.6",".500","0.0","1","0.8",".508","224","sa545091"
"Anthony Santander","- - -","22","64","10.9 %","15.6 %","0.70",".382",".453",".745","1.199",".364","1.7",".390","0.0","17","9.1",".507","223","14551"
"Joe Dunand","- - -","21","34","14.7 %","23.5 %","0.63",".370",".471",".667","1.137",".296","2.4",".474","-0.4","9","4.6",".507","215","sa3005360"
"Kyle Higashioka","- - -","27","82","8.5 %","14.6 %","0.58",".338",".390",".797","1.188",".459","1.1",".296","0.0","22","12.1",".507","223","5517"
"Whit Merrifield","Royals (AAA)","28","37","2.7 %","10.8 %","0.25",".412",".432",".794","1.227",".382","3.2",".393","-0.3","10","5.3",".505","208","11281"
"Jackie Bradley Jr.","Red Sox (AAA)","27","7","28.6 %","28.6 %","1.00",".200",".429",".800","1.229",".600","0.1",".000","0.0","2","1.0",".503","224","12984"
"Brandon Crawford","Giants (AA)","30","8","0.0 %","0.0 %","0.00",".500",".500",".625","1.125",".125","1.1",".500","0.0","2","1.1",".503","219","5343"
"Joe Munoz","- - -","23","63","19.0 %","23.8 %","0.80",".380",".508",".640","1.148",".260","1.1",".500","0.1","16","8.1",".501","199","sa657976"
"Gary Sanchez","Yankees (AAA)","24","13","0.0 %","23.1 %","0.00",".385",".385",".769","1.154",".385","2.6",".444","0.0","3","1.8",".499","222","11442"
"Will Remillard","- - -","24","31","16.1 %","9.7 %","1.67",".400",".516",".560","1.076",".160","1.2",".455","0.0","8","4.1",".497","204","sa738192"
"Michael Wing","Mexican (AAA)","28","98","7.1 %","15.3 %","0.47",".432",".469",".659","1.128",".227","2.6",".471","-0.3","25","11.9",".495","193","sa392185"
"Yorbys Tabares","Phillies (R)","20","4","0.0 %","25.0 %","0.00",".500",".500",".500","1.000",".000","2.6",".667","0.0","1","0.5",".494","193","sa826648"
"Kyle Schwarber","Cubs (AAA)","24","44","18.2 %","27.3 %","0.67",".343",".477",".714","1.192",".371","1.5",".421","0.0","12","5.8",".493","201","16478"
"Luis Robert","White Sox (R)","19","114","19.3 %","20.2 %","0.96",".310",".491",".536","1.027",".226","7.5",".397","1.3","27","13.1",".493","193","sa3003396"
"Mason Martin","Pirates (R)","18","166","19.3 %","24.7 %","0.78",".307",".457",".630","1.087",".323","3.5",".368","-0.5","40","19.9",".491","198","sa3004885"
"Jamie Romak","Padres (AAA)","31","102","5.9 %","24.5 %","0.24",".347",".392",".800","1.192",".453","6.7",".373","-0.1","27","13.2",".489","198","5552"
"Ryan Noda","Blue Jays (R)","21","276","21.4 %","21.7 %","0.98",".364",".507",".575","1.082",".210","6.4",".483","-0.2","72","34.2",".487","190","sa873960"
"Danny Santana","Braves (AAA)","26","19","5.3 %","15.8 %","0.33",".500",".526",".556","1.082",".056","6.1",".600","0.4","5","2.4",".486","213","10322"
"Richard Slenker","Astros (R)","22","28","17.9 %","10.7 %","1.67",".273",".429",".636","1.065",".364","2.1",".235","-0.4","7","3.2",".486","195","sa873973"
"Mickey Jannis","Mets (AA)","29","13","7.7 %","7.7 %","1.00",".500",".556",".500","1.056",".000","2.0",".571","0.0","3","1.6",".484","206","sa550198"
"Ian Desmond","Rockies (AAA)","31","10","10.0 %","10.0 %","1.00",".333",".400",".778","1.178",".444","0.1",".286","0.0","3","1.2",".483","194","6885"
"Jhoan Herrera","Pirates (R)","22","20","15.0 %","25.0 %","0.60",".353",".450",".647","1.097",".294","1.6",".455","-0.5","5","2.4",".483","188","sa736902"
"Kolten Wong","- - -","26","26","11.5 %","7.7 %","1.50",".318",".423",".682","1.105",".364","5.5",".278","0.2","6","3.2",".481","205","12532"
"Brad Miller","- - -","27","21","14.3 %","19.0 %","0.75",".333",".429",".667","1.095",".333","0.3",".385","0.0","5","2.6",".480","210","12775"
"Yoel Yanqui","Diamondbacks (R)","21","202","14.4 %","16.8 %","0.85",".373",".460",".544","1.005",".172","7.5",".449","2.2","46","21.4",".480","185","sa3003437"
"Andrison Pena","Rangers (R)","20","197","15.7 %","9.1 %","1.72",".344",".447",".558","1.005",".215","5.4",".364","-0.1","45","20.8",".480","185","sa917278"
"Cesar Hernandez","Phillies (A+)","27","17","52.9 %","11.8 %","4.50",".143",".647",".143",".790",".000","0.8",".200","0.0","4","2.0",".479","210","10556"
"Yasmany Tomas","Diamondbacks (R)","26","7","0.0 %","28.6 %","0.00",".286",".286",".857","1.143",".571","0.1",".250","0.0","2","0.8",".478","183","17171"
"Tyreque Reed","Rangers (R)","20","145","15.2 %","17.9 %","0.85",".350",".455",".617","1.072",".267","7.3",".411","0.1","37","16.7",".478","183","sa3004163"
"Diosbel Arias","Rangers (R)","20","32","3.1 %","18.8 %","0.17",".419",".438",".548",".986",".129","1.3",".520","0.1","7","3.3",".477","183","sa3005308"
"Josh Donaldson","Blue Jays (A+)","31","7","14.3 %","28.6 %","0.50",".400",".571",".400",".971",".000","0.1",".667","0.0","2","0.8",".476","208","5038"
"Antonio Arias","- - -","19","187","12.3 %","12.3 %","1.00",".371",".457",".522",".979",".151","7.6",".414","1.3","42","19.1",".475","182","sa873482"
"Yadir Drake","Mexican (AAA)","27","300","9.3 %","13.0 %","0.72",".385",".450",".642","1.092",".258","4.3",".406","-0.3","71","31.4",".475","180","sa869674"
"Anthony Peroni","Nationals (A-)","20","2","0.0 %","0.0 %","0.00",".500",".500",".500","1.000",".000","0.1",".500","0.0","0","0.2",".474","204","sa3004612"
"Hidekel Abreu","Reds (R)","19","2","0.0 %","0.0 %","0.00",".500",".500",".500","1.000",".000","2.6",".500","0.0","0","0.2",".473","180","sa872532"
"Adam Frazier","Pirates (AAA)","25","13","23.1 %","7.7 %","3.00",".400",".538",".500","1.038",".100","5.1",".444","0.2","3","1.5",".471","202","15223"
"Victor Mendoza","Mexican (AAA)","26","66","4.5 %","16.7 %","0.27",".355",".385",".710","1.094",".355","0.5",".356","0.1","15","6.7",".471","178","sa722315"
"Michael Cantu","Padres (R)","21","8","25.0 %","12.5 %","2.00",".333",".500",".500","1.000",".167","5.5",".400","0.2","2","0.9",".471","179","sa829494"
"David MacKinnon","- - -","22","157","15.9 %","8.3 %","1.92",".392",".503",".533","1.037",".142","5.6",".413","0.5","41","15.7",".470","162","sa873706"
"Conner Uselton","Pirates (R)","19","7","0.0 %","14.3 %","0.00",".429",".429",".571","1.000",".143","0.1",".500","0.0","2","0.7",".470","185","sa3004502"
"Dan Johnson","- - -","37","271","19.9 %","13.7 %","1.46",".319",".470",".585","1.055",".266","2.9",".333","-0.6","62","26.4",".467","175","2167"
"Kyle Beam","Brewers (R)","22","6","16.7 %","16.7 %","1.00",".200",".333",".800","1.133",".600","2.6",".000","0.0","1","0.6",".466","176","sa3004528"
"Keon Broxton","Brewers (AAA)","27","34","20.6 %","23.5 %","0.88",".385",".500",".577","1.077",".192","5.0",".500","0.8","8","3.7",".466","183","9253"
"Jack Larsen","Mariners (R)","22","142","23.2 %","23.2 %","1.00",".312",".472",".541","1.013",".229","6.5",".425","-0.9","35","14.8",".465","175","sa3004840"
"Ryan Costello","Mariners (R)","21","172","15.1 %","22.1 %","0.68",".331",".430",".634","1.064",".303","6.3",".394","0.1","42","17.9",".464","175","sa3004071"
"Mike Trout","Angels (A+)","25","15","26.7 %","13.3 %","2.00",".222",".500",".556","1.056",".333","5.1",".286","0.0","4","1.7",".464","187","10155"
"Adam Cimber","Padres (AAA)","26","8","0.0 %","25.0 %","0.00",".375",".375",".750","1.125",".375","4.1",".500","0.0","2","0.9",".464","182","15288"
"A.J. Pollock","Diamondbacks (AAA)","29","22","18.2 %","9.1 %","2.00",".278",".409",".722","1.131",".444","2.6",".214","0.0","5","2.4",".464","182","9256"
"Daniel Robertson","- - -","23","58","6.9 %","13.8 %","0.50",".404",".466",".577","1.042",".173","2.3",".452","-0.4","13","6.4",".464","200","14145"
"Heliot Ramos","Giants (R)","17","151","6.6 %","31.8 %","0.21",".348",".404",".645","1.049",".297","9.0",".500","1.0","37","15.6",".464","175","sa3004693"
"Juan Mendez","Phillies (R)","18","151","5.3 %","12.6 %","0.42",".379",".411",".571",".982",".193","5.3",".417","-0.4","33","14.1",".463","176","sa3002700"
"Henry Quintero","Braves (R)","23","36","8.3 %","19.4 %","0.43",".333",".417",".567",".983",".233","4.9",".417","0.1","8","3.4",".463","175","sa3004940"
"Donovan Casey","- - -","21","170","7.1 %","12.4 %","0.57",".403",".453",".604","1.057",".201","7.2",".433","0.3","43","15.6",".463","158","sa915654"
"Robinson Batista","Giants (R)","18","56","8.9 %","7.1 %","1.25",".370",".431",".522",".953",".152","8.9",".390","0.2","12","5.2",".462","174","sa916846"
"Gustavo Campero","- - -","19","144","18.8 %","16.0 %","1.17",".304",".444",".545",".989",".241","8.6",".352","2.1","32","13.9",".462","179","sa3003242"
"Chris Nunn","Cubs (AA)","26","2","0.0 %","50.0 %","0.00",".500",".500",".500","1.000",".000","0.1","1.000","0.0","0","0.2",".461","199","sa658577"
"Casey Bloomquist","Cubs (AA)","23","2","0.0 %","50.0 %","0.00",".500",".500",".500","1.000",".000","0.1","1.000","0.0","0","0.2",".461","199","sa875732"
"Christian Arroyo","Giants (AAA)","22","102","5.9 %","11.8 %","0.50",".396",".461",".604","1.065",".209","4.5",".427","0.4","24","10.7",".461","179","16434"
"Aaron Hicks","- - -","27","27","11.1 %","11.1 %","1.00",".333",".407",".667","1.074",".333","8.8",".350","0.2","6","2.9",".461","193","5297"
"Anthony Villa","White Sox (R)","23","289","18.0 %","24.9 %","0.72",".314",".453",".619","1.073",".305","3.6",".390","0.4","72","25.5",".460","155","sa918406"
"Ryan Flaherty","- - -","30","68","22.1 %","8.8 %","2.50",".333",".500",".510","1.010",".176","2.6",".349","0.0","15","7.2",".459","190","7888"
"Ralston Cash","Dodgers (AA)","25","2","0.0 %","0.0 %","0.00",".500",".500",".500","1.000",".000","2.6",".500","0.0","0","0.2",".458","190","sa548277"
"Dailyn Martinez","Cardinals (AA)","24","2","0.0 %","0.0 %","0.00",".500",".500",".500","1.000",".000","0.1",".500","0.0","0","0.2",".458","190","sa658075"
"Karch Kowalczyk","Dodgers (AA)","26","2","0.0 %","50.0 %","0.00",".500",".500",".500","1.000",".000","0.1","1.000","0.0","0","0.2",".458","190","sa829792"
"Willis Figueroa","Red Sox (R)","22","172","18.6 %","14.0 %","1.33",".356",".494",".409",".903",".053","6.7",".431","-0.2","37","15.3",".457","172","sa873164"
"Jorge Tillero","Nationals (A)","23","39","2.6 %","15.4 %","0.17",".421",".436",".579","1.015",".158","1.4",".500","0.0","9","4.1",".457","193","sa597511"
"Alberoni Nunez","Twins (R)","18","193","10.4 %","18.1 %","0.57",".352",".420",".545",".965",".194","7.4",".417","-0.9","41","17.2",".457","172","sa3002633"
"Ramiro Rodriguez","- - -","19","232","12.9 %","9.9 %","1.30",".335",".440",".500",".940",".165","5.8",".359","-1.0","49","20.7",".457","172","sa917287"
