"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Charlie Manning","Nationals (AAA)","29","6","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","3578"
"Randy Johnson","Diamondbacks (AAA)","44","1","1","2","1","1","0","0","0","0","2","1","0","0","0","0","0","0","0","0","1.000","60"
"Ryan Mattheus","Rockies (AA)","24","24","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","7169"
"Kevin Gryboski","Giants (AAA)","34","34","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","91"
"Carlos Fisher","- - -","25","33","1","2","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1.000","9832"
"Mariano Gomez","Twins (AAA)","25","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa199551"
"Jim Ed Warden","- - -","29","25","1","1","1","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","1.000","sa201006"
"Spike Lundberg","Mexican (AAA)","31","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","sa209108"
"Ryan Thompson","Astros (AA)","25","6","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa295811"
"Fabian Marquez","Cardinals (R)","16","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa3000841"
"Chris Anderson","Twins (A)","22","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa328047"
"Luis Liria","Cubs (R)","18","1","4","5","4","3","1","0","0","2","4","0","0","0","1","0","0","0","0","0","1.000","sa506679"
"Jordan Wolf","Orioles (A)","23","2","4","7","3","2","0","1","0","0","1","2","0","0","1","0","0","0","1","1",".750","sa390659"
"Nate Recknagel","Indians (R)","22","1","4","4","3","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0",".750","sa454575"
"Michael Barrett","- - -","31","4","10","11","7","5","2","0","0","2","4","1","0","1","0","0","0","0","0","0",".700","762"
"Yovani Gallardo","Brewers (AAA)","22","2","3","3","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".667","8173"
"Joshua Dew","Cardinals (AA)","23","15","3","3","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".667","sa389290"
"Brian Buck","Cardinals (R)","22","5","6","9","4","4","0","0","0","2","2","1","0","0","2","0","0","0","0","0",".667","sa389442"
"Saul Gonzalez","Marlins (R)","19","1","3","4","2","2","0","0","0","0","1","0","0","1","0","1","0","0","0","0",".667","sa503882"
"Roberto Toribio","Angels (R)","18","1","3","4","2","2","0","0","0","2","1","1","0","1","0","0","0","0","1","0",".667","sa505278"
"Matt Holliday","Rockies (AAA)","28","3","10","11","6","4","1","0","1","4","3","1","0","3","0","0","0","0","0","0",".600","1873"
"Adam LaRoche","Pirates (A)","28","3","10","12","6","4","1","0","1","2","4","2","0","1","0","0","0","0","0","0",".600","1904"
"Mike Napoli","Angels (A+)","26","5","14","17","8","4","3","0","1","3","4","2","0","2","0","1","0","0","0","0",".571","3057"
"Howie Kendrick","- - -","24","4","11","11","6","4","0","0","2","3","3","0","0","1","0","0","0","0","1","0",".545","4229"
"Jeff Francoeur","Braves (AA)","24","3","13","14","7","6","0","1","0","3","2","1","0","2","0","0","0","0","0","0",".538","4792"
"Jason Anderson","- - -","29","16","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","1661"
"Adam Wainwright","- - -","26","3","2","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","2233"
"Maicer Izturis","Angels (A+)","27","1","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","2437"
"Todd Ritchie","Rockies (AA)","36","1","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","253"
"Moises Alou","- - -","41","4","12","12","6","4","1","0","1","2","2","0","0","0","0","0","0","0","0","0",".500","261"
"Matt Clement","Cardinals (AAA)","33","9","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","271"
"Sean Casey","Red Sox (AAA)","33","2","6","7","3","2","1","0","0","3","0","1","0","1","0","0","0","0","0","0",".500","314"
"Danny Graves","Twins (AAA)","34","1","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0",".500","326"
"Enny Romero","Rays (R)","17","1","4","4","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","4001"
"Mike Hampton","Braves (AA)","35","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","430"
"Juan Pierre","Dodgers (AAA)","30","2","6","8","3","2","1","0","0","2","0","2","0","1","0","0","0","1","0","0",".500","443"
"Dave Bush","Brewers (AAA)","28","1","2","2","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","4635"
"Fernando Salas","Cardinals (AA)","23","28","2","2","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0",".500","4971"
"Daryle Ward","Cubs (AAA)","33","3","10","11","5","5","0","0","0","3","0","1","0","1","0","0","0","0","0","0",".500","579"
"Sergio Escalona","Phillies (AA)","23","7","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","7122"
"Edwin Moreno","- - -","27","36","2","2","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0",".500","7993"
"Kenny Baugh","Marlins (AAA)","29","9","6","7","3","2","1","0","0","1","1","0","0","0","0","0","1","0","0","0",".500","sa200882"
"Greg Miller","Dodgers (AAA)","23","29","4","4","2","2","0","0","0","1","1","0","0","2","0","0","0","0","0","0",".500","sa202454"
"Brian Holliday","Pirates (AA)","24","1","2","2","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0",".500","sa202516"
"Ryan Basner","- - -","26","11","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","sa225703"
"Matthew Scherer","- - -","25","28","2","3","1","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0",".500","sa254038"
"Eddie Camacho","- - -","25","26","4","4","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0",".500","sa262064"
"Michael Nix","- - -","25","23","2","3","1","1","0","0","0","2","0","1","0","0","0","0","0","0","0","0",".500","sa291773"
"Omar Aguilar","Brewers (AA)","23","18","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","sa294680"
"Francisco Mojica","Nationals (R)","21","1","2","4","1","1","0","0","0","0","0","2","0","1","0","0","0","0","0","0",".500","sa3000399"
"Bruno Mercedes","Mariners (R)","19","1","2","3","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0",".500","sa3000514"
"Elvin Orozco","Yankees (R)","19","1","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","sa3000532"
"Richy Paulino","Phillies (R)","17","2","4","5","2","1","0","0","1","2","3","0","0","0","0","0","1","0","0","0",".500","sa3000911"
"Jesus Gomez","Mets (R)","19","1","4","4","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0",".500","sa392864"
"Frederic Hanvi","Twins (R)","19","1","2","3","1","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0",".500","sa472883"
"Demetrius Washington","Angels (R)","18","5","17","20","8","6","1","1","0","4","3","2","0","2","0","1","0","0","1","0",".471","sa456661"
"Paul Konerko","White Sox (AAA)","32","4","11","18","5","3","2","0","0","3","3","6","1","1","0","1","0","0","0","0",".455","242"
"Brad Wilkerson","Blue Jays (A+)","31","3","11","12","5","1","3","0","1","4","1","1","0","2","0","0","0","0","0","0",".455","804"
"Camilo Vazquez","Reds (AA)","24","6","11","12","5","4","1","0","0","1","3","0","0","3","0","1","0","0","0","0",".455","sa202824"
"Nomar Garciaparra","Dodgers (AAA)","34","7","20","23","9","7","1","0","1","4","4","3","0","2","0","0","0","1","0","0",".450","190"
"Jeff Keppinger","- - -","28","8","29","32","13","10","2","0","1","4","3","2","0","1","0","0","1","1","0","0",".448","3856"
"Scott Podsednik","Rockies (AAA)","32","4","16","19","7","7","0","0","0","2","3","3","0","0","0","0","0","1","3","0",".438","1095"
"Ryan Doumit","Pirates (AA)","27","3","7","7","3","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".429","2113"
"Travis Blackley","Phillies (AAA)","25","4","7","9","3","2","1","0","0","1","0","0","0","3","0","0","2","0","0","0",".429","3234"
"Carlos Resendez","Mexican (AAA)","31","3","7","9","3","2","1","0","0","0","2","2","0","0","0","0","0","1","0","0",".429","sa3001207"
