"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Allan Simpson","Phillies (AA)","29","8","1","4","1","1","0","0","0","1","0","1","0","0","0","0","2","0","0","0","1.000","1864"
"Eude Brito","Phillies (AAA)","28","1","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","2514"
"Jason Jennings","Astros (AAA)","28","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","434"
"Kyle McClellan","Cardinals (AA)","23","10","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","4845"
"Brad Thompson","Cardinals (AAA)","25","2","1","2","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1.000","4911"
"Randy Johnson","Diamondbacks (AAA)","43","1","1","2","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1.000","60"
"Logan Kensing","Marlins (AAA)","24","7","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","6166"
"Chad Harville","Diamondbacks (AAA)","30","29","1","2","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1.000","915"
"Kyle Bloom","Pirates (AA)","24","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa254347"
"Tim Layden","Cubs (AA)","24","10","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa262163"
"Alejandro Najera","Mexican (AAA)","21","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa3001425"
"Randy Rodriguez","Diamondbacks (R)","19","1","2","2","2","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","sa455680"
"Winter Polo","Orioles (R)","22","1","4","4","3","2","0","1","0","1","1","0","0","1","0","0","0","0","0","0",".750","sa329207"
"CJ Medlin","Brewers (R)","25","3","3","5","2","2","0","0","0","0","1","1","0","1","1","0","0","0","0","0",".667","sa201600"
"Jose Garcia","Cardinals (AA)","26","9","3","3","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".667","sa244652"
"Antonio Castillo","Dodgers (R)","19","2","3","3","2","1","1","0","0","2","0","0","0","0","0","0","0","0","0","1",".667","sa503552"
"Rafael Fernandez","Mets (R)","18","3","8","10","5","5","0","0","0","4","2","2","0","0","0","0","0","0","0","0",".625","sa401991"
"Dan Johnson","Athletics (AAA)","27","2","5","8","3","2","0","0","1","1","3","3","0","0","0","0","0","0","0","0",".600","2167"
"Ricardo Belen","Pirates (R)","18","6","7","8","4","3","1","0","0","1","0","1","0","3","0","0","0","0","0","0",".571","sa3001647"
"Derrick Thomas","Angels (R)","24","6","7","8","4","4","0","0","0","0","2","1","0","2","0","0","0","0","0","0",".571","sa399343"
"Eli Marrero","Cardinals (AAA)","33","1","4","4","2","2","0","0","0","0","1","0","0","2","0","0","0","0","0","0",".500","1166"
"Ross Gload","Royals (AAA)","31","1","4","4","2","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0",".500","1538"
"Freddy Sanchez","Pirates (AAA)","29","1","2","4","1","0","1","0","0","1","0","2","0","0","0","0","0","0","0","0",".500","1624"
"Seth McClung","Brewers (AAA)","26","2","2","3","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","1",".500","1657"
"Kazuo Matsui","Rockies (AAA)","31","2","6","8","3","3","0","0","0","1","0","2","0","0","0","0","0","0","1","1",".500","1854"
"Greg Aquino","Brewers (AAA)","29","24","2","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","1899"
"Todd Coffey","Reds (AAA)","26","6","4","4","2","2","0","0","0","1","1","0","0","2","0","0","0","0","0","0",".500","2467"
"Kelvin Jimenez","Cardinals (AAA)","26","19","2","2","1","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0",".500","2902"
"Micah Owings","Diamondbacks (AAA)","24","1","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","4253"
"Brian Bogusevic","Astros (AA)","23","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","4719"
"Austin Romine","Yankees (R)","18","1","2","3","1","0","1","0","0","2","1","1","0","1","0","0","0","0","0","0",".500","5491"
"Levale Speigner","Nationals (AAA)","26","10","4","5","2","1","1","0","0","1","0","1","0","2","0","0","0","0","0","0",".500","5717"
