"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Matt Stites","Padres (AA)","23","11","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","12165"
"Chris Young","Athletics (AAA)","29","1","1","3","1","1","0","0","0","1","0","2","0","0","0","0","0","0","1","0","1.000","3882"
"Jorge Rondon","Cardinals (AAA)","25","30","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","5791"
"Marc Rzepczynski","Cardinals (AAA)","27","18","1","2","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1.000","6612"
"Cory Wade","- - -","30","6","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","7570"
"Abehel Mendoza","Mexican (AAA)","19","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa3001893"
"Kyle Lotzkar","Reds (AA)","23","8","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa389930"
"Michael Solbach","- - -","27","12","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa392104"
"Brian Pearl","Reds (AA)","25","12","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","sa501550"
"Matt Lollis","- - -","22","6","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa501704"
"Mike Nesseth","Phillies (AA)","25","14","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa501774"
"Ruben Mejia","Padres (AA)","21","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa507282"
"Phil McCormick","Giants (AA)","24","25","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa598568"
"James Nygren","Marlins (AAA)","24","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa599514"
"Joe Church","- - -","23","2","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","sa599528"
"Jaider Rocha","White Sox (R)","20","3","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa599550"
"Junior Feliz","Rays (R)","19","1","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1.000","sa685948"
"Armando Guerrero","Mexican (AAA)","22","7","1","3","1","1","0","0","0","1","3","1","0","0","0","1","0","0","0","0","1.000","sa687428"
"Yonardo Herdenez","Blue Jays (R)","17","1","2","3","2","0","1","1","0","1","2","1","0","0","0","0","0","0","0","0","1.000","sa737092"
"Troy Tulowitzki","Rockies (AAA)","28","2","5","6","4","4","0","0","0","2","0","1","0","0","0","0","0","0","0","0",".800","3531"
"Kyle Cofield","Dodgers (AA)","26","12","4","4","3","2","0","0","1","1","1","0","0","0","0","0","0","0","0","0",".750","sa290212"
"Pablo Sandoval","Giants (A+)","26","2","6","6","4","2","0","0","2","2","2","0","0","0","0","0","0","0","0","0",".667","5409"
"Brooks Brown","Pirates (AAA)","28","12","3","5","2","1","1","0","0","1","0","0","0","1","0","0","2","0","0","0",".667","5679"
"Kirk Singer","Pirates (A+)","23","1","3","4","2","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".667","sa577695"
"Jedd Gyorko","- - -","24","3","8","8","5","4","1","0","0","2","1","0","0","1","0","0","0","0","0","0",".625","10816"
"Scott McGough","- - -","23","26","5","9","3","3","0","0","0","3","1","3","0","1","0","0","1","0","0","0",".600","12056"
"Domonic Brown","Phillies (A)","25","1","5","5","3","2","0","0","1","2","2","0","0","0","0","0","0","0","0","0",".600","3154"
"Luis Valbuena","- - -","27","3","10","12","6","4","2","0","0","2","3","2","0","1","0","0","0","1","1","0",".600","4969"
"Pedro Baez","Dodgers (AA)","25","11","5","6","3","2","1","0","0","0","1","1","0","1","0","0","0","0","0","0",".600","5420"
"Jacob Turner","Marlins (AAA)","22","5","7","9","4","2","2","0","0","2","3","0","0","1","0","0","2","0","0","0",".571","10185"
"Yonder Alonso","Padres (AAA)","26","4","14","14","8","8","0","0","0","1","2","0","0","0","0","0","0","0","0","1",".571","2530"
"James Leverton","- - -","27","32","7","7","4","4","0","0","0","1","0","0","0","2","0","0","0","0","0","0",".571","sa454983"
"Jayson Werth","Nationals (A+)","34","6","18","20","10","7","1","0","2","6","8","2","0","0","0","0","0","0","0","0",".556","1327"
"Noah Syndergaard","Mets (AA)","20","3","2","6","1","1","0","0","0","0","1","2","0","0","0","0","2","0","0","0",".500","11762"
"Cory Mazzoni","Mets (AA)","23","5","10","10","5","4","1","0","0","2","2","0","0","2","0","0","0","0","0","0",".500","12537"
"Shane Victorino","Red Sox (AAA)","32","1","4","4","2","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0",".500","1677"
"Raul Valdes","Phillies (AAA)","35","1","2","2","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0",".500","1953"
"Darwin Barney","Cubs (AAA)","27","3","10","13","5","4","1","0","0","4","0","3","0","3","0","0","0","0","1","0",".500","2430"
