"Name","Team","Age","PA","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Manny Ramirez","- - -","37","13",".500","4.00","0.0 %","80.0 %","20.0 %","0.0 %","100.0 %","80.0 %","20.0 %","0.0 %","20.0 %","16","24","40","210"
"Geovany Soto","- - -","26","14",".400","1.50","28.6 %","42.9 %","28.6 %","0.0 %","100.0 %","85.7 %","0.0 %","14.3 %","14.6 %","24","31","55","3707"
"Zach Braddock","Brewers (AA)","21","1",".000","0.00","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","20.0 %","2","3","5","4553"
"Madison Bumgarner","Giants (AA)","19","9","1.000","0.00","66.7 %","0.0 %","33.3 %","0.0 %","100.0 %","0.0 %","75.0 %","25.0 %","52.2 %","5","18","23","5524"
"Chris Withrow","Dodgers (AA)","20","7",".333","2.00","0.0 %","66.7 %","33.3 %","0.0 %","100.0 %","40.0 %","40.0 %","20.0 %","23.1 %","9","17","26","7161"
"Torii Hunter","Angels (A+)","33","12",".333","3.00","33.3 %","50.0 %","16.7 %","100.0 %","100.0 %","71.4 %","28.6 %","0.0 %","6.7 %","14","16","30","731"
"Constancio Virgen","- - -","27","9",".000","1.50","16.7 %","50.0 %","33.3 %","0.0 %","100.0 %","50.0 %","33.3 %","16.7 %","7.9 %","12","26","38","sa3001328"
"Johnny Bowden","Rockies (AA)","24","13",".000","4.00","16.7 %","66.7 %","16.7 %","0.0 %","100.0 %","50.0 %","0.0 %","50.0 %","14.6 %","21","34","55","sa390288"
"Chip Cannon","Rays (AA)","27","35",".000","0.75","22.2 %","33.3 %","44.4 %","0.0 %","75.0 %","55.6 %","22.2 %","22.2 %","16.1 %","56","93","149","sa253753"
"Tim Alderson","- - -","20","14",".286","2.00","0.0 %","66.7 %","33.3 %","33.3 %","66.7 %","70.0 %","20.0 %","10.0 %","34.5 %","4","25","29","sa389899"
"Luke Scott","Orioles (A)","31","6",".667","1.00","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","25.0 %","25.0 %","50.0 %","5.9 %","11","6","17","3469"
"Jason Giambi","Rockies (AAA)","38","24",".462","2.00","20.0 %","53.3 %","26.7 %","0.0 %","50.0 %","40.0 %","33.3 %","26.7 %","7.0 %","46","54","100","818"
"Polin Trinidad","- - -","24","33",".222","5.50","23.5 %","64.7 %","11.8 %","0.0 %","50.0 %","28.6 %","33.3 %","38.1 %","15.0 %","29","84","113","sa294382"
"Franklin Alcala","Rays (R)","18","38",".071","2.50","6.7 %","66.7 %","26.7 %","25.0 %","50.0 %","25.0 %","37.5 %","37.5 %","44.4 %","15","75","90","sa504991"
"Rosario Irazoqui","Mexican (AAA)","22","17",".500","3.00","11.1 %","66.7 %","22.2 %","0.0 %","50.0 %","66.7 %","33.3 %","0.0 %","16.4 %","22","45","67","sa508068"
"Jacob Cruz","Mexican (AAA)","36","372",".361","1.69","26.6 %","46.1 %","27.3 %","7.1 %","34.3 %","42.0 %","27.6 %","30.4 %","9.0 %","654","763","1417","463"
"David Ross","Braves (A)","32","7",".500","0.67","0.0 %","40.0 %","60.0 %","0.0 %","33.3 %","0.0 %","60.0 %","40.0 %","25.0 %","4","8","12","1551"
"Corey Hart","Brewers (AAA)","27","14",".571","0.67","37.5 %","25.0 %","37.5 %","33.3 %","33.3 %","62.5 %","12.5 %","25.0 %","8.7 %","19","27","46","1945"
"Mitchell Boggs","Cardinals (AAA)","25","20",".333","1.33","12.5 %","50.0 %","37.5 %","33.3 %","33.3 %","45.5 %","45.5 %","9.1 %","8.7 %","23","46","69","3344"
"Joey Votto","- - -","25","12",".500","0.33","20.0 %","20.0 %","60.0 %","0.0 %","33.3 %","40.0 %","20.0 %","40.0 %","33.3 %","13","17","30","4314"
"Justin Upton","Diamondbacks (A+)","21","9",".250","0.67","0.0 %","40.0 %","60.0 %","33.3 %","33.3 %","40.0 %","40.0 %","20.0 %","35.0 %","4","16","20","5222"
"Samuel Deduno","Rockies (AA)","25","19",".250","2.00","30.8 %","46.2 %","23.1 %","66.7 %","33.3 %","50.0 %","28.6 %","21.4 %","13.1 %","12","49","61","5285"
"Brandon Hynick","Rockies (AAA)","24","37",".375","2.17","24.0 %","52.0 %","24.0 %","16.7 %","33.3 %","48.3 %","31.0 %","20.7 %","5.9 %","50","102","152","sa326872"
"Raddy Sierra","Angels (R)","21","17",".143","1.33","0.0 %","57.1 %","42.9 %","66.7 %","33.3 %","44.4 %","44.4 %","11.1 %","46.7 %","5","25","30","sa456088"
"Manuel Rivera","Nationals (R)","21","4",".000","0.00","0.0 %","0.0 %","100.0 %","33.3 %","33.3 %","0.0 %","100.0 %","0.0 %","50.0 %","0","6","6","sa507039"
"Jose Ortiz","Mexican (AAA)","32","76",".356","1.00","29.2 %","35.4 %","35.4 %","21.7 %","30.4 %","56.1 %","25.8 %","18.2 %","6.9 %","81","137","218","442"
"Pete Laforest","Mexican (AAA)","31","72",".324","1.90","25.6 %","48.7 %","25.6 %","20.0 %","30.0 %","62.5 %","20.0 %","17.5 %","9.6 %","245","298","440","1821"
"Travis Snider","Blue Jays (AAA)","21","204",".395","1.21","16.8 %","45.6 %","37.6 %","25.5 %","29.8 %","50.0 %","27.3 %","22.7 %","10.6 %","349","491","840","2830"
"Nolan Reimold","Orioles (AAA)","25","130",".447","1.06","22.9 %","39.8 %","37.3 %","12.9 %","29.0 %","50.6 %","29.4 %","20.0 %","8.4 %","235","325","560","3441"
"John Buck","Royals (AAA)","28","27",".278","1.14","21.1 %","42.1 %","36.8 %","14.3 %","28.6 %","50.0 %","30.0 %","20.0 %","27.0 %","12","62","74","2041"
"Sam Carter","Padres (AA)","26","66",".206","2.71","23.5 %","55.9 %","20.6 %","0.0 %","28.6 %","50.0 %","25.0 %","25.0 %","12.6 %","103","159","262","sa328904"
"Randy Schwartz","Blue Jays (A-)","23","37",".200","0.86","10.3 %","41.4 %","48.3 %","14.3 %","28.6 %","44.8 %","20.7 %","34.5 %","15.9 %","16","47","63","sa491889"
"Rudney Balentien","Phillies (R)","19","103",".407","0.79","25.4 %","32.8 %","41.8 %","25.0 %","28.6 %","40.3 %","31.3 %","28.4 %","37.3 %","37","148","185","sa504861"
"Jake Fox","Cubs (AAA)","26","194",".427","0.83","16.7 %","37.9 %","45.5 %","21.7 %","28.3 %","48.2 %","29.6 %","22.2 %","10.0 %","289","430","719","6267"
"Neil Medchill","Yankees (A-)","22","244",".333","1.26","24.2 %","42.3 %","33.6 %","22.0 %","28.0 %","56.2 %","22.2 %","21.6 %","29.9 %","115","366","481","sa501652"
"Ryan Raburn","Tigers (AAA)","28","56",".233","0.78","8.6 %","40.0 %","51.4 %","16.7 %","27.8 %","37.1 %","40.0 %","22.9 %","11.7 %","76","138","214","2218"
"Gilbert Gomez","Tigers (R)","19","167",".289","0.93","18.1 %","39.4 %","42.6 %","20.0 %","27.5 %","64.4 %","18.8 %","16.8 %","38.7 %","64","246","310","sa505037"
"Jon Knott","- - -","30","82",".319","2.64","16.7 %","60.4 %","22.9 %","18.2 %","27.3 %","51.9 %","25.0 %","23.1 %","15.3 %","113","169","282","3942"
"Matt Tuiasosopo","- - -","23","301",".379","1.48","31.4 %","40.9 %","27.7 %","13.6 %","27.3 %","46.7 %","26.4 %","27.0 %","11.1 %","480","678","1158","8272"
"Richard Jones","- - -","21","179",".340","1.79","14.0 %","55.1 %","30.8 %","12.1 %","27.3 %","48.2 %","23.2 %","28.6 %","47.7 %","43","286","329","sa501607"
"Sean Rodriguez","- - -","24","459",".352","0.87","19.3 %","37.5 %","43.2 %","14.3 %","26.8 %","45.4 %","27.9 %","26.8 %","12.1 %","758","1151","1909","6589"
"Matt Arburr","- - -","23","183",".243","0.62","17.1 %","31.7 %","51.2 %","9.5 %","26.2 %","44.7 %","32.9 %","22.4 %","28.9 %","172","419","591","sa389292"
"Cody Johnson","- - -","20","518",".315","0.84","13.3 %","39.5 %","47.1 %","15.3 %","25.8 %","49.8 %","27.1 %","23.1 %","37.5 %","329","856","1185","sa326488"
"David Freese","- - -","26","255",".366","1.98","17.6 %","54.7 %","27.6 %","6.4 %","25.5 %","48.0 %","23.7 %","28.3 %","9.0 %","358","574","932","9549"
"Saul Soto","Mexican (AAA)","30","459",".388","1.24","24.1 %","42.1 %","33.8 %","20.7 %","25.2 %","49.4 %","28.7 %","21.9 %","8.4 %","697","1028","1725","sa211076"
"Rich Aurilia","- - -","37","21",".000","0.75","12.5 %","37.5 %","50.0 %","37.5 %","25.0 %","50.0 %","31.3 %","18.8 %","12.5 %","21","27","48","1106"
"Bill Hall","Brewers (AAA)","29","15",".333","0.75","22.2 %","33.3 %","44.4 %","25.0 %","25.0 %","30.0 %","10.0 %","60.0 %","13.6 %","25","34","59","1605"
"Donnie Murphy","Orioles (AAA)","26","10",".200","0.25","16.7 %","16.7 %","66.7 %","25.0 %","25.0 %","16.7 %","33.3 %","50.0 %","12.5 %","14","18","32","4704"
"Vance Worley","Phillies (AA)","21","26",".083","2.00","0.0 %","66.7 %","33.3 %","0.0 %","25.0 %","37.5 %","31.3 %","31.3 %","40.9 %","0","44","44","6435"
"Yuniesky Betancourt","- - -","27","15",".154","2.50","0.0 %","71.4 %","28.6 %","0.0 %","25.0 %","64.3 %","14.3 %","21.4 %","2.3 %","12","31","43","8585"
"Jorge Velandia","Phillies (AAA)","34","25",".214","1.50","28.6 %","42.9 %","28.6 %","50.0 %","25.0 %","60.0 %","13.3 %","26.7 %","11.2 %","32","66","98","900"
"Jordan Schafer","Braves (AAA)","22","38",".250","1.50","23.1 %","46.2 %","30.8 %","12.5 %","25.0 %","38.5 %","19.2 %","42.3 %","12.2 %","54","93","147","9883"
"Matt Maloney","- - -","25","26",".294","2.25","27.8 %","50.0 %","22.2 %","25.0 %","25.0 %","13.6 %","22.7 %","63.6 %","5.0 %","37","63","100","9920"
"Dani Duncan","Mets (R)","19","54",".333","1.25","10.0 %","50.0 %","40.0 %","25.0 %","25.0 %","60.0 %","20.0 %","20.0 %","48.5 %","30","100","130","sa3001810"
"Omar Viloria","Cardinals (R)","18","82",".245","4.25","16.0 %","68.0 %","16.0 %","0.0 %","25.0 %","45.1 %","23.5 %","31.4 %","32.1 %","35","102","137","sa3001842"
"Michael Thomas","- - -","20","71",".250","1.13","10.5 %","47.4 %","42.1 %","6.3 %","25.0 %","50.0 %","17.5 %","32.5 %","33.6 %","20","123","143","sa328167"
"Leopoldo Correa","Rays (R)","17","73",".189","2.75","18.9 %","59.5 %","21.6 %","12.5 %","25.0 %","28.2 %","28.2 %","43.6 %","30.6 %","66","91","157","sa504990"
"Francisco Esparragoza","Mexican (AAA)","26","29",".368","1.25","14.3 %","47.6 %","38.1 %","25.0 %","25.0 %","61.9 %","23.8 %","14.3 %","11.5 %","35","61","96","sa508061"
"Mitch Jones","Dodgers (AAA)","31","434",".315","0.64","18.4 %","31.9 %","49.7 %","15.4 %","24.5 %","56.8 %","27.3 %","15.9 %","11.8 %","671","1089","1760","3006"
"Jerry Sands","- - -","21","308",".344","1.11","15.3 %","44.6 %","40.1 %","14.8 %","23.5 %","43.8 %","28.4 %","27.9 %","24.1 %","197","410","607","4016"
"Mark Hamilton","- - -","24","339",".382","1.57","26.7 %","44.8 %","28.6 %","13.3 %","23.3 %","52.6 %","25.4 %","22.1 %","10.5 %","575","810","1385","9334"
"Brian Pellegrini","- - -","24","541",".303","0.70","19.0 %","33.3 %","47.7 %","17.8 %","23.3 %","52.7 %","24.5 %","22.9 %","29.7 %","349","779","1128","sa389809"
