"Name","Team","Age","IP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Scott Elbert","Dodgers (AA)","26","2.0","27.00","0.00","6.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.86","2.86","-2.86","7489"
"Chad Qualls","Pirates (AAA)","33","1.0","27.00","0.00","3.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.84","2.84","-2.84","2170"
"Clark Murphy","Padres (A-)","22","0.2","27.00","0.00","2.00","0.00","50.0 %","0.0 %","50.0 %",".500","3.00","1.000","50.0 %","13.50","-2.67","16.17","-2.67","sa454571"
"Mateo Monjardin","Mexican (AAA)","25","0.1","27.00","0.00","1.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.46","2.46","-2.46","sa509288"
"Bruce Kern","Rockies (A+)","24","1.2","21.60","0.00","4.00","0.00","66.7 %","0.0 %","66.7 %",".167","0.60",".500","100.0 %","0.00","-0.99","0.99","-0.26","sa526391"
"Jason Frasor","Blue Jays (A+)","34","2.0","18.00","0.00","4.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.61","0.61","-0.61","1906"
"Chris Green","Orioles (R)","23","5.0","18.00","0.00","10.00","0.00","58.8 %","0.0 %","58.8 %",".118","0.40",".286","100.0 %","0.00","-0.57","0.57","-0.47","sa579319"
"Braden Shull","Phillies (R)","19","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.57","0.57","-0.57","sa599383"
"Jose Dominguez Contreras","Mexican (AAA)","20","1.0","18.00","0.00","2.00","0.00","50.0 %","0.0 %","50.0 %",".250","1.00",".500","100.0 %","0.00","-0.46","0.46","-0.46","sa692029"
"Jordan Norberto","Athletics (AAA)","25","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.33","0.33","0.86","8432"
"Onelki Garcia","Dodgers (A+)","22","2.0","18.00","0.00","4.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.19","0.19","0.42","13674"
"Michael Gonzalez","Nationals (AAA)","34","1.1","13.50","0.00","2.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0.00","0.16","-0.16","0.16","1794"
"Rey Bruguera","Padres (R)","20","2.0","13.50","0.00","3.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0.00","0.16","-0.16","0.16","sa550586"
"Nelson Aguida","Blue Jays (R)","20","0.2","13.50","0.00","1.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0.00","0.16","-0.16","0.64","sa549131"
"Juan Cruz","Pirates (AA)","33","1.1","13.50","0.00","2.00","0.00","22.2 %","0.0 %","22.2 %",".556","3.75",".714","60.0 %","13.50","0.20","13.30","0.97","273"
