"Name","Team","Age","IP","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Sean Nicol","Nationals (AA)","27","0.2",".500","0.00","83.3 %","0.0 %","16.7 %","100.0 %","200.0 %","50.0 %","33.3 %","16.7 %","0.0 %","8","14","22","sa501900"
"Brett Cecil","Blue Jays (AAA)","27","2.0",".200","5.00","0.0 %","83.3 %","16.7 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","13.6 %","7","15","22","2660"
"Jordan Walden","Braves (AAA)","26","1.2",".000","0.00","50.0 %","0.0 %","50.0 %","100.0 %","100.0 %","50.0 %","0.0 %","50.0 %","19.1 %","16","26","42","3271"
"Walker Gourley","Pirates (A+)","23","1.1",".556","6.00","22.2 %","66.7 %","11.1 %","0.0 %","100.0 %","70.0 %","10.0 %","20.0 %","11.5 %","11","15","26","sa501688"
"Alex Gonzalez","Astros (A)","22","1.0",".500","3.00","20.0 %","60.0 %","20.0 %","0.0 %","100.0 %","60.0 %","40.0 %","0.0 %","30.0 %","2","8","10","sa502796"
"Jose Zambrano","Tigers (A)","20","0.1",".000","1.00","0.0 %","50.0 %","50.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","0.0 %","2","2","4","sa655915"
"Jorge Quinones","Mexican (AAA)","19","0.0","1.000","0.00","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","66.7 %","0.0 %","33.3 %","0.0 %","13","9","22","sa729217"
"Jesus Beltran","Mexican (AAA)","20","0.0",".000","0.00","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","0.0 %","7","4","11","sa824824"
"Chander Sanz","Rays (R)","17","1.0",".800","1.00","66.7 %","16.7 %","16.7 %","0.0 %","100.0 %","66.7 %","16.7 %","16.7 %","7.7 %","17","9","26","sa827211"
"Oliver Dominguez","Mexican (AAA)","20","1.1",".667","0.50","40.0 %","20.0 %","40.0 %","0.0 %","100.0 %","60.0 %","20.0 %","20.0 %","11.8 %","12","22","34","sa828857"
"Joseph Epperson","Padres (A-)","23","1.0",".000","2.00","0.0 %","66.7 %","33.3 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","0.0 %","8","5","13","sa829065"
"J.D. Durbin","Mexican (AAA)","32","2.0",".571","0.17","41.7 %","8.3 %","50.0 %","0.0 %","83.3 %","66.7 %","16.7 %","16.7 %","6.1 %","44","38","82","7992"
"Gabriel Zavala","Mexican (AAA)","27","8.0",".391","5.67","16.7 %","70.8 %","12.5 %","0.0 %","66.7 %","60.0 %","32.0 %","8.0 %","11.0 %","77","96","173","sa392374"
"Danny Worth","Tigers (AAA)","28","1.0",".250","1.50","0.0 %","60.0 %","40.0 %","0.0 %","50.0 %","60.0 %","0.0 %","40.0 %","0.0 %","14","14","28","198"
"Scott Rice","Mets (AAA)","32","5.1",".273","5.00","0.0 %","83.3 %","16.7 %","0.0 %","50.0 %","58.3 %","25.0 %","16.7 %","16.5 %","42","55","97","2743"
"Josh Beckett","Dodgers (A+)","34","4.0",".333","1.25","18.2 %","45.5 %","36.4 %","0.0 %","50.0 %","45.5 %","27.3 %","27.3 %","36.4 %","15","29","44","510"
"Sean Marshall","Reds (AAA)","31","2.0",".200","1.50","16.7 %","50.0 %","33.3 %","0.0 %","50.0 %","66.7 %","0.0 %","33.3 %","12.5 %","12","20","32","5905"
"Ryan Lollis","Giants (AA)","27","0.2",".000","0.00","0.0 %","0.0 %","100.0 %","0.0 %","50.0 %","100.0 %","0.0 %","0.0 %","5.3 %","10","9","19","6623"
"Jonathan Sanchez","Cubs (AAA)","31","0.2",".000","0.00","0.0 %","0.0 %","100.0 %","50.0 %","50.0 %","50.0 %","0.0 %","50.0 %","8.8 %","19","15","34","7507"
"Ryan Cook","Athletics (A+)","27","2.2",".143","2.50","12.5 %","62.5 %","25.0 %","0.0 %","50.0 %","25.0 %","12.5 %","62.5 %","6.1 %","13","20","33","8855"
"Roberto Lopez","Angels (AAA)","28","1.0",".250","0.25","16.7 %","16.7 %","66.7 %","0.0 %","50.0 %","16.7 %","66.7 %","16.7 %","0.0 %","6","9","15","sa454598"
"Steven Inch","Phillies (A+)","23","2.1",".000","1.50","16.7 %","50.0 %","33.3 %","0.0 %","50.0 %","50.0 %","16.7 %","33.3 %","28.6 %","4","10","14","sa501555"
"Carlton Tanabe","Mariners (R)","22","1.0",".250","0.25","16.7 %","16.7 %","66.7 %","50.0 %","50.0 %","66.7 %","16.7 %","16.7 %","8.3 %","5","7","12","sa502115"
"Anthony Giansanti","Cubs (AA)","25","2.0",".200","0.50","0.0 %","33.3 %","66.7 %","0.0 %","50.0 %","14.3 %","14.3 %","71.4 %","4.1 %","36","37","73","sa503822"
