"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Aaron Crow","Cubs (R)","29","0","0","0.00","3","2","0","0","0","0","0","3.0","10","2","0","0","0","0","0","0","0","0","2","10149"
"Zack Wheeler","Mets (A+)","26","0","0","0.00","1","1","0","0","0","0","0","1.0","4","0","1","0","0","1","0","0","0","0","0","10310"
"Danny Ortiz","Pirates (AAA)","26","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","1","0","0","0","0","0","10317"
"Yoervis Medina","Phillies (R)","27","2","0","0.00","3","0","0","0","0","0","0","4.0","15","0","0","0","0","3","0","0","0","0","4","10498"
"Justin Grimm","Cubs (AAA)","27","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","3","11720"
"Kyle Ryan","Tigers (AAA)","24","0","0","0.00","8","0","0","0","0","1","2","7.0","29","3","0","0","0","6","0","0","0","0","5","11753"
"Branden Pinder","Yankees (AAA)","27","0","0","0.00","2","0","0","0","1","0","0","5.0","17","2","0","0","0","0","0","0","0","0","8","12093"
"Cory Mazzoni","Padres (AAA)","26","0","0","0.00","2","0","0","0","1","0","0","1.1","7","1","1","0","0","1","0","0","0","0","0","12537"
"Tony Zych","- - -","25","0","0","0.00","5","2","0","0","0","0","2","5.0","17","0","1","0","0","2","0","0","0","0","8","12876"
"Gerrit Cole","Pirates (AAA)","25","0","0","0.00","2","2","0","0","0","0","0","8.0","28","4","0","0","0","0","0","1","0","0","12","13125"
"Derek Law","Giants (AAA)","25","0","0","0.00","3","0","0","0","0","0","1","3.0","11","1","0","0","0","1","0","0","0","0","2","13133"
"Carson Smith","Red Sox (AA)","26","0","0","0.00","2","0","0","0","0","0","1","1.2","5","0","0","0","0","0","0","0","0","0","2","13172"
"Jake Barrett","Diamondbacks (AAA)","24","1","0","0.00","3","0","0","0","1","0","0","2.2","11","2","0","0","0","1","0","0","1","0","3","13322"
"Jose Ruiz","- - -","21","2","0","0.00","11","0","0","0","2","0","1","12.1","43","3","0","0","0","5","0","0","1","0","14","14552"
"Keone Kela","- - -","23","0","0","0.00","4","0","0","0","0","0","1","4.0","18","2","0","0","0","0","0","1","2","0","7","14696"
"Jon Edwards","Padres (A+)","28","0","0","0.00","1","0","0","0","0","0","1","1.0","3","0","0","0","0","0","0","0","0","0","3","1483"
"Michael Lorenzen","Reds (AAA)","24","0","0","0.00","4","0","0","0","1","0","0","4.0","13","2","0","0","0","0","0","0","0","0","7","14843"
"Nick Rumbelow","Yankees (AAA)","24","0","0","0.00","1","0","0","0","0","0","0","1.0","5","2","0","0","0","0","0","0","1","0","0","14867"
"Zac Reininger","- - -","23","0","0","0.00","8","0","0","0","0","0","1","11.2","42","4","0","0","0","4","0","0","1","0","13","15285"
"Raisel Iglesias","Reds (AA)","26","0","0","0.00","3","2","0","0","0","0","0","5.0","19","3","0","0","0","1","1","0","1","1","5","17130"
"Walker Buehler","- - -","21","1","0","0.00","3","1","0","0","0","0","0","5.0","18","0","0","0","0","3","0","1","0","0","6","19374"
"Clayton Kershaw","Dodgers (A+)","28","0","0","0.00","1","1","0","0","0","0","0","3.0","9","1","0","0","0","0","0","0","0","0","5","2036"
"Cory Rasmus","Angels (R)","28","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","2413"
"Jhoulys Chacin","Braves (AAA)","28","1","0","0.00","1","1","0","0","0","0","0","7.2","29","5","0","0","0","2","0","1","0","0","7","2608"
"Joe Smith","- - -","32","0","0","0.00","4","1","0","0","0","0","0","4.0","12","1","0","0","0","0","0","0","0","0","4","3281"
"Darren O'Day","Orioles (AA)","33","0","0","0.00","1","1","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","2","3321"
"Jim Johnson","- - -","33","0","0","0.00","3","1","0","0","0","0","0","3.0","11","3","0","0","0","0","0","0","1","0","3","3656"
"Ozzie Martinez","Orioles (AAA)","28","0","0","0.00","1","0","0","0","0","0","0","2.0","6","0","0","0","0","1","0","0","0","0","1","3900"
"Enny Romero","Rays (A+)","25","0","0","0.00","1","1","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","4001"
"Hernan Iribarren","Reds (AAA)","32","0","0","0.00","4","0","0","0","0","0","0","3.2","11","0","0","0","0","0","0","1","0","0","1","4177"
"Brett Hayes","Diamondbacks (AAA)","32","0","0","0.00","1","0","0","0","0","0","0","1.2","8","0","0","0","0","3","0","0","0","0","0","4293"
"Tyler Chatwood","- - -","26","0","1","0.00","2","2","0","0","0","0","0","9.1","36","5","2","0","0","3","0","1","1","0","6","4338"
"James Loney","Padres (AAA)","32","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","1","0","0","0","0","0","4556"
"Boone Logan","Rockies (AAA)","31","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","5525"
"Jonathan Papelbon","- - -","35","0","0","0.00","3","1","0","0","0","0","0","3.0","10","0","0","0","0","1","0","0","0","0","3","5975"
"Craig Kimbrel","Red Sox (AAA)","28","0","0","0.00","1","1","0","0","0","0","0","0.1","3","1","0","0","0","0","0","1","0","0","0","6655"
"L.J. Hoes","Orioles (AAA)","26","1","0","0.00","3","0","0","0","0","0","0","3.2","12","1","0","0","0","1","0","0","0","0","1","6656"
"Drew Storen","Mariners (AAA)","28","0","0","0.00","1","0","0","0","0","0","1","1.0","4","1","0","0","0","0","0","0","0","0","1","6983"
"Alberto Rosario","Cardinals (AAA)","29","0","0","0.00","2","0","0","0","0","0","0","0.2","4","2","0","0","0","0","0","0","0","0","1","7125"
"Wade Davis","- - -","30","0","0","0.00","3","0","0","0","0","0","0","3.0","11","3","0","0","0","0","0","0","0","0","4","7441"
"Jake McGee","Rockies (A+)","29","1","0","0.00","2","0","0","0","0","0","0","2.0","7","0","0","0","0","0","0","1","0","0","2","7550"
"Nick Vincent","Mariners (A-)","29","0","0","0.00","1","1","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","3","7555"
"Marc Krauss","Mets (AAA)","28","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","7577"
"Will Smith","- - -","26","0","0","0.00","3","0","0","0","0","0","1","4.0","13","1","0","0","0","0","0","0","0","0","5","8048"
"JC Ramirez","Reds (AAA)","27","0","0","0.00","5","0","0","0","0","1","0","6.0","24","4","0","0","0","3","0","0","0","0","10","8302"
"Deolis Guerra","Angels (AAA)","27","0","0","0.00","3","0","0","0","0","0","1","5.0","20","3","0","0","0","2","0","0","1","0","7","8410"
"Dustin McGowan","Marlins (AAA)","34","0","0","0.00","4","0","0","0","2","0","1","7.1","28","1","0","0","0","6","0","0","0","0","7","8600"
"Wade Miley","Mariners (A-)","29","0","0","0.00","1","1","0","0","0","0","0","4.0","12","0","0","0","0","0","0","0","0","0","7","8779"
"Andrew Cashner","Padres (A+)","29","0","0","0.00","1","1","0","0","0","0","0","3.0","11","2","0","0","0","0","0","0","0","0","1","8782"
"Brandon Beachy","Dodgers (R)","29","0","0","0.00","1","1","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","8851"
"Ryan Cook","Mariners (R)","29","0","0","0.00","1","1","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","8855"
"Matt Reynolds","- - -","31","1","0","0.00","20","0","0","0","0","0","5","18.2","65","7","0","0","0","3","0","1","1","0","19","8887"
"Dusty Coleman","Royals (AAA)","29","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","8979"
"Louis Coleman","- - -","30","0","0","0.00","4","1","0","0","0","0","1","4.0","17","5","1","0","0","0","0","0","1","0","6","9720"
"Mike Dunn","Marlins (A+)","31","0","0","0.00","3","2","0","0","0","0","0","3.0","12","2","0","0","0","0","0","0","0","0","5","9948"
"Alex Hassan","Dodgers (AAA)","28","0","0","0.00","2","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","1","9959"
"Jesus Sanchez","Mexican (AAA)","28","0","0","0.00","2","0","0","0","0","0","0","1.1","6","1","0","0","0","1","1","0","0","1","0","sa328511"
"Mayo Acosta","Rays (AAA)","28","2","0","0.00","2","0","0","0","0","0","0","2.0","9","2","0","0","0","1","0","0","0","0","1","sa392849"
"Rene Garcia","Brewers (AA)","26","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","sa454693"
"Kevin Torres","Rangers (A+)","26","0","0","0.00","1","0","0","0","0","0","0","0.1","2","0","0","0","0","1","0","0","0","0","0","sa454965"
"Emerson Landoni","Braves (AAA)","27","0","0","0.00","2","0","0","0","0","0","0","2.0","9","1","0","0","0","1","0","1","0","0","1","sa455907"
"Brandon Sisk","Mariners (AA)","30","1","0","0.00","4","0","0","0","1","0","0","7.2","27","3","0","0","0","3","0","0","0","0","7","sa458869"
"Kelly Dugan","Cubs (AA)","25","0","0","0.00","1","0","0","0","0","0","0","1.0","6","1","1","0","0","1","0","0","1","0","1","sa500838"
"Jack Murphy","Dodgers (AAA)","28","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","sa502520"
"Alejandro Martinez","Mexican (AAA)","27","0","0","0.00","2","1","0","0","0","0","0","2.2","11","2","0","0","0","1","0","0","0","0","3","sa504008"
"Rinku Singh","Pirates (R)","27","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","sa505589"
"Danny Oh","Athletics (AA)","26","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","1","sa546797"
"Juan De La Cruz","Indians (A+)","22","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","sa547855"
