"Name","Team","Age","IP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Jose Altuve","Nationals (R)","21","0.1","27.00","0.00","1.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.69","2.69","-2.69","sa3000520"
"Yen-Wen Kuo","Reds (R)","20","0.1","27.00","0.00","1.00","0.00","50.0 %","0.0 %","50.0 %",".500","3.00","1.000","100.0 %","0.00","-2.12","2.12","-2.12","sa456008"
"David Rivera","Orioles (R)","18","1.0","18.00","0.00","2.00","0.00","33.3 %","0.0 %","33.3 %",".500","3.00",".750","66.7 %","9.00","-0.73","9.73","-0.73","sa503598"
"Jose Vasquez","Phillies (R)","19","1.0","18.00","0.00","2.00","0.00","50.0 %","0.0 %","50.0 %",".250","1.00",".500","0.0 %","9.00","-0.69","9.69","-0.37","sa507296"
"Graham Stoneburner","Yankees (A-)","21","1.0","18.00","0.00","2.00","0.00","50.0 %","0.0 %","50.0 %",".250","1.00",".500","100.0 %","0.00","-0.66","0.66","-0.66","sa501745"
"Alejandro Martinez","Yankees (R)","20","3.1","16.20","0.00","6.00","0.00","42.9 %","0.0 %","42.9 %",".214","0.90",".375","66.7 %","0.00","-0.33","0.33","0.10","sa504008"
"Will Harris","Rockies (A-)","24","1.0","18.00","0.00","2.00","0.00","50.0 %","0.0 %","50.0 %",".250","1.00",".500","100.0 %","0.00","-0.24","0.24","0.60","3192"
"Joey Paciorek","Brewers (R)","20","1.0","18.00","0.00","2.00","0.00","50.0 %","0.0 %","50.0 %",".250","1.00",".500","100.0 %","0.00","-0.12","0.12","0.89","sa389764"
"Matt Daley","Rockies (AAA)","27","10.0","17.10","0.90","19.00","0.00","50.0 %","2.6 %","47.4 %",".216","0.90",".444","88.9 %","0.90","-0.03","0.93","0.98","7952"
"Alexi Ogando","Rangers (R)","25","18.1","15.22","0.49","31.00","0.00","43.7 %","1.4 %","42.3 %",".229","0.93",".410","52.9 %","2.45","0.09","2.37","0.19","10261"
"Jacob Marceaux","White Sox (AA)","25","0.2","13.50","0.00","1.00","0.00","16.7 %","0.0 %","16.7 %",".667","6.00",".800","50.0 %","27.00","0.09","26.91","0.09","sa291165"
"Carson Kainer","Reds (AA)","24","0.2","13.50","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".500","3.00",".667","100.0 %","0.00","0.09","-0.09","0.09","sa327789"
"Stephen Englund","Nationals (R)","21","2.2","13.50","0.00","4.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0.00","0.27","-0.27","0.81","sa326544"
"Sergio Zorrillo","Rangers (R)","18","1.0","27.00","9.00","3.00","0.00","50.0 %","16.7 %","33.3 %",".200","2.00",".500","0.0 %","0.00","0.31","-0.31","0.63","sa3000996"
"Billy Wagner","- - -","37","7.0","12.86","0.00","10.00","0.00","45.5 %","0.0 %","45.5 %",".136","0.43",".250","100.0 %","0.00","0.35","-0.35","0.97","578"
"Robbie Erlin","Rangers (R)","18","4.0","20.25","2.25","9.00","0.00","50.0 %","5.6 %","44.4 %",".294","1.50",".625","83.3 %","2.25","0.58","1.67","0.58","10354"
"Will Morgan","- - -","23","7.1","13.50","0.00","11.00","0.00","36.7 %","0.0 %","36.7 %",".207","0.82",".333","71.4 %","1.23","0.64","0.59","1.23","sa388404"
"Ryan Weber","Braves (R)","18","10.1","11.32","0.00","13.00","0.00","34.2 %","0.0 %","34.2 %",".211","0.77",".320","75.0 %","1.74","0.75","0.99","0.99","10160"
"Andrei Lobanov","Twins (R)","19","22.0","14.32","0.41","35.00","0.41","42.7 %","1.2 %","41.5 %",".173","0.68",".289","73.5 %","0.82","0.81","0.01","0.49","sa455864"
"Jeff Karstens","Pirates (AAA)","26","6.0","10.50","0.00","7.00","0.00","31.8 %","0.0 %","31.8 %",".182","0.67",".267","100.0 %","0.00","0.82","-0.82","2.16","5879"
"Marcus Jensen","Rays (R)","17","5.0","10.80","0.00","6.00","0.00","31.6 %","0.0 %","31.6 %",".211","0.80",".308","75.0 %","1.80","0.87","0.93","1.45","sa502703"
"Grabiel Diaz","Blue Jays (R)","21","3.1","10.80","0.00","4.00","0.00","30.8 %","0.0 %","30.8 %",".231","0.90",".333","100.0 %","0.00","0.91","-0.91","1.00","sa3000198"
"Joey Centanni","Orioles (R)","22","12.1","13.86","2.19","6.33","0.00","37.3 %","5.9 %","31.4 %",".271","1.30",".448","62.5 %","4.38","0.92","3.46","1.03","sa503977"
"Buddy Carlyle","- - -","31","17.1","12.46","0.52","24.00","0.00","36.9 %","1.5 %","35.4 %",".226","0.87",".368","82.4 %","1.56","0.94","0.62","1.48","2010"
"David Robertson","Yankees (AAA)","24","14.2","15.34","3.68","4.17","0.00","42.4 %","10.2 %","32.2 %",".189","1.09",".357","56.3 %","1.84","0.97","0.87","1.80","8241"
"Carlos Silva","- - -","30","4.0","11.25","0.00","5.00","0.00","26.3 %","0.0 %","26.3 %",".316","1.50",".429","50.0 %","4.50","1.04","3.46","1.88","973"
"Mike Minor","Braves (A)","21","14.0","10.93","0.00","17.00","0.00","35.4 %","0.0 %","35.4 %",".208","0.71",".323","90.0 %","0.64","1.05","-0.41","1.78","10021"
"Jack Frawley","Astros (R)","23","20.0","11.25","0.00","25.00","0.00","32.1 %","0.0 %","32.1 %",".237","0.90",".353","80.0 %","0.90","1.07","-0.17","1.33","sa510476"
"Adam Godwin","Dodgers (AA)","26","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.09","-1.09","1.09","sa291770"
"Luis Bolivar","Reds (AAA)","28","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.15","-1.15","1.15","sa202382"
"Ricardo Montilla","Rays (R)","21","6.0","12.00","0.00","8.00","0.00","30.8 %","0.0 %","30.8 %",".240","1.00",".353","100.0 %","0.00","1.16","-1.16","1.58","sa3000193"
"Shawn Griffith","- - -","22","33.2","13.90","2.67","5.20","0.00","41.3 %","7.9 %","33.3 %",".113","0.68",".206","87.5 %","0.53","1.17","-0.64","1.74","sa503221"
"Jake Eigsti","Mets (A+)","25","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.18","-1.18","2.64","sa328431"
"Ryan Acosta","Yankees (R)","20","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.27","-1.27","1.27","sa390653"
"Zack Dodson","Pirates (R)","18","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.27","-1.27","1.27","sa501219"
"Zack Von Rosenberg","Pirates (R)","18","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.27","-1.27","1.75","sa501498"
"Kevin James","Rays (R)","18","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.27","-1.27","1.27","sa501604"
"Austin Hyatt","- - -","23","59.0","13.58","2.14","6.36","0.15","40.6 %","6.4 %","34.3 %",".151","0.76",".261","80.3 %","1.22","1.27","-0.05","1.62","sa501768"
"Miguel De Los Santos","Rangers (R)","20","32.0","19.69","6.19","3.18","0.00","52.2 %","16.4 %","35.8 %",".073","0.94",".205","78.8 %","1.41","1.27","0.13","1.46","sa393252"
