"Name","Team","Age","IP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"David Baker","Orioles (R)","18","15.2","11.49","1.72","6.67","0.00","32.3 %","4.8 %","27.4 %",".220","1.02",".333","62.5 %","2.30","1.29","1.01","1.78","sa501695"
"Josh Lueke","Rangers (A+)","24","7.2","12.91","1.17","11.00","0.00","37.9 %","3.5 %","34.5 %",".179","0.78",".294","66.7 %","1.17","1.29","-0.12","2.08","5722"
"Zach Quate","Rays (A-)","21","26.0","11.77","1.38","8.50","0.00","35.8 %","4.2 %","31.6 %",".167","0.73",".268","90.0 %","0.35","1.30","-0.96","1.77","sa501754"
"Ronald Lora","White Sox (R)","20","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".333","1.00",".500","100.0 %","0.00","1.31","-1.31","1.63","sa3000774"
"Ramon Rivera","Cubs (R)","20","1.0","9.00","0.00","1.00","0.00","16.7 %","0.0 %","16.7 %",".500","3.00",".600","66.7 %","9.00","1.31","7.69","1.63","sa3000924"
"Cesse De Jesus","Diamondbacks (R)","19","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.31","-1.31","1.63","sa508134"
"Young-Il Jung","Angels (R)","20","2.0","13.50","0.00","3.00","0.00","42.9 %","0.0 %","42.9 %",".143","0.50",".250","100.0 %","0.00","1.33","-1.33","1.68","sa356979"
"Joe Smith","Indians (AAA)","25","5.0","10.80","1.80","6.00","0.00","30.0 %","5.0 %","25.0 %",".211","1.00",".308","100.0 %","0.00","1.35","-1.35","1.96","3281"
"Bill Bray","Reds (AAA)","26","5.0","10.80","1.80","6.00","0.00","33.3 %","5.6 %","27.8 %",".118","0.60",".182","100.0 %","0.00","1.35","-1.35","2.36","8538"
"Mike Ramlow","Brewers (A+)","23","5.0","10.80","1.80","6.00","0.00","30.0 %","5.0 %","25.0 %",".211","1.00",".308","60.0 %","3.60","1.38","2.22","2.54","sa326250"
"Kirby Yates","Rays (R)","22","26.1","16.75","2.73","6.13","0.00","44.1 %","7.2 %","36.9 %",".225","1.14",".449","80.0 %","2.39","1.42","0.98","2.06","9073"
"Chad Durbin","- - -","31","4.0","11.25","2.25","5.00","0.00","31.3 %","6.3 %","25.0 %",".267","1.25",".400","100.0 %","0.00","1.42","-1.42","1.61","1442"
"Jan Rehacek","Twins (R)","22","6.0","10.50","1.50","7.00","0.00","33.3 %","4.8 %","28.6 %",".050","0.33",".077","50.0 %","0.00","1.43","-1.43","1.84","sa511473"
"Jensen Lewis","Indians (AAA)","25","18.2","13.50","3.37","4.00","0.00","38.4 %","9.6 %","28.8 %",".200","1.07",".351","100.0 %","0.00","1.44","-1.44","2.25","3384"
"Chris Bootcheck","Pirates (AAA)","30","42.2","11.60","1.48","7.86","0.21","32.4 %","4.1 %","28.2 %",".247","1.10",".368","68.7 %","3.37","1.44","1.94","1.96","1842"
"Trevor Hoffman","Brewers (AAA)","41","2.0","9.00","0.00","2.00","0.00","20.0 %","0.0 %","20.0 %",".400","2.00",".500","50.0 %","9.00","1.47","7.53","3.71","1035"
"Jason Lane","Blue Jays (AAA)","32","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.47","-1.47","3.71","1397"
"Chris Frey","Rockies (AAA)","25","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.47","-1.47","4.84","sa291760"
"Josh Squatrito","Cardinals (A-)","22","26.1","11.96","2.05","5.83","0.00","33.7 %","5.8 %","27.9 %",".217","1.03",".339","82.1 %","1.37","1.48","-0.12","1.98","sa502174"
"Denny Peralta","- - -","19","60.0","9.75","1.05","9.29","0.00","26.5 %","2.9 %","23.7 %",".228","1.02",".314","56.5 %","3.30","1.54","1.76","2.03","sa506022"
"Dan Remenowsky","White Sox (A)","23","63.1","15.49","2.27","6.81","0.43","44.1 %","6.5 %","37.7 %",".175","0.88",".319","74.8 %","1.99","1.55","0.44","1.61","sa461018"
"Nelvin Fuentes","Twins (R)","20","21.0","10.29","1.71","6.00","0.00","28.9 %","4.8 %","24.1 %",".203","0.95",".291","65.0 %","1.29","1.55","-0.27","1.99","sa392078"
"Clay Condrey","- - -","33","6.0","7.50","0.00","5.00","0.00","25.0 %","0.0 %","25.0 %",".200","0.67",".267","100.0 %","0.00","1.56","-1.56","2.04","1579"
"Scott Kazmir","- - -","25","10.2","8.44","0.84","10.00","0.00","25.0 %","2.5 %","22.5 %",".205","0.84",".276","88.9 %","0.84","1.57","-0.73","2.38","4897"
"Tyler Howe","Mets (R)","23","4.1","12.46","2.08","6.00","0.00","35.3 %","5.9 %","29.4 %",".063","0.46",".100","100.0 %","0.00","1.58","-1.58","2.23","sa455706"
"Brian Irving","- - -","23","24.1","14.42","1.48","9.75","0.00","39.0 %","4.0 %","35.0 %",".198","0.95",".333","60.9 %","2.22","1.58","0.64","2.12","sa454763"
"Robert Lara","Padres (A)","22","2.0","22.50","9.00","2.50","0.00","55.6 %","22.2 %","33.3 %",".000","1.00",".000","100.0 %","0.00","1.59","-1.59","1.59","sa455283"
"Melvin Croussett","Yankees (R)","20","28.0","14.46","4.50","3.21","0.00","40.2 %","12.5 %","27.7 %",".174","1.11",".321","83.9 %","1.61","1.59","0.02","1.84","sa505544"
"Jon Bachanov","- - -","20","32.0","14.63","1.41","10.40","0.00","38.5 %","3.7 %","34.8 %",".240","1.13",".403","70.3 %","3.09","1.60","1.49","2.15","sa389939"
"Pat Venditte","- - -","24","67.1","11.63","1.47","7.91","0.27","32.5 %","4.1 %","28.4 %",".237","1.07",".351","76.6 %","1.87","1.61","0.26","1.94","7108"
"Kris Medlen","Braves (AAA)","23","37.2","10.51","2.39","4.40","0.00","31.9 %","7.3 %","24.6 %",".156","0.80",".238","83.3 %","1.19","1.61","-0.42","2.39","9417"
"Ryan Braun","- - -","28","12.0","11.25","1.50","7.50","0.00","34.9 %","4.7 %","30.2 %",".122","0.58",".192","85.7 %","0.75","1.63","-0.88","2.09","5648"
"Rafael Suarez","Rockies (R)","20","9.0","9.00","1.00","9.00","0.00","26.5 %","2.9 %","23.5 %",".152","0.67",".208","50.0 %","3.00","1.64","1.36","2.04","sa511109"
"Rafael Betancourt","Indians (AAA)","34","3.1","10.80","2.70","4.00","0.00","36.4 %","9.1 %","27.3 %",".000","0.30",".000","100.0 %","0.00","1.65","-1.65","2.26","177"
"Eric Massingham","Phillies (A-)","22","23.2","12.17","3.04","4.00","0.00","34.0 %","8.5 %","25.5 %",".174","0.97",".278","78.3 %","0.76","1.65","-0.89","2.09","sa502191"
"Matt Bashore","Twins (R)","21","2.0","9.00","0.00","2.00","0.00","25.0 %","0.0 %","25.0 %",".375","1.50",".500","100.0 %","0.00","1.66","-1.66","2.59","sa501204"
"Ruben De La Rosa","Nationals (R)","22","28.0","14.14","3.21","4.40","0.32","37.6 %","8.6 %","29.1 %",".206","1.14",".339","85.0 %","0.96","1.66","-0.70","1.68","sa503971"
"Shaeffer Hall","Yankees (A-)","21","9.2","10.24","0.00","11.00","0.00","28.2 %","0.0 %","28.2 %",".243","0.93",".346","81.8 %","1.86","1.69","0.17","2.28","sa392149"
"Paul Smyth","- - -","22","36.1","10.90","0.99","11.00","0.00","34.4 %","3.1 %","31.3 %",".114","0.50",".177","100.0 %","0.00","1.72","-1.72","2.32","sa503009"
"Josh Roenicke","Reds (AAA)","26","28.0","10.29","1.93","5.33","0.00","26.2 %","4.9 %","21.3 %",".263","1.29",".366","76.3 %","2.57","1.72","0.85","2.48","3241"
"Alving Mejias","Rockies (R)","17","72.1","8.71","0.75","11.67","0.00","25.5 %","2.2 %","23.3 %",".192","0.79",".260","73.3 %","1.24","1.74","-0.50","2.09","sa506309"
"Ian Snell","Pirates (AAA)","27","37.1","11.33","3.13","3.62","0.00","31.3 %","8.7 %","22.7 %",".206","1.10",".315","83.3 %","0.96","1.76","-0.79","2.62","2227"
"Wilsen Palacios","Tigers (R)","19","10.1","12.19","0.00","14.00","0.00","32.6 %","0.0 %","32.6 %",".282","1.06",".440","73.3 %","3.48","1.76","1.73","2.07","sa510106"
"Jared Burton","- - -","28","12.0","9.75","2.25","4.33","0.00","27.1 %","6.3 %","20.8 %",".200","1.00",".281","91.7 %","0.75","1.77","-1.02","2.95","8346"
"Warren Schaeffer","Rockies (A+)","24","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.77","-1.77","2.77","sa390281"
"Gonzalez Germen","- - -","21","51.0","10.76","0.53","20.33","0.35","31.3 %","1.5 %","29.7 %",".196","0.78",".278","67.2 %","2.29","1.77","0.52","1.52","5876"
"James Brandhorst","Orioles (A-)","21","27.2","10.41","2.28","4.57","0.00","30.2 %","6.6 %","23.6 %",".232","1.08",".343","76.7 %","1.30","1.79","-0.49","2.37","sa501998"
"Audy Santana","Giants (R)","22","25.2","12.97","1.05","12.33","0.00","38.1 %","3.1 %","35.1 %",".170","0.74",".281","79.0 %","1.40","1.80","-0.40","2.49","sa392428"
"Omar Beltre","Rangers (R)","27","7.1","12.27","3.68","3.33","0.00","33.3 %","10.0 %","23.3 %",".185","1.09",".294","62.5 %","0.00","1.81","-1.81","2.07","10259"
"Antony Alvarado","Red Sox (R)","19","2.0","13.50","4.50","3.00","0.00","33.3 %","11.1 %","22.2 %",".375","2.00",".600","75.0 %","0.00","1.81","-1.81","1.81","sa3000801"
"Felix Cespedes","Phillies (R)","18","83.2","11.08","2.15","5.15","0.00","30.6 %","5.9 %","24.6 %",".223","1.06",".333","63.5 %","3.12","1.81","1.31","2.07","sa3000885"
"Franklin Noel","Giants (R)","20","27.0","9.67","2.00","4.83","0.00","29.3 %","6.1 %","23.2 %",".129","0.67",".188","100.0 %","0.00","1.82","-1.82","2.09","sa507011"
"Matt Fields","Blue Jays (R)","22","51.2","9.41","1.05","9.00","0.17","28.0 %","3.1 %","24.9 %",".188","0.79",".260","81.3 %","1.22","1.84","-0.62","2.09","sa502116"
"Ryan Palsha","Orioles (R)","19","27.0","13.33","2.00","6.67","0.33","35.7 %","5.4 %","30.4 %",".255","1.22",".400","60.1 %","4.33","1.84","2.49","2.05","sa501904"
"Dan April","Rays (A-)","22","1.1","6.75","0.00","1.00","0.00","20.0 %","0.0 %","20.0 %",".200","0.75",".250","100.0 %","0.00","1.84","-1.84","2.70","sa503355"
"Michael Lennox","Red Sox (R)","19","23.1","8.10","0.77","10.50","0.00","20.8 %","2.0 %","18.8 %",".245","1.11",".312","48.2 %","3.47","1.85","1.62","2.45","sa458793"
"Chad Gaudin","Padres (AAA)","26","8.2","10.38","2.08","5.00","0.00","32.3 %","6.5 %","25.8 %",".138","0.69",".211","100.0 %","0.00","1.86","-1.86","2.24","1783"
"Rafael Perez","Indians (AAA)","27","21.2","9.55","2.08","4.60","0.00","25.3 %","5.5 %","19.8 %",".271","1.29",".371","89.7 %","0.83","1.86","-1.03","2.56","4078"
"B.J. Rosenberg","- - -","23","61.0","10.77","2.07","5.21","0.00","30.3 %","5.8 %","24.5 %",".210","1.00",".311","84.4 %","1.18","1.86","-0.68","2.62","7183"
"Jordan Conley","Marlins (R)","22","10.0","11.70","3.60","3.25","0.00","33.3 %","10.3 %","23.1 %",".171","1.00",".273","60.0 %","0.90","1.87","-0.97","2.11","sa504810"
"Ian Kennedy","Yankees (AAA)","24","22.2","9.93","2.78","3.57","0.00","27.5 %","7.7 %","19.8 %",".214","1.10",".305","80.0 %","1.59","1.87","-0.28","2.76","6986"
"Porfirio Lopez","Pirates (R)","19","44.0","12.48","2.25","5.55","0.41","38.6 %","7.0 %","31.7 %",".122","0.66",".191","80.2 %","1.23","1.87","-0.65","1.50","sa507218"
"A.J. Ramos","Marlins (A-)","22","33.2","13.37","3.74","3.57","0.00","35.7 %","10.0 %","25.7 %",".179","1.07",".301","76.9 %","2.14","1.89","0.25","2.36","8350"
"Michael Schwimer","- - -","23","64.2","12.39","2.92","4.24","0.28","34.0 %","8.0 %","26.0 %",".213","1.11",".331","68.8 %","3.20","1.90","1.30","2.12","8103"
"Carlos Fisher","- - -","26","20.0","10.35","2.70","3.83","0.00","29.5 %","7.7 %","21.8 %",".169","0.90",".250","79.0 %","1.80","1.90","-0.10","2.57","9832"
"Luis Gomez","Marlins (R)","21","51.0","9.53","1.24","7.71","0.18","27.0 %","3.5 %","23.5 %",".203","0.90",".277","59.2 %","1.76","1.91","-0.15","1.98","sa506876"
"Zach See","Twins (R)","20","26.0","11.77","3.46","3.40","0.00","33.3 %","9.8 %","23.5 %",".176","1.00",".281","88.9 %","0.69","1.92","-1.23","2.40","sa504231"
"Brad Brach","Padres (A)","23","63.2","11.59","1.55","7.45","0.14","34.9 %","4.7 %","30.2 %",".164","0.74",".256","82.7 %","1.27","1.92","-0.65","2.43","6627"
"Luke Prihoda","- - -","24","25.2","9.47","0.35","27.00","0.35","26.7 %","1.0 %","25.7 %",".260","1.05",".347","74.2 %","2.81","1.93","0.88","2.36","sa392157"
"Josh Worrell","Royals (R)","22","13.1","16.88","4.05","4.17","0.00","42.4 %","10.2 %","32.2 %",".226","1.35",".429","50.0 %","4.05","1.93","2.12","2.75","sa502683"
"Andres Santos","Pirates (R)","22","6.0","6.00","0.00","4.00","0.00","13.8 %","0.0 %","13.8 %",".345","1.67",".400","50.0 %","7.50","1.93","5.57","2.66","sa488530"
"Rogelio Carmona","Cubs (R)","19","18.0","13.00","1.50","8.67","0.00","31.3 %","3.6 %","27.7 %",".275","1.39",".407","36.0 %","6.00","1.95","4.05","2.55","sa456114"
"Jose Perez","Angels (R)","21","13.0","13.85","2.08","6.67","0.00","40.0 %","6.0 %","34.0 %",".192","0.92",".333","58.3 %","3.46","1.95","1.51","2.21","sa393029"
"Jorge Padilla","Nationals (AAA)","29","1.2","5.40","0.00","1.00","0.00","16.7 %","0.0 %","16.7 %",".167","0.60",".200","100.0 %","0.00","1.95","-1.95","3.16","2054"
"Victor Trinidad","Athletics (R)","18","10.1","11.32","1.74","6.50","0.00","32.5 %","5.0 %","27.5 %",".194","0.87",".304","81.8 %","0.00","1.95","-1.95","2.20","sa506025"
"Joshua Goodin","Orioles (R)","22","19.0","10.89","1.89","5.75","0.00","31.1 %","5.4 %","25.7 %",".119","0.63",".182","86.7 %","0.47","1.95","-1.48","2.26","sa507429"
"Pedro Guerra","Twins (R)","19","71.0","9.51","1.52","6.25","0.00","28.4 %","4.6 %","23.9 %",".179","0.79",".257","93.6 %","0.38","1.95","-1.57","2.31","sa506787"
"Amilcar Gaxiola","Braves (R)","18","12.2","7.11","0.00","10.00","0.00","21.3 %","0.0 %","21.3 %",".196","0.71",".250","90.0 %","0.71","1.96","-1.25","2.38","sa510464"
"Emiliano Medina","Rangers (R)","18","3.0","6.00","0.00","2.00","0.00","18.2 %","0.0 %","18.2 %",".091","0.33",".111","0.0 %","0.00","1.97","-1.97","2.41","sa511573"
"Ty'Relle Harris","- - -","22","17.1","12.46","2.60","4.80","0.00","35.3 %","7.4 %","27.9 %",".164","0.87",".270","88.2 %","1.04","1.98","-0.94","2.65","sa501985"
"Deivi Mojica","Yankees (R)","19","59.2","9.65","1.66","5.82","0.15","25.5 %","4.4 %","21.1 %",".285","1.32",".385","64.9 %","3.17","1.98","1.19","2.15","sa505536"
"Paul Burnside","White Sox (R)","22","10.0","18.00","5.40","3.33","0.00","44.4 %","13.3 %","31.1 %",".132","1.10",".278","33.3 %","4.50","1.98","2.52","2.59","sa503343"
"Adrian Salcedo","Twins (R)","18","61.2","8.46","0.44","19.33","0.15","22.4 %","1.2 %","21.2 %",".239","1.02",".307","64.6 %","1.46","1.99","-0.53","2.13","sa504003"
"Kyle Bellamy","- - -","21","22.0","13.09","0.82","16.00","0.41","36.0 %","2.3 %","33.7 %",".169","0.73",".260","80.7 %","1.23","2.00","-0.78","1.96","sa501479"
"Dinesh Patel","Pirates (R)","20","6.1","5.68","0.00","4.00","0.00","15.4 %","0.0 %","15.4 %",".192","0.79",".227","60.0 %","1.42","2.00","-0.58","2.46","sa505588"
"Chris Masters","Braves (R)","21","69.2","10.98","1.16","9.44","0.13","31.4 %","3.3 %","28.0 %",".206","0.89",".304","76.2 %","1.42","2.01","-0.59","2.64","sa501617"
"Michael Kohn","- - -","23","65.2","14.12","3.56","3.96","0.14","41.5 %","10.5 %","31.1 %",".150","0.90",".276","82.2 %","1.64","2.01","-0.36","2.58","8505"
"Andy Otero","Braves (R)","17","64.0","13.08","3.66","3.58","0.14","37.5 %","10.5 %","27.0 %",".174","1.00",".298","85.6 %","0.84","2.01","-1.17","2.07","sa506550"
"Juan Marcano","Yankees (R)","18","45.0","14.00","4.00","3.50","0.20","37.6 %","10.8 %","26.9 %",".166","1.04",".283","76.1 %","2.20","2.02","0.18","2.18","sa507171"
"Jesse Crain","Twins (AAA)","27","17.2","11.21","4.08","2.75","0.00","31.0 %","11.3 %","19.7 %",".206","1.19",".317","76.2 %","2.55","2.02","0.53","2.99","4817"
"Gabriel Arias","Phillies (R)","19","70.2","8.92","1.15","7.78","0.13","23.9 %","3.1 %","20.8 %",".242","1.09",".319","70.0 %","2.29","2.02","0.27","2.24","sa507276"
"Austin Wood","- - -","22","6.0","7.50","0.00","5.00","0.00","20.8 %","0.0 %","20.8 %",".261","1.00",".333","85.7 %","1.50","2.03","-0.53","2.59","sa501456"
"Tyler Topp","Marlins (R)","22","38.0","8.53","0.95","9.00","0.24","24.3 %","2.7 %","21.6 %",".264","1.11",".346","71.4 %","2.84","2.03","0.81","2.11","sa503063"
"Chris Fetter","- - -","23","65.0","10.38","1.94","5.36","0.00","29.9 %","5.6 %","24.3 %",".211","0.98",".309","81.3 %","1.66","2.03","-0.37","3.01","sa501540"
"Aaron Loup","Blue Jays (R)","21","16.1","10.47","1.65","6.33","0.00","26.8 %","4.2 %","22.5 %",".262","1.22",".370","60.9 %","3.86","2.04","1.81","2.49","10343"
"Evan Bronson","Nationals (A-)","22","49.1","6.93","0.55","12.67","0.00","21.1 %","1.7 %","19.4 %",".159","0.63",".203","78.1 %","0.55","2.05","-1.50","2.57","sa502411"
"Shawn Kelley","- - -","25","3.0","9.00","0.00","3.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","2.05","-2.05","3.02","7773"
"Raul Ruiz","Pirates (R)","18","33.2","7.75","0.80","9.67","0.00","23.0 %","2.4 %","20.6 %",".190","0.77",".250","85.7 %","0.53","2.05","-1.52","2.74","sa447877"
"Brett Myers","- - -","28","8.0","15.75","2.25","7.00","1.13","48.3 %","6.9 %","41.4 %",".148","0.75",".250","100.0 %","1.13","2.07","-0.94","0.76","962"
"Francisco Jimenez","- - -","20","47.1","11.22","1.33","8.43","0.19","31.7 %","3.8 %","28.0 %",".225","0.99",".331","73.0 %","2.28","2.07","0.21","2.53","sa503600"
"Erasmo Ramirez","Mariners (R)","19","88.0","8.18","0.51","16.00","0.10","24.7 %","1.5 %","23.2 %",".173","0.67",".229","86.7 %","0.51","2.07","-1.56","2.31","10314"
"Mickey Storey","- - -","23","51.2","12.37","1.39","8.88","0.35","36.8 %","4.2 %","32.6 %",".149","0.68",".232","77.4 %","1.22","2.07","-0.85","2.33","4721"
"Mat Latos","- - -","21","72.1","9.08","1.49","6.08","0.12","27.3 %","4.5 %","22.9 %",".165","0.75",".228","80.2 %","1.37","2.08","-0.72","2.71","3815"
"Santo Maertz","Cardinals (A-)","23","31.0","10.45","3.19","3.27","0.00","30.3 %","9.2 %","21.0 %",".139","0.84",".208","76.9 %","1.45","2.08","-0.63","2.64","sa455035"
"Sergio Romo","- - -","26","7.2","10.57","2.35","4.50","0.00","31.0 %","6.9 %","24.1 %",".148","0.78",".222","83.3 %","0.00","2.09","-2.09","2.90","9817"
"Louis Coleman","- - -","23","21.2","9.14","1.66","5.50","0.00","28.2 %","5.1 %","23.1 %",".137","0.65",".196","66.7 %","1.66","2.09","-0.43","2.98","9720"
