"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Ian Krol","- - -","26","1","0","0.00","4","0","0","0","0","0","0","5.0","20","2","0","0","0","2","0","2","1","0","5","10066"
"Bryan Morris","- - -","30","1","0","0.00","5","0","0","0","0","0","0","5.2","21","2","0","0","0","2","0","0","0","0","3","10234"
"Rocky Gale","Padres (AAA)","29","0","0","0.00","2","0","0","0","0","0","0","1.0","5","1","0","0","0","0","0","1","0","0","1","10533"
"Michael Choice","Orioles (AAA)","27","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","11376"
"Carlos Ramirez","- - -","26","3","0","0.00","25","0","0","0","3","1","4","37.2","140","16","2","0","0","10","0","1","1","0","45","11743"
"Michael Feliz","- - -","24","0","0","0.00","2","1","0","0","0","0","1","2.0","6","0","0","0","0","1","0","0","0","0","3","11903"
"Taylor Cole","- - -","27","0","0","0.00","9","4","0","0","0","0","2","12.2","47","6","0","0","0","2","0","0","0","0","16","11964"
"David Washington","Orioles (AAA)","26","0","0","0.00","1","0","0","0","0","0","0","0.1","3","1","0","0","0","1","0","0","0","0","0","12110"
"Tony Cingrani","- - -","27","0","0","0.00","3","1","0","0","0","0","0","3.0","12","0","0","0","0","3","0","0","3","0","1","12555"
"Sonny Gray","- - -","27","2","0","0.00","2","2","0","0","0","0","0","11.0","37","3","0","0","0","0","0","0","1","0","13","12768"
"Taylor Davis","Cubs (AAA)","27","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","12782"
"Matt Barnes","Red Sox (AA)","27","0","0","0.00","1","1","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","0","0","1","12863"
"Joe Musgrove","Astros (AAA)","24","1","0","0.00","1","1","0","0","0","0","0","7.0","22","1","0","0","0","2","0","0","0","0","7","12970"
"Robby Scott","Red Sox (AAA)","27","0","0","0.00","7","0","0","0","0","0","1","7.1","29","3","0","0","0","5","0","0","1","0","5","13042"
"Wei-Yin Chen","- - -","31","0","0","0.00","3","2","0","0","0","0","1","4.2","21","6","0","0","0","1","0","0","1","0","3","13071"
"Ross Stripling","Dodgers (AAA)","27","1","1","0.00","3","0","0","0","0","0","0","3.1","15","3","1","0","0","1","0","0","1","0","4","13273"
"Max Muncy","Dodgers (AAA)","26","0","0","0.00","3","0","0","0","0","0","0","2.1","8","2","0","0","0","1","0","0","0","0","0","13301"
"Nick Goody","Indians (AAA)","25","1","0","0.00","3","0","0","0","0","0","0","4.1","17","2","0","0","0","1","1","1","0","0","10","13685"
"Kyle Barraclough","- - -","27","0","0","0.00","2","1","0","0","0","0","1","2.0","9","1","0","0","0","1","0","1","0","0","3","13713"
"JT Chargois","Twins (AAA)","26","0","0","0.00","2","0","0","0","1","0","0","2.2","9","1","0","0","0","1","0","0","0","0","2","13767"
"Matt Strahm","Royals (AAA)","25","0","0","0.00","4","0","0","0","0","0","1","5.0","17","2","0","0","0","0","0","0","0","0","7","13799"
"Ian Parmley","Blue Jays (AAA)","27","1","0","0.00","1","0","0","0","0","0","0","2.0","8","2","0","0","0","0","0","0","0","0","0","13821"
"Ryan Dull","- - -","27","0","0","0.00","3","1","0","0","0","0","0","3.2","14","1","0","0","0","1","0","1","0","0","3","13974"
