"Name","Team","Age","IP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Hunter Harvey","- - -","21","12.2","12.79","4.26","3.00","0.00","32.7 %","10.9 %","21.8 %",".250","1.42",".400","73.7 %","2.13","2.11","0.02","2.57","sa737510"
"Brandon Lawson","Rays (A-)","21","31.0","7.84","1.74","4.50","0.00","20.8 %","4.6 %","16.2 %",".242","1.16",".309","63.9 %","2.03","2.12","-0.08","2.40","sa918264"
"Mark Ecker","- - -","21","27.2","10.08","1.63","6.20","0.33","30.1 %","4.9 %","25.2 %",".163","0.76",".227","91.8 %","0.98","2.12","-1.14","2.26","sa918000"
"Deolis Guerra","Angels (AAA)","27","5.0","12.60","3.60","3.50","0.00","35.0 %","10.0 %","25.0 %",".167","1.00",".273","100.0 %","0.00","2.12","-2.12","3.33","8410"
"Brandon Beachy","Dodgers (R)","29","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","2.12","-2.12","3.29","8851"
"Matt Clancy","Mariners (R)","22","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","2.12","-2.12","2.71","sa872718"
"Willy Taveras","Mets (R)","18","37.2","6.21","1.19","5.20","0.00","16.7 %","3.2 %","13.5 %",".285","1.27",".344","62.5 %","3.35","2.13","1.22","2.62","sa917753"
"Jesus Reyes","Giants (R)","19","35.2","11.61","4.29","2.71","0.00","30.9 %","11.4 %","19.5 %",".162","1.07",".250","70.0 %","1.51","2.13","-0.62","2.32","sa917374"
"Briam Campusano","Mets (R)","20","61.1","8.66","1.76","4.92","0.15","23.6 %","4.8 %","18.8 %",".209","0.99",".274","59.1 %","1.76","2.13","-0.37","2.28","sa917756"
"Austin Adams","Indians (AAA)","29","37.2","9.80","2.15","4.56","0.24","25.0 %","5.5 %","19.5 %",".286","1.41",".384","62.7 %","4.54","2.13","2.41","2.60","7411"
"Devan Watts","- - -","21","23.2","9.89","2.28","4.33","0.00","30.2 %","7.0 %","23.3 %",".139","0.72",".208","88.9 %","0.76","2.13","-1.37","3.15","sa918361"
"Luke Weaver","- - -","22","83.0","9.98","1.30","7.67","0.43","27.9 %","3.6 %","24.2 %",".206","0.93",".277","76.3 %","1.30","2.14","-0.84","2.78","16918"
"Brian Miller","Rays (A+)","23","32.1","8.35","1.95","4.29","0.00","22.9 %","5.3 %","17.6 %",".244","1.14",".323","76.3 %","1.11","2.14","-1.03","2.56","sa827168"
"Nick Vilter","Padres (A)","22","3.0","6.00","0.00","2.00","0.00","15.4 %","0.0 %","15.4 %",".385","1.67",".455","80.0 %","3.00","2.14","0.86","3.35","sa829164"
"Preston Guilmet","Tigers (AAA)","28","68.1","10.80","1.58","6.83","0.53","29.3 %","4.3 %","25.0 %",".267","1.21",".372","71.8 %","2.77","2.14","0.62","2.27","7303"
"Kyle Young","Phillies (R)","18","27.0","6.33","0.67","9.50","0.00","18.1 %","1.9 %","16.2 %",".223","0.93",".274","56.0 %","2.67","2.15","0.52","2.49","sa918488"
"Kirby Yates","Yankees (AAA)","29","16.2","10.26","3.24","3.17","0.00","27.5 %","8.7 %","18.8 %",".194","1.08",".279","84.2 %","1.62","2.15","-0.53","3.04","9073"
"Matt Andriese","Rays (AAA)","26","34.1","11.53","1.83","6.29","0.52","31.0 %","4.9 %","26.1 %",".241","1.14",".345","70.7 %","3.41","2.15","1.26","2.16","12022"
"Orestes Melendez","Phillies (R)","21","35.1","8.92","2.29","3.89","0.00","25.7 %","6.6 %","19.1 %",".177","0.88",".247","70.6 %","2.04","2.15","-0.11","2.43","sa827216"
"Cory Luebke","- - -","31","24.1","12.95","1.11","11.67","0.74","34.3 %","2.9 %","31.4 %",".229","1.03",".339","91.3 %","1.85","2.15","-0.30","2.07","1984"
"Joe Mantiply","- - -","25","59.1","10.47","1.82","5.75","0.30","28.6 %","5.0 %","23.7 %",".225","1.06",".314","70.7 %","2.73","2.15","0.58","2.67","14857"
"Michael Santos","Giants (A)","21","58.2","6.75","0.77","8.80","0.00","18.6 %","2.1 %","16.5 %",".263","1.12",".325","63.6 %","2.91","2.16","0.76","3.03","sa736667"
"Jose Santos","- - -","24","30.0","14.40","3.30","4.36","0.00","42.1 %","9.7 %","32.5 %",".119","0.77",".226","84.0 %","1.20","2.16","-0.96","3.05","sa872869"
"Carlos Sanchez","Athletics (R)","18","34.2","5.45","0.52","10.50","0.00","15.0 %","1.4 %","13.6 %",".248","1.04",".293","70.3 %","2.86","2.16","0.70","2.60","sa917794"
