"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Ashur Tolliver","Orioles (A-)","21","1","0","0.00","3","0","0","0","0","0","0","8.0","30","6","0","0","0","2","0","1","0","0","7","10044"
"Omar Beltre","Rangers (R)","27","0","0","0.00","6","0","0","0","0","0","2","7.1","30","5","3","0","0","3","0","0","2","0","10","10259"
"Jason Lane","Blue Jays (AAA)","32","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","1397"
"Chad Durbin","- - -","31","0","0","0.00","3","2","0","0","0","0","0","4.0","16","4","0","0","0","1","0","0","0","0","5","1442"
"Clay Condrey","- - -","33","0","0","0.00","5","1","0","0","0","0","2","6.0","20","4","0","0","0","0","0","0","0","0","5","1579"
"Luis Ayala","Marlins (AAA)","31","0","0","0.00","9","0","0","0","4","0","0","10.0","38","4","0","0","0","3","0","0","0","0","10","1650"
"Kiko Calero","Marlins (A+)","34","0","0","0.00","2","0","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","0","1","1676"
"Jose Valverde","Astros (AA)","31","0","0","0.00","2","0","0","0","0","0","1","2.0","8","0","0","0","0","2","0","0","1","0","2","1726"
"Rafael Betancourt","Indians (AAA)","34","1","0","0.00","3","0","0","0","0","0","0","3.1","11","0","0","0","0","1","0","0","0","0","4","177"
"Chad Gaudin","Padres (AAA)","26","0","0","0.00","2","2","0","0","0","0","0","8.2","31","4","0","0","0","2","0","0","1","0","10","1783"
"Frank Francisco","Rangers (AA)","29","0","0","0.00","2","1","0","0","0","0","0","2.0","7","1","0","0","0","0","0","0","0","0","1","1933"
"Jorge Padilla","Nationals (AAA)","29","0","0","0.00","2","0","0","0","0","0","0","1.2","6","1","0","0","0","0","0","0","0","0","1","2054"
"Chien-Ming Wang","Yankees (AAA)","29","1","0","0.00","2","2","1","1","0","0","0","13.0","47","7","0","0","0","3","0","0","0","0","7","2074"
"Angel Guzman","- - -","27","0","0","0.00","2","2","0","0","0","0","0","2.1","9","1","0","0","0","1","0","0","0","0","3","2145"
"Boof Bonser","Twins (A+)","27","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","1","2159"
"Renyel Pinto","- - -","26","0","0","0.00","4","0","0","0","0","0","1","4.0","13","1","0","0","0","1","0","0","1","0","2","2180"
"Ronald Belisario","Dodgers (A+)","26","0","0","0.00","2","2","0","0","0","0","0","2.0","9","2","0","0","0","1","0","0","0","0","3","2203"
"Luis Maza","Dodgers (AAA)","29","0","0","0.00","1","0","0","0","0","0","0","0.2","4","1","0","0","0","1","0","0","0","0","0","2416"
"Mason Tobin","Angels (A+)","21","0","0","0.00","3","0","0","0","1","1","0","2.2","14","2","4","0","0","2","0","0","0","0","2","2534"
"Kyle Farnsworth","- - -","33","0","0","0.00","5","1","0","0","0","0","1","5.2","19","1","0","0","0","1","0","0","0","0","5","278"
"Manny Corpas","Rockies (AAA)","26","0","0","0.00","3","0","0","0","0","0","0","2.2","10","2","0","0","0","1","0","0","0","0","3","2807"
"Santiago Casilla","- - -","28","0","0","0.00","2","2","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","0","0","2873"
"Brian Esposito","Astros (AAA)","30","0","0","0.00","1","0","0","0","0","0","0","1.0","6","2","0","0","0","1","0","0","0","0","0","3085"
"Will Harris","Rockies (A-)","24","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","2","3192"
"Joe Smith","Indians (AAA)","25","0","0","0.00","5","0","0","0","0","0","2","5.0","20","4","0","0","0","1","0","0","0","0","6","3281"
"Chris Hatcher","Marlins (AA)","24","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","3299"
"Jensen Lewis","Indians (AAA)","25","1","0","0.00","12","0","0","0","0","0","5","18.2","73","13","0","0","0","7","0","1","0","0","28","3384"
"Dane Sardinha","Tigers (AAA)","30","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","1","0","0","353"
"Jose Mijares","Twins (AAA)","24","1","0","0.00","5","0","0","0","1","0","0","6.1","21","2","0","0","0","1","0","0","0","0","4","4140"
"Brad Eldred","Nationals (AAA)","28","0","0","0.00","1","0","0","0","0","0","0","0.1","2","0","0","0","0","1","0","0","0","0","1","4328"
"Mike McCoy","Rockies (AAA)","28","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","4583"
"Jason Grilli","Rangers (AA)","32","0","0","0.00","1","1","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","1","521"
"Chris Perez","Cardinals (AAA)","23","1","0","0.00","3","0","0","0","2","0","0","4.0","14","0","0","0","0","3","0","0","1","0","4","5213"
"Brad Lidge","- - -","32","0","0","0.00","2","1","0","0","0","0","0","2.0","8","1","0","0","0","1","0","0","0","0","2","563"
"Billy Wagner","- - -","37","0","0","0.00","7","0","0","0","0","0","1","7.0","22","3","0","0","0","0","0","0","0","0","10","578"
"Jeff Karstens","Pirates (AAA)","26","0","0","0.00","3","0","0","0","0","0","1","6.0","22","4","0","0","0","0","0","0","0","0","7","5879"
"Cody Clark","Royals (AA)","27","0","0","0.00","2","0","0","0","0","0","0","1.1","6","1","0","0","0","1","0","0","0","0","1","6019"
"Kelvin Herrera","Royals (A)","19","1","0","0.00","1","1","0","0","0","0","0","5.0","17","3","0","0","0","0","0","0","0","0","1","6033"
"Jimmy Barthmaier","Pirates (AAA)","25","0","0","0.00","1","1","0","0","0","0","0","0.0","2","0","0","0","0","2","0","0","0","0","0","6292"
"Clay Timpner","Giants (AAA)","26","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","1","0","0","0","0","0","7333"
