"Name","Team","Age","IP","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Bobby Kielty","Padres (AAA)","34","2.2",".286","6.00","12.5 %","75.0 %","12.5 %","0.0 %","100.0 %","75.0 %","25.0 %","0.0 %","4.8 %","17","25","42","736"
"J.J. Leaper","Athletics (A+)","24","1.0",".667","1.33","12.5 %","50.0 %","37.5 %","0.0 %","100.0 %","55.6 %","22.2 %","22.2 %","4.8 %","11","10","21","sa328183"
"Chris Cates","Twins (AA)","26","2.2",".556","2.00","45.5 %","36.4 %","18.2 %","0.0 %","100.0 %","45.5 %","27.3 %","27.3 %","20.0 %","20","20","40","sa393394"
"Lachlan Hodge","Mets (R)","22","1.0",".000","2.00","0.0 %","66.7 %","33.3 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","13.3 %","10","5","15","sa455782"
"Ryan Wood","Royals (R)","24","2.0",".750","5.00","33.3 %","55.6 %","11.1 %","0.0 %","100.0 %","44.4 %","44.4 %","11.1 %","40.7 %","4","23","27","sa501622"
"Drew Dominguez","Red Sox (A)","24","0.1",".500","2.00","0.0 %","66.7 %","33.3 %","0.0 %","100.0 %","0.0 %","66.7 %","33.3 %","20.0 %","5","5","10","sa502802"
"Efren Guzman","Mexican (AAA)","24","0.0",".000","0.00","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","0.0 %","0","2","2","sa509481"
"Walker Moore","Marlins (R)","22","1.2",".250","3.00","20.0 %","60.0 %","20.0 %","0.0 %","100.0 %","60.0 %","0.0 %","40.0 %","53.9 %","1","12","13","sa546758"
"Dennis Lellis","Nationals (R)","18","1.0",".800","1.00","66.7 %","16.7 %","16.7 %","0.0 %","100.0 %","33.3 %","66.7 %","0.0 %","0.0 %","4","9","13","sa550540"
"Elias Valdez","Braves (R)","18","3.0",".500","10.00","0.0 %","90.9 %","9.1 %","0.0 %","100.0 %","45.5 %","45.5 %","9.1 %","37.5 %","9","23","32","sa551054"
"Kyle McMillen","White Sox (R)","21","1.0",".500","2.00","25.0 %","50.0 %","25.0 %","0.0 %","100.0 %","60.0 %","20.0 %","20.0 %","28.6 %","15","13","28","sa578042"
"Daniel Sanchez","Mexican (AAA)","18","0.1",".000","0.50","0.0 %","33.3 %","66.7 %","0.0 %","100.0 %","33.3 %","66.7 %","0.0 %","0.0 %","4","7","11","sa593884"
