"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Ian Krol","Athletics (R)","20","0","0","0.00","3","3","0","0","0","0","0","5.0","15","0","0","0","0","0","0","0","0","0","6","10066"
"Caleb Thielbar","Twins (A+)","24","1","0","0.00","3","1","0","0","0","0","0","7.1","29","1","0","0","0","5","0","0","1","0","5","10078"
"Omar Beltre","Rangers (R)","29","0","0","0.00","2","2","0","0","0","0","0","2.0","9","2","0","0","0","2","0","0","0","0","4","10259"
"Joel Pineiro","Angels (A+)","32","0","0","0.00","1","1","0","0","0","0","0","5.2","24","6","3","0","0","2","0","0","1","0","2","1094"
"Joe Nathan","Twins (AAA)","36","0","0","0.00","3","1","0","0","0","0","0","3.0","12","2","1","0","0","1","0","0","0","0","5","1122"
"John Brebbia","Yankees (A-)","21","0","1","0.00","5","0","0","0","0","1","1","8.0","30","5","3","0","1","0","0","0","0","0","8","12777"
"Sam Gaviglio","Cardinals (A-)","21","0","0","0.00","2","2","0","0","0","0","0","4.0","14","2","0","0","0","0","0","0","0","0","4","12778"
"Shawn Armstrong","Indians (A-)","20","0","0","0.00","1","0","0","0","0","0","1","2.0","6","1","0","0","0","0","0","0","0","0","2","12857"
"Archie Bradley","Diamondbacks (R)","18","0","0","0.00","2","1","0","0","0","0","0","2.0","7","1","0","0","0","0","0","0","0","0","4","12918"
"Joe Ross","Padres (R)","18","0","0","0.00","1","0","0","0","0","0","0","1.0","6","2","0","0","0","0","0","1","0","0","0","12972"
"Andrew Chafin","Diamondbacks (R)","21","0","0","0.00","1","1","0","0","0","0","0","1.0","5","1","0","0","0","0","0","1","0","0","2","12988"
"Brandon Lyon","Astros (AAA)","31","0","0","0.00","2","0","0","0","0","0","0","2.0","7","2","0","0","0","0","0","0","0","0","0","1312"
"Pedro Beato","Mets (AAA)","24","1","0","0.00","1","0","0","0","0","0","0","1.1","7","2","0","0","0","1","0","0","0","0","0","1330"
"Blake Wood","Royals (AAA)","25","0","0","0.00","3","0","0","0","0","0","2","5.0","15","2","0","0","0","0","0","0","0","0","6","1345"
"Andrew Bailey","Athletics (AAA)","27","0","0","0.00","4","0","0","0","0","0","0","4.0","18","3","0","0","0","1","0","2","0","0","3","1368"
"Adam Conley","Marlins (R)","21","0","0","0.00","2","0","0","0","0","0","2","2.0","7","1","0","0","0","0","0","0","0","0","2","14457"
"Pedro Feliciano","Yankees (R)","34","0","0","0.00","1","1","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","1601"
"David Paulino","Tigers (R)","17","0","1","0.00","8","7","0","0","0","0","0","15.0","62","8","4","0","0","7","0","4","0","0","14","17418"
"J.J. Putz","- - -","34","0","0","0.00","4","2","0","0","0","0","0","4.0","14","2","0","0","0","0","0","0","0","0","3","1795"
"Neftali Feliz","Rangers (AA)","23","0","0","0.00","1","1","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","3","18"
"Ryan Madson","Phillies (A+)","30","0","0","0.00","1","1","0","0","0","0","0","1.0","4","0","0","0","0","0","0","1","0","0","1","1852"
"Andy Tracy","Diamondbacks (AAA)","37","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","2024"
"Ivan Ochoa","Dodgers (AA)","28","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","2199"
"Scott Thorman","Tigers (AAA)","29","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","0","0","0","2238"
"Juan Cruz","Rays (A+)","32","0","0","0.00","1","1","0","0","0","0","0","1.0","6","2","0","0","0","0","0","1","0","0","2","273"
