"Name","Team","Age","IP","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Mark Reed","Cubs (A+)","24","1.0",".286","2.00","40.0 %","40.0 %","20.0 %","0.0 %","100.0 %","25.0 %","25.0 %","50.0 %","27.8 %","5","13","18","sa262553"
"Anthony Garcia","Cardinals (R)","18","0.2",".750","1.00","60.0 %","20.0 %","20.0 %","0.0 %","100.0 %","80.0 %","0.0 %","20.0 %","11.1 %","18","9","27","sa502038"
"Alan Estrada","Mexican (AAA)","24","3.2",".300","8.00","18.2 %","72.7 %","9.1 %","100.0 %","100.0 %","45.5 %","18.2 %","36.4 %","12.7 %","35","44","79","sa547725"
"Reese McCulley","Giants (R)","22","3.1",".250","3.00","20.0 %","60.0 %","20.0 %","0.0 %","100.0 %","60.0 %","0.0 %","40.0 %","37.8 %","16","29","45","sa556136"
"Scott Feldman","Rangers (AAA)","27","4.0",".273","1.67","38.5 %","38.5 %","23.1 %","0.0 %","66.7 %","61.5 %","7.7 %","30.8 %","8.5 %","22","37","59","6283"
"Darwin Cubillan","Mexican (AAA)","37","3.2",".333","2.33","23.1 %","53.8 %","23.1 %","0.0 %","66.7 %","50.0 %","21.4 %","28.6 %","10.4 %","32","45","77","771"
"Carlos Dominguez","Mexican (AAA)","29","4.0",".375","3.00","33.3 %","50.0 %","16.7 %","0.0 %","66.7 %","55.6 %","27.8 %","16.7 %","10.9 %","18","37","55","sa541706"
"Brian Tallet","- - -","32","5.1",".450","2.75","31.8 %","50.0 %","18.2 %","0.0 %","50.0 %","54.6 %","18.2 %","27.3 %","14.3 %","29","55","84","1646"
"Ramon Nivar","- - -","30","2.0",".000","2.00","0.0 %","66.7 %","33.3 %","0.0 %","50.0 %","100.0 %","0.0 %","0.0 %","3.5 %","11","18","29","1781"
"Nate Spears","Red Sox (AA)","25","1.0",".250","1.00","20.0 %","40.0 %","40.0 %","0.0 %","50.0 %","100.0 %","0.0 %","0.0 %","0.0 %","4","5","9","6026"
"Patrick Arlis","Brewers (AA)","29","1.1",".200","1.50","16.7 %","50.0 %","33.3 %","0.0 %","50.0 %","33.3 %","33.3 %","33.3 %","3.7 %","12","15","27","sa201932"
"Craig Albernaz","Rays (AA)","27","1.0",".500","0.50","0.0 %","33.3 %","66.7 %","50.0 %","50.0 %","66.7 %","33.3 %","0.0 %","3.1 %","15","17","32","sa328612"
"Victor Estevez","Diamondbacks (A)","21","0.2",".500","0.50","0.0 %","33.3 %","66.7 %","0.0 %","50.0 %","66.7 %","0.0 %","33.3 %","28.6 %","7","7","14","sa392860"
"Raul Rivera","Astros (R)","19","1.2",".500","2.50","22.2 %","55.6 %","22.2 %","0.0 %","50.0 %","33.3 %","0.0 %","66.7 %","26.7 %","2","13","15","sa503222"
"Manny Garcia","Diamondbacks (R)","21","2.2",".400","2.00","0.0 %","66.7 %","33.3 %","0.0 %","50.0 %","33.3 %","33.3 %","33.3 %","45.5 %","12","21","33","sa506883"
"Felix Cabrera","Padres (R)","20","1.0",".500","1.50","0.0 %","60.0 %","40.0 %","0.0 %","50.0 %","20.0 %","80.0 %","0.0 %","0.0 %","2","5","7","sa507260"
