"Name","Team","Age","IP","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Brock Till","Rays (AA)","27","13.1",".333","2.60","20.0 %","57.8 %","22.2 %","10.0 %","30.0 %","53.2 %","27.7 %","19.2 %","22.6 %","21","85","106","sa225833"
"Kristian Bell","- - -","24","20.1",".384","1.90","23.7 %","50.0 %","26.3 %","10.0 %","30.0 %","50.0 %","28.2 %","21.8 %","9.3 %","112","177","289","sa253782"
"Dan Cevette","Indians (A+)","24","19.0",".478","1.24","20.8 %","43.8 %","35.4 %","11.8 %","29.4 %","48.1 %","19.2 %","32.7 %","41.0 %","44","144","188","sa201522"
"Aaron Fultz","- - -","34","6.2",".333","1.14","28.6 %","38.1 %","33.3 %","14.3 %","28.6 %","59.1 %","18.2 %","22.7 %","9.1 %","51","70","121","1113"
"Brad Thompson","Cardinals (AAA)","26","12.2",".346","2.21","16.7 %","57.4 %","25.9 %","0.0 %","28.6 %","58.9 %","17.9 %","23.2 %","3.9 %","63","117","180","4911"
"Matt Means","- - -","22","16.0",".392","2.00","19.2 %","53.8 %","26.9 %","21.4 %","28.6 %","47.3 %","20.0 %","32.7 %","19.5 %","65","104","169","sa455150"
"Meoli Devora","Pirates (R)","20","3.0",".357","1.00","6.7 %","46.7 %","46.7 %","14.3 %","28.6 %","50.0 %","18.8 %","31.3 %","15.0 %","1","19","20","sa456370"
"Kevin Slowey","- - -","24","13.0",".048","1.18","0.0 %","54.2 %","45.8 %","18.2 %","27.3 %","41.7 %","16.7 %","41.7 %","26.3 %","37","100","137","9918"
"Rafael Diaz","Mexican (AAA)","20","6.0",".500","0.91","25.0 %","35.7 %","39.3 %","9.1 %","27.3 %","41.9 %","16.1 %","41.9 %","7.9 %","71","93","164","sa509070"
"Rodrigo Lopez","- - -","32","5.0",".444","1.13","15.0 %","45.0 %","40.0 %","25.0 %","25.0 %","30.0 %","35.0 %","35.0 %","25.6 %","8","35","43","150"
"John Rheinecker","Rangers (R)","29","3.0",".529","2.75","16.7 %","61.1 %","22.2 %","25.0 %","25.0 %","50.0 %","22.2 %","27.8 %","0.0 %","1","18","19","2165"
"Keith Foulke","- - -","35","9.1",".393","0.75","12.5 %","37.5 %","50.0 %","6.3 %","25.0 %","50.0 %","34.4 %","15.6 %","9.8 %","40","83","123","231"
"Billy Petrick","Cubs (A+)","24","11.0",".265","2.63","14.7 %","61.8 %","23.5 %","0.0 %","25.0 %","41.7 %","25.0 %","33.3 %","27.1 %","13","57","70","4865"
"Fernando Rodney","Tigers (AAA)","31","5.1",".200","1.00","20.0 %","40.0 %","40.0 %","25.0 %","25.0 %","45.5 %","9.1 %","45.5 %","12.8 %","47","62","109","494"
"Wilmer Font","Rangers (R)","18","4.1",".000","1.00","0.0 %","50.0 %","50.0 %","50.0 %","25.0 %","0.0 %","12.5 %","87.5 %","41.2 %","8","26","34","5257"
"Jon Coutlangus","Diamondbacks (AAA)","27","5.2",".353","2.25","23.5 %","52.9 %","23.5 %","25.0 %","25.0 %","76.5 %","23.5 %","0.0 %","4.8 %","57","68","125","6182"
"Matt Herges","Rockies (AAA)","38","2.0",".167","0.75","0.0 %","42.9 %","57.1 %","75.0 %","25.0 %","57.1 %","0.0 %","42.9 %","5.4 %","12","25","37","780"
"Jason Gurka","Orioles (R)","20","3.0",".500","1.00","11.1 %","44.4 %","44.4 %","25.0 %","25.0 %","55.6 %","22.2 %","22.2 %","44.0 %","1","24","25","8007"
"John Foster","- - -","30","18.1",".346","1.30","14.8 %","48.1 %","37.0 %","20.0 %","25.0 %","42.1 %","28.1 %","29.8 %","18.3 %","88","147","235","86"
"Derrick Arnold","Braves (AAA)","24","4.0",".267","0.88","6.3 %","43.8 %","50.0 %","0.0 %","25.0 %","47.1 %","41.2 %","11.8 %","7.1 %","38","46","84","sa253855"
"Greg Picart","Pirates (A+)","22","1.0",".250","0.00","20.0 %","0.0 %","80.0 %","0.0 %","25.0 %","80.0 %","0.0 %","20.0 %","0.0 %","0","5","5","sa254628"
"Adolfo Gonzalez","Dodgers (AA)","23","6.0",".333","0.63","13.3 %","33.3 %","53.3 %","12.5 %","25.0 %","48.4 %","19.4 %","32.3 %","7.5 %","6","34","40","sa295197"
"Cesar Martinez","- - -","35","19.2",".328","2.13","21.9 %","53.1 %","25.0 %","25.0 %","25.0 %","53.9 %","24.6 %","21.5 %","9.6 %","168","207","375","sa3000034"
"Roberto Garibay","Mexican (AAA)","39","3.0",".500","1.00","27.3 %","36.4 %","36.4 %","25.0 %","25.0 %","54.6 %","18.2 %","27.3 %","9.1 %","22","33","55","sa3000360"
"Earl Oakes","Athletics (A)","22","2.0",".600","1.50","9.1 %","54.5 %","36.4 %","25.0 %","25.0 %","63.6 %","36.4 %","0.0 %","35.3 %","0","17","17","sa327714"
"James Barksdale","Pirates (A+)","23","1.1",".625","0.75","22.2 %","33.3 %","44.4 %","0.0 %","25.0 %","66.7 %","33.3 %","0.0 %","0.0 %","8","9","17","sa327825"
"Jason Jarvis","- - -","20","3.1",".455","1.25","18.2 %","45.5 %","36.4 %","25.0 %","25.0 %","41.7 %","33.3 %","25.0 %","19.4 %","14","22","36","sa328259"
"Inoel Deaza","Athletics (A-)","22","6.1",".316","0.88","25.0 %","35.0 %","40.0 %","37.5 %","25.0 %","33.3 %","38.1 %","28.6 %","28.0 %","11","39","50","sa328516"
"Joshua Tarnow","Orioles (R)","23","2.1",".400","1.00","27.3 %","36.4 %","36.4 %","0.0 %","25.0 %","45.5 %","36.4 %","18.2 %","0.0 %","0","11","11","sa389827"
"Julius Dettrich","Rays (R)","19","3.1",".154","1.75","8.3 %","58.3 %","33.3 %","0.0 %","25.0 %","71.4 %","7.1 %","21.4 %","9.1 %","5","17","22","sa392087"
"Graham Johnson","Marlins (R)","18","5.0",".417","1.50","23.1 %","46.2 %","30.8 %","0.0 %","25.0 %","38.5 %","30.8 %","30.8 %","50.0 %","1","37","38","sa454710"
"Ronaldo Heras","Mexican (AAA)","20","9.0",".258","1.08","24.2 %","39.4 %","36.4 %","25.0 %","25.0 %","54.3 %","25.7 %","20.0 %","6.7 %","57","93","150","sa508085"
"Marco Tovar","Mexican (AAA)","19","49.1",".310","2.25","24.9 %","52.0 %","23.1 %","20.0 %","25.0 %","53.3 %","21.2 %","25.5 %","6.9 %","358","507","865","sa508092"
"Mike Finocchi","Indians (A+)","23","29.0",".284","1.35","13.0 %","50.0 %","37.0 %","27.0 %","24.3 %","52.4 %","23.3 %","24.3 %","11.9 %","82","154","236","sa292364"
"Bret Prinz","Athletics (AAA)","31","29.1",".289","1.33","17.2 %","47.3 %","35.5 %","18.2 %","24.2 %","43.3 %","23.7 %","33.0 %","8.5 %","212","305","517","1474"
"Chin-hui Tsao","Royals (AAA)","27","11.1",".214","0.71","9.4 %","37.5 %","53.1 %","0.0 %","23.5 %","40.6 %","34.4 %","25.0 %","15.6 %","48","119","167","1776"
"Juan Mujica","Rays (R)","18","12.0",".281","1.23","17.1 %","45.7 %","37.1 %","7.7 %","23.1 %","65.7 %","20.0 %","14.3 %","17.8 %","47","60","107","sa3000768"
"Lino Urdaneta","- - -","28","9.2",".324","1.78","28.6 %","45.7 %","25.7 %","33.3 %","22.2 %","63.9 %","13.9 %","22.2 %","4.1 %","30","67","97","1862"
"Arnie Munoz","- - -","26","12.1",".219","1.78","24.2 %","48.5 %","27.3 %","22.2 %","22.2 %","47.1 %","38.2 %","14.7 %","12.1 %","70","87","157","2111"
"Luke Hochevar","Royals (AAA)","24","17.1",".188","3.56","12.8 %","68.1 %","19.1 %","0.0 %","22.2 %","52.0 %","6.0 %","42.0 %","8.8 %","94","146","240","6943"
"Geoffrey Jones","Cubs (AAA)","28","16.0",".367","3.33","22.0 %","60.0 %","18.0 %","11.1 %","22.2 %","47.1 %","25.5 %","27.5 %","5.1 %","116","176","292","sa198662"
"Richard Austin","Phillies (A-)","23","5.1",".333","0.67","21.1 %","31.6 %","47.4 %","0.0 %","22.2 %","60.0 %","20.0 %","20.0 %","18.4 %","14","35","49","sa389280"
"Paul Lussier","Giants (A)","22","21.2",".348","1.39","24.7 %","43.8 %","31.5 %","30.4 %","21.7 %","54.1 %","18.9 %","27.0 %","21.9 %","37","132","169","sa276667"
"Micah Owings","Diamondbacks (AAA)","25","11.0",".185","0.79","16.7 %","36.7 %","46.7 %","21.4 %","21.4 %","40.0 %","23.3 %","36.7 %","9.0 %","73","116","189","4253"
"Claudio Moreno","Mexican (AAA)","34","28.1",".358","1.57","26.5 %","44.9 %","28.6 %","25.0 %","21.4 %","53.0 %","19.0 %","28.0 %","10.7 %","177","298","475","sa210964"
"Patrick Green","Royals (AA)","26","9.2",".355","0.93","20.6 %","38.2 %","41.2 %","14.3 %","21.4 %","32.4 %","32.4 %","35.3 %","8.0 %","59","116","175","sa254459"
"Omar Alcala","Twins (R)","21","10.0",".276","1.00","9.7 %","45.2 %","45.2 %","14.3 %","21.4 %","53.1 %","31.3 %","15.6 %","13.0 %","40","60","100","sa328537"
"Justin Bristow","- - -","21","13.0",".371","1.14","21.1 %","42.1 %","36.8 %","7.1 %","21.4 %","57.9 %","15.8 %","26.3 %","27.4 %","29","84","113","sa454587"
"Colby Beach","Royals (R)","22","48.0",".304","1.47","14.7 %","50.7 %","34.6 %","10.6 %","21.3 %","51.4 %","25.0 %","23.6 %","30.9 %","73","299","372","sa455887"
"Jamie Lehman","Nationals (A)","23","42.0",".369","2.42","26.1 %","52.3 %","21.6 %","21.2 %","21.2 %","50.0 %","25.0 %","25.0 %","21.1 %","51","252","303","sa244065"
"Kevin Gryboski","Giants (AAA)","34","53.2",".303","1.94","21.2 %","52.0 %","26.8 %","20.8 %","20.8 %","49.2 %","23.0 %","27.8 %","7.7 %","384","593","977","91"
"Bryan Evans","- - -","21","55.2",".366","2.42","21.2 %","55.8 %","23.1 %","20.8 %","20.8 %","49.1 %","25.9 %","25.0 %","15.8 %","95","355","450","sa455162"
"Kurt Koehler","- - -","23","34.0",".325","2.24","16.8 %","57.5 %","25.7 %","6.9 %","20.7 %","50.4 %","22.3 %","27.3 %","18.9 %","45","188","233","sa262846"
"Justin Miller","- - -","30","4.2",".438","2.00","11.8 %","58.8 %","29.4 %","20.0 %","20.0 %","47.1 %","11.8 %","41.2 %","32.1 %","15","38","53","1313"
"John Lackey","Angels (A+)","29","9.0",".292","2.80","20.8 %","58.3 %","20.8 %","0.0 %","20.0 %","32.0 %","32.0 %","36.0 %","44.1 %","10","58","68","1507"
"Randy Williams","Marlins (AAA)","32","27.0",".368","2.60","20.6 %","57.4 %","22.1 %","26.7 %","20.0 %","47.1 %","30.0 %","22.9 %","12.7 %","156","293","449","2362"
"Juan Carlos Oviedo","- - -","26","6.0",".316","2.40","15.0 %","60.0 %","25.0 %","0.0 %","20.0 %","65.0 %","20.0 %","15.0 %","12.6 %","24","63","87","2886"
"Doug Slaten","Diamondbacks (AAA)","28","6.2",".313","1.20","35.3 %","35.3 %","29.4 %","0.0 %","20.0 %","29.4 %","35.3 %","35.3 %","9.9 %","45","76","121","3107"
"Chris Young","Padres (A+)","29","8.2",".095","0.53","4.2 %","33.3 %","62.5 %","20.0 %","20.0 %","50.0 %","20.8 %","29.2 %","34.0 %","5","45","50","3196"
"Matt Lindstrom","Marlins (AAA)","28","4.0",".333","0.80","30.8 %","30.8 %","38.5 %","20.0 %","20.0 %","38.5 %","38.5 %","23.1 %","10.8 %","18","47","65","4604"
"Logan Kensing","Marlins (AAA)","25","12.2",".185","0.53","17.9 %","28.6 %","53.6 %","33.3 %","20.0 %","36.7 %","30.0 %","33.3 %","11.2 %","109","141","250","6166"
"Chad Fox","- - -","37","4.2",".250","1.60","0.0 %","61.5 %","38.5 %","20.0 %","20.0 %","53.9 %","15.4 %","30.8 %","38.9 %","5","31","36","684"
"Juan Rincon","Indians (AAA)","29","5.1",".417","2.00","31.8 %","45.5 %","22.7 %","0.0 %","20.0 %","56.0 %","16.0 %","28.0 %","9.8 %","49","73","122","752"
"Tommy Hottovy","Red Sox (AA)","26","9.0",".233","1.20","29.0 %","38.7 %","32.3 %","40.0 %","20.0 %","36.4 %","39.4 %","24.2 %","22.2 %","10","44","54","7542"
"Jonathan Barratt","Rays (AA)","23","3.2",".462","1.60","0.0 %","61.5 %","38.5 %","0.0 %","20.0 %","57.1 %","28.6 %","14.3 %","17.1 %","12","23","35","sa236453"
"Garry Bakker","Mets (A+)","25","7.0",".483","0.73","18.8 %","34.4 %","46.9 %","13.3 %","20.0 %","34.4 %","40.6 %","25.0 %","16.4 %","21","46","67","sa254903"
"Erick Monzon","Mariners (A+)","26","1.0",".500","0.00","0.0 %","0.0 %","100.0 %","20.0 %","20.0 %","0.0 %","60.0 %","40.0 %","37.5 %","0","8","8","sa262098"
"Ivan Herrera-Rusova","Pirates (R)","21","9.0",".240","3.20","19.2 %","61.5 %","19.2 %","20.0 %","20.0 %","53.9 %","15.4 %","30.8 %","15.5 %","30","41","71","sa298504"
"Antonio Osuna","Mexican (AAA)","35","11.1",".306","0.80","25.0 %","33.3 %","41.7 %","13.3 %","20.0 %","56.4 %","25.6 %","18.0 %","9.6 %","90","118","208","sa3000008"
"Enrique Garcia","Reds (R)","21","28.1",".345","1.76","23.3 %","48.9 %","27.8 %","12.0 %","20.0 %","57.6 %","19.6 %","22.8 %","22.7 %","68","157","225","sa328099"
"Burke Baldwin","Royals (A)","23","26.1",".345","1.00","22.2 %","38.9 %","38.9 %","25.7 %","20.0 %","57.1 %","18.7 %","24.2 %","16.7 %","62","142","204","sa328122"
"Nicholas Chigges","Yankees (A)","23","5.2",".143","0.60","0.0 %","37.5 %","62.5 %","10.0 %","20.0 %","37.5 %","25.0 %","37.5 %","25.0 %","16","32","48","sa389262"
"Zachary Brown","Padres (A)","23","3.0",".539","0.20","20.0 %","13.3 %","66.7 %","0.0 %","20.0 %","66.7 %","20.0 %","13.3 %","29.0 %","6","25","31","sa389741"
"Cole St. Clair","Dodgers (R)","21","17.0",".341","1.73","6.8 %","59.1 %","34.1 %","20.0 %","20.0 %","37.5 %","25.0 %","37.5 %","34.8 %","22","113","135","sa389903"
"Jon Michael Redding","Dodgers (R)","20","31.1",".389","2.20","27.3 %","50.0 %","22.7 %","10.0 %","20.0 %","34.4 %","33.3 %","32.3 %","32.7 %","49","202","251","sa454583"
"Clayton Dill","Nationals (R)","22","10.2",".500","0.80","12.9 %","38.7 %","48.4 %","13.3 %","20.0 %","38.7 %","38.7 %","22.6 %","35.3 %","40","79","119","sa454695"
"Bobby Bundy","Orioles (R)","18","2.0",".667","0.20","14.3 %","14.3 %","71.4 %","0.0 %","20.0 %","14.3 %","42.9 %","42.9 %","60.0 %","1","19","20","sa454969"
"Kurt Yacko","Rockies (R)","20","26.1",".328","1.04","16.4 %","42.6 %","41.0 %","32.0 %","20.0 %","43.9 %","21.2 %","34.9 %","38.4 %","47","190","237","sa454989"
"Richard Martinez","Yankees (R)","19","14.0",".292","2.70","17.8 %","60.0 %","22.2 %","20.0 %","20.0 %","46.0 %","30.0 %","24.0 %","22.1 %","21","83","104","sa456380"
"Brandon Burke","Diamondbacks (R)","22","27.2",".384","1.92","13.1 %","57.1 %","29.8 %","8.0 %","20.0 %","55.0 %","22.0 %","23.1 %","26.2 %","50","175","225","sa457017"
"Jose Rosario","Cubs (R)","17","5.1",".278","1.80","22.2 %","50.0 %","27.8 %","60.0 %","20.0 %","57.9 %","21.1 %","21.1 %","21.3 %","18","29","47","sa506730"
"Marcelo Perez","Tigers (AA)","27","39.2",".308","1.80","10.9 %","57.4 %","31.8 %","4.9 %","19.5 %","56.5 %","25.4 %","18.1 %","19.5 %","109","219","328","sa254224"
"Bryan Harris","- - -","24","62.2",".300","1.72","9.9 %","56.9 %","33.2 %","17.9 %","19.4 %","46.2 %","21.4 %","32.4 %","21.6 %","66","342","408","sa389936"
"Adam Eaton","- - -","30","33.1",".321","1.15","9.0 %","48.6 %","42.3 %","12.8 %","19.1 %","44.9 %","22.9 %","32.2 %","26.7 %","41","221","262","1029"
"Scott Williamson","- - -","32","19.1",".333","1.88","17.9 %","53.6 %","28.6 %","18.8 %","18.8 %","59.7 %","19.3 %","21.1 %","12.6 %","117","185","302","361"
"Juan Lopez","Yankees (R)","18","9.1",".560","0.69","3.6 %","39.3 %","57.1 %","18.8 %","18.8 %","21.4 %","50.0 %","28.6 %","43.8 %","9","71","80","sa3000760"
"Brad Burns","Mets (A)","22","16.2",".340","1.44","20.4 %","46.9 %","32.7 %","12.5 %","18.8 %","53.9 %","26.9 %","19.2 %","22.0 %","74","112","186","sa389229"
"Williams Farinas","Royals (R)","21","19.1",".327","0.50","14.3 %","28.6 %","57.1 %","25.0 %","18.8 %","44.3 %","24.6 %","31.2 %","35.2 %","66","218","284","sa393285"
"Anvioris Ramirez","- - -","20","54.1",".260","1.00","9.1 %","45.5 %","45.5 %","16.0 %","18.7 %","46.5 %","29.1 %","24.4 %","26.6 %","91","357","448","sa456352"
"Javier Cruz","Mexican (AAA)","37","47.1",".358","2.33","21.4 %","54.9 %","23.6 %","18.6 %","18.6 %","57.1 %","22.8 %","20.1 %","5.3 %","269","470","739","sa3000369"
"Dustin Molleken","- - -","23","108.1",".322","1.30","20.1 %","45.1 %","34.8 %","18.4 %","18.4 %","48.7 %","21.7 %","29.7 %","24.1 %","164","646","810","6200"
"Victor Santos","Giants (AAA)","31","139.2",".314","1.19","24.0 %","41.3 %","34.7 %","16.3 %","18.3 %","47.4 %","26.9 %","25.8 %","8.2 %","1070","1542","2612","446"
"Dustin Moseley","- - -","26","120.1",".339","1.48","21.2 %","47.0 %","31.8 %","16.7 %","18.3 %","47.0 %","24.8 %","28.2 %","7.3 %","733","1215","1948","7060"
"Bartolome Fortunato","Giants (AAA)","33","21.2",".318","1.27","23.1 %","43.1 %","33.8 %","31.8 %","18.2 %","39.7 %","27.9 %","32.4 %","10.4 %","164","250","414","2213"
"Boone Logan","White Sox (AAA)","23","9.0",".286","1.00","21.4 %","39.3 %","39.3 %","9.1 %","18.2 %","60.0 %","16.7 %","23.3 %","15.8 %","66","99","165","5525"
"Yovani Gallardo","Brewers (AAA)","22","15.2",".419","1.45","38.6 %","36.4 %","25.0 %","36.4 %","18.2 %","46.7 %","26.7 %","26.7 %","12.9 %","101","171","272","8173"
"Paul Estrada","Astros (AA)","25","8.0",".357","1.36","13.3 %","50.0 %","36.7 %","18.2 %","18.2 %","66.7 %","16.7 %","16.7 %","3.1 %","54","74","128","sa202066"
"Chris Kinsey","Diamondbacks (AAA)","25","21.2",".342","1.91","15.8 %","55.3 %","28.9 %","9.1 %","18.2 %","48.1 %","22.8 %","29.1 %","5.1 %","189","224","413","sa225667"
"Kelly Shearer","Angels (A+)","23","11.1",".286","1.73","14.3 %","54.3 %","31.4 %","27.3 %","18.2 %","51.4 %","32.4 %","16.2 %","18.4 %","47","67","114","sa236459"
"Raul Gonzalez","Braves (A)","22","6.1",".400","1.00","18.5 %","40.7 %","40.7 %","9.1 %","18.2 %","44.4 %","29.6 %","25.9 %","2.1 %","19","28","47","sa295972"
"Corey Bachman","Blue Jays (R)","23","17.2",".333","1.50","9.8 %","54.1 %","36.1 %","13.6 %","18.2 %","50.0 %","33.3 %","16.7 %","16.9 %","37","105","142","sa393415"
"Santo Frias","Indians (A)","20","23.1",".265","0.55","8.1 %","32.4 %","59.5 %","18.2 %","18.2 %","61.8 %","23.7 %","14.5 %","25.0 %","58","138","196","sa393451"
"Tom Davis","Padres (A-)","22","29.1",".394","1.02","11.9 %","44.6 %","43.6 %","22.7 %","18.2 %","34.6 %","34.6 %","30.8 %","30.5 %","51","185","236","sa455280"
"Randall Linebaugh","Reds (R)","22","18.1",".342","2.27","14.3 %","59.5 %","26.2 %","27.3 %","18.2 %","45.2 %","14.3 %","40.5 %","28.3 %","27","111","138","sa455693"
"Carlos Monasterios","Phillies (A+)","22","94.1",".306","1.39","17.4 %","48.0 %","34.5 %","11.4 %","18.1 %","53.4 %","23.6 %","23.0 %","21.8 %","143","519","662","2506"
"Julio DePaula","Twins (AAA)","25","77.1",".317","2.03","22.6 %","51.9 %","25.5 %","18.0 %","18.0 %","49.6 %","22.6 %","27.8 %","8.6 %","494","807","1301","2786"
"Mike Ekstrom","Padres (AA)","24","108.0",".363","2.35","23.2 %","53.8 %","22.9 %","21.8 %","17.9 %","34.3 %","30.0 %","35.7 %","12.0 %","645","1146","1791","7488"
"Orlando Verdugo","Mexican (AAA)","31","35.2",".234","1.13","21.7 %","41.5 %","36.8 %","25.6 %","17.9 %","56.6 %","25.7 %","17.7 %","6.3 %","267","353","620","sa3000287"
