"Name","Team","Age","IP","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Tom Gordon","Phillies (A+)","40","1.0",".000","2.00","0.0 %","66.7 %","33.3 %","0.0 %","100.0 %","66.7 %","33.3 %","0.0 %","20.0 %","4","6","10","282"
"Trevor Lawhorn","- - -","25","6.1",".318","5.67","4.8 %","81.0 %","14.3 %","0.0 %","66.7 %","52.2 %","26.1 %","21.7 %","19.6 %","14","32","46","sa254470"
"Duaner Sanchez","- - -","28","6.0",".308","2.50","6.7 %","66.7 %","26.7 %","0.0 %","50.0 %","80.0 %","13.3 %","6.7 %","24.6 %","14","43","57","1518"
"Josh Labandeira","Rays (AAA)","29","2.0",".400","1.00","33.3 %","33.3 %","33.3 %","0.0 %","50.0 %","33.3 %","50.0 %","16.7 %","8.7 %","21","25","46","2191"
"Daniel Nava","Red Sox (A+)","25","0.2",".333","1.00","0.0 %","50.0 %","50.0 %","50.0 %","50.0 %","75.0 %","0.0 %","25.0 %","0.0 %","14","4","18","5450"
"Brad Lidge","Phillies (A+)","31","1.0",".500","0.00","33.3 %","0.0 %","66.7 %","50.0 %","50.0 %","66.7 %","0.0 %","33.3 %","46.2 %","4","9","13","563"
"Joey Devine","Athletics (AAA)","24","4.0",".375","2.00","25.0 %","50.0 %","25.0 %","50.0 %","50.0 %","44.4 %","11.1 %","44.4 %","18.4 %","27","49","76","9862"
"Kris Honel","Cardinals (AA)","25","3.0",".667","1.50","28.6 %","42.9 %","28.6 %","0.0 %","50.0 %","57.1 %","42.9 %","0.0 %","9.5 %","31","43","74","sa200176"
"Jeff Bannon","Rays (AAA)","28","1.0",".400","0.00","60.0 %","0.0 %","40.0 %","50.0 %","50.0 %","50.0 %","50.0 %","0.0 %","5.9 %","9","8","17","sa200180"
"Milver Reyes","Pirates (AA)","25","1.0",".500","0.00","33.3 %","0.0 %","66.7 %","25.0 %","50.0 %","66.7 %","0.0 %","33.3 %","0.0 %","0","9","9","sa200485"
"Steve Doetsch","Nationals (R)","24","2.1",".167","2.50","0.0 %","71.4 %","28.6 %","0.0 %","50.0 %","42.9 %","28.6 %","28.6 %","20.0 %","17","13","30","sa225801"
"Adam Heether","Brewers (AAA)","26","1.2",".143","0.75","12.5 %","37.5 %","50.0 %","50.0 %","50.0 %","44.4 %","0.0 %","55.6 %","0.0 %","21","21","42","sa226130"
"Cristo Arnal","Indians (A+)","22","2.0",".444","0.50","25.0 %","25.0 %","50.0 %","33.3 %","50.0 %","58.3 %","25.0 %","16.7 %","0.0 %","1","15","16","sa291124"
"Ryan DeLaughter","Nationals (A-)","21","0.1",".750","0.00","60.0 %","0.0 %","40.0 %","0.0 %","50.0 %","40.0 %","20.0 %","40.0 %","0.0 %","14","6","20","sa294343"
"Ricky Stone","Reds (AAA)","33","3.0",".250","1.00","23.1 %","38.5 %","38.5 %","0.0 %","40.0 %","46.2 %","7.7 %","46.2 %","10.4 %","11","37","48","576"
"Conrad Orman","Orioles (R)","21","7.1",".484","3.40","29.0 %","54.8 %","16.1 %","0.0 %","40.0 %","45.5 %","24.2 %","30.3 %","25.7 %","16","54","70","sa396255"
"Mike DiFelice","Rays (AAA)","39","1.0",".250","0.67","0.0 %","40.0 %","60.0 %","33.3 %","33.3 %","40.0 %","40.0 %","20.0 %","0.0 %","8","12","20","1151"
"Jesse Smith","Angels (AA)","27","2.2",".444","1.67","20.0 %","50.0 %","30.0 %","0.0 %","33.3 %","40.0 %","20.0 %","40.0 %","3.4 %","24","35","59","sa225684"
"Po-Hsuan Keng","Blue Jays (R)","23","0.1","1.000","0.67","0.0 %","40.0 %","60.0 %","0.0 %","33.3 %","80.0 %","20.0 %","0.0 %","25.0 %","0","8","8","sa275939"
"Larry Infante","Angels (A+)","23","2.0",".500","0.67","0.0 %","40.0 %","60.0 %","0.0 %","33.3 %","30.0 %","30.0 %","40.0 %","37.5 %","0","16","16","sa288469"
"Riquy Pena","Phillies (A-)","23","5.0",".533","3.33","18.8 %","62.5 %","18.8 %","0.0 %","33.3 %","56.3 %","6.3 %","37.5 %","24.6 %","26","39","65","sa291528"
"Luis Segovia","Red Sox (A+)","21","1.0",".667","1.00","14.3 %","42.9 %","42.9 %","33.3 %","33.3 %","71.4 %","14.3 %","14.3 %","0.0 %","8","7","15","sa294199"
"Francisco Rodriguez","Mexican (AAA)","24","7.0",".321","2.33","23.1 %","53.8 %","23.1 %","0.0 %","33.3 %","46.7 %","33.3 %","20.0 %","1.6 %","44","81","125","sa3000217"
"Leonardo Figuereo","Mexican (AAA)","33","11.2",".385","2.89","16.7 %","61.9 %","21.4 %","0.0 %","33.3 %","52.4 %","26.2 %","21.4 %","7.1 %","93","132","225","sa3000299"
"Ismael Solano","Rangers (R)","18","1.1",".000","0.33","0.0 %","25.0 %","75.0 %","66.7 %","33.3 %","20.0 %","40.0 %","40.0 %","0.0 %","5","5","10","sa3000826"
"J.R. Voyles","Mets (A+)","24","1.0",".400","0.67","16.7 %","33.3 %","50.0 %","66.7 %","33.3 %","66.7 %","16.7 %","16.7 %","0.0 %","0","6","6","sa326958"
"Austin Bailey","Red Sox (A)","19","4.2",".154","1.33","6.7 %","53.3 %","40.0 %","0.0 %","33.3 %","46.7 %","20.0 %","33.3 %","32.1 %","4","24","28","sa392076"
"Matthew Cooney","- - -","22","1.1",".400","0.33","33.3 %","16.7 %","50.0 %","33.3 %","33.3 %","50.0 %","0.0 %","50.0 %","0.0 %","16","6","22","sa395347"
"Jeremy Bleich","Yankees (A-)","21","3.0",".167","0.33","42.9 %","14.3 %","42.9 %","33.3 %","33.3 %","42.9 %","14.3 %","42.9 %","55.0 %","1","19","20","sa454413"
"Francisco Guzman","Cardinals (R)","20","5.2",".333","3.67","17.6 %","64.7 %","17.6 %","0.0 %","33.3 %","52.6 %","10.5 %","36.8 %","7.4 %","23","31","54","sa504728"
"Franklin Garcia","Angels (R)","18","6.1",".357","1.00","20.0 %","40.0 %","40.0 %","16.7 %","33.3 %","50.0 %","25.0 %","25.0 %","26.7 %","46","40","86","sa505275"
"Luis De La O","Mexican (AAA)","18","1.0",".333","0.33","0.0 %","25.0 %","75.0 %","33.3 %","33.3 %","25.0 %","0.0 %","75.0 %","14.8 %","14","13","27","sa508761"
"Jeff Kamrath","Rays (AA)","26","10.2",".389","1.00","20.0 %","40.0 %","40.0 %","12.5 %","31.3 %","61.0 %","17.1 %","22.0 %","15.0 %","60","67","127","sa291761"
"Juan Zapata","Mariners (A+)","23","7.0",".308","0.92","7.4 %","44.4 %","48.1 %","30.8 %","30.8 %","64.5 %","16.1 %","19.4 %","16.4 %","25","48","73","sa294704"
"Mike Maroth","Royals (AAA)","30","7.2",".333","1.40","17.2 %","48.3 %","34.5 %","0.0 %","30.0 %","53.3 %","23.3 %","23.3 %","9.3 %","70","81","151","1508"
"Federico Baez","Mexican (AAA)","26","10.0",".546","2.00","36.2 %","42.6 %","21.3 %","30.0 %","30.0 %","59.6 %","14.9 %","25.5 %","11.6 %","79","146","225","sa201250"
