"Name","Team","Age","IP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Yhonson Rojas","Rangers (R)","17","1.0","27.00","0.00","3.00","0.00","75.0 %","0.0 %","75.0 %",".250","1.00","1.000","0.0 %","9.00","-2.60","11.60","-2.33","sa830765"
"Matthew Chabot","Padres (A)","22","1.2","27.00","0.00","5.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.52","2.52","-2.52","sa658564"
"Tim Smalling","Rockies (AAA)","26","0.1","27.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".667","6.00","1.000","50.0 %","27.00","-2.30","29.30","1.64","sa545109"
"Chris Sale","White Sox (AAA)","25","4.0","24.75","4.50","5.50","0.00","73.3 %","13.3 %","60.0 %",".077","0.75",".500","100.0 %","0.00","-0.64","0.64","-0.64","10603"
"David Carpenter","Braves (AAA)","28","2.0","18.00","0.00","4.00","0.00","57.1 %","0.0 %","57.1 %",".000","0.00",".000","100.0 %","0.00","-0.64","0.64","-0.14","3959"
"Dinelson Lamet","Padres (R)","21","4.0","18.00","0.00","8.00","0.00","57.1 %","0.0 %","57.1 %",".143","0.50",".333","50.0 %","0.00","-0.60","0.60","-0.46","17186"
"Richy Pedroza","Cardinals (A)","22","2.0","18.00","0.00","4.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.52","0.52","0.30","sa621648"
"Jake Lemmerman","Padres (AAA)","25","1.0","18.00","0.00","2.00","0.00","33.3 %","0.0 %","33.3 %",".500","3.00",".750","66.7 %","9.00","-0.30","9.30","1.01","sa526398"
"Alex Cobb","Rays (A+)","26","5.0","16.20","0.00","9.00","0.00","52.9 %","0.0 %","52.9 %",".177","0.60",".375","100.0 %","0.00","-0.21","0.21","0.35","6562"
"Dilinyer Flores","Tigers (R)","18","3.0","15.00","0.00","5.00","0.00","50.0 %","0.0 %","50.0 %",".200","0.67",".400","50.0 %","3.00","-0.18","3.18","0.18","sa735848"
"Janluis Castro","Rangers (A)","20","2.2","16.87","0.00","5.00","0.00","50.0 %","0.0 %","50.0 %",".200","0.75",".400","100.0 %","0.00","-0.16","0.16","1.16","sa658301"
"Naoki Hashimoto","Indians (R)","24","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","0.03","-0.03","0.67","sa739704"
"Jalen Beeks","Red Sox (R)","20","5.0","14.40","0.00","8.00","0.00","44.4 %","0.0 %","44.4 %",".167","0.60",".300","100.0 %","0.00","0.31","-0.31","0.75","17192"
