"Name","Team","Age","IP","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Logan Harasta","Giants (A-)","20","1.0",".500","1.00","33.3 %","33.3 %","33.3 %","0.0 %","100.0 %","66.7 %","33.3 %","0.0 %","17.4 %","8","15","23","sa3004745"
"Abraham Elvira","Mexican (AAA)","34","1.2",".444","7.00","20.0 %","70.0 %","10.0 %","0.0 %","100.0 %","60.0 %","20.0 %","20.0 %","0.0 %","15","28","43","sa508766"
"Carlos Hernandez","Diamondbacks (A-)","23","4.0",".444","6.00","30.0 %","60.0 %","10.0 %","0.0 %","100.0 %","40.0 %","40.0 %","20.0 %","9.3 %","37","49","86","sa657734"
"Thomas Lee","Cardinals (AAA)","27","0.2",".667","5.00","14.3 %","71.4 %","14.3 %","0.0 %","100.0 %","57.1 %","28.6 %","14.3 %","3.0 %","13","20","33","sa659442"
"Carlos Martinez","Braves (A)","22","1.0",".000","2.00","0.0 %","66.7 %","33.3 %","0.0 %","100.0 %","50.0 %","25.0 %","25.0 %","14.3 %","6","8","14","sa737214"
"Danny Bethea","Red Sox (AA)","27","0.1",".667","3.00","0.0 %","75.0 %","25.0 %","0.0 %","100.0 %","50.0 %","50.0 %","0.0 %","11.1 %","4","5","9","sa738923"
"Mac James","Rays (AA)","24","1.0",".000","3.00","0.0 %","75.0 %","25.0 %","0.0 %","100.0 %","25.0 %","50.0 %","25.0 %","5.9 %","4","13","17","sa829039"
"Jonathan Mata","Mexican (AAA)","25","3.1",".385","9.00","28.6 %","64.3 %","7.1 %","0.0 %","100.0 %","35.7 %","14.3 %","50.0 %","7.9 %","31","32","63","sa869398"
"Dominic Taccolini","Padres (R)","22","5.2",".375","7.00","46.7 %","46.7 %","6.7 %","0.0 %","100.0 %","47.1 %","17.7 %","35.3 %","17.1 %","33","55","88","sa874063"
"Matt Jones","Diamondbacks (A+)","25","0.1",".750","0.00","66.7 %","0.0 %","33.3 %","0.0 %","100.0 %","33.3 %","33.3 %","33.3 %","3.9 %","11","15","26","sa874481"
"Chase Whitley","Rays (AAA)","28","9.0",".304","1.00","37.9 %","31.0 %","31.0 %","11.1 %","66.7 %","55.2 %","20.7 %","24.1 %","10.4 %","67","106","173","10982"
"Yohandy Martir","Blue Jays (R)","17","19.2",".278","10.67","14.6 %","78.0 %","7.3 %","33.3 %","66.7 %","39.6 %","29.2 %","31.3 %","42.9 %","17","102","119","sa3004335"
"Melquiades Escobar","Mariners (R)","17","9.2",".261","3.33","31.6 %","52.6 %","15.8 %","33.3 %","66.7 %","36.8 %","31.6 %","31.6 %","42.1 %","11","46","57","sa3005195"
"Carlos Garay","Rangers (A)","22","1.0",".000","0.33","20.0 %","20.0 %","60.0 %","0.0 %","66.7 %","20.0 %","60.0 %","20.0 %","5.3 %","10","9","19","sa657431"
"Romario Gil","Mexican (AAA)","22","10.1",".333","1.36","27.8 %","41.7 %","30.6 %","18.2 %","54.5 %","50.0 %","19.4 %","30.6 %","10.8 %","78","126","204","sa3002591"
"Johnny Hellweg","Pirates (AA)","28","6.0",".214","1.75","15.4 %","53.8 %","30.8 %","25.0 %","50.0 %","23.1 %","38.5 %","38.5 %","10.6 %","28","57","85","10065"
"Scott Alexander","Royals (AAA)","27","7.2",".308","10.00","15.4 %","76.9 %","7.7 %","0.0 %","50.0 %","46.4 %","28.6 %","25.0 %","10.7 %","39","73","112","10591"
"Kyle Kubitza","Braves (AAA)","26","1.0",".000","1.00","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","75.0 %","0.0 %","25.0 %","0.0 %","8","13","21","12148"
"Tony Zych","Mariners (AAA)","26","1.0",".667","0.00","50.0 %","0.0 %","50.0 %","50.0 %","50.0 %","25.0 %","75.0 %","0.0 %","25.0 %","4","12","16","12876"
"Junichi Tazawa","- - -","31","5.0",".417","4.50","15.4 %","69.2 %","15.4 %","0.0 %","50.0 %","30.8 %","23.1 %","46.2 %","17.1 %","26","50","76","4079"
"Kristopher Negron","Diamondbacks (AAA)","31","1.0",".000","0.00","33.3 %","0.0 %","66.7 %","50.0 %","50.0 %","33.3 %","33.3 %","33.3 %","0.0 %","7","7","14","5306"
"Tommy Layne","- - -","32","12.1",".147","5.50","13.3 %","73.3 %","13.3 %","25.0 %","50.0 %","58.1 %","19.4 %","22.6 %","9.4 %","77","115","192","7501"
"Faustino Antigua","Angels (R)","18","5.0",".455","2.50","36.4 %","45.5 %","18.2 %","0.0 %","50.0 %","61.5 %","7.7 %","30.8 %","17.5 %","58","39","97","sa3003101"
"Patrick Cantwell","Rangers (AAA)","27","1.0",".333","0.50","25.0 %","25.0 %","50.0 %","0.0 %","50.0 %","25.0 %","25.0 %","50.0 %","8.3 %","9","15","24","sa602546"
"Fernando Miranda","Mexican (AAA)","22","1.2",".444","2.00","33.3 %","44.4 %","22.2 %","0.0 %","50.0 %","60.0 %","20.0 %","20.0 %","7.1 %","20","22","42","sa736828"
"Josh Altmann","Rangers (A+)","22","2.0",".000","0.50","14.3 %","28.6 %","57.1 %","25.0 %","50.0 %","42.9 %","42.9 %","14.3 %","0.0 %","12","21","33","sa875314"
"James Vasquez","Reds (A)","24","1.0",".750","1.00","20.0 %","40.0 %","40.0 %","0.0 %","50.0 %","0.0 %","80.0 %","20.0 %","10.3 %","11","18","29","sa875804"
"Alejandro Garcia","Astros (AAA)","26","0.1",".667","0.00","50.0 %","0.0 %","50.0 %","0.0 %","50.0 %","25.0 %","25.0 %","50.0 %","4.2 %","11","13","24","sa880808"
"Gabriel Gonzalez","Yankees (R)","18","7.0",".412","3.25","10.5 %","68.4 %","21.1 %","0.0 %","50.0 %","73.7 %","21.1 %","5.3 %","31.6 %","46","49","95","sa916945"
"Marcus Mooney","Braves (A)","23","1.0",".750","1.00","20.0 %","40.0 %","40.0 %","0.0 %","50.0 %","80.0 %","0.0 %","20.0 %","9.7 %","11","20","31","sa918184"
"Jacob Rogers","Rangers (A-)","27","9.0",".350","0.89","22.7 %","36.4 %","40.9 %","33.3 %","44.4 %","45.8 %","12.5 %","41.7 %","12.2 %","70","110","180","sa455553"
"Vin Mazzaro","Reds (AAA)","30","4.1",".476","1.43","26.1 %","43.5 %","30.4 %","14.3 %","42.9 %","45.8 %","20.8 %","33.3 %","3.7 %","57","80","137","5231"
"Shawn Kelley","Nationals (AAA)","33","6.2",".313","1.14","21.1 %","42.1 %","36.8 %","14.3 %","42.9 %","57.9 %","15.8 %","26.3 %","13.7 %","43","88","131","7773"
"Sammy Solis","Nationals (AAA)","28","12.2",".216","1.33","20.0 %","45.7 %","34.3 %","25.0 %","41.7 %","30.6 %","27.8 %","41.7 %","10.2 %","74","122","196","11457"
"Luis Guzman","Rockies (A-)","21","3.1",".417","0.80","35.7 %","28.6 %","35.7 %","20.0 %","40.0 %","35.7 %","35.7 %","28.6 %","7.9 %","29","34","63","sa737455"
"Tyler Jay","- - -","23","11.2",".360","2.80","29.6 %","51.9 %","18.5 %","0.0 %","40.0 %","40.7 %","22.2 %","37.0 %","18.1 %","57","120","177","sa857588"
"Evan Steele","Royals (R)","20","8.0",".500","2.40","10.5 %","63.2 %","26.3 %","0.0 %","40.0 %","45.0 %","25.0 %","30.0 %","55.6 %","10","71","81","sa915636"
"Jeremy Null","Cubs (A+)","23","7.2",".333","0.91","25.0 %","35.7 %","39.3 %","18.2 %","36.4 %","42.9 %","28.6 %","28.6 %","13.6 %","58","82","140","sa602382"
"James Teague","- - -","22","23.1",".235","2.45","22.4 %","55.1 %","22.4 %","27.3 %","36.4 %","51.9 %","22.2 %","25.9 %","15.4 %","156","241","397","sa874234"
"Max Wotell","- - -","20","17.1",".364","2.21","23.7 %","52.5 %","23.7 %","21.4 %","35.7 %","50.8 %","23.0 %","26.2 %","6.9 %","152","197","349","sa874995"
"Tim Adleman","Reds (AAA)","29","7.0",".200","4.00","25.0 %","60.0 %","15.0 %","0.0 %","33.3 %","47.6 %","23.8 %","28.6 %","14.7 %","33","62","95","10968"
"Joely Rodriguez","Rangers (AAA)","25","27.0",".305","2.78","20.0 %","58.8 %","21.2 %","5.6 %","33.3 %","44.8 %","28.7 %","26.4 %","10.8 %","208","265","473","11487"
"Rosell Herrera","Rockies (AAA)","24","1.0",".250","0.67","0.0 %","40.0 %","60.0 %","0.0 %","33.3 %","40.0 %","40.0 %","20.0 %","0.0 %","4","14","18","11611"
"James Paxton","Mariners (AA)","28","4.0",".400","1.33","36.4 %","36.4 %","27.3 %","0.0 %","33.3 %","45.5 %","9.1 %","45.5 %","16.4 %","17","38","55","11828"
"Angel Nesbitt","- - -","26","13.1",".303","1.00","33.3 %","33.3 %","33.3 %","16.7 %","33.3 %","32.4 %","24.3 %","43.2 %","14.0 %","85","144","229","13415"
"Chris Beck","White Sox (AAA)","26","8.0",".227","5.00","18.2 %","68.2 %","13.6 %","0.0 %","33.3 %","47.8 %","17.4 %","34.8 %","13.8 %","48","75","123","13418"
"German Marquez","Rockies (AAA)","22","10.0",".353","1.67","15.8 %","52.6 %","31.6 %","0.0 %","33.3 %","63.2 %","36.8 %","0.0 %","12.0 %","43","107","150","15038"
"Tyler White","Astros (AAA)","26","0.1",".833","0.67","28.6 %","28.6 %","42.9 %","0.0 %","33.3 %","28.6 %","28.6 %","42.9 %","3.0 %","14","19","33","15564"
"Clayton Kershaw","Dodgers (AAA)","29","5.0",".143","1.33","12.5 %","50.0 %","37.5 %","0.0 %","33.3 %","62.5 %","12.5 %","25.0 %","18.8 %","21","43","64","2036"
"Zach Britton","- - -","29","8.2",".263","5.33","5.0 %","80.0 %","15.0 %","0.0 %","33.3 %","30.0 %","20.0 %","50.0 %","17.9 %","56","84","140","3240"
"Abel Gonzalez","Mexican (AAA)","19","3.1",".200","1.00","0.0 %","50.0 %","50.0 %","16.7 %","33.3 %","50.0 %","41.7 %","8.3 %","2.1 %","20","27","47","sa3005248"
"Gerson Pinales","Royals (R)","17","3.2",".125","0.67","37.5 %","25.0 %","37.5 %","66.7 %","33.3 %","75.0 %","12.5 %","12.5 %","16.2 %","22","15","37","sa3005283"
"Christopher Madera","Mets (R)","20","3.0",".125","1.67","11.1 %","55.6 %","33.3 %","0.0 %","33.3 %","55.6 %","44.4 %","0.0 %","35.3 %","2","15","17","sa3005304"
"Jeremy Barfield","Red Sox (AA)","28","3.0",".143","1.00","25.0 %","37.5 %","37.5 %","0.0 %","33.3 %","62.5 %","37.5 %","0.0 %","8.6 %","5","30","35","sa327073"
"Chris Diaz","Pirates (AA)","26","1.0",".400","0.67","16.7 %","33.3 %","50.0 %","0.0 %","33.3 %","33.3 %","66.7 %","0.0 %","5.0 %","7","13","20","sa621581"
"Rudy Flores","Diamondbacks (AAA)","26","1.1",".200","0.00","14.3 %","0.0 %","85.7 %","16.7 %","33.3 %","71.4 %","14.3 %","14.3 %","0.0 %","9","12","21","sa621607"
"David Ramos","Nationals (A)","25","7.2",".478","0.78","33.3 %","29.2 %","37.5 %","0.0 %","33.3 %","30.8 %","30.8 %","38.5 %","13.0 %","44","102","146","sa692508"
"Kyle Petty","Mariners (AA)","26","1.1",".571","1.00","25.0 %","37.5 %","37.5 %","0.0 %","33.3 %","37.5 %","62.5 %","0.0 %","0.0 %","11","18","29","sa738266"
"Eliezer Cuello","- - -","20","6.0",".250","1.67","20.0 %","50.0 %","30.0 %","16.7 %","33.3 %","69.6 %","13.0 %","17.4 %","6.8 %","18","26","44","sa828346"
"Matt Morgan","Blue Jays (A-)","21","1.0",".333","0.33","0.0 %","25.0 %","75.0 %","33.3 %","33.3 %","50.0 %","0.0 %","50.0 %","3.7 %","12","15","27","sa828869"
"Kurt Hoekstra","Braves (A)","24","4.0",".357","3.00","14.3 %","64.3 %","21.4 %","0.0 %","33.3 %","13.3 %","40.0 %","46.7 %","8.5 %","28","43","71","sa875296"
"Wesley Rodriguez","Diamondbacks (R)","20","6.0",".308","2.67","21.4 %","57.1 %","21.4 %","66.7 %","33.3 %","42.9 %","14.3 %","42.9 %","29.1 %","12","43","55","sa875566"
"Mike Estevez","Blue Jays (R)","24","1.1",".400","0.67","16.7 %","33.3 %","50.0 %","0.0 %","33.3 %","83.3 %","16.7 %","0.0 %","21.4 %","4","10","14","sa876812"
"Brayan De Pena","Giants (R)","19","5.0",".267","2.00","35.7 %","42.9 %","21.4 %","0.0 %","33.3 %","43.8 %","18.8 %","37.5 %","28.3 %","22","31","53","sa879807"
"Erich Uelmen","Cubs (A-)","21","17.2",".364","4.00","30.2 %","55.8 %","14.0 %","33.3 %","33.3 %","53.3 %","26.7 %","20.0 %","17.4 %","110","183","293","sa915866"
"Ivan Fortunato","Mariners (R)","18","5.0",".300","2.00","18.2 %","54.5 %","27.3 %","0.0 %","33.3 %","36.4 %","36.4 %","27.3 %","37.0 %","12","34","46","sa917594"
"Kilvio Peralta","Astros (R)","20","6.0",".150","3.33","27.8 %","55.6 %","16.7 %","0.0 %","33.3 %","61.9 %","14.3 %","23.8 %","29.0 %","1","30","31","sa917691"
"Tyler Benninghoff","Twins (R)","19","4.0",".250","1.33","22.2 %","44.4 %","33.3 %","0.0 %","33.3 %","55.6 %","22.2 %","22.2 %","39.6 %","19","29","48","sa918219"
"Skylar Arias","Indians (R)","20","7.1",".111","2.33","0.0 %","70.0 %","30.0 %","0.0 %","33.3 %","40.0 %","40.0 %","20.0 %","38.6 %","18","52","70","sa918539"
"Nick Sergakis","Mets (A+)","24","1.0",".250","0.67","0.0 %","40.0 %","60.0 %","33.3 %","33.3 %","20.0 %","20.0 %","60.0 %","0.0 %","5","8","13","sa918553"
"Steven Reveles","Red Sox (A-)","24","1.0",".333","0.33","0.0 %","25.0 %","75.0 %","0.0 %","33.3 %","25.0 %","50.0 %","25.0 %","0.0 %","9","12","21","sa919393"
"Andres Munoz","- - -","18","26.0",".273","5.17","19.6 %","67.4 %","13.0 %","33.3 %","33.3 %","49.0 %","13.7 %","37.3 %","14.2 %","172","257","429","sa919548"
"Chris Tillman","- - -","29","16.1",".283","1.14","9.6 %","48.1 %","42.3 %","18.2 %","31.8 %","49.1 %","9.4 %","41.5 %","17.0 %","81","143","224","5279"
"Thomas Lebron","- - -","21","10.0",".432","0.75","28.2 %","30.8 %","41.0 %","18.8 %","31.3 %","56.4 %","30.8 %","12.8 %","9.0 %","78","122","200","sa873715"
"Juan Gutierrez","Mexican (AAA)","33","7.1",".318","0.70","26.1 %","30.4 %","43.5 %","30.0 %","30.0 %","43.5 %","34.8 %","21.7 %","14.5 %","55","83","138","3265"
"Michael Hendrickson","- - -","21","11.1",".433","1.70","25.0 %","47.2 %","27.8 %","30.0 %","30.0 %","44.4 %","13.9 %","41.7 %","18.2 %","52","102","154","sa3004737"
"Tony Amezcua","Mexican (AAA)","26","7.2",".333","1.80","0.0 %","64.3 %","35.7 %","0.0 %","30.0 %","30.0 %","36.7 %","33.3 %","5.7 %","67","90","157","sa548382"
"Reagan Biechler","Rockies (R)","22","10.0",".133","0.35","20.7 %","20.7 %","58.6 %","23.5 %","29.4 %","37.1 %","28.6 %","34.3 %","14.7 %","53","104","157","sa3002750"
"Ryan Valdes","- - -","23","24.2",".245","1.35","14.9 %","48.9 %","36.2 %","17.6 %","29.4 %","54.0 %","24.0 %","22.0 %","17.6 %","139","219","358","sa3004486"
"Michael Ynoa","White Sox (AAA)","25","8.1",".294","1.29","15.8 %","47.4 %","36.8 %","42.9 %","28.6 %","42.1 %","26.3 %","31.6 %","16.3 %","66","87","153","14093"
"Michael McKenry","Rays (AAA)","32","2.0",".546","0.00","46.2 %","0.0 %","53.8 %","42.9 %","28.6 %","38.5 %","23.1 %","38.5 %","3.9 %","37","40","77","9628"
"Tony Dibrell","Mets (A-)","21","19.2",".333","1.79","20.4 %","51.0 %","28.6 %","14.3 %","28.6 %","46.9 %","30.6 %","22.5 %","18.0 %","121","201","322","sa3004657"
"Santiago Garrido","- - -","27","25.0",".286","1.81","14.5 %","55.1 %","30.4 %","14.3 %","28.6 %","53.6 %","23.2 %","23.2 %","11.6 %","108","229","337","sa455695"
"Shair Lacrus","Red Sox (R)","20","25.1",".266","2.50","12.5 %","62.5 %","25.0 %","50.0 %","28.6 %","46.8 %","29.0 %","24.2 %","33.7 %","61","135","196","sa828892"
"Luis Santos","- - -","22","8.0",".500","1.57","30.8 %","42.3 %","26.9 %","14.3 %","28.6 %","42.3 %","11.5 %","46.2 %","21.1 %","41","73","114","sa873147"
"Cristopher Molina","- - -","20","37.0",".429","0.75","26.3 %","31.6 %","42.1 %","17.5 %","27.5 %","48.0 %","20.6 %","31.4 %","16.1 %","274","377","651","sa828598"
"Anthony DeSclafani","- - -","27","6.2",".455","1.00","8.3 %","45.8 %","45.8 %","0.0 %","27.3 %","36.0 %","28.0 %","36.0 %","20.0 %","22","68","90","13050"
"Mike Miller","Red Sox (AAA)","27","5.2",".407","0.64","40.0 %","23.3 %","36.7 %","18.2 %","27.3 %","40.0 %","26.7 %","33.3 %","1.1 %","32","59","91","13891"
"Leobaldo Pina","Cardinals (A+)","23","4.2",".278","0.64","14.3 %","33.3 %","52.4 %","9.1 %","27.3 %","33.3 %","23.8 %","42.9 %","4.6 %","33","33","66","sa596837"
"Eric Ruth","- - -","26","8.1",".409","0.91","12.5 %","41.7 %","45.8 %","9.1 %","27.3 %","41.7 %","37.5 %","20.8 %","8.8 %","54","94","148","sa621786"
"Josh Hader","Brewers (AAA)","23","52.0",".265","0.87","26.4 %","34.3 %","39.3 %","20.0 %","25.5 %","42.4 %","23.6 %","34.0 %","11.9 %","372","555","927","14212"
"Matthew den Dekker","Tigers (AAA)","29","0.2",".600","0.00","33.3 %","0.0 %","66.7 %","50.0 %","25.0 %","33.3 %","16.7 %","50.0 %","0.0 %","13","12","25","11385"
"Justin Grimm","Cubs (AAA)","28","11.2",".320","1.50","20.0 %","48.0 %","32.0 %","12.5 %","25.0 %","30.8 %","30.8 %","38.5 %","16.7 %","83","127","210","11720"
"Hisashi Iwakuma","- - -","36","6.0",".267","2.00","20.0 %","53.3 %","26.7 %","0.0 %","25.0 %","56.3 %","25.0 %","18.8 %","12.0 %","27","65","92","13048"
"Cam Bedrosian","Angels (A+)","25","3.2",".444","0.50","33.3 %","22.2 %","44.4 %","0.0 %","25.0 %","0.0 %","40.0 %","60.0 %","19.0 %","22","57","79","13360"
"Steven Matz","- - -","26","16.1",".308","1.33","33.3 %","38.1 %","28.6 %","8.3 %","25.0 %","31.0 %","33.3 %","35.7 %","12.7 %","90","177","267","13361"
"Daniel Norris","Tigers (AAA)","24","14.0",".442","1.83","24.4 %","48.9 %","26.7 %","16.7 %","25.0 %","41.3 %","32.6 %","26.1 %","9.8 %","157","201","358","13475"
"Andrew Bailey","- - -","33","7.2",".250","0.83","12.0 %","40.0 %","48.0 %","25.0 %","25.0 %","33.3 %","33.3 %","33.3 %","13.4 %","26","71","97","1368"
"Matt Garza","- - -","33","10.2",".321","1.75","24.1 %","48.3 %","27.6 %","25.0 %","25.0 %","46.7 %","23.3 %","30.0 %","21.3 %","61","99","160","3340"
"Mark Melancon","- - -","32","3.2",".455","1.25","25.0 %","41.7 %","33.3 %","0.0 %","25.0 %","58.3 %","25.0 %","16.7 %","15.9 %","19","50","69","4264"
"Mike Pelfrey","White Sox (AAA)","33","6.0",".364","1.50","16.7 %","50.0 %","33.3 %","25.0 %","25.0 %","45.8 %","33.3 %","20.8 %","9.5 %","59","78","137","5203"
"Danny Salazar","- - -","27","16.0",".241","0.63","18.8 %","31.3 %","50.0 %","25.0 %","25.0 %","39.4 %","21.2 %","39.4 %","16.0 %","99","164","263","5867"
"Brandon Morrow","Dodgers (AAA)","32","20.0",".339","1.65","13.1 %","54.1 %","32.8 %","25.0 %","25.0 %","36.5 %","23.8 %","39.7 %","12.4 %","114","226","340","9346"
"West Tunnell","- - -","23","9.1",".464","4.00","28.6 %","57.1 %","14.3 %","25.0 %","25.0 %","56.7 %","20.0 %","23.3 %","34.3 %","31","71","102","sa3002749"
"Geremy Galindez","Marlins (R)","19","8.0",".423","4.25","22.2 %","63.0 %","14.8 %","50.0 %","25.0 %","46.4 %","21.4 %","32.1 %","30.6 %","7","42","49","sa3003018"
"Gustavo Almonte","- - -","19","9.0",".346","5.25","3.8 %","80.8 %","15.4 %","0.0 %","25.0 %","59.3 %","18.5 %","22.2 %","14.9 %","110","51","161","sa3003129"
"Connor Johnstone","Braves (R)","22","10.0",".308","1.88","14.8 %","55.6 %","29.6 %","12.5 %","25.0 %","57.1 %","21.4 %","21.4 %","12.0 %","55","95","150","sa3004190"
"David Gerber","- - -","22","12.1",".250","4.75","17.9 %","67.9 %","14.3 %","50.0 %","25.0 %","27.6 %","34.5 %","37.9 %","25.0 %","40","108","148","sa3004357"
"Aaron Ford","- - -","22","21.0",".273","1.83","24.4 %","48.9 %","26.7 %","25.0 %","25.0 %","45.8 %","27.1 %","27.1 %","17.6 %","111","224","335","sa3004476"
"Tad Ratliff","Royals (R)","21","4.0",".625","0.50","33.3 %","22.2 %","44.4 %","0.0 %","25.0 %","11.1 %","44.4 %","44.4 %","15.0 %","26","54","80","sa3004683"
"Stephen Kerr","Angels (R)","22","1.0",".571","0.25","37.5 %","12.5 %","50.0 %","25.0 %","25.0 %","62.5 %","12.5 %","25.0 %","6.7 %","10","20","30","sa3004838"
"Luis Garcia","Astros (R)","20","11.0",".500","2.75","34.8 %","47.8 %","17.4 %","25.0 %","25.0 %","24.0 %","32.0 %","44.0 %","45.2 %","25","79","104","sa3005197"
"Jeremy Lucas","Indians (AAA)","26","5.0",".381","0.58","20.8 %","29.2 %","50.0 %","25.0 %","25.0 %","41.7 %","29.2 %","29.2 %","6.1 %","27","55","82","sa503053"
"Juan Omar Espinoza","Mexican (AAA)","33","2.1",".444","1.00","20.0 %","40.0 %","40.0 %","0.0 %","25.0 %","40.0 %","40.0 %","20.0 %","10.0 %","24","26","50","sa508498"
"Jose Lopez Cruz","- - -","27","31.1",".371","1.18","22.3 %","42.0 %","35.7 %","22.5 %","25.0 %","50.9 %","25.0 %","24.1 %","7.6 %","236","386","622","sa509287"
"Adrian C. Ramirez","Mexican (AAA)","29","4.0",".385","0.75","0.0 %","42.9 %","57.1 %","25.0 %","25.0 %","60.0 %","26.7 %","13.3 %","14.5 %","26","50","76","sa509467"
"Misael Valenzuela","Mexican (AAA)","29","4.2",".474","1.25","10.0 %","50.0 %","40.0 %","12.5 %","25.0 %","42.9 %","23.8 %","33.3 %","6.5 %","29","48","77","sa509644"
"Mario Alcantara","Orioles (A+)","24","17.1",".278","1.00","20.0 %","40.0 %","40.0 %","31.3 %","25.0 %","47.5 %","22.5 %","30.0 %","12.5 %","134","185","319","sa549183"
"J.J. Franco","Mets (A)","25","1.2",".429","0.25","37.5 %","12.5 %","50.0 %","0.0 %","25.0 %","62.5 %","37.5 %","0.0 %","13.8 %","9","20","29","sa550147"
"Marco Campoy","Mexican (AAA)","25","1.1",".667","1.50","0.0 %","60.0 %","40.0 %","0.0 %","25.0 %","50.0 %","30.0 %","20.0 %","7.6 %","28","25","53","sa655198"
"Jose Martinez","- - -","23","19.1",".280","2.75","11.8 %","64.7 %","23.5 %","16.7 %","25.0 %","43.4 %","28.3 %","28.3 %","13.8 %","229","206","435","sa657500"
"Luis De Paula","Dodgers (A)","25","4.0",".615","1.75","21.4 %","50.0 %","28.6 %","0.0 %","25.0 %","57.1 %","28.6 %","14.3 %","10.6 %","41","53","94","sa659700"
"Alexis Bastardo","Pirates (A)","23","1.2",".286","0.13","0.0 %","11.1 %","88.9 %","37.5 %","25.0 %","33.3 %","33.3 %","33.3 %","0.0 %","5","11","16","sa737058"
"Layne Bruner","- - -","22","9.1",".333","1.17","18.8 %","43.8 %","37.5 %","8.3 %","25.0 %","33.3 %","27.3 %","39.4 %","12.0 %","28","64","92","sa738469"
"Dalton Brown","Brewers (A)","23","3.2",".611","1.75","38.9 %","38.9 %","22.2 %","0.0 %","25.0 %","42.1 %","42.1 %","15.8 %","2.7 %","32","41","73","sa827474"
"Julio Mendez","Brewers (R)","20","1.0",".400","0.50","0.0 %","33.3 %","66.7 %","25.0 %","25.0 %","50.0 %","16.7 %","33.3 %","5.1 %","22","17","39","sa828121"
"Gabriel Ovalle","Reds (A)","22","1.0",".500","0.00","42.9 %","0.0 %","57.1 %","25.0 %","25.0 %","57.1 %","14.3 %","28.6 %","17.4 %","9","14","23","sa828252"
"Cristopher Sanchez","Rays (R)","20","39.2",".383","2.03","27.1 %","48.9 %","24.1 %","15.6 %","25.0 %","45.7 %","17.9 %","36.4 %","11.7 %","231","412","643","sa828749"
"Jon Wandling","Blue Jays (A+)","25","2.2",".250","1.00","11.1 %","44.4 %","44.4 %","0.0 %","25.0 %","22.2 %","11.1 %","66.7 %","13.3 %","19","26","45","sa830461"
"Louis Distasio","Padres (A)","23","8.1",".517","1.88","25.8 %","48.4 %","25.8 %","50.0 %","25.0 %","22.6 %","32.3 %","45.2 %","14.3 %","43","104","147","sa876085"
"Joel Novas","Diamondbacks (R)","22","1.0",".600","0.50","0.0 %","33.3 %","66.7 %","0.0 %","25.0 %","33.3 %","33.3 %","33.3 %","3.5 %","11","18","29","sa880804"
"Saul Castellanos","Dodgers (R)","20","3.0",".000","0.75","0.0 %","42.9 %","57.1 %","50.0 %","25.0 %","55.6 %","22.2 %","22.2 %","18.2 %","3","19","22","sa883144"
"Garrett Harrison","Dodgers (A)","23","1.2",".333","0.50","14.3 %","28.6 %","57.1 %","0.0 %","25.0 %","42.9 %","28.6 %","28.6 %","13.9 %","17","19","36","sa914317"
"Luis Cordero","Indians/Brewers (R)","18","6.2",".333","3.50","33.3 %","51.9 %","14.8 %","25.0 %","25.0 %","38.7 %","25.8 %","35.5 %","6.9 %","50","37","87","sa916726"
"Dan Dallas","Padres (R)","19","10.0",".476","1.38","17.4 %","47.8 %","34.8 %","0.0 %","25.0 %","52.2 %","26.1 %","21.7 %","33.7 %","27","74","101","sa918033"
"Reid Redman","Royals (AA)","28","24.1",".283","0.90","17.9 %","38.8 %","43.3 %","17.2 %","24.1 %","34.3 %","35.8 %","29.9 %","15.0 %","98","228","326","sa602392"
"Kevin Grendell","- - -","23","22.0",".255","0.72","12.3 %","36.8 %","50.9 %","34.5 %","24.1 %","43.1 %","25.9 %","31.0 %","11.5 %","225","253","478","sa658164"
