"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Whit Merrifield","Royals (AA)","24","0","0","0.00","1","0","0","0","1","0","0","1.0","4","0","0","0","0","0","0","0","0","0","0","11281"
"Steve Delabar","- - -","29","0","0","0.00","2","0","0","0","0","0","2","2.0","6","0","0","0","0","0","0","0","0","0","0","11827"
"Nick Martini","Cardinals (A)","23","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","12005"
"Brock Stassi","Phillies (A+)","23","0","0","0.00","2","0","0","0","0","0","0","2.0","7","0","0","0","0","1","0","0","0","0","2","12244"
"Taylor Motter","Rays (A+)","23","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","0","0","0","12399"
"Raudel Lazo","Marlins (AA)","24","1","0","0.00","5","0","0","0","1","0","1","7.0","25","3","0","0","0","1","0","0","0","0","9","14077"
"Gerardo Concepcion","Cubs (R)","21","0","0","0.00","2","2","0","0","0","0","0","3.2","17","1","1","0","0","4","0","1","3","0","2","14411"
"Kyuji Fujikawa","- - -","32","0","0","0.00","2","0","0","0","0","0","1","3.0","10","1","0","0","0","1","0","0","0","0","2","14443"
"John Lackey","Red Sox (AA)","34","0","0","0.00","1","1","0","0","0","0","0","3.2","15","3","0","0","0","2","0","0","0","0","5","1507"
"Francisco Rodriguez","- - -","31","0","0","0.00","4","0","0","0","0","0","1","4.0","16","1","0","0","0","3","0","0","0","0","7","1642"
"Ray Olmedo","Twins (AAA)","32","0","0","0.00","1","0","0","0","0","0","0","0.2","2","0","0","0","0","0","0","0","0","0","0","1718"
"Neftali Feliz","- - -","25","0","0","0.00","8","1","0","0","0","0","1","10.2","40","5","0","0","0","4","0","0","0","0","13","18"
"Ryan Madson","Angels (A+)","32","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","1852"
"Darren Oliver","Blue Jays (A+)","42","0","0","0.00","2","2","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","0","4","206"
"Joba Chamberlain","Yankees (AAA)","27","0","0","0.00","1","1","0","0","0","0","0","1.0","5","2","0","0","0","0","0","0","0","0","0","2692"
"Jordan Walden","Braves (AAA)","25","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","3271"
"Anibal Sanchez","Tigers (A+)","29","0","0","0.00","1","0","0","0","0","0","0","1.2","6","2","0","0","0","0","0","0","0","0","0","3284"
"Logan Ondrusek","- - -","28","0","0","0.00","9","0","0","0","1","0","2","10.1","37","5","0","0","0","2","0","0","0","0","7","3677"
"Che-Hsuan Lin","Astros (AAA)","24","0","0","0.00","2","0","0","0","0","0","0","1.2","5","0","0","0","0","0","0","0","0","0","1","3734"
"Brian Dinkelman","Twins (AAA)","29","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","3814"
"Micah Owings","- - -","30","1","0","0.00","8","0","0","0","0","0","1","9.0","33","4","0","0","0","2","0","0","0","0","15","4253"
"Manny Parra","Reds (AA)","30","0","0","0.00","3","3","0","0","0","0","0","5.0","18","3","0","0","0","1","0","0","0","0","5","4279"
"Mike McCoy","Blue Jays (AAA)","32","0","0","0.00","1","0","0","0","0","0","0","1.0","7","2","3","0","1","1","0","0","0","0","0","4583"
"Jason Pridie","Orioles (AAA)","29","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","4611"
"Pat Neshek","Athletics (AAA)","32","0","0","0.00","2","0","0","0","0","0","0","2.0","8","2","2","0","1","0","0","0","0","0","2","4682"
"Jonathan Broxton","Reds (AAA)","29","0","0","0.00","2","2","0","0","0","0","0","2.0","11","5","0","0","0","0","0","0","0","0","3","4759"
"Scott Kazmir","Indians (AAA)","29","1","0","0.00","1","1","0","0","0","0","0","5.0","18","5","1","0","0","0","0","0","0","0","5","4897"
"Jason Grilli","Pirates (AA)","36","0","0","0.00","2","2","0","0","0","0","0","2.0","9","2","0","0","0","0","0","0","1","0","4","521"
"Vin Mazzaro","Pirates (AAA)","26","1","0","0.00","3","0","0","0","0","0","0","7.0","25","3","0","0","0","1","0","1","0","0","9","5231"
"Phil Coke","Tigers (AAA)","30","1","0","0.00","6","0","0","0","0","0","1","6.0","24","5","0","0","0","1","1","0","0","0","9","5535"
"Yamaico Navarro","Orioles (AAA)","25","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","5665"
"Sean Marshall","Reds (AAA)","30","0","0","0.00","2","2","0","0","0","0","0","2.0","8","2","0","0","0","0","0","0","0","0","4","5905"
"John Ely","Astros (AAA)","27","0","0","0.00","1","0","0","0","1","0","0","4.0","15","2","0","0","0","2","0","1","0","0","3","6132"
"Brian Wilson","- - -","31","0","0","0.00","4","1","0","0","0","0","1","4.1","14","1","0","0","0","0","0","0","0","0","3","6485"
"Jim Henderson","Brewers (A)","30","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","3","6653"
"Eddy Rodriguez","Padres (AAA)","27","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","1","0","1","6870"
"Joakim Soria","- - -","29","0","0","0.00","7","1","0","0","0","0","2","7.0","22","1","0","0","0","0","0","0","0","0","8","6941"
"Wade Davis","Royals (A+)","27","0","0","0.00","1","0","0","0","0","0","1","2.0","7","1","0","0","0","0","0","0","1","0","5","7441"
"Josh Fields","Phillies (AAA)","30","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","1","0","0","7490"
"Brandon Boggs","Braves (AAA)","30","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","0","0","0","8021"
"Michael Schwimer","Blue Jays (AAA)","27","0","0","0.00","6","0","0","0","0","0","1","6.0","25","1","0","0","0","7","0","0","0","0","6","8103"
"Brad Davis","Tigers (AAA)","30","0","0","0.00","1","0","0","0","0","0","0","1.0","5","0","0","0","0","3","0","0","0","0","0","8250"
"Huston Street","Padres (A+)","29","0","0","0.00","1","1","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","8258"
"Tony Sipp","Diamondbacks (AAA)","29","1","0","0.00","9","0","0","0","1","0","2","10.0","40","3","1","0","0","5","0","0","1","0","12","8280"
"Michael Kohn","Angels (AAA)","27","0","0","0.00","5","0","0","0","1","0","0","4.1","14","2","0","0","0","0","0","0","0","0","7","8505"
"Bill Bray","Nationals (AA)","30","0","0","0.00","4","0","0","0","0","0","0","4.1","15","2","0","0","0","1","0","0","0","0","6","8538"
"Edgmer Escalona","Rockies (AAA)","26","0","0","0.00","1","0","0","0","0","0","0","1.1","5","1","0","0","0","0","0","0","0","0","2","8574"
"Wilking Rodriguez","Rays (R)","23","0","0","0.00","8","6","0","0","0","0","0","9.0","32","6","0","0","0","3","0","0","1","0","9","8801"
