"Name","Team","Age","IP","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Wilton Lopez","Astros (AAA)","28","2.0",".250","3.00","11.1 %","66.7 %","22.2 %","0.0 %","100.0 %","70.0 %","20.0 %","10.0 %","17.7 %","10","24","34","4227"
"Matt Carson","Twins (AAA)","30","1.0",".000","2.00","33.3 %","66.7 %","0.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","0.0 %","10","10","20","4748"
"Shane Peterson","Athletics (AAA)","24","0.1",".000","0.00","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","33.3 %","3","6","9","7423"
"Andre Lamontagne","Brewers (R)","26","4.0",".500","4.00","44.4 %","44.4 %","11.1 %","0.0 %","100.0 %","66.7 %","33.3 %","0.0 %","31.8 %","18","26","44","sa501659"
"Nick Vickerson","Rangers (A-)","22","0.2",".500","2.00","0.0 %","66.7 %","33.3 %","0.0 %","100.0 %","66.7 %","33.3 %","0.0 %","15.0 %","13","7","20","sa598342"
"Jesus Garcia","Mexican (AAA)","19","4.1",".385","9.00","28.6 %","64.3 %","7.1 %","0.0 %","100.0 %","42.9 %","14.3 %","42.9 %","3.8 %","18","35","53","sa656847"
"Franklin Montilla","Diamondbacks/Reds (R)","18","1.0",".000","3.00","0.0 %","75.0 %","25.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","0.0 %","1","4","5","sa657879"
"Bryan Pounds","Tigers (AAA)","26","0.0","1.000","0.25","16.7 %","16.7 %","66.7 %","0.0 %","75.0 %","66.7 %","33.3 %","0.0 %","0.0 %","14","14","28","sa455338"
"Justin Toole","Indians (A+)","25","1.0",".000","0.00","0.0 %","0.0 %","100.0 %","0.0 %","66.7 %","33.3 %","33.3 %","33.3 %","10.5 %","7","12","19","sa507054"
"Terry Tiffee","Braves (AAA)","33","1.0",".600","0.50","50.0 %","16.7 %","33.3 %","0.0 %","50.0 %","100.0 %","0.0 %","0.0 %","6.9 %","16","13","29","2160"
"Matt Young","Tigers (AAA)","29","1.0",".000","0.50","0.0 %","33.3 %","66.7 %","50.0 %","50.0 %","100.0 %","0.0 %","0.0 %","0.0 %","5","4","9","8989"
"Miguel Saladin","Mexican (AAA)","37","1.0",".000","1.00","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","25.0 %","50.0 %","25.0 %","7.7 %","3","10","13","sa210553"
"Mario Alvarez","Mexican (AAA)","28","3.1",".375","0.33","20.0 %","20.0 %","60.0 %","0.0 %","50.0 %","45.5 %","27.3 %","27.3 %","8.6 %","23","47","70","sa291501"
"Kyle Greene","Diamondbacks (AA)","26","1.2",".167","0.50","14.3 %","28.6 %","57.1 %","50.0 %","50.0 %","37.5 %","25.0 %","37.5 %","10.5 %","5","14","19","sa455037"
"Eliezer Mesa","Athletics (AA)","23","0.1",".000","0.00","0.0 %","0.0 %","100.0 %","50.0 %","50.0 %","100.0 %","0.0 %","0.0 %","0.0 %","2","3","5","sa455629"
"Daniel Kaczrowski","Diamondbacks (AA)","25","1.1",".500","1.00","42.9 %","28.6 %","28.6 %","0.0 %","50.0 %","42.9 %","28.6 %","28.6 %","16.0 %","9","16","25","sa502313"
"Luis Piterson","Royals (A+)","22","1.1",".400","1.50","16.7 %","50.0 %","33.3 %","0.0 %","50.0 %","83.3 %","0.0 %","16.7 %","5.9 %","5","12","17","sa502815"
"Casey Stevenson","Yankees (A)","24","1.0",".250","0.50","25.0 %","25.0 %","50.0 %","0.0 %","50.0 %","40.0 %","0.0 %","60.0 %","0.0 %","10","11","21","sa503298"
"Porfirio Martinez","Reds (A+)","22","1.1",".000","0.50","0.0 %","33.3 %","66.7 %","25.0 %","50.0 %","50.0 %","16.7 %","33.3 %","9.5 %","13","8","21","sa506288"
"Luis Navarro","Mexican (AAA)","39","0.2",".000","0.00","0.0 %","0.0 %","100.0 %","0.0 %","50.0 %","50.0 %","50.0 %","0.0 %","0.0 %","4","7","11","sa508087"
"Fernando Barreras","Mexican (AAA)","30","2.1",".333","2.00","33.3 %","44.4 %","22.2 %","0.0 %","50.0 %","40.0 %","40.0 %","20.0 %","3.6 %","31","25","56","sa509398"
"Kurtis Muller","Reds (A+)","22","1.1",".000","1.00","0.0 %","50.0 %","50.0 %","50.0 %","50.0 %","50.0 %","25.0 %","25.0 %","0.0 %","2","7","9","sa546782"
"Matthew Reckling","Dodgers (R)","23","0.2",".333","0.00","33.3 %","0.0 %","66.7 %","0.0 %","50.0 %","50.0 %","50.0 %","0.0 %","20.0 %","6","9","15","sa599223"
"Tony Bucciferro","White Sox (R)","22","7.0",".150","7.00","20.0 %","70.0 %","10.0 %","0.0 %","50.0 %","61.9 %","19.1 %","19.1 %","24.4 %","6","39","45","sa621362"
"Cesar Cebreros","- - -","19","3.1",".467","3.00","50.0 %","37.5 %","12.5 %","0.0 %","50.0 %","31.3 %","25.0 %","43.8 %","3.3 %","27","34","61","sa652173"
"Saul Villegas","Mexican (AAA)","20","11.2",".324","1.75","21.4 %","50.0 %","28.6 %","0.0 %","41.7 %","40.5 %","33.3 %","26.2 %","10.8 %","108","143","251","sa593047"
"Derek Holland","Rangers (AAA)","25","9.0",".269","1.40","17.2 %","48.3 %","34.5 %","0.0 %","40.0 %","40.0 %","36.7 %","23.3 %","8.9 %","34","78","112","4141"
"Tim Torres","Rockies (AA)","28","1.0",".400","0.20","14.3 %","14.3 %","71.4 %","40.0 %","40.0 %","42.9 %","28.6 %","28.6 %","3.0 %","13","20","33","sa328090"
"Travis Whitmore","Padres (A)","23","1.0",".571","0.60","11.1 %","33.3 %","55.6 %","0.0 %","40.0 %","44.4 %","22.2 %","33.3 %","16.7 %","1","11","12","sa546623"
"Juan Jesus Martinez","Mexican (AAA)","33","10.0",".233","1.38","8.8 %","52.9 %","38.2 %","7.7 %","38.5 %","51.4 %","25.7 %","22.9 %","8.8 %","53","95","148","sa211112"
"Ryan Borucki","Blue Jays (R)","18","6.0",".273","2.67","8.3 %","66.7 %","25.0 %","0.0 %","33.3 %","25.0 %","58.3 %","16.7 %","54.6 %","0","44","44","16350"
"Robinson Tejeda","Indians (AAA)","30","1.0",".500","0.00","40.0 %","0.0 %","60.0 %","0.0 %","33.3 %","60.0 %","40.0 %","0.0 %","15.0 %","8","12","20","2575"
"Scott Atchison","Red Sox (AAA)","36","2.0",".333","1.33","0.0 %","57.1 %","42.9 %","0.0 %","33.3 %","42.9 %","14.3 %","42.9 %","6.7 %","9","21","30","2642"
"Daniel Herrera","Mets (AAA)","27","6.0",".133","3.00","20.0 %","60.0 %","20.0 %","0.0 %","33.3 %","46.7 %","40.0 %","13.3 %","7.9 %","40","61","101","4552"
"Val Majewski","Rangers (AA)","31","1.2",".500","0.67","28.6 %","28.6 %","42.9 %","16.7 %","33.3 %","64.3 %","21.4 %","14.3 %","5.9 %","24","27","51","4851"
"C.C. Lee","Indians (AAA)","25","7.0",".235","3.67","12.5 %","68.8 %","18.8 %","33.3 %","33.3 %","41.2 %","17.7 %","41.2 %","18.3 %","24","69","93","5177"
"Ryan Mattheus","- - -","28","3.0",".000","0.33","11.1 %","22.2 %","66.7 %","33.3 %","33.3 %","55.6 %","11.1 %","33.3 %","17.5 %","15","25","40","7169"
"Huston Street","Padres (A+)","28","2.0",".000","1.00","0.0 %","50.0 %","50.0 %","33.3 %","33.3 %","33.3 %","16.7 %","50.0 %","5.6 %","7","11","18","8258"
"Jorge Flores","Mexican (AAA)","33","1.0",".333","0.33","0.0 %","25.0 %","75.0 %","0.0 %","33.3 %","50.0 %","0.0 %","50.0 %","15.0 %","10","10","20","sa205246"
"Jean Luc Blaquiere","Mets (AAA)","26","1.0",".400","1.00","0.0 %","50.0 %","50.0 %","0.0 %","33.3 %","33.3 %","16.7 %","50.0 %","13.9 %","15","21","36","sa284807"
"Arturo Barradas","Mexican (AAA)","24","2.1",".375","1.33","22.2 %","44.4 %","33.3 %","0.0 %","33.3 %","66.7 %","22.2 %","11.1 %","7.0 %","17","26","43","sa328589"
"Jose Flores","Giants (AA)","24","0.2",".000","0.00","0.0 %","0.0 %","100.0 %","33.3 %","33.3 %","0.0 %","66.7 %","33.3 %","0.0 %","2","5","7","sa328831"
"Stephen Hunt","- - -","23","2.0",".200","0.67","16.7 %","33.3 %","50.0 %","0.0 %","33.3 %","66.7 %","16.7 %","16.7 %","11.8 %","16","18","34","sa392084"
"Nick Haughian","Orioles (A+)","25","3.0",".250","2.33","16.7 %","58.3 %","25.0 %","0.0 %","33.3 %","69.2 %","0.0 %","30.8 %","12.9 %","14","17","31","sa454997"
"Brent Greer","Nationals (A+)","24","0.2",".000","0.00","0.0 %","0.0 %","100.0 %","0.0 %","33.3 %","66.7 %","33.3 %","0.0 %","4.8 %","17","4","21","sa501721"
"Mario Zapari","Mexican (AAA)","20","2.1",".462","0.17","41.7 %","8.3 %","50.0 %","33.3 %","33.3 %","73.3 %","20.0 %","6.7 %","4.0 %","18","32","50","sa504956"
"Jesus Castillo Vega","Mexican (AAA)","21","2.0",".143","1.33","12.5 %","50.0 %","37.5 %","33.3 %","33.3 %","62.5 %","25.0 %","12.5 %","3.2 %","16","15","31","sa544822"
"Drew Beuerlein","Rockies (R)","24","1.1",".167","1.00","0.0 %","50.0 %","50.0 %","0.0 %","33.3 %","57.1 %","28.6 %","14.3 %","4.6 %","14","8","22","sa546846"
"Sam Roberts","Athletics (A-)","23","1.0",".000","0.00","0.0 %","0.0 %","100.0 %","66.7 %","33.3 %","50.0 %","0.0 %","50.0 %","44.4 %","1","8","9","sa598562"
"Cody Geyer","Diamondbacks (R)","20","2.0",".571","1.33","12.5 %","50.0 %","37.5 %","0.0 %","33.3 %","75.0 %","25.0 %","0.0 %","20.0 %","15","15","30","sa599107"
"Jesus De Los Santos","Nationals (R)","19","2.2",".400","0.67","16.7 %","33.3 %","50.0 %","33.3 %","33.3 %","83.3 %","0.0 %","16.7 %","19.1 %","27","15","42","sa603014"
"Andres Garcia","Mexican (AAA)","17","4.2",".313","1.33","22.2 %","44.4 %","33.3 %","16.7 %","33.3 %","66.7 %","11.1 %","22.2 %","9.5 %","28","56","84","sa653707"
"Ivan Rivera","Mexican (AAA)","18","6.0",".350","1.83","19.0 %","52.4 %","28.6 %","0.0 %","33.3 %","59.1 %","31.8 %","9.1 %","4.8 %","35","49","84","sa655036"
"Arturo Aldrete","Mexican (AAA)","20","6.0",".313","4.00","11.8 %","70.6 %","17.6 %","0.0 %","33.3 %","64.7 %","17.7 %","17.7 %","8.6 %","46","59","105","sa655773"
"Juan Leon","Mexican (AAA)","34","2.0",".167","1.33","0.0 %","57.1 %","42.9 %","0.0 %","33.3 %","71.4 %","0.0 %","28.6 %","13.3 %","4","11","15","sa721696"
"Chase Stevens","Diamondbacks (R)","21","33.2",".281","1.23","16.9 %","45.8 %","37.3 %","9.1 %","31.8 %","39.1 %","28.1 %","32.8 %","34.3 %","100","259","359","sa658817"
"Jose Luis Reyes","Mexican (AAA)","22","4.1",".412","0.60","20.0 %","30.0 %","50.0 %","30.0 %","30.0 %","65.0 %","20.0 %","15.0 %","5.4 %","36","57","93","sa542111"
"Julio Mateo","Mexican (AAA)","34","6.1",".320","0.86","7.1 %","42.9 %","50.0 %","28.6 %","28.6 %","57.1 %","10.7 %","32.1 %","5.1 %","37","80","117","1087"
"Chris George","Orioles (AAA)","32","8.0",".379","2.00","32.3 %","45.2 %","22.6 %","42.9 %","28.6 %","32.3 %","29.0 %","38.7 %","6.2 %","59","103","162","601"
"Bud Norris","Astros (AAA)","27","5.0",".111","0.29","18.2 %","18.2 %","63.6 %","28.6 %","28.6 %","27.3 %","18.2 %","54.6 %","8.0 %","28","47","75","9492"
"Eric Cantrell","Royals (A)","22","4.1",".444","0.86","31.6 %","31.6 %","36.8 %","0.0 %","28.6 %","40.0 %","25.0 %","35.0 %","15.7 %","19","32","51","sa526010"
