"Name","Team","Age","IP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Joxelier Garcia","White Sox (R)","19","0.1","27.00","0.00","1.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.91","2.91","-2.91","sa657800"
"Joe Bonfe","Mets (AA)","25","0.1","27.00","0.00","1.00","0.00","50.0 %","0.0 %","50.0 %",".500","3.00","1.000","100.0 %","0.00","-2.68","2.68","-2.68","sa502086"
"Jim Henderson","Brewers (A)","30","1.0","27.00","0.00","3.00","0.00","75.0 %","0.0 %","75.0 %",".250","1.00","1.000","100.0 %","0.00","-2.66","2.66","-2.66","6653"
"Wade Davis","Royals (A+)","27","2.0","22.50","0.00","5.00","0.00","71.4 %","0.0 %","71.4 %",".143","0.50",".500","100.0 %","0.00","-1.65","1.65","-1.65","7441"
"Raphachel Colatosti","Brewers (R)","19","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.91","0.91","-0.62","sa596942"
"Andruth Ramirez","Nationals (A-)","24","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.90","0.90","-0.90","sa507021"
"Sean Marshall","Reds (AAA)","30","2.0","18.00","0.00","4.00","0.00","50.0 %","0.0 %","50.0 %",".250","1.00",".500","100.0 %","0.00","-0.80","0.80","-0.80","5905"
"Zelous Wheeler","Orioles (AAA)","26","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.80","0.80","-0.80","8822"
"Darren Oliver","Blue Jays (A+)","42","2.0","18.00","0.00","4.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.76","0.76","-0.76","206"
"Jason Grilli","Pirates (AA)","36","2.0","18.00","0.00","4.00","0.00","44.4 %","0.0 %","44.4 %",".222","1.00",".400","100.0 %","0.00","-0.68","0.68","0.29","521"
"Rodolfo Penalo","Athletics (R)","20","0.2","13.50","0.00","1.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0.00","0.09","-0.09","0.53","sa549228"
"Fautino De Los Santos","Padres (AAA)","27","2.1","15.43","0.00","4.00","0.00","40.0 %","0.0 %","40.0 %",".400","1.71",".667","75.0 %","3.86","0.14","3.72","0.14","5841"
"Jonathan Broxton","Reds (AAA)","29","2.0","13.50","0.00","3.00","0.00","27.3 %","0.0 %","27.3 %",".455","2.50",".625","100.0 %","0.00","0.20","-0.20","1.27","4759"
"Ryan Horstman","Mariners (A-)","20","2.0","13.50","0.00","3.00","0.00","30.0 %","0.0 %","30.0 %",".300","1.50",".429","33.3 %","4.50","0.32","4.18","1.33","sa737780"
"Michael Kohn","Angels (AAA)","27","4.1","14.54","0.00","7.00","0.00","50.0 %","0.0 %","50.0 %",".143","0.46",".286","100.0 %","0.00","0.34","-0.34","1.62","8505"
"Felix A. Santana","Tigers (R)","21","2.2","16.87","3.37","5.00","0.00","41.7 %","8.3 %","33.3 %",".273","1.50",".500","75.0 %","3.37","0.47","2.91","0.80","sa601745"
"Luis Gonzalez","Orioles (R)","21","13.1","15.53","2.70","5.75","0.00","41.1 %","7.1 %","33.9 %",".192","1.05",".345","71.4 %","1.35","0.54","0.81","0.76","sa550522"
"Joe Gunkel","- - -","21","21.0","14.14","1.29","11.00","0.00","42.9 %","3.9 %","39.0 %",".110","0.52",".200","66.7 %","1.29","0.54","0.74","0.84","sa738176"
"Felix Carvallo","Rangers (R)","19","30.0","12.30","0.60","20.50","0.00","36.6 %","1.8 %","34.8 %",".200","0.80",".319","87.5 %","0.90","0.56","0.34","0.81","sa657664"
"Edgmer Escalona","Rockies (AAA)","26","1.1","13.50","0.00","2.00","0.00","40.0 %","0.0 %","40.0 %",".200","0.75",".333","100.0 %","0.00","0.57","-0.57","3.07","8574"
"Julio Ramos","Athletics (R)","25","2.0","18.00","4.50","4.00","0.00","50.0 %","12.5 %","37.5 %",".143","1.00",".333","100.0 %","0.00","0.59","-0.59","0.88","sa393047"
"Micah Owings","- - -","30","9.0","15.00","2.00","7.50","0.00","45.5 %","6.1 %","39.4 %",".129","0.67",".250","100.0 %","0.00","0.61","-0.61","1.18","4253"
"Michael Gunter","White Sox (A)","22","7.1","18.41","2.45","7.50","0.00","51.7 %","6.9 %","44.8 %",".192","0.95",".455","62.5 %","3.68","0.62","3.06","0.97","sa693349"
"Carlos Misell","- - -","21","7.2","15.26","1.17","13.00","0.00","48.2 %","3.7 %","44.4 %",".154","0.65",".308","100.0 %","0.00","0.66","-0.66","0.99","sa750535"
"Phil Coke","Tigers (AAA)","30","6.0","13.50","1.50","9.00","0.00","37.5 %","4.2 %","33.3 %",".217","1.00",".357","100.0 %","0.00","0.70","-0.70","1.24","5535"
"Raudel Lazo","Marlins (AA)","24","7.0","11.57","1.29","9.00","0.00","36.0 %","4.0 %","32.0 %",".125","0.57",".200","100.0 %","0.00","0.77","-0.77","1.75","14077"
"David Herbek","White Sox (AA)","24","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","0.91","-0.91","1.90","sa526193"
"Yosue Castellano","Reds (R)","21","26.2","13.84","2.36","5.86","0.00","36.3 %","6.2 %","30.1 %",".238","1.20",".391","69.7 %","2.02","0.92","1.11","1.19","sa546495"
"Tommy Milone","Athletics (AAA)","26","10.1","13.06","0.87","15.00","0.00","31.9 %","2.1 %","29.8 %",".348","1.65",".516","70.6 %","1.74","0.96","0.79","2.25","7608"
"Josh Easley","- - -","22","30.2","12.62","1.47","8.60","0.00","38.1 %","4.4 %","33.6 %",".131","0.62",".219","70.0 %","0.59","0.96","-0.37","1.28","sa738258"
"Danny Barnes","- - -","23","3.0","15.00","3.00","5.00","0.00","33.3 %","6.7 %","26.7 %",".357","2.00",".556","16.7 %","15.00","0.98","14.02","1.21","11388"
"Jimmie Sherfy","- - -","21","17.1","15.06","2.08","7.25","0.00","40.3 %","5.6 %","34.7 %",".197","0.98",".351","89.5 %","1.04","1.02","0.02","1.63","15118"
"Joakim Soria","- - -","29","7.0","10.29","0.00","8.00","0.00","36.4 %","0.0 %","36.4 %",".046","0.14",".071","100.0 %","0.00","1.05","-1.05","2.13","6941"
"Scott Atchison","- - -","37","7.0","10.29","0.00","8.00","0.00","32.0 %","0.0 %","32.0 %",".200","0.71",".294","80.0 %","1.29","1.07","0.22","1.54","2642"
"Ryan Gorton","Athletics (A-)","23","1.0","9.00","0.00","1.00","0.00","20.0 %","0.0 %","20.0 %",".800","4.00","1.000","75.0 %","9.00","1.10","7.90","1.10","sa579845"
"Luis Castillo","Giants (R)","20","28.1","10.80","0.95","11.33","0.00","32.1 %","2.8 %","29.3 %",".147","0.64",".221","73.7 %","0.64","1.12","-0.48","1.39","15689"
"Neal Cotts","Rangers (AAA)","33","23.0","16.43","1.96","8.40","0.39","51.2 %","6.1 %","45.1 %",".169","0.78",".353","90.4 %","0.78","1.13","-0.35","1.29","1797"
"Eric Ruth","- - -","22","29.1","13.50","1.84","7.33","0.00","37.9 %","5.2 %","32.8 %",".184","0.89",".308","85.2 %","0.61","1.14","-0.52","1.62","sa621786"
