"Name","Team","Age","IP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Julio Santana","Phillies (AA)","32","2.0","13.50","0.00","3.00","0.00","33.3 %","0.0 %","33.3 %",".111","0.50",".167","0.0 %","0.00","0.11","-0.11","","496"
"Scott Schade","Nationals (A)","24","0.2","13.50","0.00","1.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0.00","0.27","-0.27","","sa226178"
"Trever Miller","Astros (AAA)","33","2.0","13.50","0.00","3.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0.00","0.32","-0.32","","1672"
"Rich Harden","Athletics (AAA)","24","2.0","13.50","0.00","3.00","0.00","37.5 %","0.0 %","37.5 %",".125","0.50",".200","100.0 %","0.00","0.32","-0.32","","1772"
"Eric Gagne","Dodgers (AAA)","30","2.0","13.50","0.00","3.00","0.00","42.9 %","0.0 %","42.9 %",".143","0.50",".250","100.0 %","0.00","0.32","-0.32","","650"
"Chris Barnwell","Brewers (AAA)","27","0.2","13.50","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".333","1.50",".500","100.0 %","0.00","0.32","-0.32","","3499"
"Geury Ramirez","Marlins (R)","18","2.0","18.00","4.50","4.00","0.00","57.1 %","14.3 %","42.9 %",".167","1.00",".500","100.0 %","0.00","0.57","-0.57","","sa452249"
"Kendy Batista","Orioles/White Sox (R)","24","15.1","15.85","2.35","6.75","0.00","45.0 %","6.7 %","38.3 %",".182","0.91",".357","73.3 %","2.35","0.59","1.75","","sa353861"
"Alexi Ogando","Rangers (R)","22","34.2","12.46","1.04","12.00","0.00","37.5 %","3.1 %","34.4 %",".194","0.81",".316","89.3 %","0.52","0.65","-0.13","","10261"
"Kris Medlen","Braves (R)","20","22.0","14.73","0.82","18.00","0.00","43.4 %","2.4 %","41.0 %",".175","0.73",".318","88.2 %","0.41","0.67","-0.26","","9417"
"Hector Noesi","Yankees (R)","19","7.0","14.14","1.29","11.00","0.00","40.7 %","3.7 %","37.0 %",".192","0.86",".333","83.3 %","1.29","0.69","0.60","","3292"
"Fernando Nieve","Astros (AAA)","23","5.1","11.81","0.00","7.00","0.00","36.8 %","0.0 %","36.8 %",".105","0.38",".167","100.0 %","0.00","0.69","-0.69","","2173"
"Henry Owens","Mets (AA)","27","40.0","16.65","2.25","7.40","0.23","48.1 %","6.5 %","41.6 %",".135","0.73",".273","75.2 %","1.58","0.71","0.86","","3520"
"Jeremy Accardo","Giants (AAA)","24","5.0","14.40","1.80","8.00","0.00","40.0 %","5.0 %","35.0 %",".263","1.20",".455","83.3 %","1.80","0.72","1.08","","6428"
"Victor Duarte","Mariners (R)","19","7.2","14.09","2.35","6.00","0.00","42.9 %","7.1 %","35.7 %",".154","0.78",".286","100.0 %","0.00","0.79","-0.79","","sa3000175"
"Andrew Miller","Tigers (A+)","21","5.0","16.20","1.80","9.00","0.00","47.4 %","5.3 %","42.1 %",".118","0.60",".250","100.0 %","0.00","0.81","-0.81","","6785"
"Brandon Medders","Diamondbacks (AAA)","26","6.0","13.50","1.50","9.00","0.00","40.9 %","4.6 %","36.4 %",".191","0.83",".333","60.0 %","1.50","0.82","0.68","","8604"
"Edwar Ramirez","Yankees (A+)","25","30.2","13.79","1.76","7.83","0.00","42.0 %","5.4 %","36.6 %",".133","0.65",".241","81.0 %","1.17","0.83","0.34","","4830"
"Jeff Manship","- - -","21","14.1","13.81","1.88","7.33","0.00","38.6 %","5.3 %","33.3 %",".185","0.91",".313","76.9 %","1.26","0.84","0.41","","6865"
"Alejandro Mendez","Tigers (R)","20","27.0","14.00","2.00","7.00","0.00","36.5 %","5.2 %","31.3 %",".196","1.00",".323","48.3 %","2.67","0.85","1.81","","sa3000067"
"Clayton Kershaw","Dodgers (R)","18","37.0","13.14","1.22","10.80","0.00","37.5 %","3.5 %","34.0 %",".201","0.89",".329","69.7 %","1.95","0.89","1.06","","2036"
"Doug Brocail","Padres (A+)","39","6.1","17.05","2.84","6.00","0.00","48.0 %","8.0 %","40.0 %",".130","0.79",".273","80.0 %","0.00","0.90","-0.90","","551"
"Glenn Gibson","Nationals (A-)","18","6.0","10.50","0.00","7.00","0.00","35.0 %","0.0 %","35.0 %",".100","0.33",".154","100.0 %","0.00","0.95","-0.95","","sa326710"
"Wally Rosa","White Sox (AA)","24","2.0","9.00","0.00","2.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","0.95","-0.95","","sa199286"
"Luis Marte","Tigers (R)","19","65.0","12.46","2.08","6.00","0.00","36.3 %","6.1 %","30.2 %",".176","0.86",".287","78.6 %","1.38","1.00","0.39","","8651"
"Heath Bell","Mets (AAA)","28","35.0","14.40","2.06","7.00","0.26","39.4 %","5.6 %","33.8 %",".203","1.00",".342","83.8 %","1.29","1.01","0.28","","2080"
"Rolando Lozano","Diamondbacks (R)","18","10.1","10.45","0.87","12.00","0.00","27.9 %","2.3 %","25.6 %",".286","1.26",".400","69.2 %","2.61","1.04","1.57","","sa3000635"
"Tim Laker","Indians (AAA)","36","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.07","-1.07","","1681"
"Joe Hietpas","Mets (AAA)","27","1.0","9.00","0.00","1.00","0.00","20.0 %","0.0 %","20.0 %",".400","2.00",".500","100.0 %","0.00","1.07","-1.07","","3479"
"Andy Abad","Reds (AAA)","33","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.07","-1.07","","506"
"Al Reyes","Devil Rays (AAA)","36","3.0","9.00","0.00","3.00","0.00","27.3 %","0.0 %","27.3 %",".273","1.00",".375","66.7 %","3.00","1.07","1.93","","1005"
"Byron Embry","Mariners (AA)","29","11.2","15.43","3.09","5.00","0.00","41.7 %","8.3 %","33.3 %",".186","1.03",".348","76.9 %","2.31","1.11","1.21","","sa209742"
"Atahualpa Severino","Nationals (R)","21","45.1","15.68","3.38","4.65","0.00","45.9 %","9.9 %","36.1 %",".121","0.77",".257","87.8 %","0.99","1.11","-0.12","","5332"
"Jonathan Broxton","Dodgers (AAA)","22","11.1","14.29","2.38","6.00","0.00","41.9 %","7.0 %","34.9 %",".154","0.79",".286","100.0 %","0.00","1.20","-1.20","","4759"
"Willy Lebron","Reds (R)","27","8.2","14.54","2.08","7.00","0.00","36.8 %","5.3 %","31.6 %",".177","0.92",".300","70.0 %","3.12","1.23","1.89","","sa288450"
"Jonathan Bautista","Giants (R)","21","10.1","9.58","0.87","11.00","0.00","23.9 %","2.2 %","21.7 %",".267","1.26",".353","46.2 %","3.48","1.24","2.25","","sa3000511"
"Chris Britton","Orioles (AA)","23","16.0","13.50","3.38","4.00","0.00","35.8 %","9.0 %","26.9 %",".230","1.25",".378","75.0 %","2.81","1.24","1.57","","3600"
"Tony Piazza","Mets (A)","26","1.0","9.00","0.00","1.00","0.00","20.0 %","0.0 %","20.0 %",".400","2.00",".500","100.0 %","0.00","1.27","-1.27","","sa226132"
"Tony Festa","Brewers (A)","25","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.27","-1.27","","sa253760"
"Michael Thompson","Astros (A)","22","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.27","-1.27","","sa290622"
"Willian Sandoval","Cardinals (A-)","20","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.28","-1.28","","sa328611"
"Yunior Novoa","- - -","21","70.0","13.24","2.06","6.44","0.13","38.2 %","5.9 %","32.2 %",".191","0.91",".320","80.8 %","1.54","1.29","0.26","","sa244143"
"Omar Beltre","Rangers (R)","24","66.0","10.91","0.95","11.43","0.14","31.5 %","2.8 %","28.7 %",".172","0.74",".252","63.2 %","1.23","1.30","-0.07","","10259"
"Jose Santos","Angels (R)","18","13.0","13.15","2.08","6.33","0.00","38.8 %","6.1 %","32.7 %",".159","0.77",".280","50.0 %","4.15","1.31","2.85","","sa3000426"
"David Hicks","Blue Jays (A)","24","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.31","-1.31","","sa253754"
"Robbie Hudson","Mariners (A)","22","2.0","9.00","0.00","2.00","0.00","28.6 %","0.0 %","28.6 %",".143","0.50",".200","100.0 %","0.00","1.31","-1.31","","sa295626"
"Ramon E Ramirez","Rockies (AAA)","24","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.32","-1.32","","7986"
"Matt Belisle","- - -","26","16.1","8.82","0.55","16.00","0.00","26.2 %","1.6 %","24.6 %",".167","0.67",".227","90.9 %","0.00","1.33","-1.33","","1837"
"Jean Herrera","Tigers (R)","20","12.2","12.08","2.13","5.67","0.00","35.4 %","6.3 %","29.2 %",".136","0.71",".222","60.0 %","2.84","1.34","1.50","","sa3000081"
"Erik Walker","Devil Rays (A-)","22","37.2","12.66","1.43","8.83","0.00","37.6 %","4.3 %","33.3 %",".139","0.64",".234","89.7 %","0.48","1.35","-0.87","","sa328091"
"Todd Williams","Orioles (AA)","35","4.0","11.25","2.25","5.00","0.00","29.4 %","5.9 %","23.5 %",".250","1.25",".364","60.0 %","4.50","1.36","3.14","","805"
"Cole Hamels","- - -","22","49.0","12.49","2.20","5.67","0.18","37.0 %","6.5 %","30.4 %",".169","0.84",".272","78.3 %","1.10","1.37","-0.27","","4972"
"Alexander Brito","Athletics (R)","21","15.1","11.15","1.76","6.33","0.00","32.8 %","5.2 %","27.6 %",".204","0.91",".314","86.7 %","1.17","1.38","-0.21","","sa3000270"
"Phil Stockman","- - -","26","43.2","12.16","3.09","3.93","0.00","37.6 %","9.6 %","28.0 %",".134","0.78",".229","82.4 %","0.62","1.39","-0.77","","2206"
"Matt Clement","Red Sox (R)","31","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.40","-1.40","","271"
"Seth McClung","Devil Rays (AAA)","25","16.1","14.33","1.10","13.00","0.55","37.1 %","2.9 %","34.3 %",".242","1.10",".385","80.7 %","2.20","1.41","0.79","","1657"
"Jose Pinales","Nationals (R)","20","28.1","12.71","3.49","3.64","0.00","35.7 %","9.8 %","25.9 %",".139","0.88",".230","80.0 %","1.27","1.42","-0.15","","sa393233"
"Tim Byrdak","- - -","32","6.1","14.21","4.26","3.33","0.00","31.3 %","9.4 %","21.9 %",".345","2.05",".526","69.2 %","5.68","1.42","4.27","","1995"
"Neil Wagner","Indians (A-)","22","32.1","13.92","2.51","5.56","0.28","41.0 %","7.4 %","33.6 %",".142","0.77",".242","84.8 %","1.39","1.43","-0.04","","8162"
"Angel Castro","Tigers (R)","23","58.1","10.95","1.54","7.10","0.15","32.9 %","4.6 %","28.2 %",".166","0.75",".248","78.0 %","1.39","1.43","-0.04","","3243"
"Michael Wuertz","Cubs (AAA)","27","41.2","14.47","1.94","7.44","0.43","39.9 %","5.4 %","34.5 %",".190","0.94",".315","80.7 %","1.73","1.44","0.28","","1856"
"Bartolome Fortunato","Mets (AAA)","31","16.2","11.34","2.16","5.25","0.00","31.3 %","6.0 %","25.4 %",".194","0.96",".293","64.7 %","2.70","1.45","1.25","","2213"
"Will Harris","Rockies (A-)","21","31.0","12.19","2.61","4.67","0.00","35.3 %","7.6 %","27.7 %",".182","0.94",".294","79.3 %","1.16","1.45","-0.29","","3192"
"Austin Bibens-Dirkx","- - -","21","38.1","11.50","2.11","5.44","0.00","32.5 %","6.0 %","26.5 %",".190","0.94",".290","80.6 %","1.64","1.45","0.19","","9559"
"Tom Gordon","Phillies (A+)","38","4.0","11.25","2.25","5.00","0.00","38.5 %","7.7 %","30.8 %",".083","0.50",".143","100.0 %","0.00","1.46","-1.46","","282"
"Fautino De Los Santos","White Sox (R)","20","48.1","11.36","1.86","6.10","0.00","29.6 %","4.9 %","24.8 %",".230","1.12",".339","66.1 %","1.86","1.48","0.38","","5841"
"Humberto Iriarte","Pirates (R)","18","6.2","13.50","4.05","3.33","0.00","35.7 %","10.7 %","25.0 %",".160","1.05",".267","71.4 %","1.35","1.49","-0.14","","sa3000629"
"Kerry Wood","- - -","29","10.0","13.50","2.70","5.00","0.00","37.5 %","7.5 %","30.0 %",".167","0.90",".286","90.0 %","0.90","1.51","-0.61","","304"
"Hugo Cachutt","Tigers/Marlins (R)","18","8.2","10.38","1.04","10.00","0.00","27.0 %","2.7 %","24.3 %",".200","0.92",".280","55.6 %","1.04","1.52","-0.48","","sa3000196"
"Clint Sodowsky","- - -","33","6.0","9.00","1.50","6.00","0.00","24.0 %","4.0 %","20.0 %",".250","1.17",".333","57.1 %","3.00","1.53","1.47","","1012262"
"Tony Armas","- - -","28","7.1","13.50","2.45","5.50","0.00","30.6 %","5.6 %","25.0 %",".333","1.77",".500","64.3 %","6.14","1.54","4.60","","761"
"Dan Miceli","Devil Rays (AA)","35","5.0","9.00","1.80","5.00","0.00","27.8 %","5.6 %","22.2 %",".177","0.80",".250","100.0 %","0.00","1.55","-1.55","","1463"
"C.J. Wilson","- - -","25","14.1","14.44","4.40","3.29","0.00","36.5 %","11.1 %","25.4 %",".232","1.40",".394","80.0 %","2.51","1.56","0.96","","3580"
"Cliff Politte","White Sox (AAA)","32","4.2","9.64","1.93","5.00","0.00","25.0 %","5.0 %","20.0 %",".263","1.29",".357","83.3 %","1.93","1.57","0.36","","967"
"Jhonatan Batista","Braves (R)","18","4.2","9.64","1.93","5.00","0.00","27.8 %","5.6 %","22.2 %",".177","0.86",".250","75.0 %","1.93","1.57","0.35","","sa3000244"
"Frank Francisco","- - -","26","18.2","13.50","1.93","7.00","0.48","38.9 %","5.6 %","33.3 %",".191","0.91",".308","89.7 %","1.45","1.60","-0.15","","1933"
"Carlos Guerrero","Cubs (R)","19","12.1","10.95","2.19","5.00","0.00","30.0 %","6.0 %","24.0 %",".152","0.81",".226","63.6 %","0.73","1.62","-0.89","","sa3000236"
"Luis Perez","Blue Jays (R)","21","85.0","11.33","2.44","4.65","0.00","32.5 %","7.0 %","25.5 %",".157","0.82",".245","75.3 %","1.38","1.62","-0.24","","6389"
"Mitch Wylie","Mets (AAA)","29","48.2","9.80","2.03","4.82","0.00","26.1 %","5.4 %","20.7 %",".246","1.19",".341","64.4 %","2.96","1.63","1.33","","sa206487"
"Josh Papelbon","Red Sox (A-)","23","29.0","11.17","1.86","6.00","0.00","29.5 %","4.9 %","24.6 %",".193","0.97",".282","60.0 %","1.86","1.63","0.23","","sa327824"
"Paul Oseguera","Giants (A-)","22","29.0","12.10","2.79","4.33","0.00","32.2 %","7.4 %","24.8 %",".225","1.17",".347","62.9 %","3.72","1.63","2.09","","sa327755"
"Brett Jensen","Tigers (A-)","22","26.2","10.46","1.69","6.20","0.00","30.1 %","4.9 %","25.2 %",".175","0.82",".258","82.6 %","0.67","1.63","-0.96","","sa327784"
"CC Sabathia","Indians (AAA)","25","5.0","9.00","1.80","5.00","0.00","22.7 %","4.6 %","18.2 %",".286","1.40",".375","71.4 %","1.80","1.67","0.13","","404"
"Chad Orvella","Devil Rays (AAA)","25","38.2","12.80","2.09","6.11","0.47","35.7 %","5.8 %","29.9 %",".215","1.03",".333","78.5 %","1.86","1.67","0.19","","5952"
"Justin Masterson","Red Sox (A-)","21","31.2","9.38","0.57","16.50","0.00","27.5 %","1.7 %","25.8 %",".174","0.69",".244","84.0 %","0.85","1.67","-0.82","","2038"
"Jonathan Ortiz","- - -","20","51.0","10.06","1.24","8.14","0.18","31.0 %","3.8 %","27.2 %",".138","0.61",".198","89.0 %","0.71","1.68","-0.98","","sa381976"
"Kyler Newby","Diamondbacks (A)","21","44.0","13.09","3.89","3.37","0.00","37.9 %","11.2 %","26.6 %",".147","0.93",".256","75.6 %","2.05","1.69","0.35","","sa288761"
"James Shull","Athletics (A+)","22","11.1","12.71","1.59","8.00","0.00","34.8 %","4.4 %","30.4 %",".209","0.97",".333","75.0 %","2.38","1.71","0.67","","sa291313"
"Edward Campusano","- - -","23","55.1","13.17","2.77","4.76","0.33","36.2 %","7.6 %","28.6 %",".185","0.99",".295","84.9 %","1.46","1.71","-0.25","","sa244384"
"Taylor Tankersley","Marlins (AA)","23","28.1","12.71","4.45","2.86","0.00","36.4 %","12.7 %","23.6 %",".116","0.88",".200","84.6 %","0.95","1.72","-0.76","","8249"
"R.J. Swindle","- - -","22","46.1","8.94","0.97","9.20","0.00","25.4 %","2.8 %","22.7 %",".207","0.88",".281","88.4 %","0.58","1.73","-1.14","","539"
"Eduardo Perez","Dodgers (R)","18","12.2","11.37","2.13","5.33","0.00","29.6 %","5.6 %","24.1 %",".245","1.18",".364","47.1 %","3.55","1.73","1.82","","sa479646"
"Juan Bautista","Nationals (R)","19","59.2","10.56","2.41","4.38","0.00","31.4 %","7.2 %","24.2 %",".168","0.84",".256","87.0 %","0.75","1.73","-0.98","","sa3000522"
"Tyler Yates","Braves (AAA)","28","8.1","10.80","3.24","3.33","0.00","31.3 %","9.4 %","21.9 %",".207","1.08",".316","77.8 %","2.16","1.75","0.41","","1527"
"Ramon Geronimo","Reds (R)","22","31.2","10.23","2.56","4.00","0.00","29.5 %","7.4 %","22.1 %",".152","0.82",".224","88.9 %","0.28","1.75","-1.46","","sa381546"
"Richard Acosta","Pirates (R)","22","71.0","10.14","1.14","8.89","0.38","28.8 %","3.2 %","25.5 %",".219","0.96",".301","89.3 %","1.27","1.75","-0.48","","sa3000073"
"David Cash","Cubs (AA)","26","5.0","10.80","3.60","3.00","0.00","33.3 %","11.1 %","22.2 %",".063","0.60",".100","100.0 %","0.00","1.75","-1.75","","sa201174"
"Santo Mieses","Tigers (R)","21","59.0","13.73","4.42","3.10","0.00","37.0 %","11.9 %","25.1 %",".163","1.07",".286","70.6 %","2.90","1.75","1.15","","sa392468"
"Greg Aquino","Diamondbacks (AAA)","28","11.2","11.57","3.09","3.75","0.00","34.9 %","9.3 %","25.6 %",".154","0.86",".250","100.0 %","0.00","1.77","-1.77","","1899"
"Mike Zagurski","Phillies (A)","23","56.1","11.98","3.51","3.41","0.00","32.5 %","9.5 %","22.9 %",".220","1.21",".343","67.7 %","3.51","1.78","1.74","","9683"
"Luther Hackman","- - -","31","15.2","9.19","0.00","16.00","0.57","29.1 %","0.0 %","29.1 %",".164","0.57",".211","100.0 %","0.57","1.79","-1.21","","1155"
"Rich Hill","Cubs (AAA)","26","100.0","12.15","1.89","6.43","0.27","35.5 %","5.5 %","30.0 %",".175","0.83",".273","78.8 %","1.80","1.79","0.01","","4806"
"Joel Pichardo","Cardinals (R)","18","49.0","9.37","2.02","4.64","0.00","25.1 %","5.4 %","19.7 %",".247","1.18",".338","71.7 %","2.39","1.79","0.60","","sa396271"
"Angel Rosario","Angels (R)","20","32.2","11.57","3.03","3.82","0.00","33.3 %","8.7 %","24.6 %",".134","0.80",".214","82.8 %","0.55","1.79","-1.24","","sa393030"
"Brian Moehler","Marlins (R)","34","5.0","7.20","0.00","4.00","0.00","17.4 %","0.0 %","17.4 %",".348","1.60",".421","75.0 %","3.60","1.80","1.80","","480"
"Andrus Sifontes","Mets (R)","17","3.0","6.00","0.00","2.00","0.00","22.2 %","0.0 %","22.2 %",".111","0.33",".143","100.0 %","0.00","1.80","-1.80","","sa3000481"
"Jason Davis","Indians (AAA)","26","16.2","8.10","1.62","5.00","0.00","24.2 %","4.8 %","19.4 %",".136","0.66",".182","81.8 %","0.54","1.81","-1.27","","1598"
"Brett Tomko","Dodgers (AAA)","33","2.0","13.50","4.50","3.00","0.00","33.3 %","11.1 %","22.2 %",".375","2.00",".600","100.0 %","0.00","1.82","-1.82","","1056"
"Bret Prinz","Rockies (AAA)","29","8.2","8.31","1.04","8.00","0.00","23.5 %","2.9 %","20.6 %",".212","0.92",".280","100.0 %","0.00","1.82","-1.82","","1474"
"Doug Slaten","- - -","26","63.0","11.43","3.14","3.64","0.14","32.7 %","9.0 %","23.7 %",".185","1.00",".284","79.9 %","1.43","1.83","-0.40","","3107"
"Hector Santana","Reds (R)","18","19.1","9.78","2.33","4.20","0.00","25.6 %","6.1 %","19.5 %",".211","1.09",".291","68.2 %","1.86","1.83","0.03","","sa456375"
"Alay Soler","- - -","26","64.0","10.69","2.53","4.22","0.14","30.3 %","7.2 %","23.1 %",".189","0.97",".276","72.6 %","2.53","1.83","0.70","","8542"
"Fernando Abad","Astros (R)","20","61.1","9.39","1.03","9.14","0.15","26.2 %","2.9 %","23.4 %",".217","0.93",".295","73.1 %","1.32","1.84","-0.51","","4994"
"Octavio Dotel","- - -","32","13.1","13.50","0.68","20.00","0.68","38.5 %","1.9 %","36.5 %",".204","0.83",".321","94.8 %","1.35","1.84","-0.49","","555"
"Matt Guerrier","Twins (AA)","27","8.2","10.38","3.12","3.33","0.00","32.3 %","9.7 %","22.6 %",".107","0.69",".167","83.3 %","1.04","1.84","-0.80","","2061"
"Francisco Rodriguez","White Sox (R)","21","25.1","8.88","0.71","12.50","0.36","21.6 %","1.7 %","19.8 %",".316","1.50",".398","51.9 %","3.55","1.85","1.70","","sa3000183"
"Sergio Silva","- - -","24","27.2","11.06","2.60","4.25","0.00","30.9 %","7.3 %","23.6 %",".178","0.94",".269","74.1 %","1.95","1.86","0.10","","sa225706"
"Gredlis Francisco","Astros (R)","21","28.0","13.18","4.82","2.73","0.00","38.7 %","14.2 %","24.5 %",".089","0.82",".163","83.3 %","0.64","1.86","-1.22","","sa3000164"
"Darwin Medina","Phillies (R)","19","30.0","12.00","3.00","4.00","0.00","30.5 %","7.6 %","22.9 %",".222","1.20",".338","70.0 %","2.10","1.87","0.23","","sa3000102"
"Vincent Cordova","Mets (AA)","24","9.2","8.38","0.93","9.00","0.00","20.9 %","2.3 %","18.6 %",".293","1.34",".375","64.3 %","4.66","1.87","2.78","","sa226446"
"Edwin Bernabel","Phillies (R)","20","30.0","10.80","2.40","4.50","0.00","28.8 %","6.4 %","22.4 %",".195","1.00",".286","64.7 %","2.70","1.87","0.83","","sa3000549"
"Edgar Osuna","Braves (R)","18","19.2","8.24","0.46","18.00","0.00","25.0 %","1.4 %","23.6 %",".214","0.81",".289","76.5 %","0.92","1.88","-0.96","","sa328973"
"Nicholas Wandless","Reds (R)","22","33.0","10.91","2.45","4.44","0.00","31.0 %","7.0 %","24.0 %",".210","1.03",".317","77.1 %","2.18","1.89","0.30","","sa328180"
"Maximo Nelson","Yankees (R)","24","38.0","9.95","2.84","3.50","0.00","26.9 %","7.7 %","19.2 %",".175","0.97",".248","65.8 %","1.18","1.89","-0.71","","sa3000074"
"Julio Ramos","Athletics (R)","18","38.0","11.84","2.61","4.55","0.24","32.5 %","7.1 %","25.3 %",".221","1.11",".337","73.4 %","2.13","1.89","0.24","","sa393047"
"Miguel Matos","Phillies (R)","18","52.2","9.23","1.37","6.75","0.17","26.6 %","3.9 %","22.7 %",".208","0.91",".285","78.6 %","1.71","1.90","-0.19","","sa393246"
"Jordan Craft","- - -","21","15.2","9.77","2.30","4.25","0.00","27.0 %","6.4 %","20.6 %",".220","1.09",".310","70.6 %","1.72","1.90","-0.18","","sa327759"
"Carlos Gonzalez","Cardinals (R)","17","31.2","11.65","3.69","3.15","0.00","30.8 %","9.8 %","21.1 %",".229","1.26",".351","64.3 %","3.41","1.91","1.50","","sa396265"
"Scott Moore","- - -","22","21.0","12.86","2.14","6.00","0.43","34.9 %","5.8 %","29.1 %",".188","0.95",".286","81.6 %","1.29","1.91","-0.62","","sa328132"
"Fabio Castillo","- - -","17","29.0","12.72","4.34","2.93","0.00","33.1 %","11.3 %","21.8 %",".202","1.24",".324","64.9 %","3.10","1.91","1.19","","2826"
"Jon Meloan","- - -","21","52.0","15.75","2.77","5.69","0.87","46.2 %","8.1 %","38.1 %",".150","0.83",".262","83.8 %","1.90","1.91","-0.01","","3355"
"Scott Cassidy","Padres (AAA)","30","20.0","10.35","2.70","3.83","0.00","26.7 %","7.0 %","19.8 %",".263","1.35",".368","77.8 %","2.70","1.92","0.78","","1293"
"Felix Bautista","Mariners (R)","18","26.0","9.35","2.77","3.38","0.00","25.5 %","7.6 %","17.9 %",".225","1.15",".310","73.3 %","2.77","1.92","0.85","","sa3000046"
"Tony Sipp","Indians (AA)","22","60.1","11.93","3.13","3.81","0.30","32.7 %","8.6 %","24.1 %",".196","1.08",".296","67.5 %","3.13","1.94","1.20","","8280"
"Eddy Rodriguez","Orioles (AAA)","24","47.1","10.46","3.42","3.06","0.00","28.2 %","9.2 %","19.0 %",".188","1.08",".273","75.0 %","1.71","1.95","-0.24","","2193"
"Connor Robertson","Athletics (AA)","24","83.2","10.43","2.37","4.41","0.11","29.9 %","6.8 %","23.2 %",".243","1.14",".356","72.2 %","2.80","1.95","0.85","","7705"
"Cesar Ramirez","Nationals (R)","20","5.1","10.13","1.69","6.00","0.00","26.1 %","4.4 %","21.7 %",".238","1.13",".333","57.1 %","5.06","1.95","3.11","","sa3000524"
"Ron Acuna","Brewers (AA)","27","2.0","4.50","0.00","1.00","0.00","14.3 %","0.0 %","14.3 %",".286","1.00",".333","50.0 %","4.50","1.95","2.55","","sa211707"
"Neftali Feliz","Braves (R)","18","29.0","13.03","4.34","3.00","0.00","35.6 %","11.9 %","23.7 %",".192","1.17",".323","61.8 %","4.03","1.95","2.08","","18"
