"Name","Team","Age","IP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Dan Johnson","Athletics (AAA)","26","0.0","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".000","0.00",".000","100.0 %","0.00","","","","2167"
"Zoilo Almonte","Yankees (R)","17","0.0","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".000","0.00",".000","100.0 %","0.00","","","","6732"
"Baltazar Lopez","Angels (A+)","22","0.0","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".000","0.00",".000","100.0 %","0.00","","","","sa244219"
"Albert Laboy","Pirates (R)","19","0.0","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".000","0.00",".000","100.0 %","0.00","","","","sa292362"
"Javier Rumbos","Reds (R)","20","0.1","27.00","0.00","1.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.60","2.60","","sa295219"
"Jose Capellan","Brewers (AA)","25","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-1.05","1.05","","2236"
"Jeffrey Eure","Brewers (AA)","25","1.0","18.00","0.00","2.00","0.00","50.0 %","0.0 %","50.0 %",".250","1.00",".500","100.0 %","0.00","-1.05","1.05","","sa200244"
"Richard Lewis","Cubs (AA)","26","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-1.05","1.05","","sa201061"
"Rick Asadoorian","Reds (AA)","25","4.0","15.75","0.00","7.00","0.00","41.2 %","0.0 %","41.2 %",".235","1.00",".400","100.0 %","0.00","-0.55","0.55","","sa199222"
"Ron Mahay","Rangers (AAA)","35","6.1","15.63","0.00","11.00","0.00","45.8 %","0.0 %","45.8 %",".208","0.79",".385","20.0 %","1.42","-0.16","1.58","","290"
"Juan De Leon","- - -","26","44.1","13.80","0.20","68.00","0.00","45.0 %","0.7 %","44.4 %",".113","0.41",".207","94.4 %","0.00","0.07","-0.07","","sa3000109"
