"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Tyrell Jenkins","Cardinals (R)","17","0","0","0.00","2","2","0","0","0","0","0","3.0","12","2","0","0","0","2","0","0","0","0","2","11378"
"Sammy Solis","Nationals (A)","21","0","0","0.00","2","2","0","0","0","0","0","4.0","14","2","0","0","0","0","0","0","0","0","3","11457"
"A.J. Cole","Nationals (A-)","18","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","1","0","0","0","0","1","11467"
"Robbie Ray","Nationals (A-)","18","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","11486"
"Nick Kingham","Pirates (R)","18","0","0","0.00","2","0","0","0","0","0","0","3.0","11","3","0","0","0","0","0","0","0","0","2","11694"
"Erik Goeddel","Mets (R)","21","0","0","0.00","1","0","0","0","0","0","1","1.0","4","1","0","0","0","0","0","0","1","0","1","11712"
"David Washington","Cardinals (R)","19","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","12110"
"Chan Ho Park","Yankees (AAA)","37","0","0","0.00","1","1","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","1","0","2","1267"
"Chad Durbin","Phillies (A+)","32","1","0","0.00","2","0","0","0","0","0","0","3.0","9","0","0","0","0","0","0","0","0","0","3","1442"
"Cliff Lee","Mariners (AAA)","31","0","0","0.00","1","1","0","0","0","0","0","6.0","20","3","0","0","0","0","0","0","0","0","4","1636"
"Russ Springer","Reds (AAA)","41","0","0","0.00","7","0","0","0","0","0","3","6.1","22","2","0","0","0","2","0","0","0","0","5","1652"
"Anderson Machado","Brewers (AA)","29","0","0","0.00","5","0","0","0","0","0","0","4.1","20","2","0","0","0","2","0","1","0","1","2","1853"
"Michael Wuertz","- - -","31","0","0","0.00","6","5","0","0","0","0","1","7.2","33","7","0","0","0","3","0","1","0","0","6","1856"
"Mike Adams","Padres (AA)","31","0","0","0.00","1","0","0","0","0","0","1","1.0","3","0","0","0","0","0","0","0","0","0","1","1937"
"Joel Hanrahan","Pirates (A+)","28","0","0","0.00","2","0","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","0","3","2186"
"Angel Chavez","Rays (AAA)","28","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","2224"
"Roman Colon","Royals (AAA)","30","0","0","0.00","2","0","0","0","0","0","1","2.0","8","1","1","0","0","1","0","0","1","1","1","2242"
"Todd Coffey","Brewers (AAA)","29","0","0","0.00","1","0","0","0","0","0","1","1.0","3","0","0","0","0","0","0","0","0","0","1","2467"
"Santiago Casilla","Giants (AAA)","29","0","0","0.00","4","0","0","0","2","0","1","4.0","17","2","0","0","0","2","0","1","0","0","7","2873"
"Luis Ordaz","Nationals (AAA)","34","0","0","0.00","1","0","0","0","0","0","0","1.0","6","1","0","0","0","0","0","2","0","0","1","298"
"Mark Prior","Rangers (AAA)","29","0","0","0.00","1","0","0","0","0","0","0","1.0","6","2","0","0","0","1","0","0","0","0","2","301"
"Brian Esposito","Astros (AAA)","31","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","3085"
"Doug Slaten","Nationals (AAA)","30","1","0","0.00","11","0","0","0","0","0","4","17.0","61","12","0","0","0","1","0","0","0","0","17","3107"
"Jesus Guzman","Giants (AAA)","26","0","0","0.00","1","0","0","0","0","0","0","1.0","5","0","0","0","0","2","0","0","0","0","0","3118"
"Manny Delcarmen","Red Sox (AA)","28","0","0","0.00","1","1","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","3180"
"Pedro Lopez","Nationals (AAA)","26","0","0","0.00","1","0","0","0","0","0","0","0.1","2","0","0","0","0","1","0","0","0","0","0","3207"
"Chris Hatcher","Marlins (AA)","25","1","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","3299"
"Jeff Fulchino","Astros (AAA)","30","0","0","0.00","4","0","0","0","0","0","0","4.0","15","3","0","0","0","1","0","0","0","0","2","3532"
"Felipe Paulino","Astros (AA)","26","0","0","0.00","1","1","0","0","0","0","0","4.0","14","2","0","0","0","1","0","0","0","0","3","3777"
"Jose Ascanio","- - -","25","0","0","0.00","2","2","0","0","0","0","0","3.0","12","2","0","0","0","1","0","0","0","0","7","3951"
"Christian Garcia","Yankees (AA)","24","1","0","0.00","1","1","0","0","0","0","0","5.2","20","2","0","0","0","1","0","1","0","0","3","4067"
"David Hernandez","Orioles (AA)","25","0","0","0.00","2","0","0","0","0","0","0","2.0","7","1","0","0","0","0","0","0","0","0","3","4259"
"Brian Fuentes","Angels (A+)","34","0","0","0.00","1","1","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","429"
"Erik Kratz","Pirates (AAA)","30","0","0","0.00","1","0","0","0","1","0","0","1.0","4","0","0","0","0","0","0","0","0","0","0","4403"
"Dustin Nippert","- - -","29","0","0","0.00","3","3","0","0","0","0","0","6.1","21","2","0","0","0","1","0","0","0","0","10","4426"
"Clay Hensley","Marlins (A+)","30","0","0","0.00","2","0","0","0","0","0","1","2.2","10","1","0","0","0","1","0","0","0","0","2","4593"
"Matt Lindstrom","Astros (AA)","30","0","0","0.00","1","1","0","0","0","0","0","1.0","4","0","0","0","0","0","0","1","1","0","1","4604"
"John Maine","- - -","29","0","0","0.00","2","2","0","0","0","0","0","8.1","33","2","1","0","0","5","0","0","0","0","9","4773"
"Brian Moehler","Astros (AAA)","38","0","0","0.00","1","1","0","0","0","0","0","3.0","11","1","0","0","0","0","0","0","0","0","1","480"
"Val Majewski","Athletics (AA)","29","0","0","0.00","1","0","0","0","1","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","4851"
"Kevin Richardson","Rangers (AAA)","29","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","4852"
"Jeff Weaver","Dodgers (A+)","33","0","0","0.00","1","1","0","0","0","0","0","3.0","12","2","2","0","0","1","0","0","0","0","3","503"
"Esmerling Vasquez","Diamondbacks (AAA)","26","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","5280"
"Sean White","Mariners (AAA)","29","1","0","0.00","10","0","0","0","0","2","0","13.0","54","7","1","0","0","8","0","2","1","1","10","5564"
"Eric O'Flaherty","Braves (AAA)","25","0","0","0.00","3","0","0","0","0","0","2","4.0","14","1","0","0","0","1","0","0","0","0","5","5746"
"Jeremy Affeldt","Giants (A+)","31","0","0","0.00","2","2","0","0","0","0","0","3.0","12","2","0","0","0","1","0","0","1","0","4","583"
"Takashi Saito","Braves (AAA)","40","0","0","0.00","1","1","0","0","0","0","0","1.0","3","1","0","0","0","0","0","0","0","0","1","6021"
"Brian Buscher","Indians (AAA)","29","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","6234"
"Luke Montz","Mets (AA)","26","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","6601"
"Hung-Chih Kuo","Dodgers (A+)","28","0","0","0.00","2","1","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","0","3","7016"
"Jake Elmore","Diamondbacks (AA)","23","1","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","7290"
"Ross Ohlendorf","Pirates (AA)","27","0","0","0.00","1","1","0","0","0","0","0","4.0","16","3","0","0","0","1","0","0","0","0","6","8268"
"Bill Bray","- - -","27","0","0","0.00","10","0","0","0","1","0","4","10.1","38","3","0","0","0","3","0","0","0","0","16","8538"
"Ryan Perry","Tigers (AAA)","23","0","0","0.00","3","0","0","0","0","0","0","3.2","17","1","1","0","0","4","0","0","0","0","4","8799"
"Ali Solis","Padres (AA)","22","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","1","8848"
"Timo Perez","Dodgers (AAA)","35","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","891"
"Koji Uehara","- - -","35","0","0","0.00","4","2","0","0","0","0","0","4.0","15","3","0","0","0","1","0","0","0","0","2","9227"
"Joe Beimel","Rockies (AAA)","33","0","0","0.00","2","0","0","0","0","0","1","2.2","10","2","0","0","0","0","0","0","0","0","2","979"
"Johnny Raburn","Brewers (AAA)","31","0","0","0.00","2","0","0","0","0","0","0","3.0","13","1","0","0","0","3","0","0","0","0","2","sa198964"
"Jared Price","Athletics (AAA)","28","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","1","sa199134"
