"Name","Team","Age","IP","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Edwin Garcia","Rangers (A+)","22","1.0",".000","0.25","0.0 %","20.0 %","80.0 %","25.0 %","50.0 %","60.0 %","40.0 %","0.0 %","0.0 %","2","7","9","sa499640"
"Jose Azor","Athletics (R)","24","2.2",".444","2.50","22.2 %","55.6 %","22.2 %","50.0 %","50.0 %","60.0 %","10.0 %","30.0 %","6.3 %","34","14","48","sa506087"
"Wander Beras","Indians (R)","24","4.0",".333","3.50","10.0 %","70.0 %","20.0 %","0.0 %","50.0 %","70.0 %","20.0 %","10.0 %","32.4 %","6","28","34","sa506966"
"Esteban Gomez","Mexican (AAA)","25","1.0",".000","0.00","0.0 %","0.0 %","100.0 %","25.0 %","50.0 %","50.0 %","25.0 %","25.0 %","10.0 %","5","15","20","sa508714"
"Jeremy Rodriguez","Padres (A+)","23","0.1",".000","0.00","0.0 %","0.0 %","100.0 %","0.0 %","50.0 %","50.0 %","50.0 %","0.0 %","0.0 %","2","2","4","sa579554"
"Robbie Buller","Diamondbacks (R)","23","11.1",".250","4.00","31.0 %","55.2 %","13.8 %","75.0 %","50.0 %","70.0 %","20.0 %","10.0 %","36.1 %","18","65","83","sa659014"
"Alan Abreu","Astros (R)","23","2.0",".200","1.50","0.0 %","60.0 %","40.0 %","0.0 %","50.0 %","50.0 %","16.7 %","33.3 %","15.8 %","3","16","19","sa659200"
"Francisco Rodriguez","Indians (R)","23","1.0",".000","0.50","25.0 %","25.0 %","50.0 %","0.0 %","50.0 %","25.0 %","25.0 %","50.0 %","0.0 %","0","5","5","sa742331"
"Jensen Lewis","Cubs (AAA)","29","3.2",".353","0.78","15.8 %","36.8 %","47.4 %","22.2 %","44.4 %","47.6 %","33.3 %","19.1 %","5.9 %","33","69","102","3384"
"Jim Hoey","Brewers (AAA)","30","3.1",".643","1.00","17.6 %","41.2 %","41.2 %","0.0 %","42.9 %","35.3 %","11.8 %","52.9 %","9.0 %","34","44","78","6007"
"Andrew Kown","Giants (AAA)","30","6.2",".379","1.50","35.5 %","38.7 %","25.8 %","12.5 %","37.5 %","37.5 %","31.3 %","31.3 %","7.0 %","56","86","142","sa254314"
"Edgar Osuna","Mexican (AAA)","23","7.2",".364","1.50","20.0 %","48.0 %","32.0 %","12.5 %","37.5 %","52.0 %","16.0 %","32.0 %","6.7 %","73","105","178","sa598140"
"Andrew Brackman","White Sox (A+)","27","2.0",".200","0.33","33.3 %","16.7 %","50.0 %","66.7 %","33.3 %","50.0 %","16.7 %","33.3 %","36.8 %","5","14","19","2365"
"Carlos Marmol","- - -","30","5.0",".182","0.67","23.1 %","30.8 %","46.2 %","16.7 %","33.3 %","61.5 %","30.8 %","7.7 %","21.5 %","23","42","65","2790"
"Corey Patterson","Yankees (AAA)","33","1.0",".400","0.33","33.3 %","16.7 %","50.0 %","0.0 %","33.3 %","66.7 %","16.7 %","16.7 %","0.0 %","5","11","16","300"
"Brett Anderson","- - -","25","9.1",".429","3.00","20.0 %","60.0 %","20.0 %","0.0 %","33.3 %","66.7 %","16.7 %","16.7 %","11.5 %","68","97","165","8223"
"Eliezer Zambrano","Giants (A+)","26","1.2",".167","1.00","0.0 %","50.0 %","50.0 %","33.3 %","33.3 %","28.6 %","42.9 %","28.6 %","0.0 %","2","7","9","sa393574"
"Edwin Contreras","Mexican (AAA)","24","16.1",".462","2.83","16.4 %","61.8 %","21.8 %","8.3 %","33.3 %","51.8 %","26.8 %","21.4 %","8.7 %","156","201","357","sa394392"
"Ismael Tijerina","Mets (A-)","23","2.0",".200","0.67","16.7 %","33.3 %","50.0 %","66.7 %","33.3 %","66.7 %","0.0 %","33.3 %","42.9 %","1","13","14","sa504825"
"Drew Heid","Angels (AA)","25","1.0",".250","0.67","0.0 %","40.0 %","60.0 %","0.0 %","33.3 %","60.0 %","0.0 %","40.0 %","0.0 %","9","9","18","sa548464"
"Barrett Kleinknecht","Braves (AA)","24","4.0",".000","1.67","0.0 %","62.5 %","37.5 %","33.3 %","33.3 %","50.0 %","50.0 %","0.0 %","14.6 %","21","34","55","sa549102"
"Michael Bolaski","Angels (R)","21","3.2",".200","2.67","0.0 %","72.7 %","27.3 %","0.0 %","33.3 %","45.5 %","18.2 %","36.4 %","18.2 %","15","18","33","sa549616"
"Carlos Leon","Rays (R)","21","10.0",".371","3.67","20.0 %","62.9 %","17.1 %","16.7 %","33.3 %","48.7 %","24.3 %","27.0 %","32.4 %","10","61","71","sa550718"
"Andy Beltre","Marlins (A)","19","5.0",".400","2.00","18.2 %","54.5 %","27.3 %","33.3 %","33.3 %","45.5 %","9.1 %","45.5 %","53.3 %","9","36","45","sa551335"
"Tyler Ogle","Dodgers (A)","22","1.2",".250","0.67","0.0 %","40.0 %","60.0 %","33.3 %","33.3 %","80.0 %","20.0 %","0.0 %","16.7 %","23","13","36","sa578021"
"Ben Kline","Rays (A+)","24","2.0",".000","0.67","0.0 %","40.0 %","60.0 %","0.0 %","33.3 %","60.0 %","20.0 %","20.0 %","7.7 %","2","11","13","sa658914"
"Kevin Salas","Mexican (AAA)","19","1.2",".000","0.67","0.0 %","40.0 %","60.0 %","33.3 %","33.3 %","50.0 %","16.7 %","33.3 %","0.0 %","14","15","29","sa736484"
"Trevor Cahill","- - -","25","21.2",".264","3.30","20.4 %","61.1 %","18.5 %","0.0 %","30.0 %","63.6 %","12.7 %","23.6 %","12.5 %","123","188","311","6249"
"Zach Grimmett","Phillies (A+)","23","1.2",".500","0.10","15.4 %","7.7 %","76.9 %","0.0 %","30.0 %","38.5 %","30.8 %","30.8 %","5.3 %","39","18","57","sa455527"
"Victor Capellan","Mexican (AAA)","23","4.0",".500","0.80","18.2 %","36.4 %","45.5 %","10.0 %","30.0 %","56.5 %","21.7 %","21.7 %","6.3 %","32","63","95","sa455772"
"Raul Fernandez","Rockies (A)","23","34.1",".415","1.95","27.1 %","48.2 %","24.7 %","23.8 %","28.6 %","44.3 %","28.4 %","27.3 %","27.8 %","109","312","421","sa506313"
"Demetrio Gutierrez","Mexican (AAA)","23","3.2",".429","1.00","12.5 %","43.8 %","43.8 %","14.3 %","28.6 %","43.8 %","31.3 %","25.0 %","16.9 %","20","45","65","sa509262"
"Luis Jimenez","Mexican (AAA)","22","17.2",".349","0.93","19.4 %","38.8 %","41.8 %","14.3 %","28.6 %","45.1 %","26.8 %","28.2 %","6.5 %","76","172","248","sa543876"
"Pedro Zamora","Mexican (AAA)","22","4.2",".308","0.86","13.3 %","40.0 %","46.7 %","14.3 %","28.6 %","33.3 %","40.0 %","26.7 %","11.7 %","26","51","77","sa598332"
"Misael Flores","Mexican (AAA)","20","3.0",".250","0.57","8.3 %","33.3 %","58.3 %","14.3 %","28.6 %","28.6 %","14.3 %","57.1 %","4.7 %","23","41","64","sa729374"
"Ian Clarkin","Yankees (R)","18","5.0",".214","0.86","13.3 %","40.0 %","46.7 %","0.0 %","28.6 %","33.3 %","26.7 %","40.0 %","29.4 %","20","31","51","sa737534"
"Blaine Boyer","Royals (AAA)","31","15.0",".300","1.82","22.5 %","50.0 %","27.5 %","18.2 %","27.3 %","29.3 %","14.6 %","56.1 %","14.2 %","84","170","254","2237"
"Jason Urquidez","Angels (AAA)","30","13.0",".364","1.36","23.5 %","44.1 %","32.4 %","27.3 %","27.3 %","38.9 %","25.0 %","36.1 %","14.4 %","84","146","230","sa294706"
"Colin Kleven","Phillies (A+)","22","11.1",".563","1.45","22.9 %","45.7 %","31.4 %","9.1 %","27.3 %","45.7 %","20.0 %","34.3 %","27.4 %","24","93","117","sa502789"
"Aaron Harang","Mets (AAA)","35","4.0",".500","1.50","23.1 %","46.2 %","30.8 %","50.0 %","25.0 %","23.1 %","23.1 %","53.9 %","15.1 %","24","49","73","1451"
"Joel Hanrahan","Red Sox (AAA)","31","2.0",".167","0.50","0.0 %","33.3 %","66.7 %","0.0 %","25.0 %","57.1 %","14.3 %","28.6 %","0.0 %","14","17","31","2186"
"Josh Outman","Rockies (AAA)","28","10.2",".280","4.00","16.7 %","66.7 %","16.7 %","25.0 %","25.0 %","65.4 %","19.2 %","15.4 %","13.7 %","64","104","168","4004"
"Edward Paredes","Indians (AA)","26","6.2",".500","0.50","25.0 %","25.0 %","50.0 %","0.0 %","25.0 %","37.5 %","18.8 %","43.8 %","16.0 %","38","87","125","4168"
"Ramon Pena","Angels (A+)","31","3.2",".364","0.50","45.5 %","18.2 %","36.4 %","25.0 %","25.0 %","50.0 %","41.7 %","8.3 %","16.7 %","8","28","36","4573"
"Nelson Figueroa","Diamondbacks (AAA)","39","18.1",".343","1.25","17.1 %","46.1 %","36.8 %","10.7 %","25.0 %","44.2 %","22.1 %","33.8 %","4.4 %","122","195","317","683"
"Eric Campbell","Mets (AAA)","26","1.0",".600","0.25","16.7 %","16.7 %","66.7 %","25.0 %","25.0 %","33.3 %","50.0 %","16.7 %","12.5 %","10","14","24","6938"
"Drew Storen","Nationals (AAA)","25","6.1",".400","1.50","33.3 %","40.0 %","26.7 %","0.0 %","25.0 %","62.5 %","12.5 %","25.0 %","10.8 %","26","76","102","6983"
"Sergio Escalona","Astros (AA)","28","15.0",".423","2.25","26.4 %","50.9 %","22.6 %","25.0 %","25.0 %","45.5 %","36.4 %","18.2 %","5.2 %","88","164","252","7122"
"Mark Worrell","Mexican (AAA)","30","2.0",".400","1.00","20.0 %","40.0 %","40.0 %","25.0 %","25.0 %","54.6 %","9.1 %","36.4 %","2.2 %","17","29","46","8045"
"Jose Oyervides","Mexican (AAA)","31","101.1",".343","3.77","18.2 %","64.7 %","17.2 %","7.7 %","25.0 %","39.8 %","21.1 %","39.1 %","11.9 %","595","1065","1660","sa202000"
"Jason Ray","Padres (AAA)","28","6.1",".286","1.13","22.7 %","40.9 %","36.4 %","0.0 %","25.0 %","30.4 %","34.8 %","34.8 %","9.8 %","40","62","102","sa291703"
"Zachary Dotson","Mets (R)","22","3.0",".375","1.00","11.1 %","44.4 %","44.4 %","0.0 %","25.0 %","44.4 %","22.2 %","33.3 %","32.4 %","11","23","34","sa501763"
"Scott Ronnenbergh","Mariners (R)","21","27.1",".329","3.13","17.5 %","62.5 %","20.0 %","25.0 %","25.0 %","57.0 %","16.3 %","26.7 %","29.0 %","82","173","255","sa551354"
"Scott Wingo","Dodgers (A+)","24","1.1",".200","0.00","20.0 %","0.0 %","80.0 %","25.0 %","25.0 %","33.3 %","50.0 %","16.7 %","12.5 %","5","11","16","sa598178"
"Nick Mutz","Padres (A-)","23","7.0",".278","1.25","5.3 %","52.6 %","42.1 %","37.5 %","25.0 %","50.0 %","25.0 %","25.0 %","34.4 %","13","51","64","sa598245"
"Dillon Hazlett","Mariners (A+)","24","1.2",".250","0.25","0.0 %","20.0 %","80.0 %","0.0 %","25.0 %","80.0 %","20.0 %","0.0 %","20.0 %","10","10","20","sa599180"
"Todd Simko","Nationals (A-)","24","6.0",".539","1.75","21.4 %","50.0 %","28.6 %","0.0 %","25.0 %","35.7 %","35.7 %","28.6 %","27.9 %","15","46","61","sa599210"
"Amalio Reyes","Cubs (R)","22","2.0",".333","0.00","0.0 %","0.0 %","100.0 %","25.0 %","25.0 %","0.0 %","75.0 %","25.0 %","57.1 %","1","13","14","sa605679"
"Argenis Silva","Twins (R)","17","2.1",".125","1.25","0.0 %","55.6 %","44.4 %","0.0 %","25.0 %","44.4 %","22.2 %","33.3 %","0.0 %","29","10","39","sa657728"
"Yelmison Peralta","White Sox (R)","18","16.0",".289","1.69","18.9 %","50.9 %","30.2 %","6.3 %","25.0 %","48.2 %","30.4 %","21.4 %","16.4 %","60","86","146","sa657897"
"Jordan Mejia","Rockies (R)","22","8.0",".292","0.25","28.6 %","14.3 %","57.1 %","43.8 %","25.0 %","37.9 %","17.2 %","44.8 %","6.2 %","25","40","65","sa658533"
"Gabriel Bermudez","Phillies (R)","20","7.0",".286","1.75","26.7 %","46.7 %","26.7 %","0.0 %","25.0 %","40.0 %","13.3 %","46.7 %","45.1 %","9","42","51","sa659691"
"Wagner Disla","Cubs (R)","17","5.0",".231","0.50","20.0 %","26.7 %","53.3 %","37.5 %","25.0 %","53.3 %","6.7 %","40.0 %","18.0 %","26","24","50","sa742530"
"Dan Serafini","Mexican (AAA)","39","13.2",".458","1.18","28.8 %","38.5 %","32.7 %","11.8 %","23.5 %","40.4 %","25.0 %","34.6 %","7.9 %","108","146","254","1812"
"Oscar Bustillos","Mexican (AAA)","33","12.2",".319","1.29","17.0 %","46.8 %","36.2 %","29.4 %","23.5 %","52.9 %","23.5 %","23.5 %","6.4 %","116","165","281","sa199941"
"Daniel Moskos","White Sox (AAA)","27","29.0",".312","1.38","25.3 %","43.4 %","31.3 %","26.9 %","23.1 %","51.2 %","23.8 %","25.0 %","12.7 %","199","307","506","2858"
"Tom Wilhelmsen","Mariners (AAA)","29","12.0",".485","1.08","22.9 %","40.0 %","37.1 %","38.5 %","23.1 %","41.7 %","19.4 %","38.9 %","12.4 %","90","144","234","9975"
"Mike Benacka","Mexican (AAA)","30","17.2",".421","1.46","20.0 %","47.5 %","32.5 %","23.1 %","23.1 %","56.1 %","7.3 %","36.6 %","17.4 %","121","183","304","sa462362"
"Mark Pope","Braves (A+)","23","18.1",".389","1.82","13.9 %","55.6 %","30.6 %","9.1 %","22.7 %","50.0 %","27.6 %","22.4 %","14.1 %","77","114","191","sa455411"
"Jorge Ibarra","Mexican (AAA)","25","39.2",".382","2.74","11.5 %","64.9 %","23.7 %","16.1 %","22.6 %","40.9 %","19.0 %","40.2 %","10.6 %","268","443","711","sa509258"
"Barrett Astin","Brewers (R)","21","37.2",".297","2.48","20.3 %","56.8 %","22.9 %","14.8 %","22.2 %","55.7 %","21.8 %","22.6 %","32.2 %","50","220","270","14812"
"Larry Suarez","- - -","23","15.0",".256","1.00","16.3 %","41.9 %","41.9 %","16.7 %","22.2 %","58.1 %","14.0 %","27.9 %","21.1 %","44","89","133","sa393078"
"Joseph O'Gara","Marlins (A+)","25","10.0",".389","2.44","18.4 %","57.9 %","23.7 %","0.0 %","22.2 %","42.1 %","21.1 %","36.8 %","17.5 %","24","56","80","sa502727"
"Juan Serrano","Mexican (AAA)","25","7.2",".231","0.61","3.3 %","36.7 %","60.0 %","38.9 %","22.2 %","66.7 %","23.3 %","10.0 %","2.5 %","55","65","120","sa540691"
"Cody Buckel","- - -","21","10.2",".333","1.33","12.5 %","50.0 %","37.5 %","33.3 %","22.2 %","46.2 %","15.4 %","38.5 %","6.1 %","194","135","329","sa548270"
"David Peterson","Braves (A+)","23","18.2",".255","3.56","14.6 %","66.7 %","18.8 %","11.1 %","22.2 %","44.9 %","24.5 %","30.6 %","25.0 %","55","121","176","sa603091"
"Reinaldo Robles","Tigers (R)","18","7.2",".409","1.11","17.4 %","43.5 %","39.1 %","33.3 %","22.2 %","50.0 %","25.0 %","25.0 %","34.3 %","14","53","67","sa656018"
"Chris Fern","Giants (A-)","21","7.1",".622","2.11","24.3 %","51.4 %","24.3 %","22.2 %","22.2 %","35.9 %","30.8 %","33.3 %","22.9 %","10","60","70","sa658643"
"Alex Balog","Rockies (R)","20","30.0",".396","1.66","24.8 %","46.9 %","28.3 %","21.9 %","21.9 %","52.5 %","19.5 %","28.0 %","21.6 %","53","174","227","sa737622"
"Kenneth Sigman","Mexican (AAA)","23","12.2",".390","0.65","15.6 %","33.3 %","51.1 %","13.0 %","21.7 %","32.6 %","47.8 %","19.6 %","8.3 %","86","142","228","sa550328"
"Teo Higuera","Mexican (AAA)","21","8.1",".276","0.86","16.1 %","38.7 %","45.2 %","14.3 %","21.4 %","43.8 %","25.0 %","31.3 %","7.5 %","46","74","120","sa3001051"
"Josh Slaats","Rockies (A)","24","14.1",".310","1.64","14.0 %","53.5 %","32.6 %","7.1 %","21.4 %","47.7 %","18.2 %","34.1 %","12.6 %","71","111","182","sa526413"
"Russell Brewer","Rockies (A+)","25","20.1",".364","0.71","18.6 %","33.9 %","47.5 %","14.3 %","21.4 %","56.7 %","21.7 %","21.7 %","27.1 %","55","148","203","sa526829"
"Billy Waltrip","Rockies (R)","20","22.0",".365","2.43","22.6 %","54.8 %","22.6 %","21.4 %","21.4 %","54.6 %","13.6 %","31.8 %","24.3 %","102","141","243","sa658182"
"Ozzie Mendez","Mexican (AAA)","25","42.1",".369","1.36","17.8 %","47.4 %","34.8 %","19.1 %","21.3 %","42.9 %","20.7 %","36.4 %","9.8 %","241","444","685","sa509713"
"Juan Nova","- - -","21","15.0",".289","0.95","22.9 %","37.5 %","39.6 %","15.8 %","21.1 %","56.0 %","22.0 %","22.0 %","22.5 %","56","86","142","sa550533"
"Edgar Estudillo","Mexican (AAA)","25","47.2",".307","0.68","16.6 %","33.7 %","49.7 %","19.8 %","21.0 %","50.6 %","22.6 %","26.8 %","8.3 %","263","498","761","sa542114"
"Blake Hauser","- - -","22","28.0",".300","1.54","26.5 %","44.6 %","28.9 %","16.7 %","20.8 %","50.6 %","23.5 %","25.9 %","23.0 %","83","191","274","sa502161"
"Jesus Rodriguez","Rays (R)","17","12.1",".444","0.67","24.5 %","30.2 %","45.3 %","25.0 %","20.8 %","45.8 %","28.8 %","25.4 %","15.1 %","89","90","179","sa735856"
"Rogelio Martinez","Mexican (AAA)","21","38.1",".297","0.78","17.9 %","35.8 %","46.2 %","14.3 %","20.4 %","46.0 %","25.2 %","28.8 %","13.2 %","265","392","657","sa651344"
"Chris Carpenter","- - -","38","6.0",".583","2.40","29.2 %","50.0 %","20.8 %","20.0 %","20.0 %","52.0 %","28.0 %","20.0 %","11.7 %","41","87","128","1292"
"Guilder Rodriguez","Rangers (AA)","29","2.0",".167","0.20","14.3 %","14.3 %","71.4 %","0.0 %","20.0 %","42.9 %","42.9 %","14.3 %","17.2 %","11","18","29","3412"
"David Pauley","Diamondbacks (AAA)","30","5.2",".381","0.60","30.4 %","26.1 %","43.5 %","10.0 %","20.0 %","52.2 %","34.8 %","13.0 %","5.4 %","47","65","112","3625"
"Brandon McCarthy","Diamondbacks (AAA)","29","10.1",".325","1.90","23.7 %","50.0 %","26.3 %","10.0 %","20.0 %","47.6 %","31.0 %","21.4 %","11.5 %","50","106","156","4662"
"Mike Pelfrey","Twins (A)","29","6.0",".077","1.60","7.1 %","57.1 %","35.7 %","20.0 %","20.0 %","64.3 %","21.4 %","14.3 %","24.3 %","3","34","37","5203"
"Justin Freeman","Reds (AAA)","26","7.0",".235","1.40","29.4 %","41.2 %","29.4 %","40.0 %","20.0 %","77.8 %","11.1 %","11.1 %","13.7 %","42","75","117","7568"
"Kyle Cofield","- - -","26","33.1",".247","2.55","22.0 %","56.0 %","22.0 %","15.0 %","20.0 %","58.1 %","20.4 %","21.5 %","10.5 %","210","303","513","sa290212"
"Zach Quate","Rays (AA)","25","6.2",".539","0.90","32.1 %","32.1 %","35.7 %","10.0 %","20.0 %","50.0 %","25.0 %","25.0 %","10.7 %","69","90","159","sa501754"
"Edward Concepcion","- - -","24","9.0",".355","1.20","31.3 %","37.5 %","31.3 %","10.0 %","20.0 %","69.7 %","12.1 %","18.2 %","6.4 %","59","67","126","sa502851"
"Tyler Mills","Cardinals (R)","23","5.1",".400","1.00","37.5 %","31.3 %","31.3 %","20.0 %","20.0 %","56.3 %","25.0 %","18.8 %","10.7 %","46","29","75","sa546722"
"Roberto Padilla","Rockies (A)","23","13.1",".417","1.20","13.2 %","47.4 %","39.5 %","26.7 %","20.0 %","43.6 %","23.1 %","33.3 %","16.9 %","75","120","195","sa549660"
"Cory McGinnis","White Sox (R)","23","2.2",".222","0.60","11.1 %","33.3 %","55.6 %","0.0 %","20.0 %","20.0 %","50.0 %","30.0 %","30.0 %","4","16","20","sa550178"
"Yeyfry Del Rosario","Blue Jays (R)","19","28.1",".288","2.27","25.8 %","51.5 %","22.7 %","13.3 %","20.0 %","52.6 %","29.0 %","18.4 %","30.4 %","70","177","247","sa596841"
"Freddy Guzman","Mexican (AAA)","23","3.2",".417","1.00","16.7 %","41.7 %","41.7 %","20.0 %","20.0 %","46.2 %","15.4 %","38.5 %","7.6 %","59","59","118","sa600695"
"William Gonzalez","Red Sox (R)","20","2.1",".200","0.20","0.0 %","16.7 %","83.3 %","20.0 %","20.0 %","28.6 %","28.6 %","42.9 %","22.2 %","12","15","27","sa658798"
"Abraham Rivera","Mexican (AAA)","18","3.2",".300","0.80","18.2 %","36.4 %","45.5 %","0.0 %","20.0 %","36.4 %","18.2 %","45.5 %","13.3 %","22","38","60","sa737371"
"Jarred Smith","Rangers (R)","20","3.2",".333","0.80","10.0 %","40.0 %","50.0 %","20.0 %","20.0 %","40.0 %","50.0 %","10.0 %","16.1 %","6","25","31","sa738887"
"Justin Hess","- - -","22","10.0",".375","3.40","12.0 %","68.0 %","20.0 %","20.0 %","20.0 %","48.0 %","8.0 %","44.0 %","29.3 %","13","69","82","sa751550"
"Josh Judy","- - -","27","34.2",".360","1.04","19.7 %","41.0 %","39.3 %","15.2 %","19.6 %","42.3 %","24.4 %","33.3 %","9.0 %","249","405","654","1975"
"Santiago Gutierrez","- - -","27","37.1",".402","1.61","18.3 %","50.4 %","31.3 %","22.0 %","19.5 %","48.9 %","20.4 %","30.7 %","9.9 %","232","412","644","sa295625"
"Mario Meza","- - -","22","81.1",".331","1.38","18.4 %","47.3 %","34.4 %","15.9 %","19.3 %","52.3 %","21.0 %","26.7 %","10.6 %","522","851","1373","sa652174"
"Rob Bryson","- - -","25","34.0",".322","0.30","23.7 %","17.5 %","58.8 %","21.1 %","19.3 %","41.8 %","27.6 %","30.6 %","10.3 %","342","406","748","sa393057"
"Francisco Gil","Mexican (AAA)","24","59.1",".368","2.31","15.7 %","58.8 %","25.5 %","21.2 %","19.2 %","41.2 %","24.6 %","34.1 %","8.7 %","363","619","982","sa393318"
"Juan Acevedo","Mexican (AAA)","43","44.1",".384","2.40","19.7 %","56.7 %","23.6 %","16.7 %","19.0 %","46.0 %","23.8 %","30.3 %","5.4 %","308","502","810","458"
"Edgar Huerta","- - -","33","14.2",".444","1.33","24.6 %","43.1 %","32.3 %","28.6 %","19.0 %","53.7 %","19.4 %","26.9 %","5.8 %","112","163","275","sa209834"
"Darren Fischer","Rays (R)","20","18.2",".174","1.14","8.2 %","49.0 %","42.9 %","9.5 %","19.0 %","48.0 %","22.0 %","30.0 %","23.5 %","41","104","145","sa550299"
"Steven Schils","Braves (R)","22","18.0",".354","1.19","9.8 %","49.0 %","41.2 %","9.5 %","19.0 %","44.2 %","25.0 %","30.8 %","24.0 %","69","114","183","sa658138"
"Kyle Landis","- - -","27","15.2",".382","1.44","23.5 %","45.1 %","31.4 %","12.5 %","18.8 %","54.4 %","26.3 %","19.3 %","7.1 %","130","182","312","sa389180"
"Jonathan Van Eaton","Angels (R)","22","19.0",".292","1.56","19.6 %","49.0 %","31.4 %","18.8 %","18.8 %","62.8 %","11.8 %","25.5 %","39.6 %","20","124","144","sa741353"
"Brett McKinney","Pirates (A-)","22","28.2",".279","1.63","11.3 %","55.0 %","33.8 %","14.8 %","18.5 %","57.1 %","14.3 %","28.6 %","23.9 %","44","174","218","sa738242"
"Jhan Marinez","- - -","24","30.2",".263","0.71","21.7 %","32.5 %","45.8 %","23.7 %","18.4 %","50.6 %","23.0 %","26.4 %","11.5 %","210","310","520","5830"
"Steve Hathaway","Diamondbacks (R)","22","7.1",".250","0.73","20.8 %","33.3 %","45.8 %","0.0 %","18.2 %","34.6 %","23.1 %","42.3 %","25.5 %","11","44","55","15293"
"Dan Cortes","- - -","26","40.0",".277","0.98","12.1 %","43.5 %","44.4 %","14.5 %","18.2 %","50.8 %","19.5 %","29.7 %","9.7 %","300","370","670","4027"
