"Name","Team","Age","IP","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Jose Lozada","Nationals (AA)","27","1.0",".000","3.00","20.0 %","60.0 %","20.0 %","0.0 %","200.0 %","80.0 %","20.0 %","0.0 %","7.7 %","12","14","26","sa454600"
"Sean Burnett","Angels (A+)","30","1.0",".000","3.00","0.0 %","75.0 %","25.0 %","0.0 %","100.0 %","25.0 %","0.0 %","75.0 %","0.0 %","1","4","5","1886"
"Chris Robinson","Orioles (AAA)","29","0.1",".000","0.00","50.0 %","0.0 %","50.0 %","100.0 %","100.0 %","50.0 %","0.0 %","50.0 %","0.0 %","3","4","7","3443"
"Carlos Hernandez","Mexican (AAA)","33","4.0",".400","5.00","40.0 %","50.0 %","10.0 %","0.0 %","100.0 %","36.4 %","18.2 %","45.5 %","6.1 %","55","60","115","560"
"Kevin Jepsen","- - -","28","3.0",".000","3.00","11.1 %","66.7 %","22.2 %","0.0 %","100.0 %","50.0 %","20.0 %","30.0 %","2.9 %","12","23","35","6475"
"Matt Hague","Pirates (AAA)","27","0.2","1.000","2.00","0.0 %","66.7 %","33.3 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","11.1 %","13","14","27","7772"
"Kyle Attl","Nationals (R)","21","0.1",".000","1.00","0.0 %","50.0 %","50.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","0.0 %","0","2","2","sa739758"
"Chris Perez","- - -","27","3.0",".667","0.50","33.3 %","22.2 %","44.4 %","0.0 %","75.0 %","55.6 %","22.2 %","22.2 %","37.1 %","6","29","35","5213"
"Cecilio Garibaldi","Mexican (AAA)","35","0.2",".500","0.33","0.0 %","25.0 %","75.0 %","0.0 %","66.7 %","25.0 %","25.0 %","50.0 %","12.5 %","12","12","24","sa203908"
"Justin Miller","Padres (A+)","24","1.0",".500","1.00","25.0 %","37.5 %","37.5 %","0.0 %","66.7 %","75.0 %","25.0 %","0.0 %","0.0 %","12","10","22","sa599327"
"Rudy Gonzalez","Mexican (AAA)","31","3.1",".650","2.20","30.4 %","47.8 %","21.7 %","20.0 %","60.0 %","43.5 %","30.4 %","26.1 %","8.8 %","30","61","91","sa202758"
"Andrew Bailey","Red Sox (AAA)","29","1.0",".500","0.50","0.0 %","33.3 %","66.7 %","0.0 %","50.0 %","33.3 %","66.7 %","0.0 %","23.5 %","3","14","17","1368"
"Ruben Gotay","Cardinals (AA)","30","1.0",".000","0.00","0.0 %","0.0 %","100.0 %","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","21.7 %","11","12","23","3417"
"Mike McCoy","Blue Jays (AAA)","32","1.0",".200","1.50","0.0 %","60.0 %","40.0 %","0.0 %","50.0 %","83.3 %","0.0 %","16.7 %","10.0 %","14","16","30","4583"
"Pat Neshek","Athletics (AAA)","32","2.0",".200","2.00","0.0 %","66.7 %","33.3 %","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","7.7 %","16","23","39","4682"
"David Phelps","Yankees (AA)","26","7.2",".231","2.25","13.3 %","60.0 %","26.7 %","25.0 %","50.0 %","46.7 %","26.7 %","26.7 %","13.1 %","50","87","137","6316"
"Jason Vargas","Angels (AAA)","30","4.2",".083","1.33","6.7 %","53.3 %","40.0 %","16.7 %","50.0 %","73.3 %","26.7 %","0.0 %","4.2 %","30","42","72","8044"
"Luis Marte","Tigers (AAA)","26","2.0",".571","2.00","25.0 %","50.0 %","25.0 %","0.0 %","50.0 %","75.0 %","12.5 %","12.5 %","14.6 %","19","29","48","8651"
"Anthony Contreras","Padres (AAA)","29","1.0",".000","0.50","0.0 %","33.3 %","66.7 %","0.0 %","50.0 %","66.7 %","33.3 %","0.0 %","0.0 %","4","8","12","sa291727"
"Taylor Harbin","Diamondbacks (AAA)","27","2.2",".000","1.25","0.0 %","55.6 %","44.4 %","0.0 %","50.0 %","70.0 %","30.0 %","0.0 %","3.5 %","26","32","58","sa388380"
