"Name","Team","Age","IP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Luis Diaz","Cubs (R)","18","0.0","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".000","0.00",".000","100.0 %","0.00","","","","sa917355"
"Eric Jimenez","Braves (R)","20","0.1","27.00","0.00","1.00","0.00","50.0 %","0.0 %","50.0 %",".500","3.00","1.000","100.0 %","0.00","-2.74","2.74","-2.74","sa3004939"
"Gary Calvo","Red Sox (R)","20","0.1","27.00","0.00","1.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.74","2.74","-2.74","sa873720"
"Tommy Hunter","Rays (A+)","30","1.0","27.00","0.00","3.00","0.00","42.9 %","0.0 %","42.9 %",".429","3.00",".750","33.3 %","18.00","-2.69","20.69","-1.85","1157"
"Humberto Maldonado","Twins (R)","19","0.1","27.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".333","3.00",".500","100.0 %","0.00","-2.58","2.58","-0.81","sa917169"
"Dane Hutcheon","Twins (R)","22","0.1","27.00","0.00","1.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.58","2.58","-2.58","sa918664"
"Eric Marinez","Athletics (A)","21","0.1","27.00","0.00","1.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.50","2.50","-2.50","sa736686"
"Luis Silva","Blue Jays (A)","22","0.1","27.00","0.00","1.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.50","2.50","-2.50","sa828292"
"John Polonius","Giants (A+)","26","0.1","27.00","0.00","1.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.09","2.09","-2.09","sa599310"
"Bud Norris","Angels (A+)","32","1.0","27.00","0.00","3.00","0.00","75.0 %","0.0 %","75.0 %",".250","1.00","1.000","100.0 %","0.00","-2.09","2.09","-2.09","9492"
"Greg Lambert","Padres (R)","21","0.1","27.00","0.00","1.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-1.80","1.80","-1.80","sa3004289"
"Joe Blanton","Nationals (AA)","36","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.77","0.77","0.42","4849"
"Yender Silva","White Sox (R)","19","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.74","0.74","-0.28","sa916986"
"Jake Odorizzi","Rays (A+)","27","3.0","18.00","0.00","6.00","0.00","50.0 %","0.0 %","50.0 %",".250","1.00",".500","33.3 %","6.00","-0.69","6.69","-0.41","6397"
"Andrew Miller","Indians (AAA)","32","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.66","0.66","0.56","6785"
"Zack Jones","Twins (R)","26","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.58","0.58","-0.58","sa502134"
"Brandon Montgomery","Dodgers (A)","21","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.50","0.50","-0.50","sa918622"
"Nick Goody","Indians (AAA)","25","4.1","20.77","2.08","10.00","0.00","58.8 %","5.9 %","52.9 %",".133","0.69",".400","100.0 %","0.00","0.11","-0.11","0.96","13685"
"Wladimir Pinto","- - -","19","10.0","16.20","0.00","18.00","0.00","52.9 %","0.0 %","52.9 %",".091","0.30",".200","100.0 %","0.00","0.13","-0.13","0.45","sa871482"
"Anderson DeLeon","Reds (R)","20","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","0.20","-0.20","0.20","sa3004020"
"Raymond Kerr","Mariners (R)","22","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","0.20","-0.20","0.96","sa3005362"
"Jefrey Souffront","Dodgers (R)","20","1.0","18.00","0.00","2.00","0.00","40.0 %","0.0 %","40.0 %",".400","2.00",".667","100.0 %","0.00","0.20","-0.20","0.96","sa872529"
"Evan Rutckyj","Yankees (AA)","25","0.2","13.50","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".500","3.00",".667","50.0 %","13.50","0.23","13.27","0.23","sa549263"
"Luis Pena","Blue Jays (R)","19","4.2","13.50","0.00","7.00","0.00","35.0 %","0.0 %","35.0 %",".250","1.07",".385","40.0 %","5.79","0.26","5.52","0.85","sa3005237"
"Yolberth Gideon","White Sox (R)","21","0.2","13.50","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.50",".333","0.0 %","0.00","0.26","-0.26","","sa828394"
"Jeff Diehl","Mets (A+)","23","1.1","13.50","0.00","2.00","0.00","33.3 %","0.0 %","33.3 %",".333","1.50",".500","100.0 %","0.00","0.31","-0.31","0.31","sa599249"
"Jose Leclerc","Rangers (AA)","23","2.0","13.50","0.00","3.00","0.00","42.9 %","0.0 %","42.9 %",".143","0.50",".250","100.0 %","0.00","0.32","-0.32","0.89","14524"
"Matt Tabor","Diamondbacks (R)","18","4.2","17.36","0.00","9.00","0.00","39.1 %","0.0 %","39.1 %",".348","1.71",".571","62.5 %","1.93","0.35","1.58","0.67","sa3005334"
"Brian Duensing","Cubs (AAA)","34","3.0","15.00","0.00","5.00","0.00","50.0 %","0.0 %","50.0 %",".100","0.33",".200","100.0 %","0.00","0.39","-0.39","0.39","4064"
"Jecksson Flores","Royals (A+)","23","0.2","13.50","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".333","1.50",".500","100.0 %","0.00","0.40","-0.40","2.00","sa597007"
"Brock Carpenter","Dodgers (R)","22","1.0","18.00","0.00","2.00","0.00","50.0 %","0.0 %","50.0 %",".250","1.00",".500","100.0 %","0.00","0.43","-0.43","3.43","sa738974"
"Paul Young","Yankees (A-)","24","2.1","19.29","3.86","5.00","0.00","50.0 %","10.0 %","40.0 %",".222","1.29",".500","33.3 %","7.71","0.43","7.28","0.74","sa738218"
"Jhosua Alcantara","Rockies (R)","19","5.0","12.60","0.00","7.00","0.00","35.0 %","0.0 %","35.0 %",".200","0.80",".308","25.0 %","3.60","0.46","3.14","1.01","sa917060"
"Keone Kela","Rangers (AAA)","24","4.0","18.00","2.25","8.00","0.00","44.4 %","5.6 %","38.9 %",".294","1.50",".556","83.3 %","2.25","0.47","1.78","1.50","14696"
"Robbie Ray","Diamondbacks (A+)","25","4.2","21.21","3.86","5.50","0.00","52.4 %","9.5 %","42.9 %",".211","1.29",".500","66.7 %","3.86","0.48","3.37","1.45","11486"
"Sean Doolittle","- - -","30","3.0","15.00","0.00","5.00","0.00","55.6 %","0.0 %","55.6 %",".000","0.00",".000","100.0 %","0.00","0.52","-0.52","0.89","1581"
"Matt Shoemaker","Angels (A+)","30","3.0","15.00","0.00","5.00","0.00","50.0 %","0.0 %","50.0 %",".200","0.67",".400","100.0 %","0.00","0.58","-0.58","0.58","4776"
"Danny Barnes","Blue Jays (AAA)","27","6.0","12.00","0.00","8.00","0.00","33.3 %","0.0 %","33.3 %",".250","1.00",".375","66.7 %","3.00","0.67","2.33","1.90","11388"
"Kyle Thomas","Tigers (R)","22","3.0","12.00","0.00","4.00","0.00","30.8 %","0.0 %","30.8 %",".308","1.33",".444","50.0 %","6.00","0.76","5.24","1.15","sa3004336"
"Christian Pedrol","Mariners (R)","17","8.0","11.25","0.00","10.00","0.00","37.0 %","0.0 %","37.0 %",".111","0.38",".177","33.3 %","2.25","0.76","1.49","1.16","sa3005351"
"Joe Smith","Blue Jays (AAA)","33","2.1","11.57","0.00","3.00","0.00","33.3 %","0.0 %","33.3 %",".333","1.29",".500","66.7 %","3.86","0.77","3.09","1.82","3281"
"Chasen Shreve","Yankees (AAA)","26","11.1","15.09","2.38","6.33","0.00","44.2 %","7.0 %","37.2 %",".175","0.88",".333","80.0 %","1.59","0.78","0.81","1.64","10855"
"Aneuris Rosario","Cubs (R)","22","13.1","12.15","0.68","18.00","0.00","36.7 %","2.0 %","34.7 %",".104","0.45",".167","100.0 %","0.00","0.79","-0.79","1.13","sa828343"
"Gabe Cramer","Royals (A+)","22","13.2","17.78","1.32","13.50","0.66","50.0 %","3.7 %","46.3 %",".212","0.95",".417","86.2 %","1.98","0.84","1.14","0.51","sa879639"
"Jake Diekman","- - -","30","6.1","11.37","0.00","8.00","0.00","36.4 %","0.0 %","36.4 %",".136","0.47",".214","66.7 %","1.42","0.87","0.55","1.97","5003"
"Eli Morgan","Indians (A-)","21","35.0","14.91","2.31","6.44","0.00","42.3 %","6.6 %","35.8 %",".188","0.94",".343","72.7 %","1.03","0.89","0.14","1.38","sa915827"
"Jesus Tona","Giants (R)","21","3.1","18.90","0.00","7.00","0.00","43.8 %","0.0 %","43.8 %",".267","1.20",".500","60.0 %","2.70","0.90","1.80","1.58","sa872807"
"Matt Strahm","Royals (AAA)","25","5.0","12.60","0.00","7.00","0.00","41.2 %","0.0 %","41.2 %",".118","0.40",".200","100.0 %","0.00","0.92","-0.92","2.56","13799"
"Jordan Montgomery","- - -","24","8.0","12.38","1.13","11.00","0.00","37.9 %","3.5 %","34.5 %",".179","0.75",".294","66.7 %","1.13","0.95","0.18","1.47","16511"
"Jameson Taillon","- - -","25","14.0","13.50","1.93","7.00","0.00","35.6 %","5.1 %","30.5 %",".232","1.14",".371","62.5 %","3.21","0.96","2.26","1.57","11674"
"Jakob Hernandez","Phillies (R)","21","11.0","12.27","0.00","15.00","0.00","35.7 %","0.0 %","35.7 %",".220","0.82",".346","70.0 %","1.64","0.97","0.67","1.35","sa3004823"
"David Peterson","Mets (A-)","21","3.2","14.73","2.45","6.00","0.00","37.5 %","6.3 %","31.3 %",".267","1.36",".444","80.0 %","2.45","0.98","1.48","0.98","sa829588"
"Cory Mazzoni","- - -","27","30.1","14.24","0.89","16.00","0.00","40.3 %","2.5 %","37.8 %",".216","0.92",".368","92.9 %","0.59","1.01","-0.42","1.84","12537"
"Joe Palumbo","Rangers (A+)","22","13.2","14.49","2.63","5.50","0.00","44.0 %","8.0 %","36.0 %",".087","0.59",".167","62.5 %","0.66","1.06","-0.40","1.60","sa738453"
"Chase Hodson","- - -","24","25.0","13.32","1.80","7.40","0.00","36.6 %","5.0 %","31.7 %",".188","0.92",".305","82.6 %","1.08","1.10","-0.02","1.49","sa920635"
"Aaron McGarity","Yankees (R)","22","20.2","11.76","0.87","13.50","0.00","33.3 %","2.5 %","30.9 %",".241","1.02",".365","76.2 %","2.18","1.10","1.08","1.50","sa873280"
"Cameron Seitzer","White Sox (AA)","27","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.11","-1.11","2.09","sa578022"
"Cael Brockmeyer","Cubs (AA)","25","2.0","9.00","0.00","2.00","0.00","28.6 %","0.0 %","28.6 %",".143","0.50",".200","100.0 %","0.00","1.11","-1.11","3.07","sa708438"
"Richard Cespedes","Rockies (R)","19","5.2","9.53","0.00","6.00","0.00","31.6 %","0.0 %","31.6 %",".211","0.71",".308","75.0 %","1.59","1.15","0.44","1.47","sa885994"
"Rex Brothers","- - -","29","16.2","14.04","3.24","4.33","0.00","39.4 %","9.1 %","30.3 %",".183","1.02",".324","64.7 %","2.70","1.17","1.53","2.20","9794"
"Jordan Watson","- - -","23","5.1","20.25","3.38","6.00","0.00","48.0 %","8.0 %","40.0 %",".227","1.31",".500","62.5 %","3.38","1.18","2.20","1.66","sa918043"
"Glenn Otto","- - -","21","20.0","13.50","2.25","6.00","0.00","39.0 %","6.5 %","32.5 %",".181","0.90",".310","83.3 %","1.35","1.18","0.17","1.61","sa915710"
"Andy Ferguson","Royals (R)","28","2.1","19.29","3.86","5.00","0.00","62.5 %","12.5 %","50.0 %",".000","0.43",".000","100.0 %","0.00","1.20","-1.20","1.53","sa598931"
"David Palladino","- - -","24","27.2","12.36","1.30","9.50","0.00","33.6 %","3.5 %","30.1 %",".204","0.94",".314","77.8 %","0.98","1.21","-0.23","1.98","sa599045"
"Koda Glover","Nationals (AA)","24","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.23","-1.23","3.62","17695"
"Henry McAree","- - -","23","6.0","12.00","1.50","8.00","0.00","36.4 %","4.6 %","31.8 %",".143","0.67",".231","100.0 %","0.00","1.26","-1.26","2.04","sa3004356"
"Rafael Brito","Indians/Brewers (R)","18","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.26","-1.26","1.72","sa3002815"
"Brendan Feldmann","Astros (R)","23","16.2","11.34","0.54","21.00","0.00","31.8 %","1.5 %","30.3 %",".156","0.66",".233","75.0 %","0.54","1.26","-0.72","1.62","sa3004803"
"Stephen Villines","- - -","21","27.1","13.50","0.33","41.00","0.33","39.4 %","1.0 %","38.5 %",".226","0.88",".367","80.5 %","1.65","1.27","0.38","1.25","sa874197"
"Enny Romero","Nationals (AAA)","26","6.1","11.37","1.42","8.00","0.00","27.6 %","3.5 %","24.1 %",".214","1.11",".300","28.6 %","4.26","1.28","2.98","2.64","4001"
"Richard Bleier","Orioles (AAA)","30","14.2","9.20","0.00","15.00","0.00","28.9 %","0.0 %","28.9 %",".173","0.61",".243","66.7 %","0.61","1.29","-0.68","1.63","7803"
"Taylor Cole","- - -","27","12.2","11.37","1.42","8.00","0.00","34.0 %","4.3 %","29.8 %",".133","0.63",".207","100.0 %","0.00","1.31","-1.31","2.12","11964"
"Austin Bossart","Phillies (A+)","23","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.31","-1.31","2.98","sa875667"
"J.A. Happ","Blue Jays (A+)","34","3.0","9.00","0.00","3.00","0.00","18.8 %","0.0 %","18.8 %",".438","2.33",".539","57.1 %","9.00","1.31","7.69","2.15","7410"
"Shawn Semple","Yankees (R)","21","18.0","11.00","0.50","22.00","0.00","30.6 %","1.4 %","29.2 %",".229","0.94",".333","83.3 %","1.00","1.31","-0.31","1.64","sa3004661"
"Jordan Tarsovich","Athletics (AA)","26","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.32","-1.32","3.62","sa857752"
"John Axford","Athletics (AAA)","34","3.1","10.80","0.00","4.00","0.00","36.4 %","0.0 %","36.4 %",".182","0.60",".286","100.0 %","0.00","1.32","-1.32","2.14","9059"
"Nick Wittgren","Marlins (AAA)","26","5.0","10.80","0.00","6.00","0.00","31.6 %","0.0 %","31.6 %",".158","0.60",".231","100.0 %","0.00","1.32","-1.32","2.96","15594"
"Jio Mier","Mets (AAA)","26","1.2","10.80","0.00","2.00","0.00","28.6 %","0.0 %","28.6 %",".286","1.20",".400","50.0 %","5.40","1.32","4.08","2.14","sa500732"
"Oscar Rojas","Mets (R)","18","33.0","9.55","0.55","17.50","0.00","28.2 %","1.6 %","26.6 %",".221","0.88",".310","69.0 %","2.18","1.32","0.86","1.71","sa3005098"
"Alex Eubanks","- - -","21","16.1","13.78","1.10","12.50","0.00","43.1 %","3.5 %","39.7 %",".146","0.61",".267","81.8 %","1.10","1.33","-0.23","1.90","sa3004663"
"Jackson Sigman","Royals (R)","22","7.2","12.91","0.00","11.00","0.00","32.4 %","0.0 %","32.4 %",".324","1.43",".478","63.6 %","4.70","1.33","3.36","1.83","sa3005333"
"Arodys Vizcaino","Braves (AAA)","26","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".000","0.00",".000","100.0 %","0.00","1.34","-1.34","3.79","5498"
"Joe Kelly","Red Sox (AAA)","29","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.34","-1.34","1.34","9761"
"Seth Romero","- - -","21","22.0","14.32","3.27","4.38","0.00","37.6 %","8.6 %","29.0 %",".224","1.23",".380","55.6 %","4.91","1.34","3.57","1.92","sa3005301"
"Francis Peguero","Reds (R)","19","14.2","10.43","0.61","17.00","0.00","30.9 %","1.8 %","29.1 %",".189","0.75",".278","66.7 %","2.45","1.35","1.10","1.73","sa3005209"
"Brett Morales","- - -","22","9.2","12.10","0.93","13.00","0.00","35.1 %","2.7 %","32.4 %",".171","0.72",".273","62.5 %","0.93","1.36","-0.42","1.90","sa738346"
"Daniel De La Fuente","Mexican (AAA)","19","4.0","13.50","2.25","6.00","0.00","42.9 %","7.1 %","35.7 %",".154","0.75",".286","100.0 %","0.00","1.37","-1.37","1.92","sa3002596"
"John Schreiber","Tigers (A)","23","50.1","12.52","1.43","8.75","0.00","38.5 %","4.4 %","34.1 %",".146","0.66",".248","86.1 %","0.54","1.37","-0.83","1.91","sa918315"
"Brandon Bielak","- - -","21","33.2","11.23","1.34","8.40","0.00","33.1 %","3.9 %","29.1 %",".172","0.77",".263","84.6 %","0.80","1.38","-0.58","1.84","sa915815"
"Chris Hatcher","- - -","32","6.0","13.50","1.50","9.00","0.00","39.1 %","4.4 %","34.8 %",".182","0.83",".308","80.0 %","1.50","1.38","0.12","2.42","3299"
"Hunter Harvey","- - -","22","18.2","14.46","2.89","5.00","0.00","41.1 %","8.2 %","32.9 %",".167","0.91",".306","88.9 %","0.96","1.38","-0.42","1.91","sa737510"
"Gabriel Moya","- - -","22","58.1","13.42","2.31","5.80","0.31","39.7 %","6.9 %","32.9 %",".148","0.77",".246","92.6 %","0.77","1.40","-0.63","1.78","16348"
"Chris Kirsch","Rays (R)","25","2.0","9.00","0.00","2.00","0.00","28.6 %","0.0 %","28.6 %",".143","0.50",".200","100.0 %","0.00","1.42","-1.42","1.42","sa549109"
