"Name","Team","Age","IP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Wester Ramos","Rays (R)","18","0.2","27.00","0.00","2.00","0.00","50.0 %","0.0 %","50.0 %",".500","3.00","1.000","100.0 %","0.00","-2.78","2.78","-2.78","sa508980"
"Gerard Hall","Royals (A)","21","0.1","27.00","0.00","1.00","0.00","50.0 %","0.0 %","50.0 %",".500","3.00","1.000","100.0 %","0.00","-2.36","2.36","-2.36","sa509852"
"Pedro Toribio","Angels (R)","19","3.0","24.00","0.00","8.00","0.00","80.0 %","0.0 %","80.0 %",".000","0.00",".000","100.0 %","0.00","-2.34","2.34","-2.34","sa505249"
"Austin Wood","Tigers (A+)","23","1.1","20.25","0.00","3.00","0.00","75.0 %","0.0 %","75.0 %",".000","0.00",".000","100.0 %","0.00","-1.07","1.07","-1.07","sa501456"
"Chan Ho Park","Yankees (AAA)","37","1.0","18.00","0.00","2.00","0.00","50.0 %","0.0 %","50.0 %",".250","1.00",".500","100.0 %","0.00","-0.75","0.75","0.45","1267"
"Jason Lowey","Braves (A+)","25","8.0","18.00","0.00","16.00","0.00","53.3 %","0.0 %","53.3 %",".167","0.63",".357","100.0 %","0.00","-0.58","0.58","-0.26","sa3000970"
"Shawn Williams","Rays (A+)","26","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.57","0.57","0.13","sa390700"
"Xavier Lopez","Orioles (R)","20","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.55","0.55","0.03","sa455481"
"Robbie Ray","Nationals (A-)","18","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.53","0.53","-0.53","11486"
"Andy Sonnanstine","Rays (A+)","27","1.1","27.00","6.75","4.00","0.00","57.1 %","14.3 %","42.9 %",".333","2.25","1.000","66.7 %","6.75","-0.32","7.07","-0.32","7667"
"Jose Ascanio","- - -","25","3.0","21.00","3.00","7.00","0.00","58.3 %","8.3 %","50.0 %",".182","1.00",".500","100.0 %","0.00","-0.23","0.23","0.47","3951"
"Roberto Toribio","Angels (R)","20","5.0","14.40","0.00","8.00","0.00","44.4 %","0.0 %","44.4 %",".167","0.60",".300","33.3 %","0.00","-0.21","0.21","0.04","sa505278"
"Hector Ambriz","Indians (AAA)","26","8.0","16.88","1.13","15.00","0.00","42.9 %","2.9 %","40.0 %",".265","1.25",".474","90.0 %","1.13","-0.12","1.25","0.78","559"
"Kelvin Rodriguez","Nationals (R)","18","2.0","13.50","0.00","3.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0.00","-0.01","0.01","0.37","sa551021"
"Moises Justo","Orioles (R)","18","0.2","13.50","0.00","1.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0.00","-0.01","0.01","0.37","sa547989"
"Heath Hembree","Giants (R)","21","11.0","18.00","0.00","22.00","0.00","53.7 %","0.0 %","53.7 %",".220","0.82",".474","88.9 %","0.82","0.20","0.62","0.45","11632"
"David Hernandez","Orioles (AA)","25","2.0","13.50","0.00","3.00","0.00","42.9 %","0.0 %","42.9 %",".143","0.50",".250","100.0 %","0.00","0.36","-0.36","0.89","4259"
"Joel Hanrahan","Pirates (A+)","28","2.0","13.50","0.00","3.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0.00","0.43","-0.43","1.48","2186"
"Andrew Bailey","Athletics (AAA)","26","0.2","13.50","0.00","1.00","0.00","20.0 %","0.0 %","20.0 %",".600","4.50",".750","33.3 %","27.00","0.58","26.42","4.42","1368"
"Bill Castillo","Tigers (R)","20","23.1","14.66","1.93","7.60","0.00","42.7 %","5.6 %","37.1 %",".159","0.77",".296","75.0 %","1.93","0.63","1.30","0.80","sa551980"
"Drew Miller","Padres (A)","24","3.1","13.50","0.00","5.00","0.00","31.3 %","0.0 %","31.3 %",".313","1.50",".455","0.0 %","10.80","0.64","10.16","1.15","sa326090"
"Erinzon Bautista","Phillies (R)","20","7.0","10.29","0.00","8.00","0.00","29.6 %","0.0 %","29.6 %",".222","0.86",".316","33.3 %","3.86","0.70","3.15","1.03","sa550730"
"Dustin Nippert","- - -","29","6.1","14.21","1.42","10.00","0.00","47.6 %","4.8 %","42.9 %",".100","0.47",".200","100.0 %","0.00","0.70","-0.70","1.47","4426"
"Hung-Chih Kuo","Dodgers (A+)","28","2.0","13.50","0.00","3.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0.00","0.73","-0.73","1.83","7016"
"Steve Ames","- - -","22","31.1","13.79","0.86","16.00","0.00","39.3 %","2.5 %","36.9 %",".193","0.83",".324","65.4 %","2.30","0.92","1.38","1.48","9615"
"Antonio Bastardo","- - -","24","20.1","14.61","2.66","5.50","0.00","40.2 %","7.3 %","32.9 %",".197","1.03",".349","81.0 %","1.77","0.92","0.85","1.84","8844"
"George Sherrill","- - -","33","3.2","12.27","0.00","5.00","0.00","35.7 %","0.0 %","35.7 %",".357","1.36",".556","80.0 %","2.45","0.94","1.52","1.24","6291"
"Erigson Sanchez","Mets (R)","19","4.0","9.00","0.00","4.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","50.0 %","2.25","0.99","1.26","1.43","sa506923"
"Michael Morrison","Tigers (A+)","22","5.0","10.80","0.00","6.00","0.00","35.3 %","0.0 %","35.3 %",".118","0.40",".182","100.0 %","0.00","1.03","-1.03","2.01","sa502419"
"Jose Jimenez","Rangers (R)","19","32.1","10.86","1.39","7.80","0.00","30.0 %","3.9 %","26.2 %",".224","1.02",".326","72.7 %","1.39","1.04","0.35","1.31","sa548112"
"Brandol Perez","Mariners (R)","19","48.1","12.66","2.61","4.86","0.00","38.9 %","8.0 %","30.9 %",".124","0.70",".215","91.2 %","0.19","1.04","-0.86","1.31","sa549218"
"Blaine Boyer","Diamondbacks (AAA)","28","6.0","13.50","1.50","9.00","0.00","37.5 %","4.2 %","33.3 %",".217","1.00",".357","83.3 %","1.50","1.08","0.42","1.94","2237"
"Bill Bray","- - -","27","10.1","13.94","2.61","5.33","0.00","42.1 %","7.9 %","34.2 %",".086","0.58",".158","100.0 %","0.00","1.10","-1.10","2.16","8538"
"Ross Ohlendorf","Pirates (AA)","27","4.0","13.50","2.25","6.00","0.00","37.5 %","6.3 %","31.3 %",".200","1.00",".333","100.0 %","0.00","1.11","-1.11","1.11","8268"
"Brian Sanches","Marlins (A+)","31","4.0","13.50","0.00","6.00","0.00","40.0 %","0.0 %","40.0 %",".143","0.50",".250","66.7 %","2.25","1.18","1.07","1.70","2739"
"Justin Bristow","Cubs (R)","23","2.0","13.50","0.00","3.00","0.00","42.9 %","0.0 %","42.9 %",".000","0.00",".000","100.0 %","0.00","1.20","-1.20","1.76","sa454587"
"Cody Buckel","Rangers (R)","18","5.0","16.20","1.80","9.00","0.00","52.9 %","5.9 %","47.1 %",".125","0.60",".286","100.0 %","0.00","1.20","-1.20","1.42","sa548270"
"Mike Adams","Padres (AA)","31","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.21","-1.21","3.29","1937"
"Val Majewski","Athletics (AA)","29","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.21","-1.21","3.29","4851"
"Christian Colonel","Padres (AA)","28","1.0","9.00","0.00","1.00","0.00","20.0 %","0.0 %","20.0 %",".400","2.00",".500","50.0 %","9.00","1.21","7.79","2.25","sa225671"
"Guillermo Salinas","Rays (R)","21","25.2","12.62","2.10","6.00","0.00","32.4 %","5.4 %","27.0 %",".240","1.21",".368","62.5 %","2.10","1.23","0.87","1.67","sa329088"
"Angel Chavez","Rays (AAA)","28","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.25","-1.25","2.45","2224"
"Jonathan Van Every","Pirates (AAA)","30","1.0","9.00","0.00","1.00","0.00","20.0 %","0.0 %","20.0 %",".400","2.00",".500","50.0 %","9.00","1.25","7.75","4.85","3409"
