"Name","Team","Age","IP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Takashi Saito","Braves (AAA)","40","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".333","1.00",".500","100.0 %","0.00","1.25","-1.25","1.25","6021"
"Dan Klein","Orioles (A-)","21","6.1","14.21","1.42","10.00","0.00","43.5 %","4.4 %","39.1 %",".048","0.32",".091","100.0 %","0.00","1.26","-1.26","1.90","sa392156"
"Henry Perez","Mariners (R)","20","73.0","9.37","1.23","7.60","0.00","27.7 %","3.7 %","24.1 %",".186","0.81",".261","88.1 %","0.86","1.32","-0.46","1.61","sa506629"
"Chris Hatcher","Marlins (AA)","25","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.36","-1.36","3.12","3299"
"Max Scherzer","Tigers (AAA)","25","15.0","10.20","1.20","8.50","0.00","32.7 %","3.9 %","28.9 %",".080","0.40",".121","83.3 %","0.60","1.39","-0.79","2.19","3137"
"Matthew Thomson","- - -","22","51.0","12.53","1.76","7.10","0.00","35.3 %","5.0 %","30.4 %",".196","0.92",".314","73.5 %","1.94","1.41","0.53","2.20","sa549093"
"Nicholas Moresi","Nationals (A+)","25","2.0","9.00","0.00","2.00","0.00","33.3 %","0.0 %","33.3 %",".167","0.50",".250","100.0 %","0.00","1.42","-1.42","1.85","sa326688"
"Justin Toole","Indians (A+)","23","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.42","-1.42","2.27","sa507054"
"Colt Sedbrook","Cardinals (A+)","24","2.0","9.00","0.00","2.00","0.00","16.7 %","0.0 %","16.7 %",".500","3.00",".600","83.3 %","4.50","1.43","3.07","2.83","sa454782"
"Anthony Scelfo","Rays (A+)","23","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.43","-1.43","1.43","sa454967"
"Chad Durbin","Phillies (A+)","32","3.0","9.00","0.00","3.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.43","-1.43","2.13","1442"
"Doug Slaten","Nationals (AAA)","30","17.0","9.00","0.53","17.00","0.00","27.9 %","1.6 %","26.2 %",".200","0.76",".279","100.0 %","0.00","1.43","-1.43","2.14","3107"
"Erik Goeddel","Mets (R)","21","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.45","-1.45","2.03","11712"
"Jeff Kaplan","Mets (R)","24","1.0","9.00","0.00","1.00","0.00","20.0 %","0.0 %","20.0 %",".600","3.00",".750","100.0 %","0.00","1.45","-1.45","2.62","sa454980"
"Richard Wasielewski","Red Sox (R)","20","2.0","9.00","0.00","2.00","0.00","28.6 %","0.0 %","28.6 %",".143","0.50",".200","100.0 %","0.00","1.45","-1.45","1.74","sa463782"
"David Triplet","Yankees (R)","23","2.0","9.00","0.00","2.00","0.00","28.6 %","0.0 %","28.6 %",".000","0.00",".000","100.0 %","0.00","1.45","-1.45","2.33","sa524557"
"Krishawn Holley","Astros (R)","18","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.45","-1.45","2.62","sa550095"
"Alex Wimmers","Twins (A+)","21","15.2","13.21","2.87","4.60","0.00","39.7 %","8.6 %","31.0 %",".113","0.70",".200","90.9 %","0.57","1.45","-0.87","1.98","11394"
"Leonel Gil","Rangers (R)","19","36.0","9.50","1.75","5.43","0.00","28.6 %","5.3 %","23.3 %",".167","0.78",".239","96.4 %","0.25","1.46","-1.21","1.69","sa506044"
"Wirkin Estevez","Nationals (R)","18","82.2","10.34","1.31","7.92","0.11","27.9 %","3.5 %","24.3 %",".228","1.04",".320","55.8 %","2.61","1.47","1.15","1.66","sa550539"
"Chris Hernandez","Red Sox (A-)","21","2.0","9.00","0.00","2.00","0.00","25.0 %","0.0 %","25.0 %",".375","1.50",".500","66.7 %","4.50","1.47","3.03","2.47","sa390676"
"Darlyn Duran","Tigers (R)","21","68.2","11.40","2.23","5.12","0.13","32.1 %","6.3 %","25.8 %",".214","1.03",".323","65.6 %","2.88","1.47","1.41","1.49","sa456141"
"Jorge Hernandez","Nationals (R)","20","30.2","11.15","2.64","4.22","0.00","31.7 %","7.5 %","24.2 %",".191","0.98",".292","74.2 %","2.05","1.49","0.56","1.79","sa548644"
"Eric O'Flaherty","Braves (AAA)","25","4.0","11.25","2.25","5.00","0.00","35.7 %","7.1 %","28.6 %",".077","0.50",".125","100.0 %","0.00","1.50","-1.50","1.80","5746"
"Anthony Aguilera","Rockies (A)","23","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.52","-1.52","2.33","sa549611"
"David Perez","Rangers (R)","17","70.0","8.74","1.03","8.50","0.00","25.8 %","3.0 %","22.7 %",".198","0.83",".270","67.2 %","1.41","1.52","-0.10","1.73","sa548117"
"Robert Lara","Padres (A+)","23","3.2","9.82","0.00","4.00","0.00","30.8 %","0.0 %","30.8 %",".154","0.55",".222","50.0 %","2.45","1.55","0.90","3.34","sa455283"
"Eric Pettis","Phillies (A-)","22","59.0","10.22","1.07","9.57","0.00","30.2 %","3.2 %","27.0 %",".200","0.85",".291","82.0 %","1.37","1.56","-0.18","2.23","sa545224"
"Yean Carlos Gil","Braves (R)","19","66.2","8.91","0.95","9.43","0.14","26.3 %","2.8 %","23.5 %",".231","0.95",".313","79.9 %","1.89","1.56","0.33","1.61","sa550678"
"Kenley Jansen","- - -","22","45.0","15.60","4.60","3.39","0.00","42.4 %","12.5 %","29.9 %",".180","1.16",".349","82.7 %","1.60","1.58","0.02","2.34","3096"
"Carlos Martinez","Cardinals (R)","18","59.0","11.90","2.14","5.57","0.15","35.9 %","6.5 %","29.5 %",".142","0.71",".229","85.8 %","0.76","1.58","-0.82","1.59","11682"
"Todd Coffey","Brewers (AAA)","29","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.58","-1.58","1.58","2467"
"Esmerling Vasquez","Diamondbacks (AAA)","26","1.0","9.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".250","1.00",".333","100.0 %","0.00","1.58","-1.58","2.86","5280"
"Stephen Pryor","- - -","20","35.1","14.01","3.31","4.23","0.00","38.2 %","9.0 %","29.2 %",".185","1.05",".320","65.8 %","2.04","1.62","0.41","2.14","10663"
"Matt Fouch","- - -","22","9.0","10.00","1.00","10.00","0.00","31.3 %","3.1 %","28.1 %",".097","0.44",".143","100.0 %","0.00","1.64","-1.64","2.47","sa549959"
"Edgar Calatayud","Blue Jays (R)","18","6.0","6.00","0.00","4.00","0.00","19.1 %","0.0 %","19.1 %",".095","0.33",".118","0.0 %","0.00","1.66","-1.66","1.74","sa547795"
"Ryan Fleckenstein","Rays (R)","24","28.0","9.96","1.29","7.75","0.00","28.4 %","3.7 %","24.8 %",".181","0.82",".257","65.2 %","2.57","1.66","0.91","2.06","sa550471"
"Josh Lueke","- - -","25","63.0","13.43","2.14","6.27","0.29","36.9 %","5.9 %","31.0 %",".202","1.00",".324","75.6 %","1.86","1.67","0.19","2.04","5722"
"Elmer Dessens","Mets (AAA)","39","17.0","9.53","1.59","6.00","0.00","25.0 %","4.2 %","20.8 %",".290","1.35",".392","82.6 %","2.12","1.67","0.45","2.87","317"
"Joe Ortiz","- - -","19","44.1","12.79","1.22","10.50","0.41","36.2 %","3.5 %","32.8 %",".196","0.88",".301","80.1 %","1.62","1.68","-0.05","1.53","7955"
"Andrew Snowdon","Phillies (R)","24","9.2","9.31","0.93","10.00","0.00","26.3 %","2.6 %","23.7 %",".189","0.83",".259","87.5 %","0.93","1.69","-0.76","2.42","sa557829"
"Emiliano Medina","Rangers (R)","19","31.2","8.81","1.99","4.43","0.00","25.8 %","5.8 %","20.0 %",".159","0.79",".220","88.0 %","0.57","1.69","-1.13","1.94","sa511573"
"Gabriel Arias","Phillies (R)","20","73.2","8.19","0.73","11.17","0.12","23.5 %","2.1 %","21.4 %",".225","0.92",".293","74.7 %","1.22","1.71","-0.49","1.77","sa507276"
"Winston Abreu","Rays (AAA)","33","55.1","13.34","3.42","3.90","0.16","37.1 %","9.5 %","27.6 %",".176","1.01",".293","75.5 %","2.28","1.72","0.56","2.46","582"
"Orlando Ramirez","Angels (R)","18","23.0","7.43","0.78","9.50","0.00","20.9 %","2.2 %","18.7 %",".239","1.00",".304","75.0 %","1.57","1.73","-0.16","1.99","sa548031"
"Brian Fuentes","Angels (A+)","34","1.0","9.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".000","0.00",".000","100.0 %","0.00","1.73","-1.73","2.83","429"
"Austin Lucas","Astros (R)","22","7.2","12.91","2.35","5.50","0.00","29.7 %","5.4 %","24.3 %",".324","1.70",".478","64.3 %","3.52","1.75","1.77","2.29","sa550462"
"Brian Moran","- - -","21","67.2","10.37","1.20","8.67","0.00","29.6 %","3.4 %","26.1 %",".235","1.02",".339","78.3 %","1.73","1.76","-0.03","2.77","sa501495"
"J.R. Betts-Robinson","- - -","22","15.2","12.06","2.87","4.20","0.00","29.2 %","6.9 %","22.2 %",".269","1.47",".391","78.3 %","1.15","1.76","-0.61","2.51","sa554884"
"Raul Hernandez","Rockies (R)","17","57.0","9.79","1.42","6.89","0.16","26.2 %","3.8 %","22.4 %",".242","1.11",".331","63.1 %","3.32","1.78","1.54","1.82","sa551013"
"Steve Kent","Braves (A)","21","39.1","12.36","1.83","6.75","0.23","33.8 %","5.0 %","28.8 %",".179","0.89",".271","92.5 %","0.69","1.79","-1.10","2.16","sa329072"
"Wilmer Colmenarez","Dodgers (R)","20","1.2","5.40","0.00","1.00","0.00","12.5 %","0.0 %","12.5 %",".375","1.80",".429","33.3 %","10.80","1.79","9.01","2.39","sa551284"
"Brandon Meister","Nationals (R)","22","9.2","10.24","0.00","11.00","0.00","29.0 %","0.0 %","29.0 %",".194","0.72",".280","77.8 %","1.86","1.79","0.07","2.10","sa550414"
"Chris Hanna","- - -","18","28.2","12.56","1.26","10.00","0.00","36.0 %","3.6 %","32.4 %",".196","0.87",".313","76.0 %","0.94","1.80","-0.86","2.19","sa549076"
"Parker Markel","Rays (R)","19","10.1","11.32","2.61","4.33","0.00","31.7 %","7.3 %","24.4 %",".211","1.06",".320","81.8 %","1.74","1.80","-0.06","2.26","sa502751"
"Jayson Aquino","Rockies (R)","17","61.2","8.61","1.31","6.56","0.00","25.1 %","3.8 %","21.3 %",".159","0.71",".217","80.0 %","1.02","1.81","-0.78","2.11","13150"
"Scott Atchison","Red Sox (AAA)","34","13.1","11.48","3.38","3.40","0.00","28.8 %","8.5 %","20.3 %",".241","1.35",".351","66.7 %","4.05","1.83","2.22","2.64","2642"
"Scott Kazmir","Angels (A+)","26","6.1","8.53","0.00","6.00","0.00","22.2 %","0.0 %","22.2 %",".296","1.26",".381","62.5 %","4.26","1.84","2.42","3.39","4897"
"Alexis Juma","Athletics (R)","22","20.0","8.55","1.80","4.75","0.00","25.7 %","5.4 %","20.3 %",".203","0.90",".280","68.4 %","2.25","1.84","0.41","2.18","sa506066"
"Tommy Kahnle","Yankees (A-)","20","16.0","14.06","2.81","5.00","0.00","42.4 %","8.5 %","33.9 %",".059","0.50",".115","90.9 %","0.56","1.85","-1.29","2.43","11384"
"John Axford","Brewers (AAA)","27","13.1","12.83","3.38","3.80","0.00","32.8 %","8.6 %","24.1 %",".264","1.43",".412","63.2 %","2.03","1.86","0.17","2.82","9059"
"Eswarlin Jimenez","Angels (R)","18","82.2","9.25","2.18","4.25","0.00","25.3 %","6.0 %","19.4 %",".232","1.11",".320","70.4 %","2.50","1.88","0.63","2.11","sa505273"
"Alan Farina","- - -","23","55.2","11.96","3.23","3.70","0.00","35.2 %","9.5 %","25.7 %",".132","0.81",".217","78.3 %","1.29","1.88","-0.58","2.44","sa388377"
"Cory Burns","- - -","22","55.0","13.25","2.29","5.79","0.33","36.5 %","6.3 %","30.2 %",".209","1.04",".333","74.7 %","1.96","1.88","0.08","1.89","6620"
"Jake Brown","Athletics (A-)","23","29.2","9.40","1.52","6.20","0.00","26.5 %","4.3 %","22.2 %",".214","0.98",".296","69.0 %","1.82","1.88","-0.06","2.62","sa549729"
"Brett Cammons","Braves (AA)","24","23.2","10.65","2.28","4.67","0.00","29.2 %","6.3 %","22.9 %",".202","1.01",".295","80.0 %","1.52","1.88","-0.36","2.44","sa389800"
"Jonny Venters","Braves (AAA)","25","6.2","8.10","1.35","6.00","0.00","24.0 %","4.0 %","20.0 %",".167","0.75",".222","80.0 %","1.35","1.90","-0.55","2.44","7175"
"Fautino De Los Santos","- - -","24","47.1","13.88","3.61","3.84","0.19","35.6 %","9.3 %","26.3 %",".239","1.33",".391","55.0 %","5.13","1.91","3.23","2.42","5841"
"Drew Permison","Blue Jays (A-)","21","39.0","13.62","4.38","3.11","0.00","36.7 %","11.8 %","24.8 %",".162","1.08",".277","64.3 %","2.31","1.91","0.40","2.47","sa549304"
"Braulio De Los Santos","Athletics (R)","22","62.1","11.12","3.18","3.50","0.00","30.3 %","8.7 %","21.7 %",".160","0.93",".243","80.0 %","1.73","1.91","-0.18","2.17","sa506097"
"Leandro Marin","Red Sox (A+)","21","6.0","9.00","1.50","6.00","0.00","23.1 %","3.9 %","19.2 %",".240","1.17",".316","85.7 %","1.50","1.92","-0.42","2.77","sa456664"
"Alexander Perez","Indians (A+)","20","6.2","10.80","2.70","4.00","0.00","29.6 %","7.4 %","22.2 %",".200","1.05",".294","71.4 %","2.70","1.92","0.78","2.30","sa456030"
"Donnie Joseph","- - -","22","65.0","14.26","3.46","4.12","0.28","39.0 %","9.5 %","29.6 %",".181","1.05",".308","74.0 %","2.08","1.92","0.16","2.07","6491"
"Carlos Torres","Braves (R)","20","10.1","8.71","1.74","5.00","0.00","21.7 %","4.4 %","17.4 %",".302","1.45",".394","62.5 %","4.35","1.92","2.43","2.10","sa506560"
"Oswell Munoz","Indians (R)","19","72.2","9.04","0.74","12.17","0.37","26.8 %","2.2 %","24.6 %",".210","0.84",".280","80.6 %","1.86","1.93","-0.07","1.64","sa506055"
"Casey Mulligan","- - -","22","47.2","13.22","3.59","3.68","0.19","34.2 %","9.3 %","24.9 %",".227","1.28",".360","75.9 %","2.45","1.94","0.51","2.34","sa328170"
"Stephen Strasburg","- - -","21","55.1","10.57","2.11","5.00","0.16","31.0 %","6.2 %","24.8 %",".158","0.80",".231","71.1 %","1.30","1.94","-0.64","2.37","10131"
"Tim Norton","- - -","27","32.1","13.08","1.95","6.71","0.56","37.6 %","5.6 %","32.0 %",".178","0.87",".275","79.4 %","1.39","1.95","-0.56","2.00","sa326853"
"Matt Perisho","Mexican (AAA)","35","3.2","7.36","0.00","3.00","0.00","13.6 %","0.0 %","13.6 %",".546","3.27",".632","41.7 %","17.18","1.95","15.23","3.08","1423"
"Franklin Noel","Giants (R)","21","28.0","9.00","2.89","3.11","0.00","24.6 %","7.9 %","16.7 %",".200","1.07",".273","70.0 %","0.64","1.95","-1.31","2.11","sa507011"
"Frank Gailey","Blue Jays (A+)","24","91.2","9.72","0.98","9.90","0.20","26.6 %","2.7 %","23.9 %",".242","1.06",".330","74.1 %","2.55","1.98","0.58","2.27","sa389206"
"Terance Marin","- - -","20","14.0","9.00","0.00","14.00","0.00","25.0 %","0.0 %","25.0 %",".241","0.93",".325","60.0 %","3.21","1.98","1.23","2.54","sa556821"
"Vinnie Pestano","- - -","25","59.2","11.61","2.41","4.81","0.30","31.8 %","6.6 %","25.2 %",".209","1.06",".308","78.4 %","1.81","1.99","-0.18","2.50","4782"
"Felipe Gonzalez","Yankees (R)","18","56.0","7.88","1.93","4.08","0.00","20.9 %","5.1 %","15.8 %",".250","1.20",".322","60.9 %","3.38","1.99","1.39","2.35","sa512503"
"Dennys Montero","Rangers (R)","20","1.0","18.00","9.00","2.00","0.00","50.0 %","25.0 %","25.0 %",".000","1.00",".000","100.0 %","0.00","1.99","-1.99","1.99","sa551973"
"Roberto Perez","Rangers (R)","17","3.0","9.00","0.00","3.00","0.00","18.8 %","0.0 %","18.8 %",".267","1.33",".333","20.0 %","0.00","1.99","-1.99","2.58","sa506068"
"Zach Neal","- - -","21","31.1","10.63","0.86","12.33","0.29","28.9 %","2.3 %","26.6 %",".220","0.96",".306","65.4 %","1.44","2.00","-0.56","2.12","11294"
"Eduardo Jorge","- - -","19","29.0","9.62","3.10","3.10","0.00","26.1 %","8.4 %","17.7 %",".220","1.17",".308","73.5 %","2.17","2.00","0.18","2.27","sa506872"
"Jimmy Reyes","Rangers (A-)","21","26.2","11.81","1.01","11.67","0.34","34.0 %","2.9 %","31.1 %",".165","0.71",".246","58.3 %","2.36","2.00","0.36","2.17","sa526353"
"Eric Cantrell","Royals (R)","20","2.0","9.00","0.00","2.00","0.00","25.0 %","0.0 %","25.0 %",".375","1.50",".500","33.3 %","9.00","2.01","6.99","2.55","sa526010"
"Russell Brewer","Rockies (R)","22","1.0","9.00","0.00","1.00","0.00","20.0 %","0.0 %","20.0 %",".400","2.00",".500","50.0 %","9.00","2.01","6.99","4.16","sa526829"
"Sammy Solis","Nationals (A)","21","4.0","6.75","0.00","3.00","0.00","21.4 %","0.0 %","21.4 %",".143","0.50",".182","100.0 %","0.00","2.02","-2.02","3.24","11457"
"Jose Flores","Indians (A)","21","42.0","10.93","1.50","7.29","0.21","31.3 %","4.3 %","27.0 %",".224","1.00",".327","78.8 %","2.14","2.02","0.12","2.54","sa503583"
"Kevin Cravey","- - -","22","42.2","8.02","0.84","9.50","0.00","23.0 %","2.4 %","20.6 %",".200","0.84",".262","67.6 %","0.63","2.02","-1.39","2.30","sa550939"
"Angel Mata","Twins (R)","17","59.1","8.19","2.28","3.60","0.00","22.8 %","6.3 %","16.5 %",".227","1.10",".301","74.6 %","2.12","2.03","0.09","2.29","sa551281"
"Jay Rogers","- - -","22","48.2","7.21","0.37","19.50","0.00","21.9 %","1.1 %","20.8 %",".200","0.76",".257","81.6 %","1.11","2.03","-0.92","2.53","sa550017"
"Ignacio Geronimo","Braves (R)","19","37.2","8.60","2.39","3.60","0.00","25.2 %","7.0 %","18.2 %",".153","0.80",".211","78.1 %","0.72","2.03","-1.32","2.28","sa506562"
"Victor Araujo","Dodgers (R)","17","14.2","11.66","3.68","3.17","0.00","32.2 %","10.2 %","22.0 %",".177","1.02",".281","76.5 %","2.45","2.03","0.42","2.29","sa548099"
"Justin Wright","Cardinals (A-)","20","7.2","11.74","2.35","5.00","0.00","35.7 %","7.1 %","28.6 %",".120","0.65",".200","100.0 %","0.00","2.04","-2.04","2.30","sa526239"
"Juan Marcano","- - -","19","30.2","8.51","1.47","5.80","0.00","25.4 %","4.4 %","21.1 %",".147","0.68",".200","85.7 %","0.88","2.04","-1.16","2.80","sa507171"
"Drew Tyson","- - -","20","36.0","12.25","1.75","7.00","0.00","34.3 %","4.9 %","29.4 %",".231","1.06",".365","87.5 %","1.25","2.04","-0.79","2.66","sa549274"
"Matthew Hall","Rays (A+)","23","4.1","6.23","0.00","3.00","0.00","15.0 %","0.0 %","15.0 %",".300","1.38",".353","50.0 %","4.15","2.04","2.11","3.18","sa454883"
