"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Alfredo Amezaga","Cubs (AAA)","34","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","1"
"Hisanori Takahashi","Angels (AAA)","37","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","10091"
"Alexi Ogando","Rangers (AAA)","28","0","0","0.00","2","1","0","0","0","0","0","3.0","10","1","0","0","0","0","0","0","0","0","5","10261"
"Steven Lerud","Phillies (AA)","27","0","0","0.00","1","0","0","0","0","0","0","0.2","4","1","0","0","0","0","0","1","0","0","0","113"
"Taylor Davis","Cubs (A+)","22","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","12782"
"Roy Halladay","Phillies (A+)","35","0","0","0.00","1","1","0","0","0","0","0","3.0","13","3","1","0","0","0","0","0","0","0","4","1303"
"Nick Hagadone","Indians (AAA)","26","0","0","0.00","5","0","0","0","0","0","3","7.1","25","4","0","0","0","1","0","0","0","0","7","1351"
"Onelki Garcia","Dodgers (A+)","22","0","0","0.00","1","1","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","0","4","13674"
"Rob Whalen","Mets (R)","18","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","1","0","0","0","0","0","0","0","1","14165"
"Brian Johnson","Red Sox (A-)","21","0","0","0.00","4","4","0","0","0","0","0","5.2","19","2","0","0","0","1","0","0","0","0","4","14272"
"Jake Smith","Giants (R)","22","0","0","0.00","6","0","0","0","0","0","2","8.2","35","5","2","0","0","2","0","0","0","0","13","14379"
"Mendy Lopez","Mexican (AAA)","38","0","0","0.00","1","0","0","0","0","0","0","0.1","2","0","0","0","0","1","0","0","1","0","0","1458"
"Michael Gonzalez","Nationals (AAA)","34","0","0","0.00","1","0","0","0","0","0","1","1.1","4","0","0","0","0","0","0","0","0","0","2","1794"
"Jason Frasor","Blue Jays (A+)","34","0","0","0.00","2","0","0","0","0","0","1","2.0","6","0","0","0","0","0","0","0","0","0","4","1906"
"Jeremy Guthrie","Rockies (A+)","33","0","0","0.00","1","1","0","0","0","0","0","4.0","16","3","0","0","0","1","0","0","0","0","4","2072"
"Josh Wilson","Braves (AAA)","31","0","0","0.00","3","0","0","0","0","0","0","1.2","8","2","0","0","0","1","0","0","1","0","0","2102"
"Chad Qualls","Pirates (AAA)","33","0","0","0.00","1","1","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","3","2170"
"Carlos Marmol","Cubs (AAA)","29","0","0","0.00","2","0","0","0","0","0","1","2.0","9","1","0","0","0","2","0","0","2","0","4","2790"
"Corky Miller","Reds (AAA)","36","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","342"
"Clay Buchholz","Red Sox (AAA)","27","0","0","0.00","1","1","0","0","0","0","0","2.1","10","1","0","0","0","2","0","0","0","0","3","3543"
