"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Edgar Olmos","Marlins (R)","18","0","0","0.00","1","1","0","0","0","0","0","1.2","9","2","0","0","0","0","0","1","0","0","5","10174"
"Freddy Garcia","- - -","31","0","0","0.00","2","2","0","0","0","0","0","5.0","19","5","0","0","0","1","0","0","0","0","5","1077"
"Rafael Soriano","- - -","28","0","1","0.00","4","3","0","0","0","0","0","4.0","16","4","1","0","0","1","0","0","1","0","4","1100"
"John Smoltz","- - -","41","0","0","0.00","3","1","0","0","0","0","0","4.0","15","2","0","0","0","0","0","0","0","0","4","115"
"Jason Isringhausen","- - -","35","0","0","0.00","2","2","0","0","0","0","0","3.2","13","2","0","0","0","0","0","0","0","0","3","1158"
"Mike Timlin","Red Sox (AAA)","42","0","0","0.00","5","1","0","0","0","0","1","5.0","17","2","0","0","0","0","0","0","0","0","4","1187"
"Rudy Seanez","- - -","39","2","0","0.00","2","0","0","0","0","1","0","2.0","9","2","2","0","0","0","0","0","0","0","2","1279"
"Nick Hagadone","Red Sox (A)","22","1","1","0.00","3","3","0","0","0","0","0","10.0","43","5","3","0","0","6","0","0","2","0","12","1351"
"Aaron Harang","Reds (AAA)","30","1","0","0.00","1","1","0","0","0","0","0","6.0","21","5","0","0","0","0","0","0","0","0","6","1451"
"Wilkin Ruan","Dodgers (AAA)","29","0","0","0.00","1","0","0","0","0","0","0","1.0","6","1","1","0","0","0","0","1","0","0","0","1622"
"J.J. Putz","- - -","31","0","0","0.00","3","3","0","0","0","0","0","4.2","15","2","0","0","0","0","0","0","0","0","5","1795"
"Chad Cordero","Nationals (A+)","26","1","0","0.00","2","1","0","0","0","0","0","2.0","7","1","0","0","0","0","0","0","0","0","2","1816"
"Shawn Camp","Blue Jays (AAA)","32","1","0","0.00","7","0","0","0","4","0","0","10.0","32","4","0","0","0","0","0","0","0","0","13","1855"
"David Aardsma","Red Sox (AAA)","26","0","0","0.00","2","0","0","0","0","0","0","2.0","8","0","0","0","0","2","0","0","0","0","2","1902"
"Jeff Bennett","Braves (A+)","28","0","0","0.00","4","4","0","0","0","0","0","4.0","13","3","0","0","0","0","0","0","0","0","3","1903"
"Frank Francisco","Rangers (AAA)","28","0","0","0.00","8","0","0","0","5","0","0","9.0","33","3","0","0","0","3","0","0","0","0","16","1933"
"Denny Bautista","Tigers (AAA)","27","0","1","0.00","5","0","0","0","0","0","0","6.1","26","2","1","0","0","3","0","1","0","0","7","1947"
"Andy Tracy","Phillies (AAA)","34","0","0","0.00","1","0","0","0","0","0","0","0.2","2","0","0","0","0","0","0","0","0","0","1","2024"
"Santiago Ramirez","Mexican (AAA)","29","0","0","0.00","1","0","0","0","0","0","1","1.0","3","1","0","0","0","0","0","0","0","0","0","2122"
"Marshall McDougall","Padres (AAA)","29","0","0","0.00","1","0","0","0","0","0","0","0.2","3","1","0","0","0","0","0","0","0","0","0","2128"
"Justin Leone","Giants (AAA)","31","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","1","0","0","1","2157"
"Justin Knoedler","Athletics (AAA)","27","0","0","0.00","2","0","0","0","0","0","0","3.0","10","1","0","0","0","0","0","0","0","0","2","2223"
"Joel Peralta","Royals (AAA)","32","1","0","0.00","10","0","0","0","2","0","1","18.2","68","9","0","0","0","6","0","0","0","0","19","2332"
"Gary Glover","Tigers (AAA)","31","0","0","0.00","3","0","0","0","1","0","0","4.0","14","3","0","0","0","0","0","0","0","0","4","234"
"Cory Rasmus","Braves (R)","20","0","0","0.00","4","1","0","0","1","0","0","5.2","24","4","4","0","1","1","0","0","1","0","9","2413"
"Joe Borowski","- - -","37","0","0","0.00","2","1","0","0","0","0","1","2.0","7","1","0","0","0","0","0","0","0","0","1","267"
"Macay McBride","Tigers (AAA)","25","0","0","0.00","1","1","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","3475"
"Scot Shields","Angels (AAA)","32","0","0","0.00","1","0","0","0","0","0","0","1.0","5","2","0","0","0","0","0","0","0","0","3","35"
"Felipe Paulino","Astros (AAA)","24","0","0","0.00","1","0","0","0","0","0","0","0.2","4","1","0","0","0","1","0","0","0","0","1","3777"
"David Riske","Brewers (AAA)","31","0","0","0.00","1","1","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","3","402"
"Matt Wise","Mets (A+)","32","0","0","0.00","3","0","0","0","0","0","1","4.0","12","0","0","0","0","0","0","0","0","0","6","42"
"Matt Albers","Orioles (A-)","25","0","0","0.00","2","0","0","0","0","0","0","2.0","8","1","0","0","0","1","0","0","0","0","4","4300"
"Jesse Carlson","Blue Jays (AAA)","27","0","0","0.00","2","0","0","0","0","0","0","3.2","13","1","0","0","0","0","0","1","1","0","2","4391"
"Erik Kratz","Blue Jays (AAA)","28","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","4403"
"Matt Capps","- - -","24","0","0","0.00","6","2","0","0","0","0","1","6.2","28","2","1","0","0","4","0","0","0","0","8","4788"
"Edwar Ramirez","Yankees (AAA)","27","1","0","0.00","8","0","0","0","0","0","1","9.0","31","2","0","0","0","1","0","1","1","0","13","4830"
"Casey Crosby","Tigers (R)","19","0","0","0.00","3","3","0","0","0","0","0","4.2","22","4","1","0","0","3","0","0","1","0","2","5261"
"Brett Marshall","Yankees (R)","18","0","0","0.00","3","3","0","0","0","0","0","6.0","25","2","1","0","0","2","0","0","1","0","8","5364"
"Amauri Sanit","Yankees (R)","28","0","0","0.00","2","0","0","0","1","0","1","2.0","7","1","0","0","0","0","0","0","0","0","2","5436"
"Billy Wagner","Mets (AA)","36","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","578"
"Matt Pagnozzi","Cardinals (AA)","25","1","0","0.00","1","0","0","0","0","0","0","2.1","9","1","0","0","0","0","0","1","0","0","2","6046"
"Merkin Valdez","Giants (A+)","26","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","0","0","0","0","0","3","7019"
"Jonathan Pettibone","Phillies (R)","17","0","1","0.00","1","1","0","0","0","0","0","1.0","6","3","2","0","0","1","0","0","0","0","0","7106"
"Luis Vizcaino","Rockies (AAA)","33","0","0","0.00","4","0","0","0","0","0","0","4.0","13","1","0","0","0","0","0","0","0","0","4","714"
"Luis Figueroa","Cubs (AAA)","34","0","0","0.00","1","0","0","0","0","0","0","1.2","6","0","0","0","0","1","0","0","1","0","3","776"
"Andrew Albers","Padres (R)","22","1","0","0.00","5","2","0","0","0","0","0","7.0","25","3","1","0","0","3","0","0","0","0","7","7853"
"Jerad Head","Indians (A+)","25","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","1","0","0","0","0","0","8517"
"Jorge Campillo","Braves (AAA)","29","0","0","0.00","1","1","0","0","0","0","0","4.1","19","5","0","0","0","0","0","0","0","0","4","8686"
"Manny Acosta","Braves (AAA)","27","0","0","0.00","4","3","0","0","0","0","0","3.2","17","4","0","0","0","2","0","0","0","0","4","8725"
"David Weathers","- - -","38","0","0","0.00","3","1","0","0","0","0","0","3.0","9","0","0","0","0","0","0","0","0","0","4","902"
"J.J. Hoover","Braves (R)","20","1","0","0.00","2","0","0","0","0","0","1","4.2","18","4","0","0","0","1","0","0","0","0","6","9037"
"Charlie Leesman","- - -","21","0","0","0.00","3","1","0","0","1","0","0","10.0","40","8","1","0","0","3","0","2","2","0","11","9124"
"Burke Badenhop","- - -","25","1","0","0.00","2","2","0","0","0","0","0","9.1","35","7","1","0","0","0","0","0","0","0","5","9736"
"Casey Rogowski","Athletics (AAA)","27","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","sa198415"
"Kelley Gulledge","Dodgers (AA)","29","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","sa199856"
"Juan Gonzalez","Dodgers (AA)","26","0","0","0.00","1","0","0","0","1","0","0","1.0","4","0","0","0","0","1","0","0","0","0","1","sa200559"
"Josh Johnson","Rays (AAA)","25","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","sa200576"
"Matt Morgan","Diamondbacks (AAA)","26","0","0","0.00","2","0","0","0","0","0","0","2.0","9","1","0","0","0","2","0","0","0","0","0","sa201626"
"Duke Sardinha","Rockies (AA)","27","0","0","0.00","2","0","0","0","0","0","0","2.0","7","3","0","0","0","0","0","0","0","0","0","sa201899"
"Jason Bowers","Pirates (AA)","30","0","0","0.00","1","0","0","0","0","0","0","0.1","2","0","0","0","0","1","0","0","0","0","0","sa212911"
"Adam Fox","Rangers (AA)","26","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","sa225731"
"Arthur Santos","Mets (A+)","26","0","0","0.00","4","0","0","0","0","0","1","5.1","22","6","0","0","0","2","0","0","0","0","2","sa226081"
"Brian Snyder","Padres (AA)","26","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","0","sa226241"
"Casey Benjamin","Rangers (AAA)","27","0","0","0.00","2","0","0","0","0","0","0","1.1","6","2","0","0","0","0","0","0","0","0","0","sa226348"
