"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Julio De La Cruz","Rockies (R)","19","0","1","6.75","8","0","0","0","0","0","0","8.0","38","8","9","6","0","8","1","0","5","0","3","sa3000775"
"Scott Mueller","- - -","21","0","2","6.75","22","0","0","0","5","2","0","24.0","113","27","20","18","2","10","0","3","1","0","38","sa390342"
"Mark Rodrigues","Indians (A-)","24","1","1","6.75","12","0","0","0","0","0","2","24.0","115","31","19","18","4","13","2","0","5","0","12","sa394394"
"Rafael Pio","Astros (R)","19","0","2","6.75","11","2","0","0","0","1","0","20.0","106","29","24","15","2","13","0","6","4","0","14","sa503959"
"Carlos Hernandez","- - -","20","2","1","6.75","8","0","0","0","0","1","1","12.0","54","15","10","9","0","4","0","0","1","0","16","sa393410"
"Fabio Martinez","Angels (R)","17","1","2","6.75","13","3","0","0","1","0","1","25.1","131","27","22","19","0","26","0","4","9","1","30","sa503611"
"Adrian Rosario","Brewers (R)","17","3","3","6.75","14","2","0","0","0","0","1","37.1","197","50","40","28","2","32","0","4","6","1","23","sa393062"
"Joe Piekarz","Athletics (A)","25","1","3","6.75","8","1","0","0","0","0","0","17.1","85","22","17","13","2","9","0","1","2","1","12","sa253633"
"Trent Baysinger","Orioles (A+)","25","0","0","6.75","15","0","0","0","0","0","1","17.1","88","26","14","13","1","9","0","0","1","0","13","sa253721"
"Rafael Castillo","- - -","19","0","1","6.75","8","1","0","0","0","0","0","9.1","58","14","16","7","0","10","0","3","2","0","6","sa3000806"
"Aguido Gonzalez","Reds (R)","20","0","1","6.75","11","0","0","0","0","0","2","9.1","49","12","7","7","0","10","0","0","1","1","10","sa393273"
"John Patterson","Nationals (A+)","29","0","0","6.75","2","2","0","0","0","0","0","5.1","26","6","4","4","2","5","0","0","1","0","2","71"
"Brett Strickland","Rockies (A+)","24","0","1","6.75","6","0","0","0","0","1","1","5.1","23","7","4","4","0","1","0","1","0","0","5","sa293090"
"Kyle Harper","Indians (R)","22","0","0","6.75","6","1","0","0","0","0","0","5.1","29","8","8","4","1","5","0","0","1","0","4","sa328016"
"Ronny Lopez","Rockies (R)","20","0","1","6.75","4","0","0","0","0","0","0","5.1","27","7","4","4","0","4","0","0","1","0","7","sa328534"
"Russ Johnson","Pirates (AAA)","34","0","0","6.75","1","0","0","0","0","0","0","1.1","6","3","1","1","1","0","0","0","0","0","0","1216"
"Jumbo Diaz","Dodgers (A)","23","0","0","6.75","2","0","0","0","0","0","0","1.1","8","2","1","1","1","3","0","0","1","0","0","3397"
"Luis Atilano","Nationals (R)","22","0","0","6.75","1","0","0","0","0","0","0","1.1","7","1","1","1","0","1","0","1","1","0","2","3802"
"Gustavo Espinoza","Angels (R)","20","0","0","6.75","2","0","0","0","0","0","0","1.1","6","0","1","1","0","1","0","1","0","0","3","sa294353"
"Edwin Conde","Cardinals (R)","20","0","0","6.75","1","0","0","0","0","0","0","1.1","8","3","1","1","0","1","0","0","0","0","0","sa396235"
"Hector Santana","Reds (R)","19","0","1","6.75","1","1","0","0","0","0","0","1.1","6","2","1","1","0","0","0","0","0","0","0","sa456375"
"Junior Payano","Rangers (R)","17","0","0","6.75","1","0","0","0","0","1","0","1.1","7","1","1","1","0","1","0","1","1","0","0","sa507712"
"Pascual Manzueta","- - -","22","3","4","6.79","15","12","0","0","0","1","0","62.1","282","70","50","47","3","22","0","8","9","0","60","sa328945"
"Emary Frederick","Mets (A)","23","2","0","6.80","32","0","0","0","3","0","3","46.1","236","60","43","35","4","35","1","5","5","0","50","sa381368"
