"Name","Team","Age","IP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Franklin Reyes","Orioles (R)","19","0.1","27.00","0.00","1.00","0.00","25.0 %","0.0 %","25.0 %",".750","9.00","1.000","66.7 %","27.00","-2.93","29.93","-1.94","sa608828"
"Neftali Feliz","Rangers (AA)","23","1.0","27.00","0.00","3.00","0.00","75.0 %","0.0 %","75.0 %",".250","1.00","1.000","100.0 %","0.00","-2.62","2.62","-2.62","18"
"Jose Hernandez","Pirates (AA)","25","1.0","27.00","0.00","3.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.59","2.59","-2.59","sa502113"
"Mills Rogers","Nationals (A)","23","0.1","27.00","0.00","1.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.47","2.47","-2.47","sa550001"
"Pedro Figueroa","Athletics (R)","25","2.0","27.00","0.00","6.00","0.00","60.0 %","0.0 %","60.0 %",".300","1.50",".750","66.7 %","4.50","-1.62","6.12","-1.62","6616"
"Sergio Romo","Giants (R)","28","1.0","27.00","0.00","3.00","0.00","75.0 %","0.0 %","75.0 %",".250","1.00","1.000","100.0 %","0.00","-1.62","1.62","-1.62","9817"
"Cole Tyrell","Padres (A)","23","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.64","0.64","-0.64","sa546885"
"Cole Rohrbough","Braves (R)","24","1.0","18.00","0.00","2.00","0.00","50.0 %","0.0 %","50.0 %",".250","1.00",".500","100.0 %","0.00","-0.58","0.58","-0.58","sa328166"
"Jake Shadle","Giants (R)","21","3.0","21.00","0.00","7.00","0.00","50.0 %","0.0 %","50.0 %",".357","1.67",".714","60.0 %","6.00","-0.29","6.29","-0.29","sa550213"
"Brandon Kintzler","Brewers (AAA)","26","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.22","0.22","-0.22","9939"
"Jack Leathersich","Mets (A-)","20","12.2","18.47","2.13","8.67","0.00","55.3 %","6.4 %","48.9 %",".136","0.71",".333","88.9 %","0.71","-0.03","0.74","0.33","12562"
"Leandro De Dios","Dodgers (R)","22","1.0","27.00","9.00","3.00","0.00","50.0 %","16.7 %","33.3 %",".200","2.00",".500","50.0 %","0.00","0.07","-0.07","0.40","sa551016"
"San Lazaro Solano","Phillies (R)","20","2.0","13.50","0.00","3.00","0.00","42.9 %","0.0 %","42.9 %",".143","0.50",".250","100.0 %","0.00","0.07","-0.07","0.24","sa551086"
