Level,UniquePlayers,Year
AA,966.0,1990.0
AA,979.0,1991.0
AA,990.0,1992.0
AA,1015.0,1993.0
AA,1058.0,1994.0
AA,1242.0,1995.0
AA,1095.0,1996.0
AA,1178.0,1997.0
AA,1191.0,1998.0
AA,1242.0,1999.0
AA,1271.0,2000.0
AA,1355.0,2001.0
AA,1311.0,2002.0
AA,1325.0,2003.0
AA,1350.0,2004.0
AA,1374.0,2005.0
AA,1350.0,2006.0
AA,1367.0,2007.0
AA,1395.0,2008.0
AA,1439.0,2009.0
AA,1459.0,2010.0
AA,1434.0,2011.0
AA,1477.0,2012.0
AA,1491.0,2013.0
AA,1500.0,2014.0
AA,1577.0,2015.0
AA,1584.0,2016.0
AA,1643.0,2017.0
