League,Level,year,pitcher,sd_G,sd_AB,sd_R,sd_H,sd_Dbl,sd_Tpl,sd_HR,sd_RBI,sd_SB,sd_CS,sd_BB,sd_IBB,sd_SO,sd_SH,sd_SF,sd_HBP,sd_GDP,sd_TB,sd_XBH,sd_PA,sd_Bavg,sd_OBP,sd_SLG,sd_OPS,sd_ISO,sd_BABIP,sd_SecA,sd_BBpct,sd_SOpct,sd_HRpct,sd_K_BB,sd_AB_HR,sd_XBHpct,sd_teams,sd_orgs,sd_wOBA,sd_wRAA
Wcar,A,1977,1,20.63118334588847,71.35485761538068,8.317777218491909,17.153809741690107,2.304573788462562,0.3339989546875011,1.0814884934698612,7.938093330179292,1.4527260916214544,0.7507848548977287,8.980275358631689,0,11.682103409589372,0.9047540323911893,0.6051998802937403,0.5842334845894361,0,25.744361134262157,9.037856377285497,81.20836527896108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5017033405733811,18.173396047798732,0.4168836970675357,0,0,NA,NA
Amer,AAA,1977,1,14.225018235167562,18.88047486570939,2.3148191721091886,3.649693334776019,0.8515013013677295,0.30961357600854933,0.6662989181786303,2.5843082705963636,0.3887721580176147,0.19117228083225263,1.6769454283007872,0,7.225435434029493,1.907315923097453,0.3326790965233863,0.20611564746694744,0,7.2505127156996885,4.106108951179237,21.557320862961404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02699242114607,10.967923167054114,0.5770117340854977,0,0,NA,NA
PCL,AAA,1977,0,43.99213521781191,166.323851561007,31.301059775633345,50.312682893456284,10.468998350227652,3.2430147541625716,7.108915496521219,30.893092410260145,11.320635332672621,3.460729709108653,26.01367521194817,0,28.472262753017876,2.2428718982373743,2.5943760154145616,1.6932835101602077,0,96.1652859742653,49.7099747202584,192.1695405919234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7169065614115847,74.37574353220275,0.39383688807428907,0,0,NA,NA
App,Rk,1977,1,8.365561938028293,24.72018233146115,5.8508245352956925,8.113760246344313,1.0971920385042198,0.43133109281375365,0.5391638660171921,3.451064983625175,1.7274242466874707,0.8626621856275073,4.866367448903013,0,2.406102592443331,0.47996807919396434,0.21566554640687682,0.21566554640687682,0,13.732125553963675,5.618807580974004,30.458998926344826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27325316384363507,4.895607903436104,0.0963230752199046,0.15159886590034524,0.15159886590034524,NA,NA
Wcar,A,1977,0,44.0949127695524,164.62653167317762,27.992233460365696,47.358388656365,7.930799660794126,2.1211466684127154,5.260345511026137,25.66507912460331,11.27541501631564,3.5367424289234024,24.67311789846821,0,30.61084567075933,2.7880476231713867,2.350292041224897,1.8965276101674136,0,82.2133876814376,38.020760767465845,189.91409826941603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1335398023476502,91.580272980169255,0.3982166734348587,0,0,NA,NA
GCL,Rk,1977,0,14.314390459366505,55.82847256518134,10.631754204399614,16.459961059284897,2.890283981998765,1.626901987023651,1.213395843214189,9.0342726529634,5.423840484068187,1.2286043514190381,9.254037147648624,0,9.929284346135018,1.174493745409905,1.1130277028906765,1.1109609508143095,0,27.6376828801615,12.617267546434034,64.37888714864721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3855396741519088,53.60089924386674,0.3740296688024744,0,0,NA,NA
NYPL,A-,1977,0,22.60132787803368,82.07164791034317,14.369988820111416,22.51861655478866,4.041828903685251,1.5201292507140405,3.139621792738343,13.135914116048191,5.266308037421096,2.122302717086891,13.953282576034082,0,17.56515426508621,1.5145016143982648,1.3379326687531614,1.3923115399578951,0,41.18882832871839,20.881099057645706,95.25271248834143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3522227454751699,60.571122783414246,0.39707420066800525,0.07312724241271307,0.07312724241271307,NA,NA
IL,AAA,1977,0,43.63164663676233,159.62019496024584,25.252961693698534,46.3000024889649,8.359787731252075,2.1854390384656517,6.186771677607771,23.83216599939901,9.053281300433648,3.417814879178159,24.545635418425313,0,26.241644860957173,2.9258700439827954,2.2678599724165434,1.618499009479972,0,84.69467461710171,41.69477586419341,182.9972127551701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2508021763730979,76.56520202737035,0.3858895340964044,0,0,NA,NA
Calif,A+,1977,0,43.89917157005659,168.2655972571673,36.99499268859887,53.12610282133258,9.948400864997337,2.9228686838722915,7.677284958935961,33.2373269340346,14.718060131053074,3.337106791261217,29.312113536898018,0,33.80699179922246,2.230824192216091,2.525447876691772,2.882407311306282,0,102.62386894216411,52.85211857008607,197.40663495683097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.062943987222895,67.45130834885916,0.38588229601964696,0,0,NA,NA
App,Rk,1977,0,20.166875643700966,82.17545483656652,15.382788073013385,23.95261816397819,4.5679579206832654,1.3948973766970136,3.2130702789319523,14.077388928796815,5.655867494823939,2.3363128216199835,14.492371419251011,0,16.47867084732818,1.902291989327016,1.4969067958121094,1.4259703974667786,0,43.44262310934792,21.5946782812764,95.82195681716294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.438509936659452,54.328122277739396,0.5022794648239147,0,0,NA,NA
FSL,A+,1977,0,40.08497997564997,143.35978344217887,19.824345284241506,40.238089295839735,6.360707202302151,2.343496446231237,2.551952119769624,18.777895040512114,9.054304993031483,3.7880882883150617,19.333381734314496,0,23.245584006841057,3.096844785171279,2.238193771152778,1.7699935009154935,0,62.212290356688435,24.977452786880882,163.12900876763945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4704693338079613,92.85751737514626,0.28678695710612434,0,0,NA,NA
